time,close,high,low,open,volumefrom,volumeto
2017-10-11,0.3029,0.3029,0.3029,0.3029,299.07,90.59
2017-10-12,0.09087,0.3029,0.09087,0.3029,1000.0,90.87
2017-10-13,0.101,0.101,0.101,0.101,0.0,0.0
2017-10-14,0.000681,0.2532,0.000681,0.2532,123.58,0.08416
2017-10-15,0.0006765,0.0006765,0.0006765,0.0006765,101.28,0.06852
2017-10-16,0.0006718,0.0006718,0.0006718,0.0006718,0.0,0.0
2017-10-17,0.1581,0.1581,0.03161,0.03161,103.28,16.33
2017-10-18,0.1568,0.1568,0.1568,0.1568,2.0,0.3136
2017-10-19,0.03689,0.1537,0.03689,0.1537,178.79,6.6
2017-10-20,0.04849,303.08,0.001097,0.07729,3371.73,163.5
2017-10-21,0.04943,0.07489,0.04793,0.04793,1624.37,80.29
2017-10-22,0.2529,0.2529,0.04851,0.04851,11753.77,2972.53
2017-10-23,0.1341,0.2453,0.07702,0.2453,4374.07,586.56
2017-10-24,0.1482,0.166,0.1008,0.1394,1748.23,259.09
2017-10-25,0.1171,0.1808,0.1156,0.1541,1569.81,183.82
2017-10-26,0.1906,0.2231,0.03546,0.1167,3308.23,630.55
2017-10-27,0.2964,2963.6,0.1912,0.1912,45312.83,13430.72
2017-10-28,0.2053,0.44,0.2053,0.2934,9828.36,2017.76
2017-10-29,0.2296,0.304,0.1551,0.2128,11293.71,2593.04
2017-10-30,0.1902,0.2378,0.0859,0.2316,4143.22,788.04
2017-10-31,0.1002,0.2264,0.09868,0.1883,8227.71,824.42
2017-11-01,0.1158,0.1216,0.09406,0.09551,4138.41,479.23
2017-11-02,0.114,0.5413,0.09716,0.09972,388.62,44.3
2017-11-03,0.1218,0.1218,0.1044,0.1044,190.74,23.23
2017-11-04,0.09751,0.1627,0.09751,0.1627,6336.23,617.85
2017-11-05,0.1452,0.1452,0.1126,0.1126,3269.34,474.71
2017-11-06,0.1113,0.1603,0.104,0.1603,321.9,35.83
2017-11-07,0.1197,0.2014,0.09485,0.1094,17236.86,2063.25
2017-11-08,0.1131,0.126,0.1127,0.126,587.0,66.39
2017-11-09,0.1723,0.1723,0.1176,0.1176,282.93,48.75
2017-11-10,0.1633,0.2316,0.1092,0.16,20329.19,3319.76
2017-11-11,0.176,0.1901,0.1166,0.1901,1077.56,189.65
2017-11-12,0.0612,0.1851,0.0612,0.1851,197.2,12.07
2017-11-13,0.06292,0.06292,0.06292,0.06292,0.0,0.0
2017-11-14,0.1406,0.2008,0.06694,0.06694,24893.27,3499.99
2017-11-15,0.1971,0.1991,0.1971,0.1991,448.92,88.48
2017-11-16,0.1982,0.1982,0.1965,0.1965,2438.0,483.21
2017-11-17,0.1824,0.199,0.1824,0.199,5132.57,936.18
