time,close,high,low,open,volumefrom,volumeto
2018-03-05,0.01659,0.01659,0.009267,0.01258,24368.23,404.27
2018-03-06,0.01181,0.01557,0.009877,0.01557,5635.91,66.56
2018-03-07,0.01191,0.01191,0.01092,0.01092,5003.4,59.59
2018-03-08,0.01127,0.01127,0.01118,0.01118,1508.61,17.0
2018-03-09,0.01092,0.0731,0.01046,0.01046,129330.24,1412.29
2018-03-10,0.01759,0.03079,0.01196,0.01874,34070.74,599.3
2018-03-11,0.01241,0.01966,0.01203,0.01909,157779.0,1958.04
2018-03-12,0.01609,0.01618,0.0106,0.01188,15814.75,254.46
2018-03-13,0.01511,0.01612,0.01099,0.01612,22302.09,336.98
2018-03-14,0.01159,0.01356,0.0115,0.01356,1346.76,15.61
2018-03-15,0.01174,0.01621,0.007772,0.01166,233348.39,2739.51
2018-03-16,0.01574,0.01574,0.0111,0.0111,2549.06,40.12
2018-03-17,0.01198,0.01498,0.01198,0.01498,1434.27,17.18
2018-03-18,0.01249,0.01249,0.01249,0.01249,1040.0,12.99
2018-03-19,0.01328,0.01587,0.01311,0.01311,3014.62,40.03
2018-03-20,0.01392,0.01543,0.01374,0.01374,662.83,9.23
2018-03-21,0.01845,0.01845,0.01381,0.01381,5159.01,95.18
2018-03-22,0.01335,0.01806,0.01335,0.01806,8126.4,108.49
2018-03-23,0.01394,0.01394,0.01367,0.01367,1353.06,18.86
2018-03-24,0.01171,0.01333,0.01171,0.01333,8889.85,104.1
2018-03-25,0.01381,0.01644,0.01161,0.01161,1508.88,20.84
2018-03-26,0.01304,0.01378,0.01117,0.01329,15621.33,203.7
2018-03-27,0.01171,0.01249,0.0107,0.01249,69665.04,815.78
2018-03-28,0.01258,0.01258,0.0109,0.0109,15578.71,195.98
2018-03-29,0.009025,0.01123,0.009025,0.01123,77236.61,697.06
2018-03-30,0.008704,0.008704,0.008704,0.008704,0.0,0.0
2018-03-31,0.008819,0.008819,0.008819,0.008819,77.54,0.6838
2018-04-01,0.01005,0.01005,0.007861,0.008682,3568.46,35.86
2018-04-02,0.008419,0.0104,0.007145,0.0104,5526.08,46.52
