time,close,high,low,open,volumefrom,volumeto
2017-05-14,1.36,1.36,1.36,1.36,98.6,134.1
2017-05-15,1.37,1.37,1.32,1.32,176.93,242.39
2017-05-16,1.38,1.38,1.38,1.38,0.0,0.0
2017-05-17,1.44,1.44,1.44,1.44,0.0,0.0
2017-05-18,1.5,1.5,1.5,1.5,0.0,0.0
2017-05-19,1.57,1.57,1.57,1.57,0.0,0.0
2017-05-20,1.63,1.63,1.63,1.63,0.0,0.0
2017-05-21,1.63,1.63,1.61,1.63,50.0,81.5
2017-05-22,1.7,1.7,1.7,1.7,6.0,10.2
2017-05-23,1.82,1.82,1.82,1.82,0.0,0.0
2017-05-24,1.95,1.95,1.95,1.95,0.0,0.0
2017-05-25,1.27,1.85,1.27,1.84,66.0,83.82
2017-05-26,1.67,1.67,1.24,1.24,28.15,47.01
2017-05-27,1.52,1.52,1.52,1.52,0.0,0.0
2017-05-28,1.62,1.62,1.62,1.62,0.0,0.0
2017-05-29,1.69,1.69,1.69,1.69,0.0,0.0
2017-05-30,1.63,1.63,1.63,1.63,0.0,0.0
2017-05-31,1.71,1.71,1.71,1.71,0.0,0.0
2017-06-01,1.76,1.81,1.76,1.79,34.98,61.56
2017-06-02,1.92,1.92,1.92,1.92,11.0,21.12
2017-06-03,1.96,1.96,1.96,1.96,10.44,20.46
2017-06-04,2.09,2.09,2.02,2.02,262.54,548.71
2017-06-05,2.26,2.26,2.25,2.25,75.66,170.99
2017-06-06,2.4,2.4,2.4,2.4,0.0,0.0
2017-06-07,2.23,2.25,2.23,2.25,28.0,62.44
2017-06-08,2.21,2.32,1.96,2.32,17.0,37.57
2017-06-09,2.22,2.22,2.22,2.22,0.0,0.0
2017-06-10,2.29,2.29,2.29,2.29,34.13,78.16
2017-06-11,2.35,2.35,2.35,2.35,10.0,23.5
2017-06-12,1.75,2.1,1.75,2.1,27.8,48.65
2017-06-13,1.79,1.79,1.79,1.79,0.0,0.0
2017-06-14,1.63,1.63,1.63,1.63,0.0,0.0
2017-06-15,1.61,1.61,1.61,1.61,0.0,0.0
2017-06-16,1.98,1.98,1.66,1.66,18.5,36.63
2017-06-17,1.59,2.1,1.59,2.1,70.26,111.71
2017-06-18,1.52,1.52,1.52,1.52,0.0,0.0
2017-06-19,1.44,1.83,1.44,1.57,12.2,17.57
2017-06-20,1.51,1.52,1.51,1.52,19.74,29.81
2017-06-21,1.82,1.82,1.47,1.47,12.0,21.84
2017-06-22,1.96,1.96,1.85,1.85,24.0,47.04
2017-06-23,1.95,1.95,1.95,1.95,0.0,0.0
2017-06-24,2.05,2.05,1.76,1.86,176.54,361.91
2017-06-25,1.4,2.01,1.4,2.01,39.73,55.62
2017-06-26,1.91,1.91,1.35,1.35,2.41,4.6
2017-06-27,2.02,2.02,2.02,2.02,0.0,0.0
2017-06-28,2.01,2.01,2.01,2.01,0.0,0.0
2017-06-29,2.0,2.0,2.0,2.0,0.0,0.0
2017-06-30,1.93,1.93,1.93,1.93,0.0,0.0
2017-07-01,1.19,1.89,1.19,1.89,44.91,53.44
2017-07-02,1.24,1.24,1.24,1.24,7.41,9.19
2017-07-03,1.26,1.26,1.26,1.26,0.0,0.0
2017-07-04,1.28,1.28,1.28,1.28,0.0,0.0
2017-07-05,1.29,1.29,1.29,1.29,0.0,0.0
2017-07-06,1.28,1.28,1.28,1.28,0.0,0.0
2017-07-07,1.61,1.61,1.23,1.23,5.0,8.05
2017-07-08,1.64,1.64,1.64,1.64,10.0,16.4
2017-07-09,1.61,1.61,1.61,1.61,12.0,19.32
2017-07-10,0.9845,1.5,0.9845,1.5,28.09,27.65
2017-07-11,0.9762,0.9762,0.9762,0.9762,0.0,0.0
2017-07-12,1.54,1.54,1.01,1.01,71.0,109.34
2017-07-13,1.51,1.51,1.51,1.51,0.0,0.0
2017-07-14,1.43,1.43,1.43,1.43,109.0,155.87
2017-07-15,1.26,1.26,1.26,1.26,0.0,0.0
2017-07-16,0.8039,1.22,0.8039,1.22,0.5179,0.4163
2017-07-17,0.938,0.938,0.938,0.938,0.0,0.0
2017-07-18,1.46,1.46,0.9049,0.9745,74.39,108.61
2017-07-19,1.44,1.44,1.44,1.44,0.0,0.0
2017-07-20,1.81,1.81,1.81,1.81,0.0,0.0
2017-07-21,1.69,1.69,1.69,1.69,0.0,0.0
2017-07-22,1.79,1.79,1.79,1.79,0.0,0.0
2017-07-23,1.74,1.74,1.74,1.74,0.0,0.0
2017-07-24,1.74,1.74,1.74,1.74,0.0,0.0
2017-07-25,1.63,1.63,1.63,1.63,0.0,0.0
2017-07-26,1.61,1.61,1.61,1.61,0.0,0.0
2017-07-27,1.7,1.7,1.7,1.7,0.0,0.0
2017-07-28,1.77,1.77,1.77,1.77,5.0,8.85
2017-07-29,0.9841,1.72,0.9841,1.72,42.06,41.39
2017-07-30,0.9959,0.9959,0.9959,0.9959,0.0,0.0
2017-07-31,1.81,1.82,1.04,1.04,42.0,76.02
2017-08-01,1.73,1.73,1.73,1.73,0.0,0.0
2017-08-02,0.9522,1.71,0.9522,1.71,120.0,114.26
2017-08-03,1.68,1.68,0.9835,0.9835,6.58,11.05
2017-08-04,1.67,1.72,1.67,1.72,4.0,6.68
2017-08-05,1.77,1.89,1.08,1.89,123.41,218.44
2017-08-06,1.75,1.75,1.75,1.75,0.0,0.0
2017-08-07,1.05,1.84,1.05,1.84,114.0,119.7
2017-08-08,1.06,1.06,1.06,1.06,0.0,0.0
2017-08-09,1.04,1.04,1.04,1.04,0.0,0.0
2017-08-10,1.06,1.06,1.06,1.06,0.0,0.0
2017-08-11,1.13,1.13,1.13,1.13,0.0,0.0
2017-08-12,1.16,1.2,1.16,1.2,71.84,83.33
2017-08-13,1.22,1.22,1.22,1.22,0.0,0.0
2017-08-14,1.3,1.3,1.3,1.3,0.0,0.0
2017-08-15,1.25,1.25,1.25,1.25,0.0,0.0
2017-08-16,1.32,1.32,1.32,1.32,0.0,0.0
2017-08-17,1.28,1.28,1.28,1.28,0.0,0.0
2017-08-18,1.23,1.23,1.23,1.23,0.0,0.0
2017-08-19,0.1245,1.25,0.1245,1.25,3.34,0.4158
2017-08-20,0.122,0.122,0.122,0.122,0.001,0.000122
2017-08-21,0.1202,0.1202,0.1202,0.1202,0.0,0.0
2017-08-22,1.35,1.43,0.5317,0.6135,70.81,95.59
2017-08-23,1.59,1.59,1.04,1.37,36.11,57.41
2017-08-24,1.47,1.66,1.25,1.66,26.85,39.47
2017-08-25,1.48,1.68,1.31,1.48,61.43,90.92
2017-08-26,1.52,1.74,1.18,1.48,366.21,556.64
2017-08-27,1.52,1.52,1.52,1.52,0.0,0.0
2017-08-28,1.89,1.89,1.45,1.54,9.66,18.26
2017-08-29,1.98,1.98,1.98,1.98,0.0,0.0
2017-08-30,1.97,1.97,1.97,1.97,0.0,0.0
2017-08-31,1.66,2.04,1.66,2.04,1.69,2.81
2017-09-01,1.72,1.72,1.72,1.72,0.0,0.0
2017-09-02,1.6,1.6,1.6,1.6,0.0,0.0
2017-09-03,1.8,1.8,1.61,1.61,64.58,116.24
2017-09-04,1.66,1.66,1.66,1.66,0.0,0.0
2017-09-05,1.72,1.72,1.72,1.72,3.25,5.59
2017-09-06,1.8,1.8,1.8,1.8,0.0,0.0
2017-09-07,1.81,1.81,1.81,1.81,0.0,0.0
2017-09-08,1.69,1.69,1.69,1.69,0.0,0.0
2017-09-09,1.49,1.49,1.45,1.45,36.3,54.09
2017-09-10,1.44,1.46,1.4,1.46,259.87,374.21
2017-09-11,1.48,1.48,1.41,1.43,288.87,427.53
2017-09-12,1.46,1.48,1.37,1.37,547.24,798.97
2017-09-13,1.35,1.35,1.35,1.35,0.0,0.0
2017-09-14,1.15,1.15,1.14,1.14,26.34,30.29
2017-09-15,1.32,1.34,1.19,1.32,3254.54,4295.99
2017-09-16,1.32,1.34,1.3,1.32,1325.83,1750.1
2017-09-17,1.32,1.33,1.27,1.32,1542.15,2035.64
2017-09-18,1.51,1.52,1.44,1.46,2248.0,3394.48
2017-09-19,1.43,1.5,1.37,1.44,4360.26,6235.17
2017-09-20,1.44,1.46,1.41,1.42,3414.38,4916.71
2017-09-21,1.29,1.35,1.27,1.35,4206.71,5426.66
2017-09-22,1.31,1.32,1.26,1.28,4306.09,5640.98
2017-09-23,1.38,1.4,1.33,1.38,5104.9,7044.76
2017-09-24,1.34,1.35,1.15,1.34,8276.27,11090.2
2017-09-25,1.46,1.49,1.35,1.44,31848.93,46499.44
2017-09-26,1.49,1.52,1.33,1.44,46639.09,69492.24
2017-09-27,1.64,1.68,1.48,1.61,78195.31,128240.31
2017-09-28,1.5,1.83,1.49,1.63,76994.46,115491.69
2017-09-29,1.5,1.51,1.46,1.49,42586.58,63879.87
2017-09-30,1.56,1.59,1.55,1.57,24030.55,37487.66
2017-10-01,1.56,1.58,1.54,1.58,2364.55,3688.7
2017-10-02,1.55,1.57,1.55,1.56,1544.0,2393.2
