time,close,high,low,open,volumefrom,volumeto
2018-07-18,0.08622,0.08876,0.004311,0.07918,107709.87,9286.74
2018-07-19,0.07967,0.08436,0.05394,0.08436,43374.63,3455.66
2018-07-20,0.07626,0.08371,0.06284,0.0763,38943.89,2969.86
2018-07-21,0.08483,0.08654,0.07681,0.07833,31177.17,2644.76
2018-07-22,0.07775,0.08421,0.07775,0.08421,20037.72,1557.93
2018-07-23,0.06412,0.07639,0.05854,0.07639,61612.72,3950.61
2018-07-24,0.0758,0.08995,0.0677,0.06837,42458.16,3218.33
2018-07-25,0.07244,0.07479,0.07102,0.07451,15517.63,1124.1
2018-07-26,0.07032,0.07101,0.06893,0.07101,3854.01,271.01
2018-07-27,0.07374,0.07661,0.07149,0.07149,19032.0,1403.42
2018-07-28,0.07272,0.07492,0.07272,0.07356,5327.64,387.43
2018-07-29,0.07212,0.0731,0.07026,0.07235,21571.57,1555.74
2018-07-30,0.06812,0.07086,0.0662,0.07063,20292.98,1382.36
2018-07-31,0.07011,0.07011,0.06264,0.06445,38023.53,2665.83
2018-08-01,0.06731,0.07646,0.05689,0.06814,70615.48,4753.13
2018-08-02,0.06976,0.06976,0.06586,0.06586,7974.18,556.28
2018-08-03,0.06882,0.0702,0.06168,0.0702,34248.06,2356.95
2018-08-04,0.0684,0.0684,0.06506,0.06706,11751.87,803.83
2018-08-05,0.06668,0.06872,0.06668,0.06872,2299.18,153.31
2018-08-06,0.07208,0.07208,0.06605,0.06605,8764.71,631.76
2018-08-07,0.06527,0.07026,0.06236,0.06727,28361.38,1851.15
2018-08-08,0.06116,0.06717,0.06116,0.06141,13240.83,809.81
2018-08-09,0.0647,0.0647,0.06252,0.06252,1903.51,123.16
2018-08-10,0.062,0.063,0.05703,0.05902,10444.87,647.58
2018-08-11,0.06188,0.06188,0.0519,0.05947,63582.53,3934.49
2018-08-12,0.05836,0.06132,0.0561,0.06132,9164.58,534.84
2018-08-13,0.05007,0.05419,0.0486,0.05209,25609.34,1282.26
2018-08-14,0.05001,0.05001,0.04762,0.04907,9666.53,483.42
2018-08-15,0.04761,0.05054,0.0383,0.05054,54823.59,2610.15
2018-08-16,0.04901,0.05071,0.04506,0.04856,17908.58,877.7
2018-08-17,0.05367,0.05456,0.05272,0.05272,14378.24,771.68
2018-08-18,0.05045,0.05307,0.04983,0.04983,1963.16,99.04
2018-08-19,0.05126,0.05126,0.05126,0.05126,0.0,0.0
2018-08-20,0.04517,0.04634,0.04495,0.04634,2975.41,134.4
2018-08-21,0.04689,0.04689,0.04689,0.04689,0.0,0.0
2018-08-22,0.04761,0.04783,0.0451,0.0451,4998.8,237.99
2018-08-23,0.05001,0.05001,0.04816,0.04857,8510.37,425.6
2018-08-24,0.04955,0.05101,0.04955,0.05101,959.0,47.52
2018-08-25,0.05188,0.05188,0.04888,0.04888,6107.65,316.86
2018-08-26,0.04948,0.05151,0.04948,0.05127,13337.62,659.95
2018-08-27,0.05222,0.05354,0.05196,0.05196,8606.87,449.45
2018-08-28,0.05763,0.05775,0.05358,0.05358,14832.41,854.79
2018-08-29,0.05993,0.07049,0.05629,0.05629,44015.4,2637.84
2018-08-30,0.06123,0.06152,0.05316,0.05899,30080.68,1841.84
2018-08-31,0.06118,0.06225,0.0607,0.0607,9564.88,585.18
2018-09-01,0.06527,0.06527,0.05801,0.06415,36102.35,2356.4
2018-09-02,0.06367,0.0652,0.06178,0.0652,13014.58,828.64
2018-09-03,0.05684,0.06236,0.04624,0.06236,13662.63,776.58
2018-09-04,0.05134,0.05847,0.05134,0.0561,32131.41,1649.63
2018-09-05,0.04887,0.04887,0.04109,0.04109,48579.5,2374.08
2018-09-06,0.0501,0.0501,0.04767,0.04914,35057.3,1756.37
2018-09-07,0.04768,0.04791,0.04697,0.04697,20476.54,976.32
2018-09-08,0.0436,0.04404,0.0436,0.0436,4966.05,216.52
2018-09-09,0.04445,0.04445,0.04343,0.04343,11158.45,495.99
2018-09-10,0.04479,0.04524,0.04424,0.04471,5882.01,263.46
2018-09-11,0.04027,0.04207,0.02685,0.04207,740.17,29.81
2018-09-12,0.04016,0.04124,0.03878,0.03981,65442.13,2628.16
2018-09-13,0.04477,0.04635,0.04477,0.04566,11097.85,496.85
2018-09-14,0.04426,0.04426,0.04426,0.04426,0.0,0.0
2018-09-15,0.04814,0.04814,0.04696,0.04696,6885.05,331.45
2018-09-16,0.04526,0.04781,0.04526,0.04781,15213.5,688.56
