time,close,high,low,open,volumefrom,volumeto
2018-07-20,0.006065,0.006274,0.005891,0.006217,3541000.0,21400.7
2018-07-21,0.005737,0.0061,0.005585,0.005981,4334000.0,25622.68
2018-07-22,0.00526,0.005891,0.004616,0.005737,5475000.0,28310.82
2018-07-23,0.005585,0.005634,0.005194,0.00526,4917000.0,26561.93
2018-07-24,0.004961,0.005789,0.00458,0.005585,6309000.0,33943.43
2018-07-25,0.004881,0.005193,0.00458,0.004961,6071000.0,29288.45
2018-07-26,0.004328,0.005099,0.00374,0.004881,8343000.0,37388.11
2018-07-27,0.004104,0.004376,0.003127,0.004328,8961000.0,35914.84
2018-07-28,0.003858,0.004299,0.003787,0.004104,7349000.0,29916.12
2018-07-29,0.00362,0.004232,0.003406,0.003929,6552000.0,25290.53
2018-07-30,0.003364,0.003775,0.003054,0.003518,6917000.0,24476.75
2018-07-31,0.0032,0.0037,0.003115,0.003364,1741000.0,5888.0
2018-08-01,0.003342,0.00349,0.003066,0.0032,2284000.0,7478.47
2018-08-02,0.003251,0.003476,0.003075,0.003342,4160000.0,13611.87
2018-08-03,0.002965,0.0035,0.0015,0.003251,4380000.0,13827.39
2018-08-04,0.003852,0.004246,0.002923,0.002965,5407000.0,17767.87
2018-08-05,0.003227,0.004203,0.002924,0.003852,2250000.0,8267.11
2018-08-06,0.003421,0.003979,0.003016,0.003227,3928000.0,13731.2
2018-08-07,0.003701,0.003851,0.003277,0.003421,3387000.0,11937.63
2018-08-08,0.003789,0.003988,0.003451,0.003701,4737000.0,17312.05
2018-08-09,0.003136,0.003988,0.002923,0.003789,4662000.0,17486.71
2018-08-10,0.003313,0.003853,0.002924,0.003136,5160000.0,17480.94
2018-08-11,0.002936,0.003586,0.002923,0.003313,5410000.0,17034.89
2018-08-12,0.003018,0.00312,0.002923,0.002936,5527000.0,16455.81
2018-08-13,0.00225,0.003105,0.002056,0.003018,6958000.0,17306.98
2018-08-14,0.002665,0.003958,0.0021,0.00225,6328000.0,17339.76
2018-08-15,0.00269,0.003851,0.002413,0.002665,6067000.0,17423.14
2018-08-16,0.002483,0.002759,0.0019,0.00269,7141000.0,17633.03
2018-08-17,0.002273,0.002533,0.00209,0.002483,7345000.0,16912.41
2018-08-18,0.002059,0.00229,0.001941,0.002273,5243000.0,11230.94
2018-08-19,0.002164,0.002259,0.001813,0.002059,8763000.0,17660.44
2018-08-20,0.001963,0.0025,0.00151,0.002164,8677000.0,18122.55
2018-08-21,0.001962,0.002177,0.001623,0.001963,4511000.0,8707.02
2018-08-22,0.00156,0.001962,0.001111,0.001962,280000.0,398.75
2018-08-23,0.001298,0.00156,0.001297,0.00156,197000.0,259.05
2018-08-24,0.001962,0.001962,0.001298,0.001298,167000.0,264.62
2018-08-25,0.00191,0.001962,0.00191,0.001962,59000.0,112.71
2018-08-26,0.00191,0.00191,0.00191,0.00191,0.0,0.0
2018-08-27,0.00195,0.00195,0.001559,0.00191,5151000.0,9209.59
2018-08-28,0.001931,0.001962,0.001842,0.00195,4520000.0,8674.09
2018-08-29,0.001928,0.001961,0.001901,0.001931,4566000.0,8804.31
2018-08-30,0.001928,0.001928,0.001928,0.001928,0.0,0.0
2018-08-31,0.00195,0.00195,0.0019,0.001928,283000.0,543.41
2018-09-01,0.001851,0.00195,0.001851,0.00195,11000.0,20.36
2018-09-02,0.002315,0.002315,0.001727,0.001851,1801000.0,3467.24
2018-09-03,0.0018,0.002315,0.001718,0.002315,159000.0,282.38
2018-09-04,0.001851,0.001956,0.001689,0.0018,114000.0,199.85
2018-09-05,0.00168,0.001963,0.00168,0.001851,113000.0,204.32
2018-09-06,0.00168,0.00168,0.00168,0.00168,0.0,0.0
2018-09-07,0.00168,0.00168,0.00168,0.00168,0.0,0.0
2018-09-08,0.001701,0.0022,0.00168,0.00168,529000.0,1086.31
2018-09-09,0.00215,0.00215,0.00215,0.00215,4000.0,8.6
2018-09-10,0.002105,0.002505,0.002105,0.00215,34000.0,77.18
2018-09-11,0.002105,0.002105,0.002105,0.002105,0.0,0.0
2018-09-12,0.002105,0.002105,0.002105,0.002105,0.0,0.0
2018-09-13,0.00193,0.002505,0.00183,0.002105,44000.0,100.97
2018-09-14,0.001831,0.00193,0.001831,0.00193,59000.0,110.6
2018-09-15,0.001831,0.001831,0.001831,0.001831,0.0,0.0
2018-09-16,0.001831,0.001831,0.001831,0.001831,0.0,0.0
2018-09-17,0.001831,0.001831,0.001831,0.001831,57000.0,104.38
2018-09-18,0.001831,0.001831,0.001831,0.001831,0.0,0.0
2018-09-19,0.001832,0.001832,0.001831,0.001831,3000.0,5.49
2018-09-20,0.001832,0.001832,0.001832,0.001832,17000.0,31.14
2018-09-21,0.001832,0.001832,0.001832,0.001832,0.0,0.0
2018-09-22,0.001832,0.001832,0.001832,0.001832,0.0,0.0
2018-09-23,0.001832,0.001832,0.001832,0.001832,0.0,0.0
2018-09-24,0.001832,0.001832,0.001832,0.001832,0.0,0.0
2018-09-25,0.001832,0.001832,0.001832,0.001832,0.0,0.0
