time,close,high,low,open,volumefrom,volumeto
2018-04-03,0.01673,0.01673,0.01591,0.01606,34976.85,585.16
2018-04-04,0.01547,0.01547,0.01431,0.01533,67446.03,1043.39
2018-04-05,0.01664,0.01664,0.01426,0.01541,78408.88,1304.72
2018-04-06,0.01606,0.01626,0.0146,0.01626,55781.5,895.85
2018-04-07,0.01466,0.01674,0.0146,0.01674,103039.35,1510.56
2018-04-08,0.01734,0.01734,0.000705,0.01495,550974.98,9553.91
2018-04-09,0.01867,0.01867,0.01629,0.0167,99889.4,1864.94
2018-04-10,0.01958,0.01958,0.01732,0.0189,54709.22,1071.21
2018-04-11,0.01675,0.01988,0.01549,0.01988,143294.67,2400.19
2018-04-12,0.01649,0.02101,0.01649,0.01903,265209.95,4373.31
2018-04-13,0.01825,0.02109,0.01643,0.01643,198826.54,3628.58
2018-04-14,0.01925,0.01925,0.01605,0.01853,285496.74,5495.81
2018-04-15,0.0191,0.01927,0.01675,0.01876,283066.65,5406.57
2018-04-16,0.01705,0.01842,0.01559,0.01842,145002.35,2472.29
2018-04-17,0.01592,0.01727,0.01529,0.01671,91990.75,1464.49
2018-04-18,0.01687,0.0172,0.01605,0.01646,85236.0,1437.93
2018-04-19,0.01909,0.03487,0.0166,0.01735,2510057.23,47916.99
2018-04-20,0.0229,0.02388,0.02095,0.02388,735043.75,16832.5
2018-04-21,0.02127,0.02716,0.02028,0.02475,1482883.33,31540.93
2018-04-22,0.02373,0.02603,0.01968,0.021,544206.71,12914.03
2018-04-23,0.02412,0.02412,0.02412,0.02412,0.0,0.0
2018-04-24,0.02597,0.02597,0.02597,0.02597,0.0,0.0
2018-04-25,0.02387,0.02387,0.02387,0.02387,0.0,0.0
2018-04-26,0.02497,0.02497,0.02497,0.02497,0.0,0.0
2018-04-27,0.02404,0.02404,0.02404,0.02404,0.0,0.0
2018-04-28,0.02516,0.02516,0.02516,0.02516,0.0,0.0
2018-04-29,0.0253,0.0253,0.0253,0.0253,0.0,0.0
2018-04-30,0.02488,0.02488,0.02488,0.02488,0.0,0.0
2018-05-01,0.02442,0.02442,0.02442,0.02442,0.0,0.0
2018-05-02,0.02483,0.02483,0.02483,0.02483,0.0,0.0
2018-05-03,0.02368,0.03118,0.02339,0.02621,3079215.37,72915.82
2018-05-04,0.02502,0.02502,0.02279,0.02357,213095.71,5331.65
2018-05-05,0.0253,0.02855,0.02274,0.0254,1472387.26,37251.4
2018-05-06,0.02459,0.02787,0.02228,0.02479,932737.92,22936.03
2018-05-07,0.02363,0.02523,0.02279,0.02391,829413.88,19599.05
2018-05-08,0.02327,0.02557,0.02271,0.02317,608060.1,14149.56
2018-05-09,0.02312,0.02451,0.02153,0.02358,698936.86,16159.42
2018-05-10,0.02032,0.0224,0.01364,0.0224,637872.88,12961.58
2018-05-11,0.01634,0.02013,0.01263,0.01895,424195.74,6931.36
2018-05-12,0.0157,0.01782,0.01315,0.01646,1726242.62,27102.01
2018-05-13,0.01637,0.01794,0.0142,0.01611,962729.96,15759.89
2018-05-14,0.01631,0.01631,0.01431,0.01631,734229.09,11975.28
2018-05-15,0.02052,0.02408,0.01552,0.01594,833657.64,17106.65
2018-05-16,0.02295,0.02312,0.01969,0.02019,506785.5,11630.73
2018-05-17,0.02066,0.02236,0.02026,0.0222,258319.0,5336.87
2018-05-18,0.02243,0.02243,0.02078,0.02111,28764.61,645.19
2018-05-19,0.02062,0.02244,0.01864,0.02244,162607.82,3352.97
2018-05-20,0.02022,0.02133,0.01758,0.02133,125483.05,2537.27
2018-05-21,0.02021,0.02021,0.01878,0.01995,32460.38,656.02
2018-05-22,0.0171,0.01918,0.0171,0.01918,35934.89,614.49
2018-05-23,0.01456,0.01644,0.01389,0.01606,174556.48,2541.54
2018-05-24,0.01365,0.01517,0.01289,0.01471,348866.15,4762.02
2018-05-25,0.01465,0.01525,0.01346,0.01346,191356.33,2803.37
2018-05-26,0.015,0.015,0.01383,0.01442,132011.86,1980.18
2018-05-27,0.01414,0.01502,0.01333,0.01502,270955.24,3831.31
2018-05-28,0.01374,0.01438,0.01175,0.01367,72372.92,994.4
