time,close,high,low,open,volumefrom,volumeto
2018-12-20,0.007862,0.007862,0.007862,0.007862,129279.47,1016.4
2018-12-21,0.007408,0.007408,0.007408,0.007408,0.0,0.0
2018-12-22,0.007686,0.007686,0.007686,0.007686,0.0,0.0
2018-12-23,0.007614,0.007614,0.007614,0.007614,0.0,0.0
2018-12-24,0.007756,0.007756,0.007756,0.007756,0.0,0.0
2018-12-25,0.007286,0.007286,0.007286,0.007286,0.0,0.0
2018-12-26,0.007313,0.007313,0.007313,0.007313,0.0,0.0
2018-12-27,0.003755,0.006928,0.003755,0.006928,37285.08,140.01
2018-12-28,0.006711,0.006711,0.004066,0.004066,10000.0,67.11
2018-12-29,0.005316,0.006455,0.005316,0.006455,203012.62,1079.22
2018-12-30,0.006546,0.006546,0.005455,0.005455,74096.83,485.04
2018-12-31,0.006296,0.006296,0.006296,0.006296,0.0,0.0
2019-01-01,0.006519,0.006519,0.006519,0.006519,0.0,0.0
2019-01-02,0.006654,0.006654,0.006654,0.006654,0.0,0.0
2019-01-03,0.006483,0.006483,0.006444,0.006444,400000.0,2593.2
2019-01-04,0.006547,0.006547,0.006547,0.006547,85551.61,560.11
2019-01-05,0.006516,0.006516,0.006516,0.006516,100000.0,651.6
2019-01-06,0.00677,0.006934,0.00677,0.006934,11859.19,80.29
2019-01-07,0.006683,0.006683,0.006683,0.006683,40000.0,267.32
2019-01-08,0.006667,0.006667,0.006667,0.006667,0.0,0.0
2019-01-09,0.00668,0.00668,0.00668,0.00668,0.0,0.0
2019-01-10,0.005502,0.006052,0.005502,0.006052,41162.97,226.48
2019-01-11,0.005504,0.005504,0.005504,0.005504,247.97,1.36
2019-01-12,0.005497,0.005497,0.005497,0.005497,0.0,0.0
2019-01-13,0.003977,0.005327,0.003977,0.005327,663714.0,2639.59
2019-01-14,0.004148,0.004148,0.004148,0.004148,0.0,0.0
2019-01-15,0.00554,0.00554,0.003694,0.003694,93700.66,519.1
2019-01-16,0.005575,0.005575,0.005575,0.005575,0.0,0.0
2019-01-17,0.005639,0.005639,0.005639,0.005639,0.0,0.0
2019-01-18,0.005582,0.005582,0.005582,0.005582,0.0,0.0
2019-01-19,0.005707,0.005707,0.005707,0.005707,0.0,0.0
2019-01-20,0.003925,0.005459,0.003925,0.005459,80919.16,317.61
2019-01-21,0.003929,0.003929,0.003929,0.003929,0.0,0.0
2019-01-22,0.003962,0.003962,0.003962,0.003962,0.0,0.0
2019-01-23,0.003929,0.003929,0.003929,0.003929,0.0,0.0
2019-01-24,0.003958,0.003958,0.003958,0.003958,0.0,0.0
2019-01-25,0.003941,0.003941,0.003941,0.003941,0.0,0.0
2019-01-26,0.003956,0.003956,0.003956,0.003956,0.0,0.0
2019-01-27,0.004207,0.004207,0.003672,0.003922,64715.95,272.26
2019-01-28,0.003592,0.004075,0.003592,0.004075,18544.02,66.61
2019-01-29,0.003555,0.003555,0.003555,0.003555,0.0,0.0
2019-01-30,0.004091,0.004091,0.003606,0.003606,1000.0,4.09
2019-01-31,0.004052,0.004052,0.004052,0.004052,0.0,0.0
2019-02-01,0.004085,0.004085,0.004085,0.004085,0.0,0.0
2019-02-02,0.00414,0.00414,0.00414,0.00414,0.0,0.0
2019-02-03,0.004071,0.004071,0.004071,0.004071,0.0,0.0
2019-02-04,0.003088,0.004049,0.003088,0.004049,88809.95,274.25
2019-02-05,0.00393,0.00393,0.003896,0.00393,156405.72,614.67
2019-02-06,0.003836,0.00387,0.003055,0.00387,121859.97,467.45
2019-02-07,0.003814,0.003814,0.003814,0.003814,0.0,0.0
2019-02-08,0.004136,0.004136,0.004136,0.004136,0.0,0.0
2019-02-09,0.004127,0.004127,0.004127,0.004127,0.0,0.0
2019-02-10,0.004164,0.004164,0.004164,0.004164,0.0,0.0
2019-02-11,0.004081,0.004081,0.004081,0.004081,0.0,0.0
2019-02-12,0.004088,0.004088,0.004088,0.004088,0.0,0.0
2019-02-13,0.004075,0.004075,0.004075,0.004075,0.0,0.0
2019-02-14,0.004055,0.004055,0.004055,0.004055,0.0,0.0
2019-02-15,0.004061,0.004061,0.004061,0.004061,0.0,0.0
2019-02-16,0.004087,0.004087,0.004087,0.004087,0.0,0.0
2019-02-17,0.004148,0.004148,0.004148,0.004148,0.0,0.0
2019-02-18,0.004421,0.004421,0.004421,0.004421,0.0,0.0
2019-02-19,0.004434,0.004434,0.004434,0.004434,0.0,0.0
2019-02-20,0.004491,0.004491,0.004491,0.004491,0.0,0.0
2019-02-21,0.004449,0.004449,0.004449,0.004449,0.0,0.0
2019-02-22,0.003585,0.004501,0.003585,0.004501,185249.39,664.12
2019-02-23,0.003734,0.003734,0.003734,0.003734,0.0,0.0
2019-02-24,0.003319,0.003357,0.003319,0.003319,156131.5,518.2
2019-02-25,0.003384,0.003384,0.003384,0.003384,0.0,0.0
2019-02-26,0.007178,0.007178,0.0008018,0.003283,24574.69,176.4
2019-02-27,0.007202,0.007202,0.007202,0.007202,0.0,0.0
2019-02-28,0.007188,0.007188,0.007188,0.007188,0.0,0.0
2019-03-01,0.007203,0.007203,0.007203,0.007203,0.0,0.0
2019-03-02,0.007225,0.007225,0.007225,0.007225,0.0,0.0
2019-03-03,0.007167,0.007167,0.007167,0.007167,0.0,0.0
2019-03-04,0.007015,0.007015,0.007015,0.007015,0.0,0.0
2019-03-05,0.007283,0.007283,0.007283,0.007283,0.0,0.0
2019-03-06,0.007285,0.007285,0.007285,0.007285,0.0,0.0
2019-03-07,0.007299,0.007299,0.007299,0.007299,0.0,0.0
2019-03-08,0.007272,0.007272,0.007272,0.007272,0.0,0.0
2019-03-09,0.007422,0.007422,0.007422,0.007422,0.0,0.0
2019-03-10,0.007388,0.007388,0.007388,0.007388,0.0,0.0
2019-03-11,0.007285,0.007285,0.007285,0.007285,0.0,0.0
2019-03-12,0.007311,0.007311,0.007311,0.007311,0.0,0.0
2019-03-13,0.007291,0.007291,0.007291,0.007291,0.0,0.0
2019-03-14,0.007297,0.007297,0.007297,0.007297,0.0,0.0
2019-03-15,0.007383,0.007383,0.007383,0.007383,0.0,0.0
2019-03-16,0.007571,0.007571,0.007571,0.007571,0.0,0.0
2019-03-17,0.007516,0.007516,0.007516,0.007516,0.0,0.0
2019-03-18,0.007499,0.007499,0.007499,0.007499,0.0,0.0
2019-03-19,0.007565,0.007565,0.007565,0.007565,0.0,0.0
2019-03-20,0.007627,0.007627,0.007627,0.007627,0.0,0.0
2019-03-21,0.007514,0.007514,0.007514,0.007514,0.0,0.0
2019-03-22,0.007522,0.007522,0.007522,0.007522,0.0,0.0
2019-03-23,0.007534,0.007534,0.007534,0.007534,0.0,0.0
2019-03-24,0.003195,0.007509,0.003195,0.007509,32555.63,104.02
2019-03-25,0.00314,0.00314,0.00314,0.00314,0.0,0.0
2019-03-26,0.003154,0.003154,0.003154,0.003154,0.0,0.0
2019-03-27,0.003237,0.003237,0.003237,0.003237,0.0,0.0
2019-03-28,0.003229,0.003229,0.003229,0.003229,0.0,0.0
2019-03-29,0.003289,0.003289,0.003289,0.003289,0.0,0.0
2019-03-30,0.003295,0.003295,0.003295,0.003295,0.0,0.0
2019-03-31,0.00329,0.00329,0.00329,0.00329,0.0,0.0
2019-04-01,0.003321,0.003321,0.003321,0.003321,0.0,0.0
2019-04-02,0.003926,0.003926,0.003926,0.003926,0.0,0.0
2019-04-03,0.003981,0.003981,0.003981,0.003981,0.0,0.0
2019-04-04,0.003931,0.003931,0.003931,0.003931,0.0,0.0
2019-04-05,0.004038,0.004038,0.004038,0.004038,0.0,0.0
2019-04-06,0.004046,0.004046,0.004046,0.004046,0.0,0.0
2019-04-07,0.004161,0.004161,0.004161,0.004161,0.0,0.0
2019-04-08,0.004235,0.004235,0.004235,0.004235,0.0,0.0
2019-04-09,0.004161,0.004161,0.004161,0.004161,0.0,0.0
2019-04-10,0.004255,0.004255,0.004255,0.004255,0.0,0.0
2019-04-11,0.004039,0.004039,0.004039,0.004039,0.0,0.0
2019-04-12,0.004065,0.004065,0.004065,0.004065,0.0,0.0
2019-04-13,0.004065,0.004065,0.004065,0.004065,0.0,0.0
2019-04-14,0.004132,0.004132,0.004132,0.004132,0.0,0.0
2019-04-15,0.00403,0.00403,0.00403,0.00403,0.0,0.0
2019-04-16,0.005526,0.005526,0.00417,0.00417,6846.0,37.83
2019-04-17,0.00555,0.00555,0.00555,0.00555,0.0,0.0
2019-04-18,0.005607,0.005607,0.005607,0.005607,1.25,0.007009
2019-04-19,0.005613,0.005613,0.005613,0.005613,0.0,0.0
2019-04-20,0.005646,0.005646,0.005646,0.005646,6371.67,35.97
2019-04-21,0.005624,0.005624,0.005624,0.005624,0.0,0.0
2019-04-22,0.005718,0.005718,0.005718,0.005718,0.0,0.0
2019-04-23,0.005871,0.005871,0.005871,0.005871,0.0,0.0
2019-04-24,0.005782,0.005782,0.005782,0.005782,0.0,0.0
2019-04-25,0.005472,0.005472,0.005472,0.005472,0.0,0.0
2019-04-26,0.005548,0.005548,0.005548,0.005548,0.0,0.0
2019-04-27,0.005543,0.005543,0.005543,0.005543,0.0,0.0
2019-04-28,0.005589,0.005589,0.005589,0.005589,0.0,0.0
2019-04-29,0.005552,0.005552,0.005552,0.005552,0.0,0.0
2019-04-30,0.005672,0.005672,0.005672,0.005672,0.0,0.0
2019-05-01,0.005713,0.005713,0.005713,0.005713,0.0,0.0
2019-05-02,0.005831,0.005831,0.005831,0.005831,0.0,0.0
2019-05-03,0.006099,0.006099,0.006099,0.006099,0.0,0.0
2019-05-04,0.00619,0.00619,0.00619,0.00619,0.0,0.0
2019-05-05,0.006142,0.006142,0.006142,0.006142,0.0,0.0
2019-05-06,0.006093,0.006093,0.006093,0.006093,0.0,0.0
2019-05-07,0.006169,0.006169,0.006169,0.006169,0.0,0.0
2019-05-08,0.006359,0.006359,0.006359,0.006359,0.0,0.0
2019-05-09,0.006542,0.006542,0.006542,0.006542,0.0,0.0
2019-05-10,0.005087,0.00674,0.005087,0.00674,50000.0,254.35
2019-05-11,0.005753,0.005753,0.005753,0.005753,0.0,0.0
2019-05-12,0.005582,0.005582,0.005582,0.005582,0.0,0.0
2019-05-13,0.006245,0.006245,0.006245,0.006245,0.0,0.0
2019-05-14,0.006384,0.006384,0.006384,0.006384,0.0,0.0
2019-05-15,0.006547,0.006547,0.006547,0.006547,0.0,0.0
2019-05-16,0.006299,0.006299,0.006299,0.006299,0.0,0.0
2019-05-17,0.005898,0.005898,0.005898,0.005898,0.0,0.0
2019-05-18,0.005813,0.005813,0.005813,0.005813,0.0,0.0
2019-05-19,0.006555,0.006555,0.006555,0.006555,0.0,0.0
2019-05-20,0.006399,0.006399,0.006399,0.006399,0.0,0.0
2019-05-21,0.006358,0.006358,0.006358,0.006358,0.0,0.0
2019-05-22,0.006303,0.006303,0.006288,0.006288,67599.53,425.07
