time,close,high,low,open,volumefrom,volumeto
2018-06-01,0.05045,0.05573,0.05045,0.05045,44700,2255.12
2018-06-02,0.04815,0.05732,0.04586,0.05121,1152500,55492.88
2018-06-03,0.04863,0.05327,0.04555,0.04863,870000,42308.1
2018-06-04,0.04577,0.04952,0.04352,0.04727,976700,44703.56
2018-06-05,0.05264,0.05264,0.04578,0.04654,1335400,70295.46
2018-06-06,0.0475,0.05593,0.04597,0.05287,1045100,49642.25
2018-06-07,0.0462,0.05082,0.04389,0.04774,914700,42259.14
2018-06-08,0.04348,0.04729,0.04195,0.04577,1001000,43523.48
2018-06-09,0.04433,0.04658,0.04057,0.04283,468500,20768.61
2018-06-10,0.03658,0.04132,0.03658,0.03996,479000,17521.82
2018-06-11,0.03926,0.04201,0.0365,0.03719,1373200,53911.83
2018-06-12,0.04,0.0459,0.03541,0.03737,1256800,50272.0
2018-06-13,0.0366,0.04607,0.03597,0.03849,629500,23039.7
2018-06-14,0.04385,0.04385,0.03787,0.03853,971000,42578.35
2018-06-15,0.0403,0.04222,0.0371,0.04222,1302500,52490.75
2018-06-16,0.04552,0.04617,0.03772,0.04097,490600,22332.11
2018-06-17,0.04068,0.0452,0.0381,0.0452,81200,3303.22
2018-06-18,0.0423,0.0423,0.03626,0.0423,1675300,70865.19
2018-06-19,0.0418,0.04247,0.03775,0.04247,1448700,60555.66
2018-06-20,0.04868,0.04868,0.03922,0.04192,2232900,108697.57
2018-06-21,0.05377,0.06116,0.04167,0.04839,3757000,202013.89
2018-06-22,0.04236,0.04841,0.04236,0.04841,3169400,134255.78
2018-06-23,0.04255,0.04502,0.03762,0.04317,215300,9161.02
2018-06-24,0.04495,0.04495,0.03941,0.04249,196500,8832.67
2018-06-25,0.05384,0.05509,0.04257,0.0457,6377100,343343.06
2018-06-26,0.0554,0.07671,0.04688,0.05236,11354100,629017.14
2018-06-27,0.05527,0.06879,0.05159,0.05589,9374900,518150.72
2018-06-28,0.03992,0.05343,0.0364,0.05284,8785200,350705.18
2018-06-29,0.0397,0.04219,0.03722,0.04219,3765300,149482.41
2018-06-30,0.03959,0.04087,0.03831,0.04087,600000,23754.0
2018-07-01,0.0393,0.04057,0.0393,0.0393,344200,13527.06
2018-07-02,0.043,0.04631,0.04102,0.04102,2467100,106085.3
2018-07-03,0.03841,0.04492,0.03841,0.04231,2040900,78390.97
2018-07-04,0.03097,0.0402,0.03097,0.03888,3994700,123715.86
2018-07-05,0.03137,0.03333,0.02941,0.03071,1731800,54326.57
2018-07-06,0.03103,0.03235,0.02905,0.03169,2787100,86483.71
2018-07-07,0.03379,0.03379,0.03041,0.03176,187600,6339.0
2018-07-08,0.03152,0.03354,0.02951,0.03354,85200,2685.5
2018-07-09,0.02934,0.03334,0.02934,0.03134,1666900,48906.85
2018-07-10,0.02838,0.0309,0.02712,0.02775,1158800,32886.74
2018-07-11,0.03005,0.03133,0.02814,0.02877,951400,28589.57
2018-07-12,0.02814,0.03002,0.02752,0.02939,1638700,46113.02
2018-07-13,0.02866,0.02928,0.02741,0.02803,1051300,30130.26
2018-07-14,0.02946,0.03009,0.02821,0.02884,45300,1334.54
2018-07-15,0.02928,0.03055,0.02864,0.02991,119000,3484.32
2018-07-16,0.03303,0.03707,0.03101,0.03101,2968500,98049.56
2018-07-17,0.03883,0.03956,0.0359,0.0359,1242200,48234.63
2018-07-18,0.03913,0.03913,0.03692,0.03913,711100,27825.34
2018-07-19,0.03589,0.03963,0.0344,0.03963,2133900,76585.67
2018-07-20,0.03447,0.03667,0.03227,0.0352,1624000,55979.28
2018-07-21,0.03258,0.03481,0.03036,0.03481,337200,10985.98
2018-07-22,0.03255,0.03255,0.03033,0.03255,119200,3879.96
