time,close,high,low,open,volumefrom,volumeto
2015-01-29,0.03042,0.03276,0.03042,0.03276,17512.66,532.74
2015-01-30,0.03014,0.0309,0.02863,0.03014,91152.45,2747.33
2015-01-31,0.02865,0.02865,0.02747,0.02841,10567.7,302.76
2015-02-01,0.02942,0.03021,0.02929,0.02954,7285.74,214.35
2015-02-02,0.03256,0.03463,0.03105,0.0312,304152.8,9903.22
2015-02-03,0.03184,0.03418,0.02899,0.031,527957.93,16810.18
2015-02-04,0.03213,0.03217,0.03036,0.03172,20681.1,664.48
2015-02-05,0.02988,0.03075,0.02795,0.0307,31582.81,943.69
2015-02-06,0.02907,0.0303,0.02883,0.03077,1682.54,48.91
2015-02-07,0.03021,0.03074,0.0296,0.02969,9032.97,272.89
2015-02-08,0.02979,0.0302,0.02968,0.02968,15195.4,452.67
2015-02-09,0.02975,0.02975,0.02827,0.02935,23304.16,693.3
2015-02-10,0.02834,0.02966,0.02823,0.02966,5720.45,162.12
2015-02-11,0.02904,0.02954,0.02816,0.02823,5282.93,153.42
2015-02-12,0.02994,0.02994,0.02872,0.02943,4955.39,148.36
2015-02-13,0.03143,0.03188,0.02999,0.03188,2839.45,89.24
2015-02-14,0.03595,0.03595,0.03365,0.03442,24725.79,888.89
2015-02-15,0.0314,0.03242,0.03009,0.03242,7513.61,235.93
2015-02-16,0.03035,0.03262,0.03035,0.03174,11360.6,344.79
2015-02-17,0.02984,0.03244,0.02921,0.0313,5968.28,178.09
2015-02-18,0.02989,0.03199,0.02839,0.02886,14843.59,443.67
2015-02-19,0.03234,0.03261,0.02988,0.03075,4228.34,136.74
2015-02-20,0.03186,0.03277,0.0313,0.03269,20369.58,648.97
2015-02-21,0.03055,0.03214,0.03055,0.03185,10611.26,324.17
2015-02-22,0.02775,0.03076,0.02593,0.02947,49829.39,1382.77
2015-02-23,0.02914,0.02921,0.02412,0.02811,32344.88,942.53
2015-02-24,0.03079,0.03237,0.02697,0.02914,16592.79,510.89
2015-02-25,0.02706,0.03083,0.02701,0.03059,11214.74,303.47
2015-02-26,0.02874,0.02874,0.02696,0.02696,9781.08,281.11
2015-02-27,0.03064,0.03168,0.02915,0.0308,69002.07,2114.22
2015-02-28,0.03105,0.03303,0.02922,0.03072,175304.07,5443.19
2015-03-01,0.03046,0.03397,0.02966,0.03152,46961.76,1430.46
2015-03-02,0.03151,0.03444,0.03151,0.03233,67937.84,2140.72
2015-03-03,0.0316,0.03396,0.0316,0.0323,84239.24,2661.96
2015-03-04,0.03209,0.03271,0.02991,0.03062,64730.16,2077.19
2015-03-05,0.03138,0.03248,0.02581,0.03248,422391.65,13254.65
