time,close,high,low,open,volumefrom,volumeto
2017-10-12,1.63,2.27,1.63,2.0,101403.0,165286.89
2017-10-13,1.45,1.75,1.27,1.69,146762.0,212804.9
2017-10-14,1.73,2.04,1.42,1.5,126230.0,218377.9
2017-10-15,1.68,1.79,1.41,1.69,57608.0,96781.44
2017-10-16,1.57,1.7,1.5,1.7,50488.0,79266.16
2017-10-17,1.48,1.53,1.46,1.53,48341.0,71544.68
2017-10-18,1.44,1.54,1.44,1.51,60643.0,87325.92
2017-10-19,1.45,1.51,1.42,1.47,51119.0,74122.55
2017-10-20,1.34,1.62,1.34,1.52,79216.0,106149.44
2017-10-21,1.24,1.34,1.13,1.34,144113.0,178700.12
2017-10-22,1.26,1.34,1.14,1.24,80934.0,101976.84
2017-10-23,1.2,1.24,1.13,1.24,46098.0,55317.6
2017-10-24,1.27,1.34,1.1,1.12,114978.0,146022.06
2017-10-25,1.3,1.35,1.26,1.32,32794.0,42632.2
2017-10-26,1.31,1.37,1.22,1.34,38959.0,51036.29
2017-10-27,1.31,1.33,1.24,1.28,35459.0,46451.29
2017-10-28,1.27,1.32,1.26,1.31,32607.0,41410.89
2017-10-29,1.35,1.91,1.23,1.4,283164.0,382271.4
2017-10-30,1.5,1.67,1.35,1.35,84777.0,127165.5
2017-10-31,1.44,1.68,1.44,1.58,65149.0,93814.56
2017-11-01,1.3,1.55,1.25,1.5,93907.0,122079.1
2017-11-02,1.34,1.55,1.21,1.36,122481.0,164124.54
2017-11-03,1.68,1.76,1.36,1.36,139050.0,233604.0
2017-11-04,1.88,2.08,1.73,1.73,211281.0,397208.28
2017-11-05,1.66,1.89,1.59,1.88,118801.0,197209.66
2017-11-06,1.67,1.69,1.47,1.57,163766.0,273489.22
2017-11-07,1.57,1.7,1.51,1.7,162622.0,255316.54
2017-11-08,1.63,1.67,1.43,1.6,267632.0,436240.16
2017-11-09,1.69,1.85,1.5,1.57,283168.0,478553.92
2017-11-10,1.35,1.59,1.28,1.56,434455.0,586514.25
2017-11-11,1.27,1.42,1.27,1.3,415983.0,528298.41
2017-11-12,1.2,1.29,1.13,1.18,659385.0,791262.0
2017-11-13,1.25,1.43,1.19,1.31,541691.0,677113.75
2017-11-14,1.35,1.42,1.22,1.26,497810.0,672043.5
2017-11-15,1.3,1.51,1.17,1.49,441228.0,573596.4
2017-11-16,1.25,1.41,1.18,1.41,461752.0,577190.0
2017-11-17,1.24,1.29,1.1,1.19,497084.0,616384.16
2017-11-18,1.33,1.37,1.22,1.26,353328.0,469926.24
2017-11-19,1.32,1.57,1.27,1.38,494657.0,652947.24
2017-11-20,1.54,1.61,1.32,1.32,737394.0,1135586.76
2017-11-21,1.93,2.23,1.45,1.52,2421872.0,4674212.96
2017-11-22,1.98,2.17,1.77,1.96,1728783.0,3422990.34
2017-11-23,1.85,2.04,1.64,1.91,1542718.0,2854028.3
2017-11-24,2.0,2.06,1.61,1.89,921334.0,1842668.0
2017-11-25,1.91,2.18,1.82,2.14,851140.0,1625677.4
2017-11-26,1.95,2.14,1.87,2.0,933880.0,1821066.0
2017-11-27,1.85,2.08,1.79,2.03,672437.0,1244008.45
2017-11-28,1.57,1.88,1.54,1.88,684977.0,1075413.89
2017-11-29,1.36,1.58,1.23,1.56,765657.0,1041293.52
2017-11-30,1.4,1.49,1.25,1.37,527034.0,737847.6
2017-12-01,1.41,1.55,1.39,1.52,534517.0,753668.97
2017-12-02,1.33,1.45,1.25,1.42,423026.0,562624.58
2017-12-03,1.51,1.69,1.35,1.37,504988.0,762531.88
2017-12-04,1.43,1.64,1.37,1.56,459163.0,656603.09
2017-12-05,1.42,1.55,1.31,1.43,615658.0,874234.36
2017-12-06,1.43,1.69,1.38,1.67,695604.0,994713.72
2017-12-07,1.32,2.22,1.31,1.75,1153535.0,1522666.2
2017-12-08,1.37,1.56,1.06,1.26,510944.0,699993.28
2017-12-09,1.42,1.56,1.27,1.27,589603.0,837236.26
2017-12-10,1.32,1.54,1.27,1.44,441118.0,582275.76
2017-12-11,1.46,1.49,1.36,1.47,409076.0,597250.96
2017-12-12,1.68,1.8,1.24,1.5,845665.0,1420717.2
2017-12-13,1.39,1.61,1.29,1.6,479390.0,666352.1
2017-12-14,1.55,1.6,1.24,1.4,793217.0,1229486.35
2017-12-15,1.39,1.67,1.29,1.66,704460.0,979199.4
2017-12-16,1.74,1.88,1.52,1.53,953002.0,1658223.48
2017-12-17,1.92,2.35,1.64,1.72,1497421.0,2875048.32
2017-12-18,2.28,2.37,1.71,1.91,1206005.0,2749691.4
