time,close,high,low,open,volumefrom,volumeto
2019-03-06,0.0203,0.02081,0.01984,0.01988,6212313.97,126109.97
2019-03-07,0.02151,0.02403,0.01968,0.02034,198586819.47,4271602.49
2019-03-08,0.02124,0.02305,0.01895,0.02143,201207773.9,4273653.12
2019-03-09,0.02353,0.02369,0.01978,0.02167,181137834.5,4262173.25
2019-03-10,0.02275,0.02381,0.02059,0.02342,128349970.62,2919961.83
2019-03-11,0.02189,0.0229,0.02081,0.02244,108800373.48,2381640.18
2019-03-12,0.01952,0.02224,0.01505,0.02197,168045385.79,3280245.93
2019-03-13,0.019,0.01959,0.01699,0.01947,89900281.71,1708105.35
2019-03-14,0.02212,0.0281,0.01863,0.01902,423939794.28,9377548.25
2019-03-15,0.02337,0.0271,0.02187,0.02238,181128056.43,4232962.68
2019-03-16,0.02239,0.02456,0.0211,0.02396,104615581.55,2342342.87
2019-03-17,0.02355,0.02463,0.02139,0.02223,83394041.6,1963929.68
2019-03-18,0.02429,0.02489,0.02262,0.02349,139895345.5,3398057.94
2019-03-19,0.02712,0.02913,0.02435,0.02451,160054270.36,4340671.81
2019-03-20,0.02775,0.03022,0.02604,0.02734,143779391.9,3989878.13
2019-03-21,0.0265,0.0275,0.02402,0.02734,91906156.73,2435513.15
2019-03-22,0.02605,0.02669,0.02497,0.02653,65419306.63,1704172.94
2019-03-23,0.02452,0.02609,0.02396,0.02609,66321435.5,1626201.6
2019-03-24,0.02476,0.0264,0.02404,0.02444,67710472.28,1676511.29
2019-03-25,0.02457,0.02567,0.02198,0.02433,80102939.5,1968129.22
2019-03-26,0.02397,0.02547,0.02263,0.02468,64346230.27,1542379.14
2019-03-27,0.0265,0.02824,0.02415,0.0246,170780806.42,4525691.37
2019-03-28,0.02579,0.02749,0.02499,0.02644,59547591.19,1535732.38
2019-03-29,0.02553,0.02701,0.02553,0.02627,44091165.06,1125647.44
2019-03-30,0.02599,0.02623,0.02463,0.02557,40939940.7,1064029.06
2019-03-31,0.02509,0.02644,0.02472,0.02595,42334053.62,1062161.41
2019-04-01,0.02557,0.02611,0.02495,0.02532,82676003.25,2114025.4
2019-04-02,0.02483,0.03072,0.02385,0.03023,81531614.33,2024429.98
2019-04-03,0.02414,0.02717,0.02329,0.02518,71434791.64,1724435.87
2019-04-04,0.02349,0.02525,0.02285,0.02383,58663089.71,1377995.98
2019-04-05,0.02458,0.027,0.02372,0.02413,49880861.03,1226071.56
2019-04-06,0.02382,0.02513,0.02175,0.02463,46508678.12,1107836.71
2019-04-07,0.02309,0.0245,0.02294,0.0245,34632826.55,799671.97
2019-04-08,0.02261,0.02435,0.02171,0.02351,37740630.19,853315.65
2019-04-09,0.02382,0.02476,0.02107,0.02221,43159960.87,1028070.27
2019-04-10,0.02372,0.02505,0.02319,0.02436,27668529.73,656297.53
2019-04-11,0.02262,0.02322,0.02019,0.02252,36681644.36,829738.8
2019-04-12,0.02459,0.02586,0.0216,0.02277,60755412.86,1493975.6
2019-04-13,0.02479,0.02515,0.02317,0.02459,31047714.7,769672.85
2019-04-14,0.02412,0.02583,0.02381,0.02521,31561293.28,761258.39
2019-04-15,0.02463,0.02483,0.02337,0.02352,57567103.69,1417877.76
2019-04-16,0.0246,0.02575,0.02387,0.02549,37003003.0,910273.87
2019-04-17,0.02419,0.02487,0.02314,0.02472,45731797.01,1106252.17
2019-04-18,0.02433,0.02497,0.02264,0.02444,53636837.29,1304984.25
2019-04-19,0.02399,0.02468,0.02346,0.02436,53298052.18,1278620.27
2019-04-20,0.02434,0.02509,0.02338,0.02413,52246123.14,1271670.64
2019-04-21,0.02462,0.02504,0.02345,0.02425,54824284.55,1349773.89
2019-04-22,0.02568,0.02832,0.0239,0.02503,94536087.32,2427686.72
2019-04-23,0.02526,0.02886,0.02498,0.02637,118996755.45,3005858.04
2019-04-24,0.02373,0.02618,0.02264,0.02487,70775347.16,1679498.99
2019-04-25,0.02235,0.02426,0.02158,0.02246,64110333.35,1432865.95
2019-04-26,0.02272,0.02303,0.02204,0.02266,33625633.23,763974.39
2019-04-27,0.02233,0.02285,0.02196,0.0227,21920065.47,489475.06
2019-04-28,0.02209,0.02304,0.02083,0.02251,30201597.25,667153.28
2019-04-29,0.02111,0.022,0.02038,0.02195,45466576.52,959799.43
2019-04-30,0.02044,0.02178,0.01942,0.02156,43695196.9,893129.82
2019-05-01,0.01978,0.02194,0.01908,0.02059,37552678.67,742791.98
2019-05-02,0.01942,0.02107,0.01881,0.02019,40822829.41,792779.35
2019-05-03,0.01876,0.02054,0.01772,0.02031,48593534.6,911614.71
2019-05-04,0.01945,0.02027,0.01834,0.01904,24175230.38,470208.23
2019-05-05,0.01993,0.02057,0.01895,0.01929,49205107.44,980657.79
2019-05-06,0.0192,0.02012,0.01903,0.01977,45721641.03,877855.51
2019-05-07,0.01769,0.02014,0.01682,0.01944,29658213.73,524653.8
2019-05-08,0.01692,0.01878,0.01638,0.01824,53886963.44,911767.42
2019-05-09,0.01549,0.01802,0.01543,0.0174,53694708.44,831731.03
2019-05-10,0.01539,0.01691,0.01386,0.01596,52109548.29,801965.95
2019-05-11,0.01575,0.01798,0.01525,0.0174,45901574.57,722949.8
2019-05-12,0.01591,0.0171,0.01409,0.01528,34994033.26,556755.07
2019-05-13,0.016,0.01889,0.01546,0.0178,77396240.68,1238339.85
2019-05-14,0.01676,0.01724,0.01524,0.01636,27301684.43,457576.23
2019-05-15,0.01858,0.0189,0.01637,0.01719,30555988.15,567730.26
2019-05-16,0.01732,0.01819,0.01606,0.01787,40973746.63,709665.29
2019-05-17,0.0171,0.01909,0.01504,0.01622,39122490.62,668994.59
2019-05-18,0.01693,0.01715,0.01613,0.01686,10875437.52,184121.16
2019-05-19,0.02073,0.02073,0.01819,0.01909,25885630.96,536609.13
2019-05-20,0.02168,0.02184,0.0188,0.02024,37633027.36,815884.03
2019-05-21,0.02345,0.02583,0.02146,0.02154,131285702.94,3078649.73
2019-05-22,0.0251,0.02649,0.02319,0.02319,91240027.37,2280088.28
