time,close,high,low,open,volumefrom,volumeto
2019-03-04,0.0301,0.03224,0.02718,0.03014,1028223.27,30949.52
2019-03-05,0.03302,0.03673,0.02799,0.03284,4498911.59,148554.06
2019-03-06,0.03336,0.04131,0.03117,0.03315,3556589.72,118647.83
2019-03-07,0.03368,0.03443,0.03204,0.03316,2644902.75,89080.32
2019-03-08,0.0323,0.03385,0.03144,0.03289,1760335.35,56858.83
2019-03-09,0.03228,0.03397,0.03105,0.03322,2178424.14,70319.53
2019-03-10,0.03183,0.04546,0.02937,0.03184,2014334.7,64116.27
2019-03-11,0.03515,0.0399,0.03034,0.03117,2090858.52,73493.68
2019-03-12,0.04124,0.0479,0.03154,0.03537,3280827.19,135301.31
2019-03-13,0.04595,0.04964,0.03795,0.0408,5536440.43,254399.44
2019-03-14,0.04804,0.04917,0.0412,0.04594,4402620.42,211501.88
2019-03-15,0.0499,0.05092,0.04692,0.04975,4442274.51,221669.5
2019-03-16,0.05849,0.07367,0.05108,0.05137,5276487.46,308621.75
2019-03-17,0.05986,0.06565,0.05376,0.05768,4603876.39,275588.04
2019-03-18,0.05597,0.06925,0.05402,0.05933,4300093.24,240676.22
2019-03-19,0.06384,0.06574,0.05369,0.05636,3644076.34,232637.83
2019-03-20,0.06617,0.0668,0.05593,0.06419,4266767.51,282332.01
2019-03-21,0.06207,0.06675,0.05731,0.06399,5282222.95,327867.58
2019-03-22,0.07479,0.07516,0.06168,0.0626,7273471.97,543982.97
2019-03-23,0.081,0.08934,0.07463,0.07533,4405381.19,356835.88
2019-03-24,0.08633,0.08663,0.07956,0.08011,9668997.19,834724.53
2019-03-25,0.08048,0.08573,0.0789,0.0849,6640181.18,534401.78
2019-03-26,0.08862,0.094,0.07681,0.08068,10468455.66,927714.54
2019-03-27,0.09046,0.09311,0.08864,0.09254,13950643.74,1261975.23
2019-03-28,0.1007,0.1117,0.08921,0.08928,3558536.71,358344.65
2019-03-29,0.09762,0.1051,0.07943,0.1051,3580225.76,349501.64
2019-03-30,0.1003,0.1042,0.08991,0.09686,2844130.29,285266.27
2019-03-31,0.09065,0.1042,0.08396,0.09965,2209609.59,200301.11
2019-04-01,0.08866,0.1038,0.08227,0.0903,2491977.65,220938.74
2019-04-02,0.08578,0.1058,0.08576,0.1031,2644615.75,226855.14
2019-04-03,0.07371,0.08789,0.0632,0.08383,3120372.67,230002.67
2019-04-04,0.06372,0.07462,0.06321,0.07229,2079420.12,132500.65
2019-04-05,0.07245,0.07953,0.0624,0.06707,1933737.93,140099.31
2019-04-06,0.06861,0.08053,0.06656,0.0724,4945895.86,339337.91
2019-04-07,0.07086,0.0857,0.06905,0.07244,2942994.43,208540.59
2019-04-08,0.07581,0.07807,0.0679,0.07308,4242584.36,321630.32
2019-04-09,0.07509,0.07845,0.07008,0.07382,3917027.21,294129.57
2019-04-10,0.07326,0.07628,0.06652,0.07555,2718936.58,199189.29
2019-04-11,0.06694,0.07082,0.05866,0.06824,2739168.09,183359.91
2019-04-12,0.06441,0.0706,0.06255,0.06666,1049939.71,67626.62
2019-04-13,0.06647,0.06948,0.06351,0.0644,2149473.63,142875.51
2019-04-14,0.06708,0.06966,0.05988,0.06815,1713790.8,114961.09
2019-04-15,0.06281,0.06628,0.05933,0.06375,1148686.19,72148.98
2019-04-16,0.06065,0.06539,0.06027,0.06539,1860709.39,112852.02
2019-04-17,0.05528,0.06098,0.05528,0.0607,1825730.35,100926.37
2019-04-18,0.06418,0.06713,0.05615,0.05779,1370268.7,87943.85
2019-04-19,0.05877,0.06455,0.05678,0.06401,1365087.1,80226.17
2019-04-20,0.0576,0.05934,0.05393,0.05871,1835231.72,105709.35
2019-04-21,0.04699,0.0578,0.03917,0.05639,2655114.52,124763.83
2019-04-22,0.04566,0.05633,0.0191,0.04743,2611234.46,119228.97
2019-04-23,0.04441,0.04847,0.04113,0.04533,1755409.28,77957.73
2019-04-24,0.0408,0.04467,0.03356,0.04321,2335057.29,95270.34
2019-04-25,0.03647,0.04001,0.03341,0.03759,2022450.56,73758.77
2019-04-26,0.03656,0.04015,0.03598,0.0373,1722212.17,62964.08
2019-04-27,0.03573,0.03816,0.03327,0.03701,2642163.44,94404.5
2019-04-28,0.036,0.03716,0.03273,0.03588,2421613.36,87178.08
2019-04-29,0.04524,0.04544,0.03339,0.03569,3839447.23,173696.59
2019-04-30,0.04231,0.06099,0.0359,0.04746,4115522.15,174127.74
2019-05-01,0.04412,0.05989,0.04145,0.04155,3466877.75,152958.65
2019-05-02,0.04382,0.04511,0.04295,0.04408,2765605.7,121188.84
2019-05-03,0.04494,0.04652,0.04366,0.04571,3050399.2,137084.94
2019-05-04,0.03791,0.04408,0.03709,0.0437,3445818.96,130631.0
2019-05-05,0.03913,0.0403,0.03443,0.03798,6033455.59,236089.12
2019-05-06,0.03917,0.04242,0.03729,0.04146,7733574.47,302924.11
2019-05-07,0.03707,0.03817,0.03389,0.03802,2602575.96,96477.49
2019-05-08,0.03557,0.03797,0.033,0.0377,2328907.67,82839.25
2019-05-09,0.03557,0.03701,0.03361,0.03545,2402526.14,85457.85
2019-05-10,0.03469,0.03771,0.0345,0.03591,10065361.97,349167.41
2019-05-11,0.03641,0.04037,0.03472,0.0387,5545517.64,201912.3
2019-05-12,0.03262,0.03641,0.03106,0.0356,6841789.13,223179.16
2019-05-13,0.0327,0.03766,0.03233,0.03396,7645735.75,250015.56
2019-05-14,0.02975,0.03892,0.02953,0.03627,6821638.6,202943.75
2019-05-15,0.03429,0.03976,0.03309,0.03406,7463978.11,255939.81
2019-05-16,0.03208,0.03671,0.032,0.03647,7996023.6,256512.44
2019-05-17,0.03029,0.03915,0.02963,0.0297,8115108.58,245806.64
2019-05-18,0.03137,0.03392,0.02854,0.02894,8106243.8,254292.87
2019-05-19,0.03248,0.03634,0.03196,0.03499,9579181.3,311131.81
2019-05-20,0.03058,0.03328,0.03035,0.03139,7636215.04,233515.46
2019-05-21,0.03192,0.03539,0.03059,0.03092,3119561.97,99576.42
2019-05-22,0.03089,0.03257,0.03039,0.03171,1684258.16,51942.52
