time,close,high,low,open,volumefrom,volumeto
2018-09-03,0.09793,0.2152,0.09793,0.1818,874662.97,85655.74
2018-09-04,0.0936,0.1467,0.08107,0.09927,634796.25,59416.93
2018-09-05,0.1042,0.124,0.07912,0.08515,399569.73,41635.17
2018-09-06,0.08809,0.1723,0.08802,0.1012,69275.47,6102.48
2018-09-07,0.07053,0.1026,0.03206,0.08669,3451938.7,243465.24
2018-09-08,0.0682,0.07874,0.0682,0.0682,6443.77,439.47
2018-09-09,0.06874,0.07861,0.06874,0.06874,191.68,13.18
2018-09-10,0.06318,0.08854,0.06305,0.06957,37400.6,2362.97
2018-09-11,0.06264,0.07618,0.06264,0.06289,3529386.44,221080.77
2018-09-12,0.0507,0.06895,0.0507,0.06305,4291105.35,217559.04
2018-09-13,0.06167,0.06946,0.03246,0.05194,1926592.05,118812.93
2018-09-14,0.06032,0.0648,0.05221,0.06162,2136213.8,128856.42
2018-09-15,0.0587,0.06079,0.0587,0.06066,195079.8,11451.18
2018-09-16,0.04987,0.06307,0.04987,0.05852,2.0,0.09974
2018-09-17,0.05166,0.05923,0.04803,0.04803,1406787.85,72674.66
2018-09-18,0.05521,0.05902,0.05236,0.05236,2363445.66,130485.83
2018-09-19,0.06015,0.06335,0.05445,0.05567,2093285.11,125911.1
2018-09-20,0.05888,0.06304,0.05855,0.06116,2119110.71,124773.24
2018-09-21,0.07743,0.08338,0.06086,0.0612,2853456.45,220943.13
2018-09-22,0.06045,0.07691,0.06045,0.07691,40.0,2.42
2018-09-23,0.06032,0.06032,0.06032,0.06032,0.0,0.0
2018-09-24,0.05952,0.05952,0.05925,0.05925,97.22,5.79
2018-09-25,0.05472,0.0582,0.05472,0.0582,44416.59,2430.48
2018-09-26,0.05493,0.05493,0.05493,0.05493,0.0,0.0
2018-09-27,0.05583,0.07629,0.05356,0.05683,2327694.49,129955.18
2018-09-28,0.06337,0.07491,0.05514,0.05541,2350473.55,148949.51
2018-09-29,0.05488,0.06307,0.05488,0.06307,29198.89,1602.44
2018-09-30,0.06299,0.06299,0.05504,0.05504,1.0,0.06299
2018-10-01,0.05421,0.07301,0.05289,0.06272,1906437.81,103347.99
2018-10-02,0.06069,0.06167,0.05364,0.05364,2448107.07,148575.62
2018-10-03,0.05194,0.06135,0.03246,0.06038,112946.89,5866.46
2018-10-04,0.05126,0.05974,0.03303,0.05264,2073596.49,106292.56
2018-10-05,0.04,0.05658,0.03953,0.05167,1958344.64,78333.79
2018-10-06,0.04745,0.04745,0.03914,0.03974,113114.12,5367.26
2018-10-07,0.04832,0.05103,0.04139,0.04753,172809.74,8350.17
2018-10-08,0.05194,0.0532,0.0401,0.04868,1961869.05,101899.48
2018-10-09,0.04649,0.05199,0.04649,0.05179,2.0,0.09298
2018-10-10,0.03935,0.04692,0.03935,0.04613,138308.13,5442.42
2018-10-11,0.03962,0.04657,0.03601,0.03713,1751012.99,69375.13
2018-10-12,0.04944,0.04944,0.03644,0.03988,2292781.85,113355.13
2018-10-13,0.04826,0.0497,0.03955,0.04957,57124.07,2756.81
2018-10-14,0.0452,0.04834,0.0452,0.04834,38301.69,1731.24
2018-10-15,0.05131,0.05144,0.03934,0.04761,2437410.92,125063.55
2018-10-16,0.04595,0.05161,0.04424,0.05108,2115363.62,97200.96
2018-10-17,0.04056,0.05141,0.04056,0.04589,2027441.87,82233.04
2018-10-18,0.04737,0.04867,0.04004,0.04004,2165103.6,102560.96
2018-10-19,0.04632,0.04723,0.04464,0.04723,2373205.39,109926.87
2018-10-20,0.04206,0.04647,0.04206,0.04647,20561.07,864.8
2018-10-21,0.04824,0.04824,0.04218,0.04218,55436.79,2674.27
2018-10-22,0.04992,0.05141,0.04234,0.04804,2212497.09,110447.85
2018-10-23,0.04419,0.05137,0.04419,0.04982,2143463.06,94719.63
2018-10-24,0.04643,0.05162,0.04423,0.04423,2171161.38,100807.02
2018-10-25,0.04569,0.05067,0.04543,0.04634,2040551.59,93232.8
2018-10-26,0.04966,0.05037,0.04507,0.04565,2335177.81,115964.93
2018-10-27,0.04484,0.04976,0.04471,0.04976,2384.32,106.91
2018-10-28,0.04497,0.04982,0.04484,0.04484,8281.53,372.42
2018-10-29,0.04906,0.05007,0.04388,0.04388,2078094.27,101951.3
2018-10-30,0.04732,0.05009,0.04574,0.04902,2073893.42,98136.64
2018-10-31,0.05036,0.05061,0.04757,0.04757,2174388.95,109502.23
2018-11-01,0.05092,0.05092,0.04595,0.05067,2107682.65,107323.2
2018-11-02,0.04988,0.05186,0.04796,0.05103,2072753.47,103388.94
2018-11-03,0.04897,0.04974,0.04891,0.04974,10011.81,490.28
2018-11-04,0.04527,0.04967,0.04158,0.04967,246.31,11.15
2018-11-05,0.05308,0.05327,0.04504,0.04504,2165026.57,114919.61
2018-11-06,0.05346,0.05346,0.05346,0.05346,0.0,0.0
2018-11-07,0.05387,0.05387,0.05387,0.05387,0.0,0.0
2018-11-08,0.05318,0.05318,0.05318,0.05318,0.0,0.0
2018-11-09,0.05262,0.05262,0.05262,0.05262,0.0,0.0
2018-11-10,0.05277,0.05277,0.05277,0.05277,0.0,0.0
2018-11-11,0.05287,0.05287,0.05287,0.05287,0.0,0.0
2018-11-12,0.05259,0.05259,0.05259,0.05259,0.0,0.0
2018-11-13,0.0523,0.0523,0.0523,0.0523,0.0,0.0
2018-11-14,0.04737,0.04737,0.04737,0.04737,0.0,0.0
2018-11-15,0.04659,0.04659,0.04659,0.04659,0.0,0.0
2018-11-16,0.04609,0.04609,0.04609,0.04609,0.0,0.0
2018-11-17,0.04594,0.04594,0.04594,0.04594,0.0,0.0
2018-11-18,0.04633,0.04633,0.04633,0.04633,0.0,0.0
2018-11-19,0.03968,0.03968,0.03968,0.03968,0.0,0.0
2018-11-20,0.03664,0.03664,0.03664,0.03664,0.0,0.0
2018-11-21,0.03789,0.03789,0.03789,0.03789,0.0,0.0
2018-11-22,0.03565,0.03565,0.03565,0.03565,0.0,0.0
2018-11-23,0.03583,0.03583,0.03583,0.03583,0.0,0.0
2018-11-24,0.0318,0.0318,0.0318,0.0318,0.0,0.0
2018-11-25,0.03303,0.03303,0.03303,0.03303,0.0,0.0
2018-11-26,0.03122,0.03122,0.03122,0.03122,0.0,0.0
2018-11-27,0.03154,0.03154,0.03154,0.03154,0.0,0.0
2018-11-28,0.03517,0.03517,0.03517,0.03517,0.0,0.0
2018-11-29,0.03537,0.03537,0.03537,0.03537,0.0,0.0
2018-11-30,0.03308,0.03308,0.03308,0.03308,0.0,0.0
2018-12-01,0.03463,0.03463,0.03463,0.03463,0.0,0.0
2018-12-02,0.03419,0.03419,0.03419,0.03419,0.0,0.0
2018-12-03,0.03194,0.03194,0.03194,0.03194,0.0,0.0
2018-12-04,0.03257,0.03257,0.03257,0.03257,0.0,0.0
2018-12-05,0.03083,0.03083,0.03083,0.03083,0.0,0.0
2018-12-06,0.02875,0.02875,0.02875,0.02875,0.0,0.0
2018-12-07,0.02822,0.02822,0.02822,0.02822,0.0,0.0
2018-12-08,0.02855,0.02855,0.02855,0.02855,0.0,0.0
2018-12-09,0.02964,0.02964,0.02964,0.02964,0.0,0.0
2018-12-10,0.0286,0.0286,0.0286,0.0286,0.0,0.0
2018-12-11,0.02806,0.02806,0.02806,0.02806,0.0,0.0
2018-12-12,0.02876,0.02876,0.02876,0.02876,0.0,0.0
2018-12-13,0.02727,0.02727,0.02727,0.02727,0.0,0.0
2018-12-14,0.02669,0.02669,0.02669,0.02669,0.0,0.0
2018-12-15,0.02667,0.02667,0.02667,0.02667,0.0,0.0
2018-12-16,0.02686,0.02686,0.02686,0.02686,0.0,0.0
2018-12-17,0.02927,0.02927,0.02927,0.02927,0.0,0.0
2018-12-18,0.03066,0.03066,0.03066,0.03066,0.0,0.0
2018-12-19,0.03083,0.03083,0.03083,0.03083,0.0,0.0
2018-12-20,0.03414,0.03414,0.03414,0.03414,0.0,0.0
2018-12-21,0.03217,0.03217,0.03217,0.03217,0.0,0.0
2018-12-22,0.03337,0.03337,0.03337,0.03337,0.0,0.0
2018-12-23,0.03306,0.03306,0.03306,0.03306,0.0,0.0
2018-12-24,0.03368,0.03368,0.03368,0.03368,0.0,0.0
2018-12-25,0.03164,0.03164,0.03164,0.03164,0.0,0.0
2018-12-26,0.03175,0.03175,0.03175,0.03175,0.0,0.0
2018-12-27,0.03008,0.03008,0.03008,0.03008,0.0,0.0
2018-12-28,0.03257,0.03257,0.03257,0.03257,0.0,0.0
2018-12-29,0.03133,0.03133,0.03133,0.03133,0.0,0.0
2018-12-30,0.03214,0.03214,0.03214,0.03214,0.0,0.0
2018-12-31,0.03092,0.03092,0.03092,0.03092,0.0,0.0
2019-01-01,0.03201,0.03201,0.03201,0.03201,0.0,0.0
2019-01-02,0.03268,0.03268,0.03268,0.03268,0.0,0.0
2019-01-03,0.03165,0.03165,0.03165,0.03165,0.0,0.0
2019-01-04,0.03196,0.03196,0.03196,0.03196,0.0,0.0
2019-01-05,0.03181,0.03181,0.03181,0.03181,0.0,0.0
2019-01-06,0.03385,0.03385,0.03385,0.03385,0.0,0.0
2019-01-07,0.03342,0.03342,0.03342,0.03342,0.0,0.0
2019-01-08,0.03334,0.03334,0.03334,0.03334,0.0,0.0
2019-01-09,0.0334,0.0334,0.0334,0.0334,0.0,0.0
2019-01-10,0.03026,0.03026,0.03026,0.03026,0.0,0.0
2019-01-11,0.03027,0.03027,0.03027,0.03027,0.0,0.0
2019-01-12,0.03023,0.03023,0.03023,0.03023,0.0,0.0
2019-01-13,0.0293,0.0293,0.0293,0.0293,0.0,0.0
2019-01-14,0.03056,0.03056,0.03056,0.03056,0.0,0.0
2019-01-15,0.02988,0.02988,0.02988,0.02988,0.0,0.0
2019-01-16,0.03006,0.03006,0.03006,0.03006,0.0,0.0
