time,close,high,low,open,volumefrom,volumeto
2018-04-24,1.04,1.24,1.04,1.09,27401600.39,28497664.41
2018-04-25,0.8998,1.04,0.8526,0.9539,42218337.74,37988060.3
2018-04-26,1.34,1.84,0.903,0.9412,30603444.44,41008615.55
2018-04-27,1.27,1.3,1.18,1.29,22721512.63,28856321.04
2018-04-28,1.29,1.35,1.21,1.33,26111633.48,33684007.19
2018-04-29,1.21,1.29,1.16,1.29,16225137.86,19632416.81
2018-04-30,1.16,1.24,1.13,1.19,19846764.34,23022246.63
2018-05-01,1.12,1.15,1.07,1.13,29992701.29,33591825.44
2018-05-02,1.29,1.46,1.1,1.13,16711498.47,21557833.03
2018-05-03,1.4,1.56,1.31,1.34,13621447.97,19070027.16
2018-05-04,1.37,1.44,1.31,1.4,15348296.65,21027166.41
2018-05-05,1.4,1.56,1.27,1.39,10464053.42,14649674.79
2018-05-06,1.31,1.38,1.28,1.36,8531802.9,11176661.8
2018-05-07,1.22,1.29,1.15,1.28,17691891.41,21584107.52
2018-05-08,1.21,1.29,1.17,1.19,13464260.94,16291755.74
2018-05-09,1.18,1.25,1.17,1.23,6415125.8,7569848.44
2018-05-10,1.2,1.27,1.11,1.15,16315251.12,19578301.34
2018-05-11,1.24,1.25,1.07,1.11,17273273.0,21418858.52
2018-05-12,1.3,1.49,1.1,1.25,30257974.89,39335367.36
2018-05-13,1.21,1.37,1.18,1.33,16526200.52,19996702.63
2018-05-14,1.14,1.22,1.13,1.21,23106353.84,26341243.38
2018-05-15,0.9337,1.12,0.9006,1.11,15633472.39,14596973.17
2018-05-16,0.9221,0.988,0.8065,0.9188,7547324.71,6959388.12
2018-05-17,0.8362,0.8983,0.8184,0.8943,18202684.33,15221084.64
2018-05-18,0.7757,0.9155,0.7169,0.8553,17861940.34,13855507.12
2018-05-19,0.7435,0.7771,0.7177,0.7758,10801116.24,8030629.92
2018-05-20,0.7574,0.7882,0.7495,0.7676,13154455.67,9963184.72
2018-05-21,0.7152,0.7704,0.7077,0.7481,18978691.77,13573560.35
2018-05-22,0.6754,0.7116,0.6402,0.6782,16130468.67,10894518.54
2018-05-23,0.553,0.6526,0.5406,0.6336,9647153.38,5334875.82
2018-05-24,0.6164,0.6518,0.5568,0.5568,12194996.46,7516995.82
2018-05-25,0.6,0.6341,0.5747,0.6089,18104100.1,10862460.06
2018-05-26,0.5961,0.6053,0.5808,0.5939,8997523.81,5363423.94
2018-05-27,0.5877,0.6036,0.5595,0.5963,15704174.26,9229343.21
