time,close,high,low,open,volumefrom,volumeto
2017-03-16,29.11,30.49,18.21,28.17,15679.25,456422.97
2017-03-17,33.33,43.59,24.46,28.45,24941.82,831310.86
2017-03-18,25.85,30.49,22.55,25.48,11078.07,286368.11
2017-03-19,33.29,36.65,30.18,32.79,3679.89,122503.54
2017-03-20,31.84,33.58,28.98,32.82,2630.98,83770.4
2017-03-21,28.59,31.96,28.59,31.96,1835.13,52466.37
2017-03-22,28.33,29.15,26.24,27.91,3564.16,100972.65
2017-03-23,28.46,30.02,27.7,29.38,1064.57,30297.66
2017-03-24,26.6,35.07,26.6,35.04,2884.64,76731.42
2017-03-25,27.84,30.36,24.31,25.32,1634.29,45498.63
2017-03-26,26.99,30.37,24.31,27.85,2436.39,65758.17
2017-03-27,31.5,31.88,26.12,26.15,2356.39,74226.28
2017-03-28,30.75,32.66,30.65,32.26,1132.11,34812.38
2017-03-29,32.63,33.43,31.31,32.48,1917.98,62583.69
2017-03-30,32.34,32.57,30.16,31.91,1233.14,39879.75
2017-03-31,34.33,34.69,30.2,31.09,4127.71,141704.28
2017-04-01,38.39,41.06,34.11,34.8,3346.21,128461.0
2017-04-02,37.31,38.47,32.73,36.83,2820.43,105230.24
2017-04-03,34.95,37.03,33.2,33.91,1765.56,61706.32
2017-04-04,35.05,36.83,32.75,35.18,1727.98,60565.7
2017-04-05,33.37,35.48,30.99,35.42,1224.55,40863.23
2017-04-06,35.23,35.24,30.27,32.12,1265.56,44585.68
2017-04-07,33.65,34.49,31.25,34.48,1161.15,39072.7
2017-04-08,34.41,35.73,32.32,35.29,561.56,19323.28
2017-04-09,34.0,34.3,32.58,33.9,509.23,17313.82
2017-04-10,30.02,34.0,29.48,34.01,1648.13,49476.86
2017-04-11,28.86,30.68,26.37,30.02,1672.29,48262.29
2017-04-12,27.99,32.7,27.76,30.6,1065.55,29824.74
2017-04-13,28.56,31.44,27.0,30.16,1735.25,49558.74
2017-04-14,28.06,29.77,26.93,27.05,1227.65,34447.86
2017-04-15,28.89,30.82,27.94,28.99,1185.82,34258.34
2017-04-16,29.7,29.85,28.32,28.49,830.63,24669.71
2017-04-17,29.51,29.97,28.86,29.53,49.47,1459.86
2017-04-18,27.38,31.27,26.33,30.7,2367.57,64824.07
2017-04-19,26.37,26.62,25.1,26.28,1483.44,39118.31
2017-04-20,26.37,27.23,25.41,27.18,1294.59,34138.34
2017-04-21,24.19,25.72,20.96,25.79,2120.43,51293.2
2017-04-22,30.54,31.24,25.65,24.26,2296.46,70133.89
2017-04-23,30.03,31.2,29.58,30.75,1560.91,46874.13
2017-04-24,30.44,31.14,28.98,30.76,1294.17,39394.53
2017-04-25,31.26,31.97,30.01,30.53,2219.08,69368.44
2017-04-26,31.9,33.86,31.02,33.25,1673.37,53380.5
2017-04-27,33.17,38.48,32.17,37.81,3038.77,100796.0
2017-04-28,35.17,38.32,34.16,38.05,1947.0,68475.99
2017-04-29,36.37,37.53,31.37,33.92,1905.42,69300.13
2017-04-30,38.69,43.49,37.64,41.58,1728.41,66872.18
2017-05-01,38.18,38.83,35.21,37.58,2403.47,91764.48
2017-05-02,38.66,39.96,34.95,38.05,2910.48,112519.16
2017-05-03,42.86,43.41,37.6,40.23,2036.56,87286.96
2017-05-04,44.3,50.73,44.23,50.42,1980.59,87740.14
2017-05-05,42.55,44.94,40.78,42.54,2708.9,115263.7
2017-05-06,38.08,44.69,37.8,44.44,1812.99,69038.66
2017-05-07,39.1,42.09,34.08,36.33,2340.8,91525.28
2017-05-08,36.81,39.76,34.68,38.2,2242.27,82537.96
2017-05-09,32.2,38.12,31.81,35.93,3962.77,127601.19
2017-05-10,41.54,43.7,31.06,32.79,5202.68,216119.33
2017-05-11,42.44,43.97,36.14,41.72,1540.49,65378.4
2017-05-12,39.98,42.23,35.64,40.97,1951.03,78002.18
2017-05-13,39.06,41.54,38.66,41.3,1658.2,64769.29
2017-05-14,39.02,40.34,34.88,39.4,1275.7,49777.81
2017-05-15,37.02,39.76,33.25,39.72,1936.72,71697.37
