time,close,high,low,open,volumefrom,volumeto
2018-07-11,0.00486,0.004924,0.002494,0.003261,54594.23,265.33
2018-07-12,0.004753,0.004753,0.004753,0.004753,0.0,0.0
2018-07-13,0.004299,0.004735,0.003738,0.004735,3458.05,14.87
2018-07-14,0.004325,0.004325,0.004325,0.004325,0.0,0.0
2018-07-15,0.002482,0.004391,0.002482,0.004391,44489.48,110.42
2018-07-16,0.00209,0.002696,0.00209,0.002629,15542.52,32.48
2018-07-17,0.004249,0.004249,0.002271,0.002271,51271.07,217.85
2018-07-18,0.003323,0.01181,0.003323,0.004282,1674.71,5.57
2018-07-19,0.002243,0.003365,0.002243,0.003365,41794.87,93.75
2018-07-20,0.0022,0.0022,0.0022,0.0022,0.0,0.0
2018-07-21,0.005924,0.005924,0.002222,0.002222,62.5,0.3702
2018-07-22,0.00259,0.005919,0.00185,0.005919,100085.08,259.22
2018-07-23,0.002701,0.002701,0.002701,0.002701,18887.76,51.02
2018-07-24,0.006633,0.006633,0.002939,0.002939,3347.96,22.21
2018-07-25,0.006454,0.006454,0.006454,0.006454,0.0,0.0
2018-07-26,0.00627,0.00627,0.00627,0.00627,0.0,0.0
2018-07-27,0.001882,0.006464,0.001882,0.006464,3555.14,6.69
2018-07-28,0.001811,0.005597,0.001811,0.001893,23917.22,43.31
2018-07-29,0.001808,0.001808,0.001808,0.001808,0.0,0.0
2018-07-30,0.005723,0.005723,0.001799,0.001799,12272.51,70.24
2018-07-31,0.005415,0.005415,0.005415,0.005415,0.0,0.0
2018-08-01,0.001446,0.005328,0.001446,0.005328,28652.17,41.43
2018-08-02,0.00528,0.00528,0.001433,0.001433,14178.0,74.86
2018-08-03,0.005192,0.005192,0.005192,0.005192,0.0,0.0
2018-08-04,0.001404,0.004913,0.001404,0.004913,1649.85,2.32
2018-08-05,0.001408,0.001408,0.001408,0.001408,0.0,0.0
2018-08-06,0.001389,0.001389,0.001389,0.001389,0.0,0.0
2018-08-07,0.001345,0.001345,0.001345,0.001345,0.0,0.0
2018-08-08,0.004337,0.004337,0.001257,0.001257,72.79,0.3157
2018-08-09,0.004515,0.004515,0.004515,0.004515,0.0,0.0
2018-08-10,0.004246,0.004246,0.004246,0.004246,0.0,0.0
2018-08-11,0.001124,0.004307,0.0009988,0.004307,17040.97,19.15
2018-08-12,0.001138,0.001138,0.001138,0.001138,69.0,0.07852
2018-08-13,0.001441,0.001441,0.001127,0.001127,5035.96,7.26
2018-08-14,0.001426,0.001426,0.001426,0.001426,16.53,0.02357
2018-08-15,0.001443,0.001443,0.001443,0.001443,0.0,0.0
2018-08-16,0.004047,0.004047,0.001454,0.001454,8346.3,33.78
2018-08-17,0.002241,0.004218,0.002241,0.004218,6221.96,13.94
2018-08-18,0.002178,0.002178,0.002178,0.002178,0.0,0.0
2018-08-19,0.003251,0.003251,0.002211,0.002211,36570.42,118.89
2018-08-20,0.001442,0.00395,0.001379,0.003135,53811.02,77.6
2018-08-21,0.002272,0.002272,0.001493,0.001493,794.67,1.81
2018-08-22,0.002483,0.002483,0.002228,0.002228,168.89,0.4194
2018-08-23,0.001504,0.00255,0.001504,0.00255,7328.61,11.02
2018-08-24,0.002616,0.002616,0.001543,0.001543,530.39,1.39
2018-08-25,0.001485,0.002632,0.001485,0.002632,78355.7,116.36
2018-08-26,0.001546,0.002621,0.001479,0.001479,2182.65,3.37
2018-08-27,0.001591,0.001591,0.001591,0.001591,2211.05,3.52
2018-08-28,0.001631,0.001631,0.001631,0.001631,0.0,0.0
2018-08-29,0.002186,0.002186,0.001622,0.001622,2028.71,4.43
2018-08-30,0.00217,0.00217,0.00217,0.00217,0.0,0.0
2018-08-31,0.002178,0.002178,0.001757,0.002178,2017.05,4.39
2018-09-01,0.001801,0.002233,0.001801,0.002233,3706.58,6.68
2018-09-02,0.001825,0.001825,0.001825,0.001825,700.0,1.28
2018-09-03,0.002036,0.002036,0.001818,0.001818,420.48,0.8561
2018-09-04,0.002064,0.002064,0.002064,0.002064,0.0,0.0
2018-09-05,0.001877,0.001877,0.001877,0.001877,10098.0,18.95
