time,close,high,low,open,volumefrom,volumeto
2017-11-10,8.5,10.0,8.5,10.0,166.9,1644.19
2017-11-11,7.0,7.9,7.0,7.9,12.71,99.07
2017-11-12,5.1,5.5,5.1,5.5,1.2,6.21
2017-11-13,5.1,5.1,5.1,5.1,0.0,0.0
2017-11-14,6.1,6.1,6.1,6.1,45.0,284.5
2017-11-15,6.11,6.7,6.11,6.5,30.62,200.7
2017-11-16,7.1,8.0,6.11,6.11,38.11,279.21
2017-11-17,7.2,8.1,7.1,7.1,20.04,155.94
2017-11-18,8.0,9.0,7.81,7.81,77.7,656.16
2017-11-19,11.0,11.0,9.6,9.6,244.73,2360.77
2017-11-20,11.9,12.99,11.8,12.5,152.71,1895.21
2017-11-21,11.67,11.9,10.67,11.9,12.27,142.03
2017-11-22,12.0,12.0,10.0,11.5,154.28,1801.85
2017-11-23,11.97,12.0,10.59,12.0,39.04,442.38
2017-11-24,11.0,12.47,11.0,11.97,106.83,1280.75
2017-11-25,12.0,12.67,12.0,12.6,10.0,122.42
2017-11-26,13.0,13.0,11.6,12.0,222.02,2832.43
2017-11-27,17.5,17.5,12.5,13.0,614.19,9238.88
2017-11-28,24.3,30.0,17.5,17.5,601.81,14053.33
2017-11-29,20.6,28.9,20.6,24.3,177.0,4370.82
2017-11-30,23.3,25.0,20.6,20.6,80.59,1825.68
2017-12-01,31.0,33.0,27.68,28.86,90.45,2652.49
2017-12-02,48.0,48.0,30.3,31.0,214.03,7709.42
2017-12-03,52.7,68.0,39.9,48.0,286.0,14773.28
2017-12-04,40.0,58.0,39.5,42.0,119.2,6210.25
2017-12-05,40.0,44.6,37.5,40.0,63.1,2630.33
2017-12-06,35.6,40.0,35.01,40.0,69.14,2646.32
2017-12-07,20.0,35.6,20.0,35.6,108.9,2869.7
2017-12-08,28.0,28.5,20.0,20.0,197.44,4473.94
2017-12-09,29.0,32.3,28.5,29.95,110.68,3242.85
2017-12-10,28.5,32.0,28.5,29.0,24.85,738.75
2017-12-11,27.3,30.24,26.3,26.5,70.36,1936.32
2017-12-12,26.0,28.5,26.0,27.3,127.76,3382.21
2017-12-13,29.0,29.9,27.0,28.0,441.8,12137.45
2017-12-14,28.9,30.3,27.8,29.0,141.82,4194.07
2017-12-15,34.0,37.39,28.4,36.15,131.24,4522.35
2017-12-16,33.0,34.0,32.06,33.5,133.33,4393.03
2017-12-17,30.1,33.4,29.3,32.1,124.88,3886.12
2017-12-18,31.1,33.0,29.5,30.1,38.89,1184.69
2017-12-19,25.5,31.5,23.96,28.3,118.36,3392.74
2017-12-20,27.39,28.0,22.0,25.5,220.26,5537.59
2017-12-21,23.99,27.39,22.96,27.39,64.15,1651.13
2017-12-22,23.81,26.55,19.0,23.99,240.11,5139.04
2017-12-23,24.98,25.5,23.5,23.81,47.0,1142.6
2017-12-24,22.44,25.5,21.0,23.5,140.72,3145.07
2017-12-25,22.02,23.96,22.02,22.44,14.94,336.02
2017-12-26,21.21,21.44,21.21,21.44,64.09,1356.22
2017-12-27,18.99,21.21,17.5,21.21,202.56,3757.31
2017-12-28,17.75,17.84,17.0,17.0,90.07,1562.3
2017-12-29,18.75,21.0,17.75,17.75,93.35,1924.3
2017-12-30,17.6,18.5,16.99,16.99,32.4,587.59
2017-12-31,18.51,18.99,17.6,17.6,10.89,202.7
2018-01-01,19.85,19.85,19.01,19.83,34.59,673.31
2018-01-02,20.25,22.0,20.25,20.42,34.67,745.19
2018-01-03,24.39,24.39,20.5,20.5,64.48,1450.59
2018-01-04,23.9,24.39,23.0,24.39,17.96,425.62
2018-01-05,25.45,25.72,23.5,24.99,178.89,4324.69
2018-01-06,25.9,26.0,24.5,25.0,88.99,2244.49
2018-01-07,25.9,25.9,25.9,25.9,0.0,0.0
2018-01-08,25.9,25.9,25.9,25.9,0.0,0.0
2018-01-09,25.9,25.9,25.9,25.9,0.0,0.0
2018-01-10,25.9,25.9,25.9,25.9,0.0,0.0
2018-01-11,25.9,25.9,25.9,25.9,0.0,0.0
2018-01-12,25.9,25.9,25.9,25.9,0.0,0.0
2018-01-13,29.95,29.95,29.95,29.95,18.17,543.01
2018-01-14,29.95,29.95,29.95,29.95,0.0,0.0
2018-01-15,29.95,29.95,29.95,29.95,0.0,0.0
2018-01-16,29.95,29.95,29.95,29.95,0.0,0.0
2018-01-17,18.0,22.0,17.53,21.5,17.76,350.38
2018-01-18,18.0,18.0,18.0,18.0,0.0,0.0
2018-01-19,18.0,18.0,18.0,18.0,0.0,0.0
2018-01-20,18.0,18.0,18.0,18.0,0.0,0.0
2018-01-21,18.0,18.0,18.0,18.0,0.0,0.0
2018-01-22,18.0,18.0,18.0,18.0,0.0,0.0
2018-01-23,25.5,25.5,24.0,24.0,80.98,1970.32
2018-01-24,24.5,26.5,23.78,25.5,160.38,3988.71
2018-01-25,23.03,25.02,22.5,24.5,216.86,5227.22
2018-01-26,22.11,23.89,22.0,23.03,71.24,1617.45
2018-01-27,25.5,25.5,20.6,22.85,252.55,5917.12
2018-01-28,23.0,24.0,22.5,22.5,59.79,1381.7
2018-01-29,21.5,23.0,20.61,23.0,98.93,2160.49
2018-01-30,20.0,21.5,19.01,21.5,88.1,1833.72
2018-01-31,18.28,20.0,18.0,20.0,276.54,5151.63
2018-02-01,17.17,18.3,14.03,18.28,333.86,5671.46
2018-02-02,17.0,19.0,16.0,17.17,208.95,3598.66
2018-02-03,17.04,18.5,16.0,17.0,233.88,4036.85
2018-02-04,15.31,18.49,15.0,17.04,125.94,2085.81
2018-02-05,13.28,16.0,11.2,15.31,301.44,4224.76
2018-02-06,16.0,16.0,10.07,13.28,271.87,3251.21
2018-02-07,15.03,16.99,14.0,16.0,174.77,2660.6
2018-02-08,17.0,17.2,15.03,15.03,102.43,1645.65
2018-02-09,17.48,17.9,15.0,17.0,172.58,2884.01
2018-02-10,17.05,17.77,16.5,17.48,91.22,1546.24
2018-02-11,17.02,18.0,16.21,17.05,162.06,2751.73
2018-02-12,17.29,17.47,16.11,17.02,37.33,626.05
2018-02-13,17.47,17.47,16.0,17.29,98.88,1641.3
2018-02-14,18.5,18.79,16.1,16.91,123.94,2181.91
2018-02-15,19.97,19.97,16.5,18.5,302.44,5642.97
2018-02-16,19.0,20.0,18.3,20.0,199.65,3845.68
2018-02-17,19.22,19.59,18.2,19.18,236.46,4455.75
2018-02-18,19.3,21.0,18.65,20.0,215.08,4252.57
2018-02-19,20.58,21.52,19.1,19.3,103.95,2177.57
2018-02-20,23.0,23.0,19.0,20.58,199.92,4359.2
2018-02-21,20.07,23.2,19.5,22.0,164.69,3395.67
2018-02-22,19.0,20.5,19.0,20.07,138.8,2716.94
2018-02-23,21.7,21.99,19.0,19.0,131.19,2720.4
2018-02-24,20.42,21.7,19.96,21.7,215.64,4393.8
2018-02-25,21.0,21.0,20.0,20.42,125.78,2582.87
2018-02-26,22.93,22.93,20.0,21.0,482.91,10326.42
2018-02-27,25.0,25.0,21.0,22.93,294.44,6654.36
2018-02-28,23.7,25.98,20.5,25.0,245.1,5922.25
2018-03-01,23.4,24.5,21.65,23.7,108.41,2508.43
2018-03-02,23.98,23.98,22.13,23.4,72.4,1679.7
2018-03-03,26.29,26.29,23.27,23.98,299.32,7354.79
2018-03-04,26.24,27.34,24.46,26.29,195.9,5106.44
2018-03-05,27.68,29.0,25.36,25.51,314.18,8611.57
2018-03-06,26.4,28.89,25.35,27.68,328.71,8812.61
2018-03-07,29.9,35.0,26.86,28.0,635.39,18288.5
2018-03-08,28.48,30.99,27.55,29.09,367.18,10626.95
2018-03-09,32.0,32.0,25.5,28.48,495.33,14328.14
2018-03-10,29.41,34.69,29.01,33.0,575.76,18242.44
2018-03-11,29.71,33.8,28.0,29.41,759.16,22635.27
2018-03-12,28.9,33.2,28.11,29.71,531.0,16250.08
2018-03-13,29.0,29.95,26.66,28.9,317.82,8998.09
2018-03-14,24.25,30.0,24.25,29.0,443.08,12044.69
2018-03-15,28.34,28.5,24.24,24.25,151.38,3921.92
2018-03-16,29.04,30.69,25.0,28.34,268.07,7506.17
2018-03-17,31.0,31.0,26.35,29.04,862.54,25468.06
2018-03-18,29.8,31.0,27.1,31.0,798.7,23084.16
2018-03-19,29.98,31.22,28.51,29.8,334.88,10008.25
2018-03-20,31.8,34.85,29.46,29.98,1503.57,48348.3
2018-03-21,33.4,33.93,31.8,31.8,437.98,14469.8
2018-03-22,30.5,33.59,30.5,33.4,245.86,7876.39
2018-03-23,30.76,31.99,28.9,30.5,339.61,10328.94
2018-03-24,29.4,32.36,29.2,31.99,201.75,6103.88
2018-03-25,29.4,29.4,28.0,29.0,75.46,2157.21
2018-03-26,28.9,29.49,25.73,29.4,264.08,7436.75
2018-03-27,26.36,28.9,25.0,28.9,345.82,8927.41
2018-03-28,27.76,29.49,26.18,26.36,327.16,9008.97
2018-03-29,24.54,28.04,24.0,27.76,380.6,9858.19
2018-03-30,22.56,26.5,22.5,24.54,508.12,12471.21
2018-03-31,23.32,24.75,22.55,22.56,273.06,6491.87
2018-04-01,21.2,23.23,21.11,23.23,145.74,3204.73
2018-04-02,22.01,22.63,20.3,21.2,299.09,6505.12
2018-04-03,24.0,25.0,22.01,22.01,377.9,9080.74
2018-04-04,22.0,24.82,21.9,24.0,179.41,4038.13
2018-04-05,22.48,22.61,20.43,22.0,427.93,9353.25
2018-04-06,21.34,24.0,20.5,22.48,275.94,6026.94
2018-04-07,21.82,23.0,20.9,20.9,616.21,13696.05
2018-04-08,21.77,22.89,21.53,21.82,249.44,5500.4
2018-04-09,21.51,22.88,18.89,21.77,496.4,10462.34
2018-04-10,20.9,21.51,18.0,21.51,504.5,9954.07
2018-04-11,20.5,21.51,19.03,20.9,234.4,4765.71
2018-04-12,22.0,24.0,19.16,20.5,560.65,11960.33
2018-04-13,20.5,22.8,20.5,21.68,529.92,11498.6
2018-04-14,20.21,21.57,20.2,20.5,195.35,4100.88
2018-04-15,19.17,21.1,19.0,20.21,358.99,7256.24
2018-04-16,20.8,21.5,18.5,19.5,473.17,9508.2
2018-04-17,19.8,21.5,19.72,20.8,373.12,7575.02
2018-04-18,21.0,21.05,19.8,19.8,491.81,10058.01
2018-04-19,20.11,21.2,19.65,21.0,449.83,9064.4
2018-04-20,20.15,20.73,19.6,20.11,644.88,12914.56
2018-04-21,19.98,20.9,19.0,20.15,634.43,12598.61
2018-04-22,19.75,19.98,17.8,19.98,1144.72,21288.49
2018-04-23,19.39,19.9,17.92,19.75,1119.93,21239.7
2018-04-24,16.38,21.2,13.0,19.39,1853.49,34084.51
2018-04-25,16.5,18.48,12.0,15.91,1864.29,30970.12
2018-04-26,17.76,19.5,16.5,16.5,1022.52,18658.79
2018-04-27,17.14,18.43,16.0,17.76,838.02,14141.31
2018-04-28,16.98,17.6,16.74,17.14,977.64,16664.73
2018-04-29,16.6,17.7,16.18,16.98,810.65,13772.75
2018-04-30,13.0,16.6,13.0,16.6,1193.21,17340.4
2018-05-01,13.95,14.31,12.07,13.0,738.88,9925.41
2018-05-02,14.64,14.95,13.37,13.4,283.89,4042.26
2018-05-03,14.61,16.03,14.03,14.64,519.88,7636.34
2018-05-04,13.79,14.9,13.39,14.61,533.44,7578.25
2018-05-05,13.1,13.89,13.1,13.79,369.04,4993.56
2018-05-06,13.0,14.7,12.01,13.0,793.38,9964.89
2018-05-07,12.7,13.8,10.2,13.8,1037.57,12534.64
2018-05-08,13.0,13.55,12.22,12.58,934.88,12290.01
2018-05-09,13.55,13.55,12.32,13.0,665.52,8660.05
2018-05-10,11.9,14.25,11.2,13.55,422.73,5402.34
2018-05-11,10.88,11.9,10.53,11.9,332.16,3722.64
2018-05-12,10.12,11.51,10.1,10.88,1205.3,12893.29
2018-05-13,11.18,11.52,9.63,10.12,363.93,3885.88
2018-05-14,11.1,11.99,10.5,11.18,476.02,5241.69
2018-05-15,11.7,12.75,11.0,11.1,353.74,4143.96
2018-05-16,11.69,12.24,11.56,11.7,57.48,687.42
2018-05-17,11.42,12.39,11.42,11.69,201.62,2342.14
