time,close,high,low,open,volumefrom,volumeto
2018-01-30,0.2468,0.2468,0.2457,0.2468,2227.75,549.81
2018-01-31,0.2445,0.2634,0.24,0.2578,5991.41,1464.9
2018-02-01,0.2268,0.2412,0.2042,0.2258,24612.74,5582.17
2018-02-02,0.2413,0.2477,0.1844,0.2028,101530.49,24499.31
2018-02-03,0.1864,0.2553,0.1612,0.2553,1349664.55,251577.47
2018-02-04,0.1241,0.1589,0.1142,0.1589,748916.24,92940.51
2018-02-05,0.09036,0.1105,0.08897,0.1057,575188.83,51974.06
2018-02-06,0.1028,0.1123,0.0942,0.1099,235438.04,24203.03
2018-02-07,0.09774,0.1188,0.09247,0.09849,71908.16,7028.3
2018-02-08,0.1237,0.1318,0.09274,0.1058,752919.21,93136.11
2018-02-09,0.1209,0.1335,0.1177,0.1335,367179.16,44391.96
2018-02-10,0.1173,0.1228,0.1166,0.1171,120848.27,14175.5
2018-02-11,0.1083,0.1163,0.1039,0.1114,364391.07,39463.55
2018-02-12,0.1153,0.1249,0.109,0.1155,615656.3,70985.17
2018-02-13,0.115,0.1167,0.0841,0.112,2898029.5,333273.39
2018-02-14,0.1123,0.1259,0.1046,0.1259,322515.31,36218.47
2018-02-15,0.1261,0.1261,0.1052,0.1133,372564.9,46980.43
2018-02-16,0.1229,0.1275,0.1203,0.1275,197383.01,24258.37
2018-02-17,0.1248,0.1287,0.1238,0.1277,106065.59,13236.99
2018-02-18,0.1161,0.1232,0.1124,0.117,117196.76,13606.54
2018-02-19,0.1212,0.1315,0.1158,0.1194,400915.75,48590.99
2018-02-20,0.1142,0.1177,0.1107,0.1142,109062.63,12454.95
2018-02-21,0.1043,0.1129,0.1043,0.1084,155356.42,16203.67
2018-02-22,0.09937,0.1082,0.09591,0.09985,162692.92,16166.8
2018-02-23,0.108,0.1162,0.1026,0.1056,79696.3,8607.2
2018-02-24,0.1025,0.1124,0.09935,0.1054,98698.35,10116.58
2018-02-25,0.08537,0.1034,0.06847,0.1034,969110.89,82733.0
2018-02-26,0.09544,0.1124,0.05519,0.08815,1863731.95,177874.58
2018-02-27,0.095,0.09884,0.08847,0.09587,506749.68,48141.22
2018-02-28,0.08423,0.1012,0.07667,0.09281,903487.26,76100.73
2018-03-01,0.09151,0.09229,0.08004,0.08605,220676.39,20194.1
2018-03-02,0.09583,0.1118,0.0871,0.08984,1467745.4,140654.04
2018-03-03,0.09241,0.0984,0.09241,0.09583,90906.9,8400.71
2018-03-04,0.08709,0.1002,0.08648,0.0934,465100.81,40505.63
2018-03-05,0.08749,0.09267,0.08494,0.08554,101280.72,8861.05
2018-03-06,0.08004,0.08891,0.07342,0.08402,504834.9,40406.99
2018-03-07,0.07894,0.08691,0.06129,0.07371,2833588.79,223683.5
2018-03-08,0.06639,0.07498,0.06129,0.07345,811482.85,53874.35
2018-03-09,0.07335,0.08134,0.05854,0.06906,1123234.93,82389.28
2018-03-10,0.06959,0.07028,0.05468,0.06884,520181.84,36199.45
2018-03-11,0.07031,0.07564,0.07031,0.07348,70301.94,4942.93
2018-03-12,0.06958,0.07381,0.06553,0.06803,374636.05,26067.18
2018-03-13,0.06941,0.07424,0.06016,0.06885,444128.42,30826.95
2018-03-14,0.05872,0.06168,0.05528,0.06168,178832.82,10501.06
2018-03-15,0.05555,0.05847,0.05434,0.05847,69623.46,3867.58
2018-03-16,0.05345,0.06179,0.05286,0.05464,289421.52,15469.58
2018-03-17,0.05542,0.05734,0.04839,0.04894,988245.79,54768.58
2018-03-18,0.05385,0.05831,0.04648,0.05417,756741.88,40750.55
2018-03-19,0.05352,0.05822,0.04502,0.05567,169554.81,9074.57
2018-03-20,0.05311,0.05843,0.05311,0.05372,472739.62,25107.2
2018-03-21,0.05661,0.06081,0.05333,0.05333,550192.0,31146.37
2018-03-22,0.06155,0.06695,0.05404,0.05458,1099727.84,67688.25
2018-03-23,0.06363,0.06743,0.062,0.062,1113248.15,70835.98
2018-03-24,0.05977,0.06606,0.0356,0.06133,1466373.41,87645.14
2018-03-25,0.06328,0.06684,0.06009,0.06009,143702.52,9093.5
2018-03-26,0.05937,0.05981,0.04668,0.05884,538141.01,31949.43
2018-03-27,0.06068,0.06135,0.0543,0.0548,1726345.05,104754.62
2018-03-28,0.0606,0.0614,0.05967,0.06029,927060.94,56179.89
2018-03-29,0.05233,0.05417,0.05083,0.05217,1735900.7,90839.68
2018-03-30,0.05273,0.056,0.05269,0.05368,1329485.56,70103.77
2018-03-31,0.05328,0.05351,0.05162,0.05277,1212041.38,64577.56
2018-04-01,0.05501,0.05592,0.05005,0.05122,699758.14,38493.7
2018-04-02,0.05324,0.05651,0.0527,0.05586,1040622.98,55402.77
2018-04-03,0.05469,0.05773,0.05403,0.05756,2602833.69,142348.97
2018-04-04,0.04922,0.05063,0.04847,0.04979,158649.33,7808.72
2018-04-05,0.04996,0.0508,0.0492,0.04958,1857506.62,92801.03
2018-04-06,0.04552,0.04911,0.03677,0.04852,2236701.98,101814.67
2018-04-07,0.04812,0.05124,0.04728,0.04731,1506354.25,72485.77
2018-04-08,0.04937,0.05169,0.04408,0.05009,857532.67,42336.39
2018-04-09,0.04553,0.04984,0.04162,0.04916,1742088.83,79317.3
2018-04-10,0.04585,0.05599,0.0424,0.04743,1827635.88,83797.11
2018-04-11,0.04468,0.04756,0.04468,0.04748,619585.15,27683.06
2018-04-12,0.0489,0.05196,0.04682,0.05127,895711.59,43800.3
2018-04-13,0.04918,0.05712,0.04757,0.049,1423018.51,69984.05
2018-04-14,0.04875,0.05169,0.0414,0.04954,1718554.66,83779.54
2018-04-15,0.05142,0.05502,0.04541,0.05179,633272.94,32562.89
2018-04-16,0.0527,0.05628,0.04861,0.04926,4599970.93,242418.47
2018-04-17,0.05151,0.05262,0.04469,0.05181,577733.16,29759.04
2018-04-18,0.05019,0.05384,0.04628,0.05384,2189587.58,109895.4
2018-04-19,0.06489,0.06489,0.04252,0.05415,2780602.1,180433.27
2018-04-20,0.06881,0.08017,0.06425,0.07029,704900.16,48504.18
2018-04-21,0.07238,0.07486,0.06572,0.06748,707917.2,51239.05
2018-04-22,0.09283,0.0932,0.06915,0.07406,4445837.38,412707.08
2018-04-23,0.08135,0.09662,0.07955,0.09623,1062458.8,86431.02
2018-04-24,0.0934,0.1039,0.08722,0.08883,1412142.12,131894.07
2018-04-25,0.07141,0.09179,0.06919,0.08203,1544534.32,110295.2
2018-04-26,0.08056,0.085,0.07408,0.07646,604726.96,48716.8
2018-04-27,0.07842,0.08942,0.07688,0.07836,3150462.0,247059.23
2018-04-28,0.08469,0.09494,0.07527,0.08353,3302580.43,279695.54
2018-04-29,0.08396,0.08816,0.07638,0.08547,875718.56,73525.33
2018-04-30,0.0804,0.08597,0.07437,0.08161,2033446.84,163489.13
2018-05-01,0.08009,0.08445,0.07781,0.0805,5284431.18,423230.09
2018-05-02,0.09573,0.09587,0.08117,0.082,1424908.12,136406.45
2018-05-03,0.09331,0.1086,0.08445,0.1084,4257932.72,397307.7
2018-05-04,0.08626,0.09411,0.0785,0.09411,5448088.1,469952.08
2018-05-05,0.1053,0.1073,0.08411,0.08852,5555282.89,584971.29
2018-05-06,0.09983,0.1099,0.08979,0.102,7701378.16,768828.58
2018-05-07,0.08991,0.09713,0.08306,0.09503,5304570.24,476933.91
2018-05-08,0.08368,0.09303,0.07829,0.08936,3222678.88,269673.77
2018-05-09,0.07926,0.08632,0.07513,0.08407,4141530.97,328257.74
2018-05-10,0.07822,0.07837,0.07381,0.07634,4901466.3,383392.69
2018-05-11,0.06718,0.07327,0.06028,0.07327,3205031.74,215314.03
2018-05-12,0.06087,0.07137,0.05886,0.06776,6108311.17,371812.9
2018-05-13,0.06564,0.06899,0.06345,0.06494,5525204.01,362674.39
2018-05-14,0.06542,0.06909,0.06325,0.06547,4806548.55,314444.41
2018-05-15,0.06139,0.06695,0.05863,0.06346,721337.85,44282.93
2018-05-16,0.06144,0.06358,0.06042,0.06148,5581665.88,342937.55
2018-05-17,0.05908,0.06012,0.05602,0.0581,3633005.66,214637.97
2018-05-18,0.05549,0.06525,0.05549,0.0613,2082604.63,115563.73
2018-05-19,0.05807,0.06118,0.05518,0.05569,1410898.1,81930.85
2018-05-20,0.06,0.06,0.05429,0.05966,3065863.89,183951.83
2018-05-21,0.0611,0.06194,0.05581,0.05846,1635671.38,99939.52
2018-05-22,0.05532,0.05761,0.05388,0.05637,2144116.82,118612.54
2018-05-23,0.04635,0.05102,0.04453,0.04981,3856040.82,178727.49
2018-05-24,0.04835,0.04945,0.04577,0.0484,2308181.28,111600.56
2018-05-25,0.04503,0.04834,0.0421,0.04692,4954859.43,223117.32
2018-05-26,0.04566,0.0462,0.04393,0.0451,49659.13,2267.44
2018-05-27,0.04583,0.04983,0.04217,0.0444,2370775.88,108652.66
2018-05-28,0.04301,0.04395,0.03754,0.0412,210486.36,9053.02
2018-05-29,0.04524,0.04767,0.04476,0.04759,549281.22,24849.48
2018-05-30,0.04511,0.04629,0.04352,0.04449,1250124.79,56393.13
2018-05-31,0.0516,0.05339,0.04506,0.04674,2904819.12,149888.67
2018-06-01,0.0493,0.05176,0.04343,0.05176,3774835.12,186099.37
2018-06-02,0.05247,0.05448,0.04568,0.05028,3104013.02,162867.56
2018-06-03,0.05147,0.05511,0.04684,0.055,4538853.07,233614.77
2018-06-04,0.04936,0.05225,0.04792,0.04916,3714353.37,183340.48
2018-06-05,0.05108,0.05108,0.04953,0.05077,673838.45,34419.67
2018-06-06,0.0485,0.05264,0.04801,0.05092,2179593.41,105710.28
2018-06-07,0.04759,0.04956,0.04594,0.04781,9821925.19,467425.42
2018-06-08,0.0457,0.04856,0.04543,0.04729,3528505.0,161252.68
2018-06-09,0.04355,0.04595,0.04072,0.04523,6319763.69,275225.71
2018-06-10,0.04035,0.04114,0.0357,0.03842,6260843.13,252625.02
2018-06-11,0.0395,0.04128,0.03713,0.04085,3931700.16,155302.16
2018-06-12,0.03608,0.03803,0.03314,0.03704,4032890.46,145506.69
2018-06-13,0.03041,0.03513,0.02942,0.03475,11101833.76,337606.76
2018-06-14,0.03377,0.03441,0.03151,0.03321,10732759.94,362445.3
2018-06-15,0.03128,0.03228,0.02964,0.03186,11054038.75,345770.33
2018-06-16,0.03068,0.03195,0.03056,0.03191,10600141.86,325212.35
2018-06-17,0.03115,0.03311,0.03041,0.03065,11034094.61,343712.05
2018-06-18,0.03165,0.03323,0.03081,0.03246,10763741.19,340672.41
2018-06-19,0.03528,0.03867,0.03079,0.03293,11661406.12,411414.41
2018-06-20,0.03437,0.03525,0.03312,0.03513,10782264.36,370586.43
2018-06-21,0.03179,0.03484,0.03155,0.03371,11328461.68,360131.8
2018-06-22,0.02686,0.02813,0.02568,0.02813,10816665.68,290535.64
2018-06-23,0.02621,0.02792,0.02579,0.02755,10848661.58,284343.42
2018-06-24,0.02146,0.02554,0.0181,0.02517,11740634.7,251954.02
2018-06-25,0.02109,0.02218,0.02009,0.02162,10923720.85,230381.27
2018-06-26,0.01925,0.02095,0.01741,0.01974,10929707.85,210396.88
2018-06-27,0.01883,0.02036,0.01826,0.01964,9799495.67,184524.5
2018-06-28,0.01825,0.01931,0.01741,0.01793,7968847.36,145431.46
2018-06-29,0.01968,0.02,0.01756,0.01886,10688783.59,210355.26
2018-06-30,0.02042,0.02084,0.01921,0.0205,6857273.62,140025.53
2018-07-01,0.03036,0.03523,0.01989,0.02036,10119696.29,307233.98
2018-07-02,0.03247,0.03704,0.02863,0.03174,14944372.41,485243.77
2018-07-03,0.03094,0.03394,0.03021,0.03147,11791517.51,364829.55
2018-07-04,0.03172,0.03317,0.03052,0.03129,17366239.35,550857.11
2018-07-05,0.02949,0.03214,0.02907,0.03192,10831064.9,319408.1
2018-07-06,0.02623,0.02984,0.02438,0.02964,11315575.9,296807.56
2018-07-07,0.02592,0.02876,0.02589,0.02712,10733018.52,278199.84
2018-07-08,0.02674,0.02748,0.0258,0.02594,10523161.32,281389.33
2018-07-09,0.02535,0.02937,0.02428,0.02562,11697968.42,296543.5
2018-07-10,0.02358,0.02642,0.02215,0.02326,11613547.72,273847.46
2018-07-11,0.02114,0.02446,0.01998,0.02428,13033610.62,275530.53
2018-07-12,0.01944,0.02117,0.01916,0.02044,14344505.86,278857.19
2018-07-13,0.01847,0.02038,0.01738,0.01951,17200159.45,317686.95
2018-07-14,0.01738,0.01882,0.01666,0.01853,11989050.38,208369.7
2018-07-15,0.01836,0.01853,0.01709,0.01801,6874136.36,126209.14
2018-07-16,0.02023,0.02046,0.01882,0.01953,6768212.64,136920.94
2018-07-17,0.0214,0.02146,0.01975,0.02109,6493293.59,138956.48
2018-07-18,0.01993,0.02063,0.01918,0.02054,8372179.14,166857.53
2018-07-19,0.01928,0.02028,0.01858,0.0195,7017312.99,135293.79
2018-07-20,0.019,0.0193,0.01774,0.01847,6982870.78,132674.54
2018-07-21,0.01835,0.01982,0.01773,0.01952,7025713.55,128921.84
2018-07-22,0.01811,0.01967,0.0174,0.01822,5887327.32,106619.5
2018-07-23,0.01843,0.01933,0.01741,0.0179,6326065.15,116589.38
2018-07-24,0.018,0.0202,0.01781,0.01965,7146131.96,128630.38
2018-07-25,0.01675,0.01932,0.01609,0.0177,7563294.32,126685.18
