time,close,high,low,open,volumefrom,volumeto
2017-10-15,8.078e-05,8.078e-05,8.078e-05,8.078e-05,4129.58,0.3336
2017-10-16,8.022e-05,8.022e-05,8.022e-05,8.022e-05,0.0,0.0
2017-10-17,7.587e-05,7.587e-05,7.587e-05,7.587e-05,0.0,0.0
2017-10-18,7.525e-05,7.525e-05,7.525e-05,7.525e-05,0.0,0.0
2017-10-19,7.378e-05,7.378e-05,7.378e-05,7.378e-05,0.0,0.0
2017-10-20,7.274e-05,7.274e-05,7.274e-05,7.274e-05,0.0,0.0
2017-10-21,7.189e-05,7.189e-05,7.189e-05,7.189e-05,0.0,0.0
2017-10-22,7.057e-05,7.057e-05,7.057e-05,7.057e-05,0.0,0.0
2017-10-23,6.846e-05,6.846e-05,6.846e-05,6.846e-05,0.0,0.0
2017-10-24,7.116e-05,7.116e-05,7.116e-05,7.116e-05,0.0,0.0
2017-10-25,7.112e-05,7.112e-05,7.112e-05,7.112e-05,0.0,0.0
2017-10-26,7.093e-05,7.093e-05,7.093e-05,7.093e-05,0.0,0.0
2017-10-27,7.113e-05,7.113e-05,7.113e-05,7.113e-05,0.0,0.0
2017-10-28,7.04e-05,7.04e-05,7.04e-05,7.04e-05,0.0,0.0
2017-10-29,7.297e-05,7.297e-05,7.297e-05,7.297e-05,0.0,0.0
2017-10-30,7.363e-05,7.363e-05,7.363e-05,7.363e-05,0.0,0.0
2017-10-31,7.287e-05,7.287e-05,7.287e-05,7.287e-05,0.0,0.0
2017-11-01,6.946e-05,6.946e-05,6.946e-05,6.946e-05,0.0,0.0
2017-11-02,6.838e-05,6.838e-05,6.838e-05,6.838e-05,0.0,0.0
2017-11-03,7.308e-05,7.308e-05,7.308e-05,7.308e-05,0.0,0.0
2017-11-04,7.201e-05,7.201e-05,7.201e-05,7.201e-05,0.0,0.0
2017-11-05,7.11e-05,7.11e-05,7.11e-05,7.11e-05,0.0,0.0
2017-11-06,7.124e-05,7.124e-05,7.124e-05,7.124e-05,0.0,0.0
2017-11-07,7.004e-05,7.004e-05,7.004e-05,7.004e-05,0.0,0.0
2017-11-08,7.376e-05,7.376e-05,7.376e-05,7.376e-05,0.0,0.0
2017-11-09,7.672e-05,7.672e-05,7.672e-05,7.672e-05,0.0,0.0
2017-11-10,7.125e-05,7.125e-05,7.125e-05,7.125e-05,0.0,0.0
2017-11-11,7.542e-05,7.542e-05,7.542e-05,7.542e-05,0.0,0.0
2017-11-12,7.344e-05,7.344e-05,7.344e-05,7.344e-05,0.0,0.0
2017-11-13,7.55e-05,7.55e-05,7.55e-05,7.55e-05,0.0,0.0
2017-11-14,8.033e-05,8.033e-05,8.033e-05,8.033e-05,0.0,0.0
2017-11-15,7.949e-05,7.949e-05,7.949e-05,7.949e-05,0.0,0.0
2017-11-16,7.928e-05,7.928e-05,7.928e-05,7.928e-05,0.0,0.0
2017-11-17,7.961e-05,7.961e-05,7.961e-05,7.961e-05,0.0,0.0
2017-11-18,8.32e-05,8.32e-05,8.32e-05,8.32e-05,0.0,0.0
2017-11-19,8.51e-05,8.51e-05,8.51e-05,8.51e-05,0.0,0.0
2017-11-20,8.825e-05,8.825e-05,8.825e-05,8.825e-05,0.0,0.0
2017-11-21,8.652e-05,8.652e-05,8.652e-05,8.652e-05,0.0,0.0
2017-11-22,9.14e-05,9.14e-05,9.14e-05,9.14e-05,0.0,0.0
2017-11-23,9.758e-05,9.758e-05,9.758e-05,9.758e-05,0.0,0.0
2017-11-24,0.0001129,0.0001129,0.0001129,0.0001129,0.0,0.0
2017-11-25,0.0001115,0.0001115,0.0001115,0.0001115,0.0,0.0
2017-11-26,0.0001129,0.0001129,0.0001129,0.0001129,0.0,0.0
2017-11-27,0.0001141,0.0001141,0.0001141,0.0001141,0.0,0.0
2017-11-28,0.0001119,0.0001119,0.0001119,0.0001119,0.0,0.0
2017-11-29,0.0001026,0.0001026,0.0001026,0.0001026,0.0,0.0
2017-11-30,0.0001044,0.0001044,0.0001044,0.0001044,0.0,0.0
2017-12-01,0.0001108,0.0001108,0.0001108,0.0001108,0.0,0.0
2017-12-02,0.0001099,0.0001099,0.0001099,0.0001099,0.0,0.0
2017-12-03,0.0001111,0.0001111,0.0001111,0.0001111,0.0,0.0
2017-12-04,0.0001121,0.0001121,0.0001121,0.0001121,0.0,0.0
2017-12-05,0.000109,0.000109,0.000109,0.000109,0.0,0.0
2017-12-06,0.0001014,0.0001014,0.0001014,0.0001014,0.0,0.0
2017-12-07,0.0001011,0.0001011,0.0001011,0.0001011,0.0,0.0
2017-12-08,0.0001084,0.0001084,0.0001084,0.0001084,0.0,0.0
2017-12-09,0.0001135,0.0001135,0.0001135,0.0001135,0.0,0.0
2017-12-10,0.0001048,0.0001048,0.0001048,0.0001048,0.0,0.0
2017-12-11,0.0001232,0.0001232,0.0001232,0.0001232,0.0,0.0
2017-12-12,0.0001576,0.0001576,0.0001576,0.0001576,0.0,0.0
2017-12-13,0.0001678,0.0001678,0.0001678,0.0001678,0.0,0.0
2017-12-14,0.0001665,0.0001665,0.0001665,0.0001665,0.0,0.0
2017-12-15,0.0001642,0.0001642,0.0001642,0.0001642,0.0,0.0
2017-12-16,0.0001663,0.0001663,0.0001663,0.0001663,0.0,0.0
2017-12-17,0.0001723,0.0001723,0.0001723,0.0001723,0.0,0.0
2017-12-18,0.0001886,0.0001886,0.0001886,0.0001886,0.0,0.0
2017-12-19,0.000195,0.000195,0.000195,0.000195,0.0,0.0
2017-12-20,0.0001918,0.0001918,0.0001918,0.0001918,0.0,0.0
2017-12-21,0.0001895,0.0001895,0.0001895,0.0001895,0.0,0.0
2017-12-22,0.0001579,0.0001579,0.0001579,0.0001579,0.0,0.0
2017-12-23,0.0001681,0.0001681,0.0001681,0.0001681,0.0,0.0
2017-12-24,0.0001622,0.0001622,0.0001622,0.0001622,0.0,0.0
2017-12-25,0.0001736,0.0001736,0.0001736,0.0001736,0.0,0.0
2017-12-26,0.0001808,0.0001808,0.0001808,0.0001808,0.0,0.0
2017-12-27,0.0001776,0.0001776,0.0001776,0.0001776,0.0,0.0
2017-12-28,0.000172,0.000172,0.000172,0.000172,0.0,0.0
2017-12-29,0.0001775,0.0001775,0.0001775,0.0001775,0.0,0.0
2017-12-30,0.0001663,0.0001663,0.0001663,0.0001663,0.0,0.0
2017-12-31,0.0001779,0.0001779,0.0001779,0.0001779,0.0,0.0
2018-01-01,0.0001815,0.0001815,0.0001815,0.0001815,0.0,0.0
2018-01-02,0.0002069,0.0002069,0.0002069,0.0002069,0.0,0.0
2018-01-03,0.0002259,0.0002259,0.0002259,0.0002259,0.0,0.0
2018-01-04,0.0002268,0.0002268,0.0002268,0.0002268,0.0,0.0
2018-01-05,0.0002321,0.0002321,0.0002321,0.0002321,0.0,0.0
2018-01-06,0.0002415,0.0002415,0.0002415,0.0002415,0.0,0.0
2018-01-07,0.0002683,0.0002683,0.0002683,0.0002683,0.0,0.0
2018-01-08,0.0002727,0.0002727,0.0002727,0.0002727,0.0,0.0
2018-01-09,0.0003094,0.0003094,0.0003094,0.0003094,0.0,0.0
2018-01-10,0.0002998,0.0002998,0.0002998,0.0002998,0.0,0.0
2018-01-11,0.0002734,0.0002734,0.0002734,0.0002734,0.0,0.0
2018-01-12,0.0003026,0.0003026,0.0003026,0.0003026,0.0,0.0
2018-01-13,0.0003324,0.0003324,0.0003324,0.0003324,0.0,0.0
2018-01-14,0.0003263,0.0003263,0.0003263,0.0003263,0.0,0.0
2018-01-15,0.0003069,0.0003069,0.0003069,0.0003069,0.0,0.0
2018-01-16,0.0002521,0.0002521,0.0002521,0.0002521,0.0,0.0
2018-01-17,0.0002459,0.0002459,0.0002459,0.0002459,0.0,0.0
2018-01-18,0.0002431,0.0002431,0.0002431,0.0002431,0.0,0.0
2018-01-19,0.000249,0.000249,0.000249,0.000249,0.0,0.0
2018-01-20,0.0002761,0.0002761,0.0002761,0.0002761,0.0,0.0
2018-01-21,0.0002518,0.0002518,0.0002518,0.0002518,0.0,0.0
