time,close,high,low,open,volumefrom,volumeto
2018-07-10,0.01047,0.01142,0.009519,0.01142,411560.46,4309.04
2018-07-11,0.009803,0.01078,0.009803,0.01078,535303.3,5247.58
2018-07-12,0.009092,0.00948,0.009006,0.00948,84942.08,772.29
2018-07-13,0.01015,0.01015,0.009125,0.009125,211220.34,2143.89
2018-07-14,0.01127,0.01127,0.009763,0.01018,14433.36,162.66
2018-07-15,0.01003,0.01169,0.008754,0.01169,196937.04,1975.28
2018-07-16,0.008665,0.01068,0.008383,0.01068,423374.77,3668.54
2018-07-17,0.00782,0.009467,0.007501,0.009033,1157388.45,9050.78
2018-07-18,0.009087,0.009087,0.007506,0.007506,289928.82,2634.58
2018-07-19,0.007292,0.00889,0.007288,0.00889,537302.14,3918.01
2018-07-20,0.006984,0.006984,0.006984,0.006984,0.0,0.0
2018-07-21,0.006731,0.007174,0.006593,0.007174,107925.92,726.45
2018-07-22,0.00686,0.006915,0.005734,0.006682,12439.01,85.33
2018-07-23,0.006209,0.00674,0.006205,0.00674,40905.14,253.98
2018-07-24,0.006041,0.006717,0.006041,0.006621,195966.03,1183.83
2018-07-25,0.005702,0.005938,0.005698,0.005938,43000.45,245.19
2018-07-26,0.002726,0.006224,0.002726,0.005591,671421.84,1830.3
2018-07-27,0.004429,0.006036,0.002771,0.002771,363236.09,1608.77
2018-07-28,0.004545,0.005295,0.004418,0.004418,152615.03,693.64
2018-07-29,0.005753,0.00676,0.004522,0.004522,1065782.7,6131.45
2018-07-30,0.004598,0.006091,0.004588,0.005634,685473.52,3151.81
2018-07-31,0.004324,0.004363,0.004324,0.00435,54199.41,234.36
2018-08-01,0.00524,0.00524,0.004203,0.004203,67146.4,351.85
2018-08-02,0.005127,0.005127,0.005127,0.005127,0.0,0.0
2018-08-03,0.004327,0.005212,0.004239,0.005212,213212.51,922.57
2018-08-04,0.004187,0.004895,0.004187,0.004216,135582.24,567.68
2018-08-05,0.004207,0.004207,0.004207,0.004207,34299.62,144.3
2018-08-06,0.004847,0.004847,0.004167,0.004167,274732.99,1331.63
2018-08-07,0.00407,0.004524,0.00407,0.004524,22852.11,93.01
2018-08-08,0.003769,0.003829,0.003755,0.003829,95267.63,359.06
2018-08-09,0.003853,0.004202,0.003831,0.003853,365222.4,1407.2
2018-08-10,0.002686,0.003803,0.002686,0.003515,443329.56,1190.78
2018-08-11,0.002576,0.002592,0.002576,0.002576,220787.46,568.75
2018-08-12,0.003449,0.003491,0.002208,0.002577,61958.6,213.7
2018-08-13,0.003124,0.003124,0.003056,0.003079,283894.51,886.89
2018-08-14,0.001951,0.003061,0.001948,0.003061,595157.2,1161.15
2018-08-15,0.002019,0.002478,0.001687,0.001971,1033359.57,2086.35
2018-08-16,0.001595,0.002059,0.001577,0.002059,607456.2,968.89
2018-08-17,0.002093,0.002093,0.001766,0.001766,60103.63,125.8
2018-08-18,0.001498,0.00194,0.001498,0.001917,318061.13,476.46
2018-08-19,0.001951,0.001951,0.001522,0.001522,203515.19,397.06
2018-08-20,0.001763,0.001763,0.001763,0.001763,83771.3,147.69
2018-08-21,0.001602,0.001602,0.001602,0.001602,15052.03,24.11
2018-08-22,0.001541,0.001541,0.001541,0.001541,0.0,0.0
2018-08-23,0.001575,0.001575,0.001572,0.001572,10184.44,16.04
2018-08-24,0.001635,0.002026,0.001607,0.001607,155429.74,254.13
2018-08-25,0.002359,0.002359,0.001613,0.001613,198792.08,468.95
2018-08-26,0.001736,0.002332,0.001736,0.002332,25000.0,43.4
2018-08-27,0.00182,0.00182,0.00182,0.00182,81454.35,148.25
2018-08-28,0.001865,0.001868,0.001865,0.001868,42229.0,78.76
2018-08-29,0.001645,0.001822,0.001559,0.001822,325625.03,535.65
2018-08-30,0.00162,0.001676,0.001534,0.00162,486875.77,788.74
2018-08-31,0.001943,0.001943,0.001521,0.001605,710147.72,1379.82
2018-09-01,0.001654,0.002038,0.001595,0.002038,758645.84,1254.8
2018-09-02,0.001534,0.001682,0.001505,0.001652,274715.42,421.41
2018-09-03,0.001503,0.001532,0.001474,0.001503,96741.19,145.4
2018-09-04,0.001483,0.001626,0.001455,0.001483,240942.36,357.32
2018-09-05,0.00121,0.001347,0.001141,0.001187,1015766.72,1229.08
2018-09-06,0.001262,0.001308,0.001102,0.001216,176930.83,223.29
2018-09-07,0.001076,0.001183,0.001054,0.001183,217212.19,233.72
2018-09-08,0.001161,0.001161,0.0009839,0.0009839,403932.02,468.97
2018-09-09,0.001078,0.001156,0.001058,0.001156,50041.94,53.95
2018-09-10,0.001104,0.001104,0.001045,0.001084,371314.4,409.93
2018-09-11,0.001018,0.001037,0.0009628,0.001037,834890.73,849.92
2018-09-12,0.0009518,0.001007,0.0009152,0.001007,347675.96,330.92
2018-09-13,0.001014,0.001183,0.001014,0.001099,999740.53,1013.74
2018-09-14,0.0008355,0.001107,0.0008355,0.001003,810792.06,677.42
2018-09-15,0.0009973,0.001019,0.0008865,0.0008865,4948334.48,4934.97
2018-09-16,0.0009685,0.001013,0.0009465,0.0009905,2610239.84,2528.02
2018-09-17,0.0008822,0.0009018,0.000843,0.0008626,5286731.24,4663.95
2018-09-18,0.0009378,0.0009794,0.0008752,0.0009378,3965112.8,3718.48
2018-09-19,0.000923,0.00107,0.000923,0.000944,5366388.42,4953.18
