time,close,high,low,open,volumefrom,volumeto
2017-06-13,2.71,3.03,2.14,2.37,3844.9,10419.68
2017-06-14,2.18,3.44,1.72,2.4,170410.02,371493.84
2017-06-15,2.1,2.34,1.72,2.19,261671.44,549510.02
2017-06-16,2.17,2.43,2.05,2.15,170451.81,369880.43
2017-06-17,2.34,2.54,2.13,2.26,82855.65,193882.22
2017-06-18,2.24,2.29,2.04,2.24,116643.29,261280.97
2017-06-19,3.32,3.65,1.97,2.28,320547.76,1064218.56
2017-06-20,2.73,4.36,2.36,3.25,245825.91,671104.73
2017-06-21,2.03,2.65,1.86,2.54,227002.72,460815.52
2017-06-22,2.1,2.48,2.0,2.0,168649.3,354163.53
2017-06-23,2.26,2.32,2.02,2.14,153257.04,346360.91
2017-06-24,2.17,2.49,1.99,2.11,131328.94,284983.8
2017-06-25,1.88,2.09,1.79,1.99,103788.96,195123.24
2017-06-26,1.64,1.84,1.51,1.71,87594.25,143654.57
2017-06-27,1.96,2.08,1.85,1.85,67230.87,131772.51
2017-06-28,1.79,2.18,1.69,2.16,83161.24,148858.62
2017-06-29,1.69,1.83,1.52,1.66,76230.75,128829.97
2017-06-30,1.45,1.66,1.45,1.62,85213.79,123560.0
2017-07-01,1.38,1.53,1.34,1.35,78723.85,108638.91
2017-07-02,1.35,1.6,1.26,1.5,89629.15,120999.35
2017-07-03,1.37,1.54,1.27,1.32,85670.73,117368.9
2017-07-04,1.34,1.41,1.31,1.34,78385.58,105036.68
2017-07-05,1.27,1.35,1.25,1.32,80625.45,102394.32
2017-07-06,1.28,1.32,1.17,1.27,61000.22,78080.28
2017-07-07,1.04,1.19,1.03,1.19,36371.09,37825.93
2017-07-08,1.03,1.08,1.03,1.06,40336.62,41546.72
2017-07-09,0.804,1.01,0.7457,1.0,131500.83,105726.67
2017-07-10,0.5914,0.7551,0.5564,0.6959,162032.11,95825.79
2017-07-11,0.5694,0.6608,0.5177,0.5476,140533.42,80019.73
2017-07-12,0.7092,0.7359,0.6456,0.6698,60204.82,42697.26
2017-07-13,0.7294,0.7713,0.5998,0.6499,51498.25,37562.82
2017-07-14,0.6308,0.7227,0.6301,0.7,82634.69,52125.96
2017-07-15,0.5061,0.5524,0.499,0.5411,59116.02,29918.62
2017-07-16,0.4672,0.4922,0.4311,0.4652,82817.69,38692.42
2017-07-17,0.5486,0.7449,0.4278,0.571,89538.74,49120.95
2017-07-18,0.6838,0.7437,0.6472,0.6558,81156.42,55494.76
2017-07-19,0.5836,0.6062,0.4915,0.5854,121791.58,71077.57
2017-07-20,0.688,0.743,0.6607,0.6794,88095.19,60609.49
2017-07-21,0.7029,0.7301,0.6356,0.6576,76318.65,53644.38
2017-07-22,0.8516,0.8756,0.7444,0.7488,59428.14,50609.0
2017-07-23,0.9834,1.15,0.8238,0.8436,93699.95,92144.53
2017-07-24,0.9596,1.02,0.8981,0.9711,79065.94,75871.68
2017-07-25,0.7466,0.8864,0.7445,0.8665,70815.43,52870.8
2017-07-26,0.8121,0.8121,0.7397,0.744,53204.66,43207.5
2017-07-27,0.8775,0.9191,0.7825,0.8123,56816.53,49856.51
2017-07-28,0.7981,0.8281,0.7817,0.8268,60096.59,47963.09
2017-07-29,0.792,0.8705,0.792,0.8604,52835.97,41846.09
2017-07-30,0.7615,0.7645,0.7188,0.756,41237.78,31402.57
2017-07-31,0.7834,0.8053,0.7469,0.7791,59115.35,46310.97
2017-08-01,0.8586,0.879,0.8094,0.879,56883.64,48840.29
2017-08-02,0.8976,0.9181,0.8241,0.8291,62993.12,56542.62
2017-08-03,1.17,1.18,0.9216,0.9234,95892.87,112194.66
2017-08-04,1.25,1.45,1.11,1.15,154168.77,192710.96
2017-08-05,1.5,1.61,1.31,1.43,116970.86,175456.29
2017-08-06,1.53,1.78,1.47,1.57,87329.0,133613.37
2017-08-07,1.57,1.63,1.51,1.56,91644.37,143881.66
2017-08-08,1.55,1.75,1.44,1.72,87150.2,135082.81
2017-08-09,1.46,1.55,1.03,1.55,82919.45,121062.4
2017-08-10,1.43,1.59,1.39,1.47,95428.0,136462.04
2017-08-11,1.88,2.03,1.43,1.49,121536.85,228489.28
2017-08-12,2.24,2.41,1.77,1.87,739509.51,1656501.3
2017-08-13,2.04,2.32,1.67,2.16,875542.87,1786107.45
2017-08-14,1.9,2.17,1.71,2.06,1144314.55,2174197.65
2017-08-15,1.69,1.85,1.65,1.82,119972.63,202753.74
2017-08-16,1.86,1.87,1.68,1.78,71527.09,133040.39
2017-08-17,1.74,1.89,1.73,1.86,58706.96,102150.11
2017-08-18,1.61,1.75,1.51,1.7,602146.06,969455.16
2017-08-19,1.63,1.72,1.42,1.61,1048227.83,1708611.36
2017-08-20,1.49,1.67,1.48,1.66,65002.3,96853.43
2017-08-21,1.4,1.61,1.31,1.61,70966.25,99352.75
2017-08-22,1.35,1.38,1.19,1.37,60988.6,82334.61
2017-08-23,1.45,1.62,1.18,1.37,614070.24,890401.85
2017-08-24,1.49,1.54,1.39,1.48,45254.96,67429.89
2017-08-25,1.33,1.52,1.3,1.51,49606.19,65976.23
2017-08-26,1.47,1.55,1.3,1.34,246373.49,362169.03
2017-08-27,1.51,1.6,1.39,1.53,29755.75,44931.18
2017-08-28,1.39,1.51,1.38,1.51,44246.32,61502.38
2017-08-29,1.39,1.5,1.3,1.48,86533.02,120280.9
2017-08-30,1.41,1.44,1.26,1.43,141698.12,199794.35
2017-08-31,1.81,1.83,1.42,1.43,140252.86,253857.68
2017-09-01,1.84,1.94,1.56,1.82,167407.84,308030.43
2017-09-02,1.5,1.66,1.42,1.65,93120.19,139680.29
2017-09-03,1.49,1.54,1.42,1.51,58527.47,87205.93
2017-09-04,1.15,1.29,0.9032,1.28,126017.28,144919.87
2017-09-05,1.24,1.27,1.13,1.21,86900.76,107756.94
2017-09-06,1.29,1.32,1.18,1.32,93684.58,120853.11
2017-09-07,1.28,1.4,1.19,1.28,113095.95,144762.82
2017-09-08,1.09,1.18,1.08,1.17,123948.29,135103.64
2017-09-09,1.03,1.1,1.01,1.08,77901.62,80238.67
2017-09-10,1.01,1.04,0.9925,1.02,69158.41,69849.99
2017-09-11,0.9901,1.04,0.9365,1.01,73327.03,72601.09
2017-09-12,0.9655,1.04,0.9308,0.9773,91896.46,88726.03
2017-09-13,0.9001,0.934,0.8717,0.9056,71575.84,64425.41
2017-09-14,0.7413,0.7522,0.6897,0.7281,76048.64,56374.86
2017-09-15,0.8057,0.8701,0.7387,0.8623,110841.33,89304.86
2017-09-16,0.7586,0.8223,0.7523,0.7899,97591.16,74032.65
2017-09-17,0.8103,0.824,0.7476,0.7703,102909.18,83387.31
2017-09-18,0.8337,0.9331,0.831,0.9331,98387.81,82025.92
2017-09-19,0.8824,1.05,0.793,0.793,129907.19,114630.1
2017-09-20,0.9253,1.08,0.883,0.8841,122169.57,113043.5
2017-09-21,0.7957,0.8414,0.7733,0.8411,78990.72,62852.92
2017-09-22,0.8538,0.9216,0.8117,0.8117,81435.98,69530.04
2017-09-23,0.9042,0.944,0.8945,0.9291,63851.14,57734.2
2017-09-24,0.8529,0.9354,0.8481,0.893,59890.69,51080.77
2017-09-25,0.8667,0.8982,0.8587,0.89,80369.27,69656.05
2017-09-26,0.8919,0.8971,0.8411,0.8483,68385.72,60993.22
2017-09-27,0.9953,1.02,0.9463,0.9578,75538.17,75183.14
2017-09-28,0.9098,1.0,0.8299,0.9722,119759.29,108957.0
2017-09-29,0.8798,0.909,0.8461,0.8792,91409.58,80422.15
2017-09-30,0.9234,0.9289,0.8777,0.9104,94558.63,87315.44
2017-10-01,0.9194,0.9553,0.9122,0.927,97108.74,89281.78
2017-10-02,0.9174,0.9234,0.8661,0.8979,104668.55,96022.93
2017-10-03,0.8185,0.9055,0.8127,0.902,87498.72,71617.7
2017-10-04,0.7738,0.8482,0.7738,0.8182,78221.81,60528.04
2017-10-05,0.7735,0.8162,0.7569,0.7826,121966.23,94340.88
2017-10-06,0.8143,0.8414,0.7776,0.8084,115102.91,93728.3
2017-10-07,0.7778,0.822,0.7654,0.822,83846.25,65215.61
2017-10-08,0.6818,0.7877,0.6719,0.7734,99320.63,67716.81
2017-10-09,0.6527,0.694,0.6028,0.6542,122074.28,79677.88
2017-10-10,0.6924,0.7059,0.6086,0.656,157937.4,109355.86
2017-10-11,0.6957,0.7814,0.6884,0.7026,115024.82,80022.77
2017-10-12,0.6121,0.6957,0.6021,0.6957,106984.02,65484.92
