time,close,high,low,open,volumefrom,volumeto
2018-10-13,0.0004387,0.0004387,0.0004387,0.0004387,5571.71,2.44
2018-10-14,0.0005022,0.0005022,0.0004394,0.0004394,11699.25,5.88
2018-10-15,0.000529,0.000529,0.0003967,0.000529,5501.25,2.91
2018-10-16,0.0005266,0.0005266,0.0005266,0.0005266,6.13,0.003228
2018-10-17,0.0004602,0.000526,0.0004602,0.000526,250.0,0.115
2018-10-18,0.0004542,0.0005191,0.0003893,0.0004542,36159.09,16.42
2018-10-19,0.0004528,0.0004528,0.0004528,0.0004528,0.0,0.0
2018-10-20,0.0004543,0.0004543,0.0004543,0.0004543,6.11,0.002776
2018-10-21,0.0005208,0.0005208,0.0004557,0.0004557,14027.38,7.31
2018-10-22,0.0005187,0.0005187,0.0005187,0.0005187,0.0,0.0
2018-10-23,0.0005176,0.0005176,0.0004529,0.0005176,54930.77,28.43
2018-10-24,0.0005181,0.0005181,0.0005181,0.0005181,4097.5,2.12
2018-10-25,0.000517,0.000517,0.000517,0.000517,250.0,0.1293
2018-10-26,0.0005166,0.0005166,0.0005166,0.0005166,0.0,0.0
2018-10-27,0.0005176,0.0005176,0.0005176,0.0005176,0.0,0.0
2018-10-28,0.0005177,0.0005177,0.0005177,0.0005177,0.0,0.0
2018-10-29,0.000442,0.0005051,0.000442,0.0005051,3271.6,1.45
2018-10-30,0.0005047,0.0005047,0.0004416,0.0004416,502.0,0.2534
2018-10-31,0.0005074,0.0005074,0.0005074,0.0005074,2756.0,1.4
2018-11-01,0.0005105,0.0005105,0.0004467,0.0005105,261.38,0.1334
2018-11-02,0.0005116,0.0005116,0.0005116,0.0005116,10945.0,5.6
2018-11-03,0.0005101,0.0005101,0.0005101,0.0005101,5.63,0.002872
2018-11-04,0.0004527,0.0005174,0.0004527,0.0005174,91769.91,41.54
2018-11-05,0.0004504,0.0004504,0.0004504,0.0004504,0.0,0.0
2018-11-06,0.0004536,0.0004536,0.0004536,0.0004536,0.0,0.0
2018-11-07,0.0004571,0.0004571,0.0004571,0.0004571,0.0,0.0
2018-11-08,0.0004512,0.0004512,0.0004512,0.0004512,0.0,0.0
2018-11-09,0.000574,0.000574,0.0004465,0.0004465,408890.83,234.7
2018-11-10,0.0004477,0.0005757,0.0004477,0.0005757,4.12,0.001845
2018-11-11,0.0005127,0.0005767,0.0004486,0.0004486,83754.65,42.94
2018-11-12,0.0004463,0.00051,0.0004463,0.00051,391887.0,174.9
2018-11-13,0.0005705,0.0005705,0.0004437,0.0004437,2741.67,1.56
2018-11-14,0.0004019,0.0005167,0.0004019,0.0005167,60.03,0.02413
2018-11-15,0.0003953,0.0003953,0.0003953,0.0003953,81289.0,32.13
2018-11-16,0.000391,0.000391,0.0003352,0.000391,43555.2,17.03
2018-11-17,0.0003898,0.0003898,0.0003898,0.0003898,571.43,0.2227
2018-11-18,0.0003931,0.0003931,0.0003931,0.0003931,13751.29,5.41
2018-11-19,0.0002886,0.0003367,0.0002886,0.0003367,190900.0,55.09
2018-11-20,0.0002221,0.0002665,0.0002221,0.0002665,108539.86,24.11
2018-11-21,0.0002297,0.0002297,0.0002297,0.0002297,62200.0,14.29
2018-11-22,0.0003457,0.0003457,0.0001728,0.000216,4293.63,1.48
2018-11-23,0.0003475,0.0003475,0.0003475,0.0003475,0.0,0.0
2018-11-24,0.0003083,0.0003083,0.0003083,0.0003083,0.0,0.0
2018-11-25,0.0003203,0.0003203,0.0003203,0.0003203,0.0,0.0
2018-11-26,0.0003028,0.0003028,0.0003028,0.0003028,0.0,0.0
2018-11-27,0.0003058,0.0003058,0.0003058,0.0003058,0.0,0.0
2018-11-28,0.0003411,0.0003411,0.0003411,0.0003411,0.0,0.0
2018-11-29,0.0003429,0.0003429,0.0003429,0.0003429,0.0,0.0
2018-11-30,0.0003208,0.0003208,0.0003208,0.0003208,0.0,0.0
2018-12-01,0.0003358,0.0003358,0.0003358,0.0003358,0.0,0.0
2018-12-02,0.0003315,0.0003315,0.0003315,0.0003315,0.0,0.0
2018-12-03,0.0003097,0.0003097,0.0003097,0.0003097,0.0,0.0
2018-12-04,0.0003159,0.0003159,0.0003159,0.0003159,0.0,0.0
2018-12-05,0.000299,0.000299,0.000299,0.000299,0.0,0.0
2018-12-06,0.0002788,0.0002788,0.0002788,0.0002788,0.0,0.0
2018-12-07,0.0002736,0.0002736,0.0002736,0.0002736,0.0,0.0
2018-12-08,0.0002769,0.0002769,0.0002769,0.0002769,0.0,0.0
2018-12-09,0.0002874,0.0002874,0.0002874,0.0002874,0.0,0.0
2018-12-10,0.0002774,0.0002774,0.0002774,0.0002774,0.0,0.0
2018-12-11,0.0002721,0.0002721,0.0002721,0.0002721,0.0,0.0
2018-12-12,0.0002788,0.0002788,0.0002788,0.0002788,0.0,0.0
2018-12-13,0.0002644,0.0002644,0.0002644,0.0002644,0.0,0.0
2018-12-14,0.0002588,0.0002588,0.0002588,0.0002588,0.0,0.0
2018-12-15,0.0002586,0.0002586,0.0002586,0.0002586,0.0,0.0
2018-12-16,0.0002604,0.0002604,0.0002604,0.0002604,0.0,0.0
2018-12-17,0.0002839,0.0002839,0.0002839,0.0002839,0.0,0.0
2018-12-18,0.0002973,0.0002973,0.0002973,0.0002973,0.0,0.0
2018-12-19,0.0002989,0.0002989,0.0002989,0.0002989,0.0,0.0
2018-12-20,0.000331,0.000331,0.000331,0.000331,0.0,0.0
2018-12-21,0.0003119,0.0003119,0.0003119,0.0003119,0.0,0.0
2018-12-22,0.0003236,0.0003236,0.0003236,0.0003236,0.0,0.0
2018-12-23,0.0003206,0.0003206,0.0003206,0.0003206,0.0,0.0
2018-12-24,0.0003266,0.0003266,0.0003266,0.0003266,0.0,0.0
2018-12-25,0.0003068,0.0003068,0.0003068,0.0003068,0.0,0.0
2018-12-26,0.0003079,0.0003079,0.0003079,0.0003079,0.0,0.0
2018-12-27,0.0002917,0.0002917,0.0002917,0.0002917,0.0,0.0
2018-12-28,0.0003158,0.0003158,0.0003158,0.0003158,0.0,0.0
2018-12-29,0.0003038,0.0003038,0.0003038,0.0003038,0.0,0.0
2018-12-30,0.0003117,0.0003117,0.0003117,0.0003117,0.0,0.0
2018-12-31,0.0002998,0.0002998,0.0002998,0.0002998,0.0,0.0
2019-01-01,0.0003104,0.0003104,0.0003104,0.0003104,0.0,0.0
2019-01-02,0.0003169,0.0003169,0.0003169,0.0003169,0.0,0.0
2019-01-03,0.0003069,0.0003069,0.0003069,0.0003069,0.0,0.0
2019-01-04,0.0003099,0.0003099,0.0003099,0.0003099,0.0,0.0
2019-01-05,0.0003084,0.0003084,0.0003084,0.0003084,0.0,0.0
2019-01-06,0.0003282,0.0003282,0.0003282,0.0003282,0.0,0.0
2019-01-07,0.000324,0.000324,0.000324,0.000324,0.0,0.0
2019-01-08,0.0003233,0.0003233,0.0003233,0.0003233,0.0,0.0
2019-01-09,0.0003239,0.0003239,0.0003239,0.0003239,0.0,0.0
2019-01-10,0.0002935,0.0002935,0.0002935,0.0002935,0.0,0.0
