time,close,high,low,open,volumefrom,volumeto
2018-07-18,0.2875,0.297,0.2875,0.2875,3219.17,925.51
2018-07-19,0.2812,0.3399,0.2697,0.2813,726.92,204.41
2018-07-20,0.2553,0.2777,0.2553,0.2693,766.06,195.58
2018-07-21,0.2536,0.2766,0.2536,0.2622,225.0,57.06
2018-07-22,0.2746,0.3112,0.2407,0.2517,4034.31,1107.82
2018-07-23,0.2383,0.2698,0.2383,0.2698,1429.2,340.58
2018-07-24,0.2637,0.2877,0.2541,0.2541,6457.55,1702.86
2018-07-25,0.3157,0.3157,0.2592,0.2592,7294.96,2303.02
2018-07-26,0.2819,0.3419,0.2772,0.3095,3322.13,936.51
2018-07-27,0.3217,0.3474,0.3053,0.3053,7496.12,2411.5
2018-07-28,0.3186,0.342,0.3186,0.321,313.63,99.92
2018-07-29,0.3403,0.3403,0.3124,0.317,7059.15,2402.23
2018-07-30,0.3513,0.3648,0.2831,0.3333,8522.39,2993.92
2018-07-31,0.3313,0.3324,0.3313,0.3324,434.58,143.98
2018-08-01,0.2771,0.322,0.2645,0.322,1280.75,354.9
2018-08-02,0.2596,0.3019,0.2596,0.2711,667.73,173.34
2018-08-03,0.2648,0.3132,0.2639,0.2639,6095.82,1614.17
2018-08-04,0.2645,0.293,0.258,0.258,2869.27,758.92
2018-08-05,0.3037,0.3037,0.2657,0.2657,10615.82,3224.02
2018-08-06,0.3007,0.3008,0.2997,0.3008,4805.66,1445.06
2018-08-07,0.2396,0.2806,0.2396,0.2806,1207.0,289.2
2018-08-08,0.2308,0.2308,0.1422,0.2254,12043.11,2779.55
2018-08-09,0.2346,0.2361,0.1454,0.236,2998.93,703.55
2018-08-10,0.1353,0.214,0.1353,0.214,576.0,77.93
2018-08-11,0.2051,0.2051,0.1297,0.1297,1358.25,278.58
2018-08-12,0.222,0.222,0.1695,0.2053,12663.45,2811.29
2018-08-13,0.1513,0.1982,0.1513,0.1982,2870.0,434.23
2018-08-14,0.1447,0.1483,0.1447,0.1483,250.0,36.17
2018-08-15,0.1153,0.1462,0.1153,0.1462,4035.37,465.28
2018-08-16,0.1176,0.1176,0.1176,0.1176,0.0,0.0
2018-08-17,0.2058,0.2058,0.1302,0.1302,1196.2,246.18
2018-08-18,0.1622,0.2057,0.1622,0.1911,10611.3,1721.15
2018-08-19,0.1498,0.1648,0.1498,0.1648,800.0,119.84
2018-08-20,0.1625,0.189,0.1354,0.1354,6171.87,1002.93
2018-08-21,0.1912,0.1912,0.1687,0.1687,4702.43,899.1
2018-08-22,0.1839,0.1839,0.1839,0.1839,0.0,0.0
2018-08-23,0.1462,0.1876,0.1462,0.1876,1300.0,190.06
2018-08-24,0.1913,0.1913,0.1492,0.1492,752.65,143.98
2018-08-25,0.1721,0.1887,0.1721,0.1887,2281.4,392.63
2018-08-26,0.1701,0.1701,0.1701,0.1701,0.0,0.0
2018-08-27,0.2013,0.2013,0.1556,0.1786,8780.58,1767.53
2018-08-28,0.2491,0.2497,0.2065,0.2065,4097.97,1020.8
2018-08-29,0.2309,0.2439,0.2309,0.2433,2397.51,553.59
2018-08-30,0.3637,0.3637,0.1878,0.2273,137.73,50.09
2018-08-31,0.2028,0.3605,0.1871,0.3605,1737.68,352.4
2018-09-01,0.2363,0.2363,0.21,0.2127,2329.43,550.44
2018-09-02,0.2357,0.2357,0.2357,0.2357,688.36,162.25
2018-09-03,0.1907,0.2309,0.1907,0.2309,3311.0,631.41
2018-09-04,0.2282,0.2282,0.1883,0.1883,6370.8,1453.82
2018-09-05,0.1735,0.1826,0.1735,0.1826,764.75,132.68
2018-09-06,0.1744,0.1744,0.1744,0.1744,120.0,20.93
2018-09-07,0.1527,0.1635,0.1527,0.1635,560.0,85.51
2018-09-08,0.1476,0.1476,0.1397,0.1397,700.0,103.32
2018-09-09,0.1764,0.2273,0.147,0.147,1288.0,227.2
2018-09-10,0.1774,0.1794,0.1774,0.1774,1158.64,205.54
2018-09-11,0.1684,0.1684,0.1666,0.1666,620.0,104.41
2018-09-12,0.2105,0.2105,0.1373,0.1665,1924.64,405.14
2018-09-13,0.1796,0.243,0.1696,0.243,4397.89,789.86
2018-09-14,0.1692,0.2402,0.1692,0.1775,394.18,66.7
2018-09-15,0.2637,0.2637,0.1795,0.1795,11347.65,2992.38
2018-09-16,0.218,0.2619,0.218,0.2619,1337.95,291.67
2018-09-17,0.1942,0.2541,0.1668,0.1941,21437.05,4163.08
2018-09-18,0.2497,0.2501,0.2065,0.2065,4857.21,1212.85
2018-09-19,0.2079,0.2515,0.2079,0.2513,4251.2,883.82
2018-09-20,0.2639,0.2639,0.2227,0.2227,1570.26,414.39
2018-09-21,0.2454,0.2908,0.2454,0.2908,4972.9,1220.35
2018-09-22,0.2649,0.2702,0.1324,0.2385,9468.17,2508.12
2018-09-23,0.1516,0.1541,0.1516,0.1541,4008.46,607.68
2018-09-24,0.2188,0.2188,0.1413,0.1413,14332.66,3135.99
2018-09-25,0.1622,0.228,0.1622,0.2104,3453.68,560.19
2018-09-26,0.1971,0.1971,0.1585,0.1585,8784.77,1731.48
2018-09-27,0.2108,0.2108,0.2108,0.2108,0.0,0.0
2018-09-28,0.2043,0.2043,0.1642,0.2038,3196.7,653.09
2018-09-29,0.2133,0.2133,0.2133,0.2133,100.0,21.33
2018-09-30,0.1628,0.2144,0.1628,0.2144,2943.98,479.28
2018-10-01,0.1501,0.2128,0.1501,0.1616,5227.58,784.66
2018-10-02,0.2028,0.2029,0.1465,0.1465,16588.3,3364.11
2018-10-03,0.1652,0.2002,0.165,0.198,10095.36,1667.75
2018-10-04,0.2218,0.2218,0.1575,0.1665,18410.47,4083.44
2018-10-05,0.1823,0.2279,0.1712,0.2279,8475.89,1545.15
2018-10-06,0.1687,0.1797,0.1687,0.1797,1372.96,231.62
2018-10-07,0.1695,0.1695,0.1695,0.1695,1000.0,169.5
2018-10-08,0.1812,0.2293,0.1722,0.1722,12500.0,2265.0
2018-10-09,0.1798,0.1798,0.1797,0.1797,800.0,143.84
2018-10-10,0.1847,0.1847,0.178,0.178,1900.0,350.93
2018-10-11,0.1519,0.1557,0.1502,0.1557,1855.01,281.78
2018-10-12,0.1958,0.1958,0.1529,0.1568,16729.95,3275.72
2018-10-13,0.1792,0.1993,0.1556,0.1993,1809.55,324.27
2018-10-14,0.1656,0.1656,0.154,0.154,4327.76,716.68
2018-10-15,0.179,0.179,0.179,0.179,359.55,64.36
2018-10-16,0.2481,0.2901,0.1581,0.1785,20044.83,4973.12
2018-10-17,0.245,0.245,0.245,0.245,0.0,0.0
2018-10-18,0.1944,0.2389,0.1944,0.2389,2894.95,562.78
2018-10-19,0.2331,0.2331,0.1745,0.1927,4078.68,950.74
2018-10-20,0.2356,0.2356,0.2356,0.2356,0.0,0.0
2018-10-21,0.1762,0.2353,0.1762,0.2353,1045.98,184.3
2018-10-22,0.1749,0.1893,0.1749,0.1752,1129.7,197.58
2018-10-23,0.1894,0.1894,0.175,0.175,182.8,34.62
2018-10-24,0.1745,0.2309,0.1745,0.1887,238.77,41.67
