time,close,high,low,open,volumefrom,volumeto
2018-08-23,0.001354,0.001354,0.001354,0.001354,7000.0,9.48
2018-08-24,0.001382,0.001382,0.001382,0.001382,0.0,0.0
2018-08-25,0.001363,0.001363,0.001363,0.001363,0.0,0.0
2018-08-26,0.006852,0.006852,0.001347,0.001347,2112.39,14.47
2018-08-27,0.00288,0.007195,0.00288,0.007195,9.0,0.02592
2018-08-28,0.0008867,0.002956,0.0005911,0.002956,100.0,0.08867
2018-08-29,0.000866,0.000866,0.000866,0.000866,1500.0,1.3
2018-08-30,0.0008524,0.0008524,0.0008524,0.0008524,0.0,0.0
2018-08-31,0.000845,0.000845,0.000845,0.000845,0.0,0.0
2018-09-01,0.0008861,0.0008861,0.0008861,0.0008861,0.0,0.0
2018-09-02,0.001475,0.001475,0.0008851,0.0008851,3.0,0.004425
2018-09-03,0.001803,0.001803,0.001803,0.001803,3317180.0,5980.88
2018-09-04,0.00178,0.00178,0.00178,0.00178,4.55,0.008099
2018-09-05,0.001431,0.001431,0.001141,0.001424,5765.63,8.25
2018-09-06,0.001439,0.001439,0.001439,0.001439,10709.78,15.41
2018-09-07,0.001349,0.001349,0.001349,0.001349,758.49,1.02
2018-09-08,0.001364,0.001364,0.001364,0.001364,18.54,0.02529
2018-09-09,0.001178,0.001437,0.001176,0.001176,315.79,0.372
2018-09-10,0.001185,0.001185,0.001185,0.001185,1291.71,1.53
2018-09-11,0.0009258,0.001113,0.0009258,0.001113,434.09,0.4019
2018-09-12,0.001283,0.001283,0.0009152,0.0009152,14.27,0.01831
2018-09-13,0.001481,0.001481,0.001481,0.001481,0.0,0.0
2018-09-14,0.001316,0.001464,0.001253,0.001253,15945042.03,20983.68
2018-09-15,0.001374,0.001474,0.001374,0.001396,40321029.0,55401.09
2018-09-16,0.001369,0.001374,0.001365,0.001365,20316816.0,27813.72
2018-09-17,0.001217,0.001233,0.001217,0.001219,5870091.0,7143.9
2018-09-18,0.001252,0.001323,0.001252,0.001294,32310545.0,40452.8
2018-09-19,0.001284,0.00129,0.001261,0.001261,77961753.92,100102.89
2018-09-20,0.001432,0.001438,0.001432,0.001438,1443.0,2.07
2018-09-21,0.001578,0.001578,0.001578,0.001578,0.0,0.0
2018-09-22,0.001565,0.001565,0.001534,0.001534,1535.38,2.4
2018-09-23,0.00159,0.00159,0.00159,0.00159,3.08,0.004897
2018-09-24,0.001481,0.001481,0.001481,0.001481,0.0,0.0
2018-09-25,0.001407,0.001418,0.001398,0.001407,45825980.05,64477.15
2018-09-26,0.001339,0.001375,0.001339,0.001375,31652334.0,42382.48
2018-09-27,0.001432,0.001432,0.001432,0.001432,0.0,0.0
2018-09-28,0.001385,0.001385,0.001385,0.001385,0.0,0.0
2018-09-29,0.001446,0.001446,0.001446,0.001446,0.0,0.0
2018-09-30,0.00121,0.001454,0.00121,0.001454,3676.9,4.45
2018-10-01,0.001201,0.001201,0.001201,0.001201,2148.07,2.58
2018-10-02,0.001172,0.001172,0.001172,0.001172,0.0,0.0
2018-10-03,0.001144,0.001144,0.001144,0.001144,67.46,0.07717
2018-10-04,0.001153,0.001153,0.001153,0.001153,0.0,0.0
2018-10-05,0.001196,0.001196,0.001185,0.001185,29.99,0.03587
