time,close,high,low,open,volumefrom,volumeto
2017-11-15,0.764,0.8733,0.7255,0.7255,373235.0,285151.54
2017-11-16,0.7579,0.9401,0.7579,0.8239,1763474.0,1336536.94
2017-11-17,0.663,0.7461,0.6334,0.743,2798639.0,1855497.66
2017-11-18,0.7549,0.7952,0.662,0.669,4478597.0,3380892.88
2017-11-19,0.8228,0.9812,0.746,0.7803,12643842.0,10403353.2
2017-11-20,0.85,0.9399,0.8253,0.8451,32609630.0,27718185.5
2017-11-21,0.7431,0.8367,0.6966,0.8367,2008275.0,1492349.15
2017-11-22,0.6855,0.7769,0.6018,0.7554,1646686.0,1128803.25
2017-11-23,0.5799,0.6738,0.569,0.6671,1123815.0,651700.32
2017-11-24,0.5838,0.6485,0.5294,0.5934,1478214.0,862981.33
2017-11-25,0.6062,0.6963,0.515,0.6232,811136.0,491710.64
2017-11-26,0.6641,0.7024,0.6102,0.6452,763370.0,506954.02
2017-11-27,0.632,0.7264,0.6135,0.6937,879764.0,556010.85
2017-11-28,0.5716,0.6535,0.5557,0.6432,653832.0,373730.37
2017-11-29,0.5006,0.5942,0.4407,0.5676,1033782.0,517511.27
2017-11-30,0.522,0.522,0.4198,0.5062,799296.0,417232.51
2017-12-01,0.523,0.57,0.4866,0.57,479720.0,250893.56
2017-12-02,0.5095,0.5496,0.4866,0.5254,344850.0,175701.08
2017-12-03,0.5396,0.5732,0.5054,0.5251,631572.0,340796.25
2017-12-04,0.7812,0.8602,0.536,0.5577,2064191.23,1612546.19
2017-12-05,0.7263,0.9662,0.6641,0.7841,2309486.58,1677380.1
2017-12-06,0.9913,1.08,0.8131,0.8559,1799648.13,1783991.19
2017-12-07,0.8172,1.6,0.7599,1.21,3722084.55,3041687.49
2017-12-08,0.8797,1.19,0.6419,0.7783,1349995.74,1187591.25
2017-12-09,0.8575,0.898,0.7459,0.8137,584763.69,501434.86
2017-12-10,0.7351,0.9349,0.6927,0.87,640782.52,471039.23
2017-12-11,0.8443,0.8868,0.7531,0.8167,500689.5,422732.14
2017-12-12,0.8007,0.867,0.6931,0.8621,784774.23,628368.73
2017-12-13,0.8839,0.8915,0.7021,0.7634,1205437.89,1065486.55
2017-12-14,1.03,1.12,0.8437,0.8937,1267079.01,1305091.38
2017-12-15,0.9554,1.1,0.8332,1.1,893464.75,853616.22
2017-12-16,1.13,1.39,1.01,1.05,2030887.12,2294902.45
2017-12-17,1.16,1.24,1.02,1.11,1466869.24,1701568.32
2017-12-18,1.22,1.34,1.06,1.15,2385261.86,2910019.47
2017-12-19,1.15,1.47,1.09,1.09,2705281.13,3111073.3
2017-12-20,1.03,1.12,0.9698,1.08,1581310.74,1628750.06
2017-12-21,1.12,1.21,0.9761,0.9761,1694002.94,1897283.29
2017-12-22,0.924,1.02,0.8445,0.9781,829794.75,766730.35
2017-12-23,1.61,2.13,0.9414,0.9529,6891755.72,11095726.71
2017-12-24,1.92,2.19,1.32,1.56,3933547.61,7552411.41
2017-12-25,1.72,2.14,1.51,1.92,1281783.6,2204667.79
2017-12-26,1.73,2.06,1.58,1.95,1226643.9,2122093.95
2017-12-27,2.13,2.36,1.56,1.69,2224117.6,4737370.49
2017-12-28,2.23,2.56,1.86,1.99,1308988.82,2919045.07
2017-12-29,2.16,2.5,2.05,2.21,1142019.46,2466762.03
2017-12-30,2.23,2.24,1.78,1.88,945010.3,2107372.97
2017-12-31,2.3,2.51,2.19,2.46,595233.15,1369036.25
2018-01-01,2.24,2.35,2.11,2.23,626743.84,1403906.2
2018-01-02,2.35,2.59,2.21,2.46,725121.87,1704036.39
2018-01-03,3.49,4.05,2.1,2.41,2166478.07,7561008.46
2018-01-04,4.29,4.53,3.16,3.5,1659355.89,7118636.77
2018-01-05,5.44,5.93,3.26,4.79,1973331.67,10734924.28
2018-01-06,6.15,6.85,4.3,5.59,1987351.02,12222208.77
2018-01-07,7.4,7.84,5.53,5.93,1810471.35,13397487.99
2018-01-08,7.06,7.41,5.47,6.74,1499575.13,10587000.42
2018-01-09,7.81,8.18,5.35,6.82,1315861.88,10276881.28
2018-01-10,8.34,8.8,7.63,8.06,1280290.86,10677625.77
2018-01-11,6.93,7.69,6.01,7.44,1132009.16,7844823.48
2018-01-12,6.73,7.54,6.37,7.21,870672.22,5859624.04
2018-01-13,5.95,7.12,5.86,6.93,679336.58,4042052.65
2018-01-14,5.77,7.83,5.3,5.69,1770693.44,10216901.15
2018-01-15,5.16,6.54,4.92,5.77,1001319.39,5166808.05
2018-01-16,3.73,4.96,3.29,4.27,1508942.23,5628354.52
2018-01-17,4.61,5.46,3.26,3.69,1320657.32,6088230.25
2018-01-18,5.43,6.02,4.41,4.61,1320064.75,7167951.59
2018-01-19,5.07,5.95,5.02,5.6,739714.78,3750353.93
2018-01-20,5.37,5.78,5.22,5.62,823042.09,4419736.02
2018-01-21,4.57,4.85,4.27,4.83,580857.18,2654517.31
2018-01-22,4.22,4.6,4.16,4.28,586477.41,2474934.67
2018-01-23,4.37,4.6,4.13,4.24,400827.83,1751617.62
2018-01-24,4.67,4.8,4.53,4.59,327510.13,1529472.31
2018-01-25,4.52,4.9,4.47,4.57,425343.78,1922553.89
2018-01-26,4.76,4.85,4.23,4.49,466338.7,2219772.21
2018-01-27,4.85,5.0,4.58,4.91,333001.28,1615056.21
2018-01-28,4.83,5.28,4.72,4.96,411981.17,1989869.05
2018-01-29,4.46,4.68,4.39,4.63,320818.38,1430849.97
2018-01-30,4.02,4.14,3.74,4.01,444802.92,1788107.74
2018-01-31,4.2,4.3,3.91,4.06,396166.85,1663900.77
2018-02-01,3.45,3.76,3.05,3.74,456826.68,1576052.05
2018-02-02,3.03,3.41,2.51,3.35,482283.82,1461319.97
2018-02-03,3.45,3.66,3.02,3.16,315926.41,1089946.11
2018-02-04,2.72,3.14,2.61,3.07,256472.55,697605.34
2018-02-05,1.97,2.32,1.86,2.31,514339.34,1013248.5
2018-02-06,2.64,2.79,1.0,2.19,987804.79,2607804.65
2018-02-07,2.68,2.92,2.39,2.61,741160.36,1986309.76
2018-02-08,2.98,3.09,2.81,2.92,87334.74,260257.53
2018-02-09,2.96,3.43,2.91,3.13,806040.33,2385879.38
2018-02-10,2.57,2.93,2.34,2.92,1099588.9,2825943.47
2018-02-11,2.28,2.49,2.1,2.43,1252965.34,2856760.98
2018-02-12,2.42,2.56,2.23,2.51,1132143.05,2739786.18
2018-02-13,2.29,2.41,2.22,2.33,430222.53,985209.59
2018-02-14,2.63,2.84,2.52,2.54,625068.59,1643930.39
2018-02-15,3.12,3.42,2.71,2.78,2431337.92,7585774.31
2018-02-16,3.15,3.33,3.04,3.14,957713.76,3016798.34
2018-02-17,3.61,3.63,3.37,3.44,723052.78,2610220.54
2018-02-18,3.09,3.54,2.98,3.39,487564.1,1506573.07
2018-02-19,3.34,3.44,3.28,3.3,517134.86,1727230.43
2018-02-20,2.68,3.38,2.6,3.36,904114.3,2423026.32
2018-02-21,2.57,2.71,2.47,2.5,772908.78,1986375.56
2018-02-22,2.49,2.65,2.37,2.41,811946.35,2021746.41
2018-02-23,2.58,2.65,2.47,2.57,517578.62,1335352.84
2018-02-24,2.51,2.58,2.38,2.48,469258.51,1177838.86
2018-02-25,2.91,3.31,2.48,2.48,2600573.59,7567669.15
2018-02-26,2.82,3.18,2.74,3.13,1069687.3,3016518.19
2018-02-27,2.85,2.96,2.66,2.9,781509.62,2227302.42
2018-02-28,2.6,2.85,2.6,2.78,574645.03,1494077.08
2018-03-01,2.76,2.9,2.7,2.75,549073.97,1515444.16
2018-03-02,3.18,3.38,2.75,2.79,1367676.71,4349211.94
2018-03-03,3.58,3.81,2.98,3.3,1623191.8,5811026.64
2018-03-04,3.5,3.73,3.36,3.6,1030525.8,3606840.3
2018-03-05,3.85,3.98,3.36,3.48,795812.42,3063877.82
2018-03-06,4.03,4.17,3.45,3.62,3171834.71,12782493.88
2018-03-07,3.67,3.87,3.26,3.73,2345945.25,8609619.07
2018-03-08,2.93,3.45,2.77,3.44,1672549.78,4900570.86
2018-03-09,3.15,3.19,2.62,2.91,1593994.39,5021082.33
2018-03-10,3.18,3.42,2.99,3.0,1776427.29,5649038.78
2018-03-11,3.45,3.64,3.34,3.45,1285528.14,4435072.08
2018-03-12,3.38,3.38,3.21,3.3,1024976.85,3464421.75
2018-03-13,3.04,3.39,3.04,3.39,1097016.8,3334931.07
2018-03-14,2.54,2.79,2.47,2.73,1341159.87,3406546.07
2018-03-15,2.55,2.68,2.34,2.57,2568649.81,6550057.02
2018-03-16,2.52,2.59,2.37,2.56,3379017.23,8515123.42
2018-03-17,2.26,2.42,2.21,2.4,3127298.61,7067694.86
2018-03-18,2.33,2.45,2.07,2.35,3273759.85,7627860.45
2018-03-19,2.66,2.68,2.43,2.44,3599191.31,9573848.88
2018-03-20,2.74,2.88,2.54,2.75,3680961.9,10085835.61
2018-03-21,2.9,3.13,2.72,2.75,3951463.35,11459243.72
2018-03-22,2.75,2.87,2.64,2.84,3551474.35,9766554.46
2018-03-23,2.72,2.83,2.63,2.81,2895875.15,7876780.41
2018-03-24,2.7,2.83,2.59,2.6,3193197.87,8621634.25
2018-03-25,2.95,3.06,2.67,2.67,3087784.94,9108965.57
2018-03-26,2.76,3.04,2.63,2.83,3771927.04,10410518.63
2018-03-27,2.5,2.68,2.47,2.65,3439908.62,8599771.55
2018-03-28,2.59,2.63,2.54,2.55,3752080.91,9717889.56
2018-03-29,2.18,2.34,2.17,2.31,3542992.91,7723724.54
2018-03-30,2.28,2.31,2.02,2.1,3243608.24,7395426.79
2018-03-31,2.22,2.37,2.2,2.31,3071867.56,6819545.98
2018-04-01,2.06,2.2,2.04,2.19,4020739.67,8282723.72
2018-04-02,2.05,2.14,2.03,2.13,4054800.99,8312342.03
2018-04-03,2.12,2.16,1.99,2.15,4118218.17,8730622.52
2018-04-04,1.86,1.95,1.82,1.95,2539774.38,4723980.35
2018-04-05,1.81,1.89,1.77,1.85,3079311.59,5573553.98
2018-04-06,1.71,1.78,1.69,1.76,3380484.31,5780628.17
2018-04-07,1.86,1.94,1.77,1.79,3958465.7,7362746.2
2018-04-08,1.99,2.01,1.89,1.89,3498518.64,6962052.09
2018-04-09,1.89,1.96,1.84,1.92,3565832.67,6739423.75
2018-04-10,1.89,1.92,1.84,1.91,3322054.9,6278683.76
2018-04-11,2.02,2.02,1.92,1.92,2995289.45,6050484.69
2018-04-12,2.41,2.41,2.19,2.29,3774461.96,9096453.32
2018-04-13,2.33,2.4,2.28,2.4,3795598.26,8843743.95
2018-04-14,2.32,2.37,2.26,2.36,3221712.3,7474372.54
2018-04-15,2.43,2.46,2.39,2.42,3442995.18,8366478.29
2018-04-16,2.28,2.36,2.23,2.35,3787701.26,8635958.87
2018-04-17,2.26,2.29,2.21,2.24,3742352.68,8457717.06
2018-04-18,2.44,2.46,2.31,2.34,3986782.61,9727749.57
2018-04-19,2.64,2.67,2.46,2.47,4314891.66,11391313.98
2018-04-20,2.73,2.85,2.7,2.83,3979419.8,10863816.05
2018-04-21,2.57,2.75,2.52,2.75,3888677.44,9993901.02
2018-04-22,2.8,2.96,2.53,2.53,4497305.22,12592454.62
2018-04-23,3.13,3.17,2.83,2.85,4742502.91,14844034.11
2018-04-24,3.24,3.39,3.23,3.37,4658575.88,15093785.85
2018-04-25,2.7,2.99,2.64,2.97,4505557.67,12165005.71
2018-04-26,3.04,3.16,2.79,2.81,4167216.63,12668338.56
2018-04-27,3.12,3.28,2.89,2.93,4579933.12,14289391.33
2018-04-28,3.87,3.91,3.21,3.25,5725779.35,22158766.08
2018-04-29,4.3,4.37,3.55,3.88,4766834.66,20497389.04
2018-04-30,3.84,4.25,3.8,4.23,4263088.94,16370261.53
