time,close,high,low,open,volumefrom,volumeto
2014-06-18,1.9,1.9,1.88,1.88,0.02789,0.05299
2014-06-19,1.88,1.88,1.88,1.88,0.0,0.0
2014-06-20,1.64,1.85,1.64,1.85,0.000143,0.0002345
2014-06-21,1.65,1.65,1.65,1.65,0.0,0.0
2014-06-22,1.42,1.67,1.42,1.67,0.1,0.142
2014-06-23,0.2365,1.45,0.2365,1.39,320.25,75.74
2014-06-24,1.52,1.52,0.2355,0.2355,0.144,0.2189
2014-06-25,1.47,1.47,1.47,1.47,0.0,0.0
2014-06-26,1.51,1.51,1.51,1.51,0.0,0.0
2014-06-27,1.51,1.56,1.51,1.56,0.028,0.04228
2014-06-28,1.5,1.5,1.5,1.5,0.0,0.0
2014-06-29,1.51,1.51,1.51,1.51,0.0,0.0
2014-06-30,1.59,1.59,1.59,1.59,0.0,0.0
2014-07-01,0.9648,1.61,0.9648,1.61,0.0004216,0.0004068
2014-07-02,0.904,0.9686,0.904,0.9686,0.0004208,0.0003804
2014-07-03,0.8932,0.8932,0.8932,0.8932,0.0,0.0
2014-07-04,0.9353,0.9353,0.8735,0.8735,0.03979,0.03722
2014-07-05,1.82,1.82,0.9338,0.9338,0.0002339,0.0004257
2014-07-06,1.83,1.83,1.83,1.83,0.0,0.0
2014-07-07,1.79,1.79,1.79,1.79,0.0,0.0
2014-07-08,1.38,1.79,1.38,1.79,0.04187,0.05778
2014-07-09,1.41,1.42,1.4,1.4,0.01358,0.01915
2014-07-10,1.4,1.4,1.4,1.4,0.0,0.0
2014-07-11,1.43,1.43,1.43,1.43,0.0,0.0
2014-07-12,1.14,1.44,1.14,1.44,0.7936,0.9047
2014-07-13,1.13,1.13,1.13,1.13,0.0,0.0
2014-07-14,1.11,1.11,1.11,1.11,0.0,0.0
2014-07-15,1.12,1.12,1.12,1.12,0.0,0.0
2014-07-16,1.11,1.11,1.11,1.11,0.7919,0.879
2014-07-17,1.13,1.13,1.13,1.13,0.0,0.0
2014-07-18,1.13,1.13,1.13,1.13,0.0,0.0
2014-07-19,1.13,1.13,1.13,1.13,0.0,0.0
2014-07-20,1.12,1.12,1.12,1.12,0.0,0.0
2014-07-21,1.13,1.13,1.13,1.13,0.0,0.0
2014-07-22,1.12,1.12,1.12,1.12,0.0,0.0
2014-07-23,1.12,1.12,1.12,1.12,1.22,1.37
2014-07-24,1.08,1.08,1.08,1.08,0.0,0.0
2014-07-25,1.08,1.08,1.08,1.08,0.0,0.0
2014-07-26,1.07,1.07,1.07,1.07,0.0,0.0
2014-07-27,1.07,1.07,1.07,1.07,0.0,0.0
2014-07-28,1.06,1.06,1.06,1.06,1.53,1.62
2014-07-29,1.05,1.05,1.05,1.05,6.45,6.77
2014-07-30,1.02,1.02,1.02,1.02,0.0,0.0
2014-07-31,1.06,1.06,1.06,1.06,0.0,0.0
2014-08-01,1.08,1.08,1.08,1.08,0.0,0.0
2014-08-02,1.07,1.07,1.07,1.07,0.0,0.0
2014-08-03,0.8245,1.06,0.8245,1.06,0.2371,0.1955
2014-08-04,0.8299,0.8299,0.8299,0.8299,0.0,0.0
