time,close,high,low,open,volumefrom,volumeto
2016-09-22,0.03693,0.03814,0.03677,0.03788,27397.06,1011.77
2016-09-23,0.03464,0.03738,0.03256,0.03738,129234.38,4476.68
2016-09-24,0.0405,0.04067,0.03139,0.03462,58444.22,2366.99
2016-09-25,0.03366,0.04043,0.0334,0.04043,26027.01,876.07
2016-09-26,0.03283,0.03756,0.0313,0.03394,37132.33,1219.05
2016-09-27,0.04084,0.04084,0.03154,0.03277,97570.09,3984.76
2016-09-28,0.03628,0.04078,0.03134,0.04078,125313.82,4546.39
2016-09-29,0.03868,0.04051,0.03175,0.03628,47833.87,1850.21
2016-09-30,0.03305,0.0389,0.03193,0.0389,66207.55,2188.16
2016-10-01,0.03665,0.03666,0.03251,0.03333,45785.68,1678.05
2016-10-02,0.03208,0.03649,0.03207,0.03649,35016.25,1123.32
2016-10-03,0.03322,0.03377,0.03212,0.03213,14455.8,480.22
2016-10-04,0.02946,0.03398,0.02804,0.03308,14244.33,419.64
2016-10-05,0.03166,0.03364,0.01904,0.0296,160306.93,5075.32
2016-10-06,0.03005,0.03055,0.02203,0.03161,42003.82,1262.21
2016-10-07,0.02945,0.02945,0.02464,0.0303,123791.17,3645.65
2016-10-08,0.02872,0.02952,0.02781,0.02952,47050.55,1351.29
2016-10-09,0.02802,0.02821,0.02771,0.02863,94283.75,2641.83
2016-10-10,0.02559,0.02901,0.02548,0.02809,32436.33,830.05
2016-10-11,0.02784,0.02805,0.02562,0.02655,25928.53,721.85
2016-10-12,0.0269,0.02765,0.02548,0.02765,37601.82,1011.49
2016-10-13,0.02771,0.02823,0.02688,0.02688,61525.79,1704.88
2016-10-14,0.02892,0.02896,0.02781,0.02781,57677.36,1668.03
2016-10-15,0.02781,0.03121,0.02781,0.02888,34789.34,967.49
2016-10-16,0.03138,0.03192,0.02753,0.02795,45322.92,1422.23
2016-10-17,0.03458,0.03458,0.0255,0.03124,120784.53,4176.73
2016-10-18,0.03327,0.03447,0.0274,0.03447,37296.4,1240.85
2016-10-19,0.02835,0.03294,0.02834,0.03294,37204.91,1054.76
2016-10-20,0.03142,0.03167,0.02655,0.02831,89503.04,2812.19
2016-10-21,0.03232,0.0325,0.02732,0.03152,47403.14,1532.07
2016-10-22,0.03356,0.0336,0.02884,0.03361,23133.5,776.36
2016-10-23,0.03265,0.03353,0.03108,0.03344,78691.76,2569.29
2016-10-24,0.0326,0.0333,0.03095,0.03252,24195.95,788.79
2016-10-25,0.03106,0.03263,0.02937,0.03263,59233.05,1839.78
2016-10-26,0.0296,0.03373,0.02699,0.03219,113303.21,3353.78
2016-10-27,0.02662,0.03209,0.02662,0.02993,47194.7,1256.32
2016-10-28,0.03238,0.03294,0.02676,0.02677,45409.17,1470.35
2016-10-29,0.02251,0.03373,0.0143,0.03373,451351.19,10159.92
2016-10-30,0.02148,0.02701,0.02103,0.02195,11708.47,251.5
2016-10-31,0.02027,0.02654,0.01622,0.02153,36219.1,734.16
2016-11-01,0.02689,0.02893,0.02108,0.02108,36524.28,982.14
2016-11-02,0.02541,0.02714,0.02127,0.02714,10054.7,255.49
2016-11-03,0.0209,0.02398,0.01987,0.02372,11175.79,233.57
2016-11-04,0.02056,0.0242,0.01632,0.02143,40038.17,823.18
2016-11-05,0.02186,0.02186,0.01767,0.02056,20961.77,458.22
2016-11-06,0.02278,0.02278,0.0204,0.0221,1483.71,33.8
2016-11-07,0.01784,0.0268,0.0156,0.02264,250573.55,4470.23
2016-11-08,0.02222,0.02477,0.01798,0.01798,17304.0,384.49
2016-11-09,0.01545,0.0238,0.01545,0.02255,160167.09,2474.58
2016-11-10,0.02064,0.02238,0.0153,0.0153,104130.27,2149.25
2016-11-11,0.02218,0.02352,0.0179,0.02065,90723.35,2012.24
2016-11-12,0.02168,0.02317,0.01767,0.02185,136903.06,2968.06
2016-11-13,0.02927,0.02927,0.02112,0.02161,155214.23,4543.12
