time,close,high,low,open,volumefrom,volumeto
2019-01-11,1.144e-05,1.144e-05,6.36e-06,6.36e-06,5545067.42,63.44
2019-01-12,1.132e-05,1.132e-05,1.007e-05,1.132e-05,37737163.56,427.18
2019-01-13,1.049e-05,1.049e-05,9.32e-06,1.049e-05,28833378.85,302.46
2019-01-14,1.168e-05,1.297e-05,1.168e-05,1.168e-05,46697867.6,545.43
2019-01-15,1.091e-05,1.091e-05,1.091e-05,1.091e-05,16929707.36,184.7
2019-01-16,1.108e-05,1.108e-05,9.85e-06,1.108e-05,21106181.07,233.86
2019-01-17,9.9e-06,1.113e-05,9.9e-06,1.113e-05,57447155.52,568.73
2019-01-18,9.65e-06,9.65e-06,9.65e-06,9.65e-06,250000.0,2.41
2019-01-19,9.99e-06,1.124e-05,9.99e-06,9.99e-06,2390626.37,23.88
2019-01-20,9.47e-06,1.184e-05,9.47e-06,9.47e-06,7643701.53,72.39
2019-01-21,1.05e-05,1.05e-05,9.34e-06,9.34e-06,9479895.63,99.54
2019-01-22,8.34e-06,1.072e-05,8.34e-06,1.072e-05,4231085.07,35.29
2019-01-23,7.05e-06,1.058e-05,7.05e-06,8.23e-06,3313390.97,23.36
2019-01-24,8.24e-06,1.059e-05,7.06e-06,7.06e-06,17339505.54,142.88
2019-01-25,9.27e-06,1.043e-05,8.11e-06,8.11e-06,81910.82,0.7593
2019-01-26,8.14e-06,9.31e-06,8.14e-06,9.31e-06,1537931.28,12.52
2019-01-27,8.98e-06,8.98e-06,7.86e-06,7.86e-06,4461717.9,40.07
2019-01-28,8.51e-06,9.57e-06,8.51e-06,8.51e-06,27407331.5,233.24
2019-01-29,9.43e-06,1.047e-05,8.38e-06,8.38e-06,13872907.23,130.82
2019-01-30,9.81e-06,9.81e-06,9.81e-06,9.81e-06,100000.0,0.981
2019-01-31,1.069e-05,1.069e-05,9.62e-06,9.62e-06,5776999.94,61.76
2019-02-01,9.63e-06,1.284e-05,9.63e-06,1.07e-05,14205903.08,136.8
2019-02-02,1.11e-05,1.332e-05,9.99e-06,9.99e-06,11716587.15,130.05
2019-02-03,1.072e-05,1.179e-05,9.65e-06,1.072e-05,16734664.01,179.4
