time,close,high,low,open,volumefrom,volumeto
2017-07-31,0.3999,0.6384,0.3143,0.4163,37645.31,15054.36
2017-08-01,0.3664,0.4653,0.3461,0.381,97832.37,35845.78
2017-08-02,0.3197,0.4353,0.3033,0.3629,128411.77,41053.24
2017-08-03,0.3479,0.4774,0.2808,0.3302,165357.41,57527.84
2017-08-04,0.3768,0.3897,0.3224,0.3564,142704.29,53770.98
2017-08-05,0.4098,0.4568,0.3948,0.4271,145403.44,59586.33
2017-08-06,0.4279,0.4644,0.403,0.4059,94180.63,40299.89
2017-08-07,0.3997,0.464,0.3912,0.4504,106321.39,42496.66
2017-08-08,0.4338,0.463,0.3944,0.403,104624.71,45386.2
2017-08-09,0.4186,0.4521,0.3935,0.4209,98707.84,41319.1
2017-08-10,0.4751,0.5036,0.394,0.4282,155429.66,73844.63
2017-08-11,0.6176,0.6713,0.5069,0.5069,153488.07,94794.23
2017-08-12,0.6706,0.6911,0.6179,0.6543,127370.98,85414.98
2017-08-13,0.6744,0.7252,0.6419,0.7036,92844.34,62614.22
2017-08-14,0.7223,0.7725,0.6743,0.7184,125570.66,90699.69
2017-08-15,0.732,0.7649,0.5826,0.6946,138367.21,101284.8
2017-08-16,0.7213,0.7897,0.6177,0.7717,116565.34,84078.58
2017-08-17,0.9927,1.24,0.6679,0.7035,201151.54,199683.13
2017-08-18,1.63,1.83,0.7907,0.9524,497687.14,811230.04
2017-08-19,1.66,2.06,0.86,1.65,629826.74,1045512.39
2017-08-20,2.78,2.85,1.52,1.62,651278.73,1810554.87
2017-08-21,1.5,2.79,1.22,2.73,781707.16,1172560.74
2017-08-22,1.4,1.92,1.19,1.53,229921.68,321890.35
2017-08-23,1.21,1.45,1.16,1.42,133379.17,161388.8
2017-08-24,1.09,1.31,1.05,1.27,107114.37,116754.66
2017-08-25,1.06,1.65,0.9244,1.1,162749.78,172514.77
2017-08-26,0.9575,1.16,0.9196,1.06,14670.75,14047.24
2017-08-27,1.02,1.26,0.9126,0.9561,60521.06,61731.48
2017-08-28,0.9663,1.11,0.9492,1.03,104504.95,100983.13
2017-08-29,0.8146,1.07,0.7903,1.01,120419.92,98094.07
2017-08-30,0.8676,0.9441,0.7502,0.8121,69186.26,60026.0
2017-08-31,0.7415,0.8964,0.7415,0.8964,102639.85,76107.45
2017-09-01,0.79,0.8372,0.7462,0.7708,76432.84,60381.94
2017-09-02,0.7245,0.9285,0.6906,0.7341,64626.94,46822.22
2017-09-03,0.7445,0.7934,0.6956,0.7307,66773.96,49713.21
2017-09-04,0.5646,0.7075,0.4263,0.6888,160778.82,90775.72
2017-09-05,0.5062,0.6592,0.3534,0.5833,241493.82,122244.17
2017-09-06,0.5307,0.5547,0.4243,0.5302,112727.66,59824.57
2017-09-07,0.6202,0.7412,0.5257,0.5326,119747.57,74267.44
2017-09-08,0.5313,0.6208,0.4651,0.5789,74268.28,39458.74
2017-09-09,0.4938,0.5367,0.473,0.5324,82344.95,40661.94
2017-09-10,0.518,0.5375,0.4785,0.4836,81193.33,42058.14
2017-09-11,0.5028,0.5184,0.4901,0.5146,76022.97,38224.35
2017-09-12,0.4862,0.507,0.4575,0.4957,90283.69,43895.93
2017-09-13,0.4373,0.4644,0.4253,0.4524,76463.36,33437.43
2017-09-14,0.3509,0.3824,0.3412,0.3665,50872.59,17851.19
2017-09-15,0.3929,0.4171,0.341,0.4018,128479.04,50479.41
2017-09-16,0.3714,0.3973,0.3143,0.3913,103598.13,38476.35
2017-09-17,0.3597,0.3727,0.3564,0.3704,112659.95,40523.78
2017-09-18,0.4031,0.4149,0.3362,0.3997,127454.53,51376.92
2017-09-19,0.3842,0.4729,0.3818,0.3842,109538.91,42084.85
2017-09-20,0.359,0.3817,0.3524,0.3817,97658.49,35059.4
2017-09-21,0.3058,0.3422,0.2865,0.3345,100125.48,30618.37
2017-09-22,0.326,0.3281,0.3022,0.3045,70724.26,23056.11
2017-09-23,0.4038,0.4167,0.3426,0.3429,63973.36,25832.44
2017-09-24,0.3789,0.421,0.3442,0.391,105606.19,40014.19
2017-09-25,0.3679,0.4067,0.3576,0.4063,66979.54,24641.77
2017-09-26,0.3704,0.3821,0.3599,0.3641,93717.34,34712.9
2017-09-27,0.3997,0.4229,0.3791,0.4008,79565.54,31802.35
2017-09-28,0.3967,0.4242,0.3776,0.3981,77588.73,30779.45
2017-09-29,0.415,0.4173,0.3755,0.3946,91507.96,37975.8
2017-09-30,0.4587,0.5233,0.4317,0.4337,127143.34,58320.65
2017-10-01,0.5772,0.5869,0.4588,0.4632,109819.2,63387.64
