time,close,high,low,open,volumefrom,volumeto
2017-06-27,1.55,1.55,0.7751,1.55,7935.28,12299.68
2017-06-28,1.03,1.55,0.3369,1.55,12.63,13.01
2017-06-29,0.1705,1.02,0.1023,1.02,6166.81,1051.44
2017-06-30,0.2232,0.2555,0.07442,0.1654,3750.64,837.14
2017-07-01,0.07521,0.2182,0.07281,0.2182,1434.28,107.87
2017-07-02,0.07201,0.1826,0.05598,0.07868,52126.15,3753.6
2017-07-03,0.06997,0.07303,0.0373,0.07303,5390.62,377.18
2017-07-04,0.03929,0.07119,0.03926,0.07119,6078.31,238.82
2017-07-05,0.03944,0.04336,0.03944,0.03944,919.77,36.28
2017-07-06,0.03179,0.07268,0.02638,0.03924,153516.41,4880.29
2017-07-07,0.03165,0.03748,0.02544,0.03057,101490.15,3212.16
2017-07-08,0.01541,0.03239,0.01444,0.03229,5906.15,91.01
2017-07-09,0.02511,0.02627,0.01261,0.01509,6898.26,173.22
2017-07-10,0.01643,0.02344,0.01643,0.02344,94.15,1.55
2017-07-11,0.006369,0.0232,0.006206,0.009297,3329.26,21.2
2017-07-12,0.007522,0.02569,0.006584,0.006584,7023.5,52.83
2017-07-13,0.0189,0.02126,0.007394,0.007394,1826.06,34.51
2017-07-14,0.01034,0.01787,0.01034,0.01787,939.7,9.72
2017-07-15,0.009164,0.009184,0.009145,0.009145,206.51,1.89
2017-07-16,0.02871,0.07274,0.008824,0.008881,1333608.1,38287.89
2017-07-17,0.1118,0.1776,0.02903,0.0335,137035.15,15320.53
2017-07-18,0.1068,0.1411,0.0464,0.1162,9965.72,1064.34
2017-07-19,0.06617,0.105,0.02737,0.105,26028.02,1722.27
2017-07-20,0.0292,0.08311,0.02869,0.08309,13182.39,384.93
2017-07-21,0.03611,0.04529,0.0271,0.02726,5418.83,195.67
2017-07-22,0.03687,0.07693,0.03115,0.03829,3963.7,146.14
2017-07-23,0.04011,0.05367,0.02757,0.03584,20414.96,818.84
2017-07-24,0.04573,0.04573,0.03159,0.04021,7495.57,342.77
2017-07-25,0.03099,0.04274,0.03099,0.04274,390.2,12.09
2017-07-26,0.1013,0.1408,0.03071,0.03071,195197.0,19773.46
