time,close,high,low,open,volumefrom,volumeto
2017-09-30,0.3731,0.6449,0.1962,0.218,704079.08,262691.9
2017-10-01,0.4975,0.6644,0.3083,0.3767,1051006.02,522875.49
2017-10-02,0.5898,0.6536,0.4401,0.4973,1638631.68,966464.96
2017-10-03,0.796,0.8106,0.5186,0.5781,1473127.95,1172609.85
2017-10-04,0.772,0.9787,0.6961,0.7783,1798000.23,1388056.18
2017-10-05,0.713,0.9075,0.4321,0.7908,1658414.82,1182449.77
2017-10-06,0.6864,0.7848,0.5246,0.7214,1533501.51,1052595.44
2017-10-07,0.5678,0.6964,0.5323,0.6964,774590.52,439812.5
2017-10-08,0.402,0.6203,0.3254,0.5903,1146296.98,460811.39
2017-10-09,0.4108,0.4777,0.3824,0.4165,601757.13,247201.83
2017-10-10,0.4614,0.5597,0.3889,0.4096,524716.12,242104.02
2017-10-11,0.4342,0.5215,0.4342,0.4673,455644.66,197840.91
2017-10-12,0.4331,0.5731,0.3911,0.4889,507040.33,219599.17
2017-10-13,0.2851,0.4643,0.258,0.4494,644725.82,183811.33
2017-10-14,0.4321,0.4922,0.2946,0.2946,347052.99,149961.6
2017-10-15,0.3937,0.4339,0.3564,0.422,115583.05,45505.05
2017-10-16,0.426,0.444,0.3116,0.3987,214875.07,91536.78
2017-10-17,0.3548,0.4995,0.286,0.3695,499098.93,177080.3
2017-10-18,0.316,0.3902,0.2961,0.3533,305000.11,96380.03
2017-10-19,0.3035,0.3573,0.2859,0.302,540884.3,164158.39
2017-10-20,0.3166,0.3768,0.3001,0.3191,342802.31,108531.21
2017-10-21,0.3211,0.3459,0.2763,0.3035,190450.57,61153.68
2017-10-22,0.367,0.3883,0.3027,0.3198,275125.21,100970.95
2017-10-23,0.3444,0.3981,0.3165,0.3814,273605.46,94229.72
2017-10-24,0.3639,0.3815,0.318,0.3216,280698.13,102146.05
2017-10-25,0.2932,0.385,0.26,0.3784,587255.98,172183.45
2017-10-26,0.2675,0.3282,0.2432,0.3282,320902.25,85841.35
2017-10-27,0.2767,0.3013,0.2604,0.2691,174125.38,48180.49
2017-10-28,0.2828,0.3068,0.2722,0.2831,169827.46,48027.21
2017-10-29,0.3015,0.3279,0.2989,0.3036,129811.87,39138.28
2017-10-30,0.2818,0.316,0.2818,0.3048,198551.43,55951.79
2017-10-31,0.2906,0.3306,0.2533,0.2968,380647.11,110616.05
2017-11-01,0.2603,0.3171,0.2535,0.3041,185644.86,48323.36
2017-11-02,0.249,0.2855,0.193,0.2705,476792.6,118721.36
2017-11-03,0.215,0.2808,0.143,0.2413,384404.3,82646.92
2017-11-04,0.28,0.2864,0.2066,0.2213,150870.49,42243.74
2017-11-05,0.2307,0.2943,0.2278,0.281,179958.93,41516.53
2017-11-06,0.2436,0.2569,0.2171,0.2171,174736.43,42565.79
2017-11-07,0.2427,0.2548,0.221,0.2486,139330.53,33815.52
2017-11-08,0.2606,0.3005,0.1963,0.2544,362123.68,94369.43
2017-11-09,0.2783,0.3011,0.2269,0.2495,183646.89,51108.93
2017-11-10,0.2433,0.2924,0.2281,0.2555,207559.73,50499.28
2017-11-11,0.2803,0.2916,0.2346,0.2349,201752.81,56551.31
2017-11-12,0.239,0.2702,0.2084,0.2599,241129.95,57630.06
2017-11-13,0.2342,0.2951,0.2218,0.2652,174809.46,40940.38
2017-11-14,0.2401,0.2582,0.2286,0.2406,149093.2,35797.28
2017-11-15,0.2656,0.2803,0.24,0.265,395999.97,105177.59
2017-11-16,0.2715,0.3134,0.2408,0.2864,259380.25,70421.74
2017-11-17,0.2557,0.2767,0.2258,0.2662,150084.6,38376.63
2017-11-18,0.2751,0.2902,0.2414,0.2584,158179.68,43515.23
2017-11-19,0.2675,0.3153,0.2599,0.2843,157952.73,42252.36
2017-11-20,0.2504,0.2844,0.2444,0.2742,148244.25,37120.36
2017-11-21,0.2718,0.2835,0.2283,0.246,168088.1,45686.35
2017-11-22,0.2829,0.3018,0.2716,0.2763,177349.07,50172.05
2017-11-23,0.3465,0.3556,0.2749,0.2753,322124.3,111616.07
2017-11-24,0.3863,0.3909,0.3283,0.347,243638.37,94117.5
2017-11-25,0.5087,0.5162,0.4067,0.4124,501699.41,255214.49
2017-11-26,0.4944,0.6361,0.3741,0.5386,648525.41,320630.96
2017-11-27,0.469,0.5277,0.438,0.5164,305210.37,143143.66
2017-11-28,0.5547,0.577,0.4556,0.465,365537.27,202763.52
2017-11-29,0.5808,0.6601,0.5018,0.5604,946747.51,549870.95
2017-11-30,0.5625,0.6177,0.5571,0.5873,295455.63,166193.79
2017-12-01,0.6034,0.6712,0.5988,0.6305,239166.31,144312.95
2017-12-02,0.6495,0.6548,0.5964,0.6225,126878.74,82407.74
2017-12-03,0.6522,0.7068,0.6405,0.6694,265242.13,172990.92
2017-12-04,0.5569,0.7413,0.5362,0.6733,482059.57,268458.97
2017-12-05,0.4146,0.5636,0.4093,0.559,591221.74,245120.53
2017-12-06,0.4335,0.5384,0.4031,0.4705,622600.01,269897.1
2017-12-07,0.3994,0.5797,0.3496,0.5313,487926.88,194878.0
2017-12-08,0.483,0.5918,0.1958,0.3486,435964.63,210570.92
2017-12-09,0.4505,0.5866,0.3862,0.4468,396978.65,178838.88
2017-12-10,0.4662,0.4967,0.4162,0.4697,196489.24,91603.28
2017-12-11,0.4625,0.5664,0.3765,0.518,326055.08,150800.47
2017-12-12,0.4435,0.485,0.3977,0.4722,220563.19,97819.77
2017-12-13,0.3976,0.4446,0.3674,0.4228,162166.09,64477.24
2017-12-14,0.4736,0.4736,0.3865,0.402,184378.34,87321.58
2017-12-15,0.5331,0.5783,0.4831,0.5063,211724.73,112870.45
2017-12-16,0.5428,0.6011,0.507,0.5858,172209.56,93475.35
2017-12-17,0.5682,0.6002,0.4587,0.535,260934.11,148262.76
2017-12-18,0.946,0.9611,0.5312,0.5745,529610.62,501011.65
2017-12-19,0.6957,0.8848,0.6734,0.8737,555028.53,386133.35
2017-12-20,0.7256,0.7447,0.6256,0.6535,401095.37,291034.8
2017-12-21,0.7918,0.8551,0.6545,0.6891,612013.29,484592.12
2017-12-22,0.6801,0.7106,0.5824,0.6921,434411.17,295443.04
2017-12-23,0.6421,0.7911,0.6065,0.7162,771995.71,495698.45
2017-12-24,0.6892,0.699,0.5675,0.6467,366837.79,252824.6
2017-12-25,0.5146,0.7252,0.4638,0.6914,409883.46,210926.03
2017-12-26,0.5405,0.6175,0.4954,0.5964,258452.35,139693.5
2017-12-27,0.5092,0.5804,0.4779,0.5288,333782.84,169962.22
2017-12-28,0.5951,0.5954,0.4608,0.4756,315297.42,187633.49
2017-12-29,0.6105,0.6934,0.5328,0.5758,466628.5,284876.7
2017-12-30,0.5998,0.6694,0.4986,0.5271,344166.85,206431.28
2017-12-31,0.6371,0.6917,0.6111,0.6629,17100.0,10894.41
2018-01-01,0.6452,0.6653,0.6115,0.6185,161379.2,104121.86
2018-01-02,0.6508,0.7111,0.571,0.7081,525041.97,341697.31
2018-01-03,0.7192,0.7413,0.5341,0.6185,456751.41,328495.61
2018-01-04,0.638,0.7511,0.5705,0.7203,378892.0,241733.1
2018-01-05,0.7916,0.8299,0.6648,0.6951,587362.85,464956.43
2018-01-06,1.02,1.11,0.7867,0.8033,1178030.77,1201591.39
2018-01-07,1.19,1.24,0.8497,1.02,1065534.53,1267986.09
2018-01-08,1.28,1.28,1.09,1.1,753487.77,964464.35
2018-01-09,1.9,2.71,1.18,1.23,1002037.42,1903871.1
2018-01-10,2.12,2.23,1.88,1.92,457338.06,969556.69
2018-01-11,1.6,1.94,1.26,1.92,519771.58,831634.53
2018-01-12,1.9,2.07,1.66,1.66,285695.16,542820.8
2018-01-13,1.67,1.99,1.43,1.99,497378.8,830622.6
2018-01-14,1.21,1.67,0.9793,1.6,903130.26,1092787.61
2018-01-15,1.33,1.52,1.18,1.21,356664.01,474363.13
2018-01-16,0.957,1.13,0.8509,1.1,365241.51,349536.13
2018-01-17,0.9823,1.02,0.8373,0.9468,382958.77,376180.4
2018-01-18,1.08,1.14,0.9535,0.9834,197713.21,213530.27
2018-01-19,1.03,1.13,0.935,1.05,143921.6,148239.25
2018-01-20,1.08,1.25,1.04,1.15,213013.35,230054.42
2018-01-21,0.892,1.06,0.8423,0.9767,160614.79,143268.39
2018-01-22,0.7549,0.9028,0.7279,0.8405,262071.66,197837.9
2018-01-23,0.7882,1.05,0.7434,0.7943,228871.72,180396.69
2018-01-24,0.8493,0.8799,0.7827,0.8376,171564.38,145709.63
2018-01-25,1.02,1.13,0.7851,0.8361,316505.81,322835.93
2018-01-26,0.9454,1.39,0.9007,1.02,315329.4,298112.41
2018-01-27,0.8723,1.01,0.8509,0.9757,94342.14,82294.65
2018-01-28,0.8555,0.9659,0.8212,0.8958,329971.54,282290.65
2018-01-29,0.7978,0.8604,0.7977,0.8163,197099.17,157245.72
2018-01-30,0.6485,0.758,0.6064,0.7177,491702.17,318868.86
2018-01-31,0.6276,0.6863,0.5028,0.6562,424642.64,266505.72
2018-02-01,0.556,0.6871,0.5206,0.5593,308728.56,171653.08
2018-02-02,0.5475,0.6684,0.4716,0.5411,154395.83,84531.72
2018-02-03,0.5404,0.6844,0.4718,0.571,206456.62,111569.16
2018-02-04,0.4514,0.5449,0.424,0.48,111683.04,50413.72
2018-02-05,0.3655,0.4227,0.3115,0.3811,143006.09,52268.73
2018-02-06,0.4494,0.4865,0.2786,0.4058,274290.58,123266.19
2018-02-07,0.4209,0.4596,0.3871,0.443,120499.49,50718.24
2018-02-08,0.5325,0.5734,0.4571,0.4579,75123.47,40003.25
