time,close,high,low,open,volumefrom,volumeto
2014-12-07,0.0002936,0.01736,0.0001092,0.01736,3169229.41,930.49
2014-12-08,8.759e-05,0.0002737,8.759e-05,0.0002153,2663851.59,233.33
2014-12-09,0.0001092,0.0001691,8.453e-05,8.453e-05,1682407.47,183.72
2014-12-10,0.000174,0.0001948,9.742e-05,0.0001392,9502264.12,1653.39
2014-12-11,0.0002225,0.0002329,0.0001391,0.0001738,3538613.95,787.34
2014-12-12,0.0001449,0.0002297,0.0001166,0.0002262,1741764.26,252.38
2014-12-13,0.0001776,0.000188,0.0001428,0.0001428,3138119.29,557.33
2014-12-14,0.0002411,0.0003144,0.0001747,0.0001782,1199102.22,289.1
2014-12-15,0.0002383,0.0003385,0.0001865,0.0002383,2290061.68,545.72
2014-12-16,0.0002939,0.0003236,0.0001651,0.0002279,4002233.69,1176.26
2014-12-17,0.0002784,0.0003168,0.0001888,0.0002848,2674642.89,744.62
2014-12-18,0.0001955,0.0003072,0.0001893,0.00027,1002110.62,195.91
2014-12-19,0.0002066,0.0003051,0.000143,0.0002002,3272759.04,676.15
2014-12-20,0.0002379,0.0003237,0.0002048,0.0002147,3110167.88,739.91
2014-12-21,0.0001613,0.0002904,0.0001613,0.0002323,1559732.87,251.58
2014-12-22,0.000139,0.0002283,0.000139,0.0001654,638482.23,88.75
2014-12-23,0.0001743,0.0002984,0.0001408,0.0001408,7470519.31,1302.11
2014-12-24,0.0001676,0.0002063,0.0001612,0.0001676,3321538.72,556.69
2014-12-25,0.0001595,0.0001723,0.0001563,0.0001659,243689.69,38.87
2014-12-26,0.0001419,0.000165,0.0001254,0.000165,156461.74,22.2
2014-12-27,0.0001261,0.0002207,0.0001009,0.0001356,6272570.22,790.97
2014-12-28,0.0001045,0.0001994,0.0001045,0.0001266,2275833.39,237.82
2014-12-29,0.0001099,0.0001351,7.853e-05,0.0001037,1247877.33,137.14
2014-12-30,0.0001587,0.0001587,9.649e-05,0.0001089,211956.69,33.64
2014-12-31,0.0001591,0.0001878,0.0001591,0.0001623,38157.57,6.07
2015-01-01,0.0001354,0.0001574,0.0001102,0.0001574,57879.22,7.84
2015-01-02,0.0001513,0.0001734,8.511e-05,0.0001355,2576031.18,389.75
2015-01-03,8.614e-05,0.0001378,8.614e-05,0.0001378,10601164.95,913.18
2015-01-04,6.089e-05,0.0001165,6.089e-05,7.942e-05,9031618.59,549.94
2015-01-05,0.0001374,0.0002419,4.123e-05,6.321e-05,11050681.49,1518.36
2015-01-06,0.0001778,0.0002766,0.0001214,0.0001411,9159981.64,1628.64
2015-01-07,0.0001486,0.0002302,0.0001457,0.0001835,2199555.81,326.85
2015-01-08,0.0002686,0.000424,0.0001442,0.0001442,7383868.87,1983.31
2015-01-09,0.000288,0.0003456,0.0002217,0.0002736,3468573.42,998.95
2015-01-10,0.0003772,0.0003854,0.0002323,0.0002734,5241307.24,1977.02
2015-01-11,0.0002992,0.0006619,0.0002409,0.0003654,3765354.87,1126.59
2015-01-12,0.0003555,0.0005818,0.0002828,0.0003043,5033079.8,1789.26
2015-01-13,0.000281,0.0004426,0.0002124,0.0002921,4425682.57,1243.62
2015-01-14,0.000216,0.0002705,0.0001666,0.0002094,536110.09,115.8
2015-01-15,0.000235,0.0002748,0.0002035,0.0002748,4911958.83,1154.31
2015-01-16,0.000358,0.0004014,0.0002297,0.0002318,11830978.45,4235.49
2015-01-17,0.0002536,0.0003594,0.0002376,0.0003454,3332941.84,845.23
2015-01-18,0.0003623,0.0003981,0.0002675,0.0002675,9489247.99,3437.95
2015-01-19,0.0003303,0.000408,0.000326,0.0003713,10917824.37,3606.16
2015-01-20,0.0002885,0.0003832,0.0002885,0.0003221,370078.66,106.77
2015-01-21,0.0002441,0.000324,0.0002282,0.0003126,855177.29,208.75
2015-01-22,0.0002327,0.0002909,0.0002327,0.000249,175966.96,40.95
2015-01-23,0.0002275,0.0002647,0.00013,0.0002322,117373.19,26.7
2015-01-24,0.0002109,0.0002457,0.0001861,0.0002432,78678.0,16.59
2015-01-25,0.0001639,0.0002496,0.0001588,0.0002143,1922449.15,315.09
2015-01-26,0.0001615,0.0002476,0.0001561,0.000175,374055.17,60.41
2015-01-27,0.0001896,0.0002001,0.0001474,0.000158,402462.78,76.31
2015-01-28,0.0001937,0.000222,0.0001441,0.00017,524922.1,101.68
2015-01-29,0.0001732,0.0002106,0.0001732,0.0001919,71569.33,12.4
2015-01-30,0.0001971,0.0002318,0.0001716,0.0001716,643763.81,126.89
2015-01-31,0.0002404,0.0002535,0.0001639,0.0001857,154834.66,37.22
2015-02-01,0.0002343,0.0002478,0.000214,0.0002478,298591.32,69.96
2015-02-02,0.0001959,0.0002508,0.0001935,0.0002484,336133.1,65.85
2015-02-03,0.0001888,0.0002274,0.000116,0.0001865,349189.18,65.93
2015-02-04,0.0001563,0.0002153,0.0001495,0.0001881,139053.61,21.73
2015-02-05,0.0001884,0.0001884,0.0001256,0.0001494,176378.99,33.23
2015-02-06,0.0001115,0.000194,0.0001115,0.000194,244477.09,27.26
2015-02-07,0.0001571,0.0001708,0.0001002,0.0001138,54750.54,8.6
2015-02-08,0.0001476,0.00017,0.0001476,0.0001543,98247.8,14.5
2015-02-09,0.0001983,0.0002005,0.0001278,0.0001454,350064.28,69.42
2015-02-10,0.0001713,0.0001977,0.0001713,0.0001977,13393.55,2.29
2015-02-11,0.0002232,0.0002254,0.0001707,0.0001707,124813.98,27.86
2015-02-12,0.000122,0.0002262,0.000122,0.0002262,213955.39,26.1
2015-02-13,0.0001488,0.0002126,0.0001299,0.0001299,628.94,0.09359
2015-02-14,0.000194,0.0002354,0.0001448,0.0001629,219109.5,42.51
2015-02-15,0.0001633,0.000175,0.000105,0.000175,308177.18,50.33
2015-02-16,0.0001863,0.0001887,0.0001368,0.0001651,915357.04,170.53
2015-02-17,0.0001946,0.0001946,0.0001921,0.0001921,50378.91,9.8
2015-02-18,0.0001247,0.0001882,0.0001247,0.0001882,100302.95,12.51
2015-02-19,0.0001476,0.0001863,9.919e-05,0.0001282,195277.34,28.82
2015-02-20,0.0001687,0.0001687,9.536e-05,0.0001492,288099.06,48.6
2015-02-21,0.0001564,0.0001686,0.0001515,0.0001686,30146.1,4.71
2015-02-22,0.0001202,0.000165,0.0001179,0.0001509,96426.45,11.59
2015-02-23,0.000117,0.0001242,0.0001122,0.0001218,88989.09,10.41
2015-02-24,0.0001194,0.0001194,0.0001075,0.0001171,109002.2,13.01
2015-02-25,0.0001163,0.0001187,0.0001068,0.0001187,276588.53,32.17
2015-02-26,9.225e-05,0.0001183,9.225e-05,0.0001159,90335.46,8.33
2015-02-27,7.604e-05,0.0001242,7.351e-05,9.885e-05,137570.79,10.46
2015-02-28,0.0001245,0.0001245,7.622e-05,7.622e-05,101936.07,12.69
2015-03-01,0.0001083,0.0001264,0.0001083,0.0001264,26867.37,2.91
2015-03-02,0.0001095,0.0001341,9.034e-05,0.000115,159656.64,17.48
2015-03-03,0.0001207,0.0001291,0.0001095,0.0001123,526416.84,63.54
2015-03-04,8.43e-05,0.0001713,8.43e-05,0.0001169,303391.53,25.58
2015-03-05,0.0001349,0.0001651,8.532e-05,8.532e-05,78804.25,10.63
2015-03-06,0.0001172,0.0001336,0.000109,0.0001336,37364.81,4.38
2015-03-07,0.0001347,0.0001375,0.00011,0.0001182,47025.88,6.33
2015-03-08,0.0001153,0.0001345,0.0001153,0.0001345,5583.73,0.6438
2015-03-09,0.0001189,0.0001479,0.0001189,0.0001218,73432.29,8.73
2015-03-10,0.0001399,0.0001428,0.0001195,0.0001195,103725.52,14.51
2015-03-11,0.0001182,0.0001448,0.0001182,0.0001419,81174.89,9.59
2015-03-12,8.815e-05,0.0001352,8.815e-05,0.0001175,270887.3,23.88
2015-03-13,9.765e-05,0.0001091,8.329e-05,8.616e-05,298006.44,29.1
2015-03-14,0.0001098,0.0001098,8.448e-05,9.574e-05,149788.63,16.45
2015-03-15,0.0001111,0.0001111,0.0001083,0.0001111,5303.03,0.5892
2015-03-16,9.584e-05,0.0001133,6.389e-05,0.0001133,348291.56,33.38
2015-03-17,8.847e-05,9.418e-05,8.847e-05,9.418e-05,10340.43,0.9148
2015-03-18,7.934e-05,0.0001024,5.886e-05,7.934e-05,353894.17,28.08
2015-03-19,0.0001044,0.0001044,8.089e-05,8.089e-05,42933.5,4.48
2015-03-20,0.0001152,0.0001152,0.0001047,0.0001047,22424.08,2.58
2015-03-21,0.0001117,0.0001143,9.09e-05,0.0001143,27947.21,3.12
2015-03-22,9.4e-05,0.0001155,9.4e-05,0.0001155,9849.57,0.9259
2015-03-23,9.026e-05,0.0001141,9.026e-05,9.291e-05,39413.16,3.56
2015-03-24,9.869e-05,9.869e-05,8.388e-05,8.388e-05,31174.1,3.08
2015-03-25,0.0001035,0.0001035,8.623e-05,9.855e-05,79261.97,8.2
2015-03-26,0.0001066,0.0001066,0.0001042,0.0001042,252.0,0.02686
2015-03-27,0.0001038,0.0001063,9.394e-05,0.0001063,2428.02,0.252
2015-03-28,0.000126,0.000126,0.0001058,0.0001058,157012.04,19.78
2015-03-29,0.000121,0.0001259,8.715e-05,0.000121,177731.47,21.51
2015-03-30,6.417e-05,0.0001259,6.417e-05,0.0001234,494506.05,31.73
2015-03-31,3.662e-05,9.278e-05,1.221e-05,6.348e-05,1553475.71,56.89
2015-04-01,9.85e-05,9.85e-05,3.694e-05,3.694e-05,96346.09,9.49
2015-04-02,9.094e-05,0.000101,5.81e-05,0.000101,15825.66,1.44
2015-04-03,5.853e-05,9.161e-05,5.853e-05,9.161e-05,607.45,0.03555
2015-04-04,9.104e-05,9.104e-05,5.816e-05,5.816e-05,2056.11,0.1872
2015-04-05,8.828e-05,9.347e-05,6.491e-05,9.347e-05,799.0,0.07054
2015-04-06,8.414e-05,8.669e-05,6.119e-05,8.669e-05,14821.63,1.25
2015-04-07,6.324e-05,8.348e-05,6.324e-05,8.348e-05,4555.22,0.2881
2015-04-08,9.049e-05,9.049e-05,6.114e-05,6.114e-05,33052.14,2.99
2015-04-09,8.516e-05,9.003e-05,8.516e-05,9.003e-05,28142.86,2.4
2015-04-10,8.216e-05,8.216e-05,8.216e-05,8.216e-05,0.0,0.0
2015-04-11,8.277e-05,8.277e-05,8.277e-05,8.277e-05,0.0,0.0
2015-04-12,7.547e-05,8.255e-05,2.594e-05,8.255e-05,2573857.07,194.25
2015-04-13,0.0001185,0.0001185,3.801e-05,7.155e-05,3613703.72,428.22
2015-04-14,0.000109,0.0001177,0.0001046,0.0001155,1286860.25,140.27
2015-04-15,6.466e-05,0.0001226,6.466e-05,0.0001115,257623.81,16.66
2015-04-16,0.0001573,0.0001573,6.611e-05,6.611e-05,573259.91,90.17
2015-04-17,0.0001313,0.0001536,0.0001135,0.0001536,3242.15,0.4257
2015-04-18,0.0002904,0.000373,0.0001295,0.0001318,4269388.28,1239.83
2015-04-19,0.0002007,0.0003345,0.000165,0.0002899,1445263.12,290.06
2015-04-20,0.0001121,0.0002018,0.0001121,0.0002018,943421.95,105.76
2015-04-21,0.0002244,0.0002337,0.0001005,0.0001169,554874.88,124.51
2015-04-22,0.0002244,0.0002244,0.0002244,0.0002244,0.0,0.0
2015-04-23,0.0002213,0.000226,0.0001695,0.000226,123015.29,27.22
2015-04-24,0.0002172,0.0002172,0.0002172,0.0002172,5189.96,1.13
2015-04-25,0.0001221,0.0002126,0.0001221,0.0002126,135333.5,16.52
2015-04-26,0.0001531,0.0002034,0.0001093,0.0001181,236740.47,36.24
2015-04-27,0.0001397,0.0001603,0.0001397,0.0001603,35928.37,5.02
2015-04-28,0.0001174,0.0001377,0.0001152,0.0001377,214442.26,25.18
2015-04-29,0.0001195,0.0001623,0.0001172,0.0001172,1004.0,0.12
2015-04-30,0.0001179,0.0001745,4.951e-05,0.000125,701286.82,82.68
2015-05-01,0.0001586,0.0001586,0.0001166,0.0001166,170378.18,27.02
2015-05-02,0.0001459,0.0001624,0.0001459,0.00016,25029.72,3.65
2015-05-03,0.0001224,0.0001488,0.0001224,0.0001488,72501.52,8.87
2015-05-04,0.0001529,0.0001529,0.0001219,0.0001219,39920.0,6.1
2015-05-05,0.0001179,0.0001509,0.0001179,0.0001509,24309.76,2.87
2015-05-06,9.201e-05,0.000138,9.201e-05,0.000138,62289.87,5.73
2015-05-07,0.0001236,0.0001236,9.509e-05,9.509e-05,23569.57,2.91
2015-05-08,0.0002169,0.0002194,6.337e-05,0.0001267,363021.35,78.74
2015-05-09,0.0001255,0.0002028,0.0001159,0.0001159,15197.4,1.91
2015-05-10,9.598e-05,0.0001344,9.598e-05,0.0001248,127977.93,12.28
