time,close,high,low,open,volumefrom,volumeto
2017-07-14,0.5526,0.7,0.45,0.5,111936.44,63560.3
2017-07-15,0.426,0.6982,0.4201,0.5526,800165.6,389516.31
2017-07-16,0.38,0.5209,0.315,0.426,894451.07,360563.76
2017-07-17,0.5819,0.594,0.3748,0.38,1019415.85,533514.64
2017-07-18,0.7506,0.8997,0.5463,0.5819,1955593.26,1492007.6
2017-07-19,0.561,0.8121,0.5599,0.7506,941422.53,638513.77
2017-07-20,0.6521,0.7366,0.561,0.561,860276.82,577705.6
2017-07-21,0.746,0.7851,0.63,0.6521,440222.02,319893.3
2017-07-22,0.87,0.9,0.7349,0.746,1097899.57,890044.13
2017-07-23,1.48,1.62,0.84,0.87,2955771.75,3349031.59
2017-07-24,1.52,1.64,1.26,1.48,2049151.64,2990349.58
2017-07-25,1.22,1.55,1.04,1.52,1494415.89,1911084.04
2017-07-26,1.19,1.3,1.02,1.22,985996.6,1141496.75
2017-07-27,1.36,1.43,1.19,1.19,947738.28,1250362.41
2017-07-28,1.16,1.41,1.1,1.36,702464.91,865129.9
2017-07-29,1.28,1.29,1.1,1.16,345128.45,408030.66
2017-07-30,1.19,1.33,1.17,1.28,194477.68,241043.39
2017-07-31,1.22,1.25,1.13,1.19,301485.1,360618.57
2017-08-01,1.33,1.38,1.16,1.22,684370.53,893055.46
2017-08-02,1.39,1.39,1.27,1.33,495766.09,659722.98
2017-08-03,1.95,2.12,1.34,1.39,1781434.11,3190543.73
2017-08-04,2.81,3.12,1.91,1.95,3012909.27,7713494.47
2017-08-05,3.6,3.9,2.15,2.81,6102608.91,19644540.91
2017-08-06,2.73,3.65,2.51,3.6,2231185.9,6796669.33
2017-08-07,3.05,3.26,2.6,2.73,2527250.32,7522150.61
2017-08-08,3.67,3.83,3.04,3.05,2978714.73,10319336.6
2017-08-09,3.43,3.71,3.21,3.67,1564598.67,5386561.1
2017-08-10,5.93,6.6,3.35,3.43,11262507.09,58237604.94
2017-08-11,7.25,7.75,5.27,5.93,7010557.21,46096092.39
2017-08-12,6.2,7.63,5.78,7.25,3558580.53,23658680.41
2017-08-13,6.88,7.5,5.24,6.2,4473547.7,28670218.21
2017-08-14,7.03,7.47,6.3,6.88,2924572.56,19933848.15
2017-08-15,6.72,7.13,6.08,7.03,2328377.68,15320948.94
2017-08-16,8.85,9.25,6.67,6.72,5840449.05,48311239.43
2017-08-17,8.32,9.55,8.27,8.85,3240439.76,28595813.84
2017-08-18,7.25,8.45,6.08,8.32,4086420.95,30274828.4
2017-08-19,7.82,8.0,6.23,7.25,2260197.25,16114310.5
2017-08-20,8.48,8.9,7.14,7.82,1977371.85,16196539.79
2017-08-21,7.65,8.6,7.27,8.48,1888998.89,14791376.91
2017-08-22,7.6,7.73,6.8,7.65,1427272.39,10541972.27
2017-08-23,8.19,8.68,7.49,7.6,2184793.4,17853551.42
2017-08-24,8.38,8.45,7.89,8.19,742227.39,6091367.67
2017-08-25,8.18,8.5,7.93,8.38,722703.65,5961400.77
2017-08-26,8.28,8.4,7.77,8.18,848864.97,6855687.19
2017-08-27,8.34,8.38,7.99,8.28,600804.57,4904735.13
2017-08-28,8.62,8.97,8.08,8.34,1475671.55,12555424.42
2017-08-29,9.48,9.76,8.44,8.62,2510200.94,23176534.75
2017-08-30,11.24,11.81,9.42,9.48,4451135.91,47328325.12
2017-08-31,11.82,12.2,10.75,11.24,1933911.19,22121593.45
2017-09-01,12.01,12.69,11.65,11.82,2025402.98,24680697.77
2017-09-02,10.85,12.12,9.8,12.01,2420645.22,25935294.18
2017-09-03,10.74,11.4,9.54,10.85,1865426.56,19435910.92
2017-09-04,8.81,10.74,7.33,10.74,6090537.95,52613357.49
2017-09-05,10.99,11.44,7.61,8.81,4135395.36,39422115.42
