time,close,high,low,open,volumefrom,volumeto
2017-10-21,3.9,4.79,3.9,4.69,237.8,927.42
2017-10-22,4.13,4.13,3.89,3.89,25.01,103.29
2017-10-23,3.49,4.24,3.01,4.07,293.1,1022.92
2017-10-24,3.2,3.72,2.93,3.26,13280.98,42499.14
2017-10-25,1.84,2.48,1.55,2.47,6770.77,12458.22
2017-10-26,1.41,4.74,1.33,1.99,4782.78,6743.72
2017-10-27,2.74,3.43,1.33,1.38,18725.77,51308.61
2017-10-28,2.78,3.76,2.57,2.72,2523.56,7015.5
2017-10-29,2.4,4.67,2.04,2.97,2398.2,5755.68
2017-10-30,4.74,4.74,1.97,2.45,47325.5,224322.87
2017-10-31,8.7,9.57,3.67,4.99,36254.87,315417.37
2017-11-01,4.48,9.49,2.7,8.02,104624.55,468717.98
2017-11-02,5.87,7.38,4.67,6.06,48139.8,282580.63
2017-11-03,5.43,7.03,4.47,6.96,82103.1,445819.83
2017-11-04,6.08,6.15,5.45,5.6,74818.4,454895.87
2017-11-05,9.97,10.32,5.62,6.1,50898.43,507457.35
2017-11-06,13.39,13.9,6.96,9.03,68284.28,914326.51
2017-11-07,31.51,39.73,13.67,13.67,76506.76,2410728.01
2017-11-08,31.17,51.87,28.21,34.42,32081.54,999981.6
2017-11-09,28.53,32.35,21.84,29.22,26731.87,762660.25
2017-11-10,23.91,27.55,23.37,26.25,13493.19,322622.17
2017-11-11,25.36,26.52,22.89,23.38,28304.34,717798.06
2017-11-12,35.62,36.13,20.77,23.54,35020.76,1247439.47
2017-11-13,40.21,43.59,33.67,39.53,6465.13,259962.88
2017-11-14,52.95,55.87,39.98,40.66,22755.37,1204896.84
2017-11-15,48.55,64.06,43.07,58.07,21036.39,1021316.73
2017-11-16,49.12,66.69,47.91,52.35,61796.77,3035457.34
2017-11-17,38.65,51.52,20.38,47.69,59082.53,2283539.78
2017-11-18,35.73,44.97,29.32,39.05,32047.28,1145049.31
2017-11-19,37.68,41.54,34.7,36.77,28264.4,1065002.59
2017-11-20,28.14,39.71,27.28,39.71,18418.61,518299.69
2017-11-21,19.59,28.91,15.03,27.65,32358.52,633903.41
2017-11-22,15.28,23.38,15.09,19.59,44745.78,683715.52
2017-11-23,16.78,18.15,14.82,14.82,53522.63,898109.73
2017-11-24,19.49,19.63,16.51,17.17,21597.83,420941.71
2017-11-25,25.63,31.89,18.94,20.96,25603.28,656212.07
2017-11-26,22.9,29.58,21.88,27.28,36035.33,825209.06
2017-11-27,20.55,25.56,18.87,23.92,11864.62,243817.94
2017-11-28,20.88,21.72,17.2,21.07,13626.94,284530.51
2017-11-29,16.92,20.81,15.84,20.74,6580.49,111341.89
2017-11-30,16.58,18.56,14.93,17.4,3391.54,56231.73
2017-12-01,16.65,19.87,16.05,18.11,4314.43,71835.26
2017-12-02,13.98,18.29,13.11,18.29,8308.22,116148.92
2017-12-03,14.32,17.6,11.93,14.22,8048.08,115248.51
2017-12-04,13.37,14.82,9.45,14.8,6893.63,92167.83
2017-12-05,12.72,16.64,10.16,11.71,5077.51,64585.93
2017-12-06,11.91,14.99,9.49,14.99,5050.0,60145.5
2017-12-07,8.6,14.68,4.68,13.96,7926.94,68171.68
2017-12-08,13.97,14.25,7.49,8.19,8502.78,118783.84
2017-12-09,14.44,18.05,12.59,12.92,5575.26,80506.75
2017-12-10,14.02,15.04,11.47,14.65,1713.87,24028.46
2017-12-11,11.53,15.68,10.97,15.58,5363.47,61840.81
2017-12-12,11.59,13.43,8.81,11.77,2626.19,30437.54
2017-12-13,10.77,12.57,8.16,11.05,3903.23,42037.79
2017-12-14,10.64,11.54,9.08,10.89,3580.2,38093.33
2017-12-15,10.07,11.74,8.02,11.37,2863.74,28837.86
2017-12-16,9.72,11.97,9.72,11.07,2247.95,21850.07
2017-12-17,9.86,12.72,8.84,9.55,3272.63,32268.13
2017-12-18,9.08,11.72,8.09,9.81,3987.13,36203.14
2017-12-19,8.31,9.63,7.79,8.39,5732.57,47637.66
2017-12-20,7.89,9.04,7.21,7.8,6901.95,54456.39
2017-12-21,7.95,9.25,7.2,7.49,6554.51,52108.35
2017-12-22,6.07,7.45,5.87,6.95,6126.14,37185.67
2017-12-23,7.36,8.56,6.17,6.39,4708.59,34655.22
2017-12-24,6.83,8.13,6.18,7.05,3496.43,23880.62
2017-12-25,7.33,7.77,6.27,6.85,2959.62,21694.01
2017-12-26,8.22,9.41,7.35,8.35,6016.48,49455.47
