time,close,high,low,open,volumefrom,volumeto
2017-10-20,0.1424,0.1424,0.1424,0.1424,0.1,0.01424
2017-10-21,0.1408,0.1408,0.1408,0.1408,0.0,0.0
2017-10-22,0.1382,0.1382,0.1382,0.1382,0.0,0.0
2017-10-23,0.134,0.134,0.134,0.134,0.0,0.0
2017-10-24,0.1393,0.1393,0.1393,0.1393,0.0,0.0
2017-10-25,0.1393,0.1393,0.1393,0.1393,0.0,0.0
2017-10-26,0.1389,0.1389,0.1389,0.1389,0.0,0.0
2017-10-27,0.1393,0.1393,0.1393,0.1393,0.0,0.0
2017-10-28,0.179,0.179,0.1378,0.1378,1.0,0.179
2017-10-29,0.1855,0.1855,0.1855,0.1855,0.0,0.0
2017-10-30,0.1872,0.1872,0.1872,0.1872,0.0,0.0
2017-10-31,0.1853,0.1853,0.1853,0.1853,0.0,0.0
2017-11-01,0.1766,0.1766,0.1766,0.1766,0.0,0.0
2017-11-02,0.1739,0.1739,0.1739,0.1739,0.0,0.0
2017-11-03,0.1858,0.1858,0.1858,0.1858,0.0,0.0
2017-11-04,0.1831,0.1831,0.1831,0.1831,0.0,0.0
2017-11-05,0.1808,0.1808,0.1808,0.1808,0.0,0.0
2017-11-06,0.1811,0.1811,0.1811,0.1811,0.0,0.0
2017-11-07,0.1781,0.1781,0.1781,0.1781,0.0,0.0
2017-11-08,0.1875,0.1875,0.1875,0.1875,0.0,0.0
2017-11-09,0.1951,0.1951,0.1951,0.1951,0.0,0.0
2017-11-10,0.1811,0.1811,0.1811,0.1811,0.0,0.0
2017-11-11,0.1917,0.1917,0.1917,0.1917,0.0,0.0
2017-11-12,0.1867,0.1867,0.1867,0.1867,0.0,0.0
2017-11-13,0.192,0.192,0.192,0.192,0.0,0.0
2017-11-14,0.2042,0.2042,0.2042,0.2042,0.0,0.0
2017-11-15,0.1556,0.1556,0.1556,0.1556,1.0,0.1556
2017-11-16,0.1552,0.1552,0.1552,0.1552,0.0,0.0
2017-11-17,0.1559,0.1559,0.1559,0.1559,0.0,0.0
2017-11-18,0.1629,0.1629,0.1629,0.1629,0.0,0.0
2017-11-19,0.1666,0.1666,0.1666,0.1666,0.0,0.0
2017-11-20,0.1728,0.1728,0.1728,0.1728,0.0,0.0
2017-11-21,0.1694,0.1694,0.1694,0.1694,0.0,0.0
2017-11-22,0.179,0.179,0.179,0.179,2.13,0.3813
2017-11-23,0.191,0.191,0.191,0.191,0.0,0.0
2017-11-24,0.2211,0.2211,0.2211,0.2211,0.0,0.0
2017-11-25,0.2183,0.2183,0.2183,0.2183,0.0,0.0
2017-11-26,0.2211,0.2211,0.2211,0.2211,0.0,0.0
2017-11-27,0.2233,0.2233,0.2233,0.2233,0.0,0.0
2017-11-28,0.2191,0.2191,0.2191,0.2191,0.0,0.0
2017-11-29,0.2008,0.2008,0.2008,0.2008,0.0,0.0
2017-11-30,0.2043,0.2043,0.2043,0.2043,0.0,0.0
2017-12-01,0.2169,0.2169,0.2169,0.2169,0.0,0.0
2017-12-02,0.2152,0.2152,0.2152,0.2152,0.0,0.0
2017-12-03,0.2175,0.2175,0.2175,0.2175,0.0,0.0
2017-12-04,0.2194,0.2194,0.2194,0.2194,0.0,0.0
2017-12-05,0.2133,0.2133,0.2133,0.2133,0.0,0.0
2017-12-06,0.1985,0.1985,0.1985,0.1985,0.0,0.0
2017-12-07,0.1979,0.1979,0.1979,0.1979,0.0,0.0
2017-12-08,0.2123,0.2123,0.2123,0.2123,0.0,0.0
2017-12-09,0.2222,0.2222,0.2222,0.2222,0.0,0.0
2017-12-10,0.2051,0.2051,0.2051,0.2051,0.0,0.0
2017-12-11,0.2412,0.2412,0.2412,0.2412,0.0,0.0
2017-12-12,0.3085,0.3085,0.3085,0.3085,0.0,0.0
2017-12-13,0.3285,0.3285,0.3285,0.3285,0.0,0.0
2017-12-14,0.3259,0.3259,0.3259,0.3259,0.0,0.0
2017-12-15,0.3215,0.3215,0.3215,0.3215,0.0,0.0
