time,close,high,low,open,volumefrom,volumeto
2019-03-12,0.0002333,0.0002333,0.0002333,0.0002333,0.22,5.133e-05
2019-03-13,0.0001939,0.0002327,0.0001939,0.0002327,9080.09,1.76
2019-03-14,0.0002717,0.0002717,0.0001941,0.0001941,3942.88,1.07
2019-03-15,0.0002749,0.0002749,0.0002749,0.0002749,14.51,0.003989
2019-03-16,0.0002819,0.0002819,0.0002819,0.0002819,2.44,0.0006878
2019-03-17,0.0002799,0.0002799,0.0002799,0.0002799,4.94,0.001383
2019-03-18,0.0003191,0.000359,0.0002792,0.0002792,8.91,0.002843
2019-03-19,0.0002817,0.0003219,0.0002817,0.0003219,3127.92,0.8811
2019-03-20,0.000284,0.0003245,0.000284,0.000284,3126.44,0.8879
2019-03-21,0.0002798,0.0002798,0.0002798,0.0002798,2697.47,0.7548
2019-03-22,0.0002801,0.0002801,0.0002801,0.0002801,3091.98,0.8661
2019-03-23,0.0002805,0.0003206,0.0002805,0.0002805,5.5,0.001543
2019-03-24,0.0002396,0.0002796,0.0002396,0.0002796,6701.5,1.61
2019-03-25,0.0002355,0.0002355,0.0002355,0.0002355,2.24,0.0005275
2019-03-26,0.0002365,0.0002365,0.0002365,0.0002365,105.68,0.02499
2019-03-27,0.0002023,0.0002428,0.0002023,0.0002428,5313.54,1.07
2019-03-28,0.0002422,0.0004844,0.0002018,0.0002018,13652.95,3.31
2019-03-29,0.0002056,0.0002467,0.0002056,0.0002467,6751.96,1.39
2019-03-30,0.0002059,0.0003706,0.0002059,0.0002059,901.87,0.1857
2019-03-31,0.0002056,0.0002879,0.0002056,0.0002056,3423.83,0.7039
2019-04-01,0.0002076,0.0002076,0.0002076,0.0002076,1665.96,0.3459
2019-04-02,0.0001963,0.0002453,0.0001963,0.0002453,6484.24,1.27
2019-04-03,0.0001991,0.0002986,0.0001991,0.0001991,3234.7,0.644
2019-04-04,0.0001965,0.0003439,0.0001965,0.0001965,18595.98,3.65
2019-04-05,0.0002019,0.0003028,0.0002019,0.0002019,1327.52,0.268
2019-04-06,0.0002023,0.0003034,0.0002023,0.0002023,1197.21,0.2422
