time,close,high,low,open,volumefrom,volumeto
2017-10-30,0.422,0.49,0.3062,0.49,196594.27,82962.78
2017-10-31,0.3605,0.4806,0.309,0.4445,207585.56,74834.59
2017-11-01,0.2775,0.3549,0.2493,0.352,96444.92,26763.47
2017-11-02,0.295,0.3042,0.2664,0.2817,70175.23,20701.69
2017-11-03,0.2923,0.3072,0.2611,0.297,75242.09,21993.26
2017-11-04,0.2782,0.3165,0.2778,0.297,45928.9,12777.42
2017-11-05,0.3806,0.3806,0.2772,0.2791,146993.97,55945.9
2017-11-06,0.5567,0.7342,0.3146,0.3689,618185.69,344143.97
2017-11-07,0.6883,0.7316,0.4723,0.569,250477.11,172403.39
2017-11-08,0.6224,0.7352,0.5664,0.7217,156438.67,97367.43
2017-11-09,0.5148,0.6131,0.4919,0.6096,180466.26,92904.03
2017-11-10,0.438,0.518,0.4071,0.4745,120967.9,52983.94
2017-11-11,0.3744,0.4497,0.2879,0.4311,152146.16,56963.52
2017-11-12,0.4139,0.4585,0.3291,0.3291,103886.97,42998.82
2017-11-13,0.3966,0.5177,0.3718,0.4592,103682.1,41120.32
2017-11-14,0.4132,0.4486,0.3892,0.3988,74588.93,30820.15
2017-11-15,0.3897,0.4639,0.3801,0.4562,111147.82,43314.31
2017-11-16,0.4261,0.5149,0.4202,0.4202,73448.97,31296.61
2017-11-17,0.3892,0.4812,0.363,0.418,139725.02,54380.98
2017-11-18,0.3789,0.4412,0.3789,0.3932,62069.12,23517.99
2017-11-19,0.386,0.4468,0.3728,0.386,121589.69,46933.62
2017-11-20,0.3968,0.4535,0.3504,0.3957,256598.76,101818.39
2017-11-21,0.4157,0.4455,0.3802,0.4015,133434.8,55468.85
2017-11-22,0.4067,0.441,0.3939,0.4123,122600.68,49861.7
2017-11-23,0.3761,0.4127,0.3527,0.3958,81791.57,30761.81
2017-11-24,0.3972,0.4182,0.3473,0.3749,79457.44,31560.5
2017-11-25,0.402,0.4354,0.3856,0.4354,74708.78,30032.93
2017-11-26,0.3937,0.4286,0.3929,0.4279,92344.48,36356.02
2017-11-27,0.4381,0.5058,0.4104,0.4112,86176.02,37753.71
2017-11-28,0.4417,0.4854,0.3963,0.4459,135390.71,59802.08
2017-11-29,0.4287,0.5097,0.3947,0.4388,130556.59,55969.61
2017-11-30,0.5339,0.5919,0.4377,0.4478,299130.53,159705.79
2017-12-01,0.6187,0.646,0.5572,0.5645,99353.83,61470.21
2017-12-02,0.6082,0.6417,0.5753,0.5998,86716.92,52741.23
2017-12-03,0.8717,0.9388,0.6126,0.6268,275625.26,240262.54
2017-12-04,0.954,1.02,0.837,0.8842,234935.86,224128.81
2017-12-05,0.938,1.15,0.8593,0.9863,421987.23,395824.02
2017-12-06,1.01,1.13,1.01,1.11,337497.27,340872.24
2017-12-07,0.8998,1.23,0.8678,1.23,207349.67,186573.23
2017-12-08,1.27,1.27,0.7587,0.8505,137424.13,174528.65
2017-12-09,1.02,1.16,0.9589,1.12,103312.3,105378.55
2017-12-10,1.02,1.14,0.9488,1.04,120337.33,122744.08
2017-12-11,1.02,1.32,0.9287,1.14,233022.42,237682.87
2017-12-12,1.02,1.22,0.9483,1.06,147944.83,150903.73
2017-12-13,0.851,0.993,0.7329,0.9598,151693.4,129091.08
2017-12-14,0.8073,1.0,0.8069,0.8604,124340.95,100380.45
2017-12-15,0.9186,1.04,0.8452,0.863,91052.5,83640.83
2017-12-16,1.01,1.1,0.9789,1.01,88115.14,88996.29
2017-12-17,1.09,1.15,0.9924,1.01,110277.7,120202.69
2017-12-18,1.12,1.18,1.03,1.1,125197.55,140221.26
2017-12-19,1.01,1.13,0.9638,1.03,114721.36,115868.57
2017-12-20,0.9433,0.9783,0.9062,0.9531,58318.49,55011.83
2017-12-21,0.8915,0.9762,0.8818,0.8957,100914.19,89965.0
2017-12-22,0.8696,0.9831,0.7793,0.7896,137111.48,119232.14
2017-12-23,0.9746,1.12,0.8792,0.9099,156398.58,152426.06
2017-12-24,0.9464,0.9789,0.8688,0.9374,39695.76,37568.07
2017-12-25,0.9592,0.9822,0.9107,0.9494,57797.23,55439.1
2017-12-26,1.1,1.19,0.993,1.09,222183.86,244402.25
2017-12-27,1.47,2.31,1.07,1.08,329232.21,483971.35
2017-12-28,1.54,1.67,1.33,1.47,162113.25,249654.41
2017-12-29,1.44,1.61,1.37,1.53,106680.11,153619.36
2017-12-30,1.23,1.38,1.19,1.24,61636.88,75813.36
2017-12-31,1.36,1.36,1.36,1.36,0.0,0.0
2018-01-01,1.43,1.61,1.34,1.56,106715.77,152603.55
2018-01-02,2.01,2.07,1.52,1.52,201702.64,405422.31
2018-01-03,2.07,2.17,1.89,1.96,111583.44,230977.72
2018-01-04,2.13,2.16,1.84,2.07,103897.31,221301.27
2018-01-05,1.87,2.41,1.75,2.41,98203.55,183640.64
2018-01-06,1.84,2.06,1.84,1.89,82746.71,152253.95
2018-01-07,2.13,2.27,1.57,1.74,183871.67,391646.66
2018-01-08,2.19,2.25,1.71,1.98,134898.46,295427.63
2018-01-09,2.22,2.47,1.74,2.11,156276.64,346934.14
2018-01-10,2.61,3.0,2.18,2.25,180892.12,472128.43
2018-01-11,2.42,2.59,2.13,2.28,113503.24,274677.84
2018-01-12,2.67,2.77,2.21,2.56,162217.69,433121.23
2018-01-13,3.13,3.13,2.68,2.71,120857.26,378283.22
2018-01-14,4.47,4.56,2.77,2.77,246286.83,1100902.13
2018-01-15,3.27,4.43,3.27,4.43,113228.29,370256.51
2018-01-16,2.73,3.38,2.32,2.71,149418.87,407913.52
2018-01-17,2.76,3.04,2.23,2.73,116061.19,320328.88
2018-01-18,2.75,2.86,2.51,2.76,58747.69,161556.15
2018-01-19,2.66,3.01,2.49,2.83,54084.63,143865.12
2018-01-20,2.66,3.01,2.6,2.95,51784.85,137747.7
2018-01-21,2.51,2.85,2.03,2.35,64535.25,161983.48
2018-01-22,2.08,2.7,2.01,2.24,103525.83,215333.73
2018-01-23,2.07,2.49,2.01,2.09,97019.32,200829.99
2018-01-24,2.3,2.57,2.17,2.18,133636.07,307362.96
2018-01-25,2.19,2.51,2.01,2.27,90353.88,197875.0
2018-01-26,2.3,2.44,2.17,2.17,73477.09,168997.31
2018-01-27,2.28,2.51,2.26,2.44,77702.22,177161.06
2018-01-28,2.37,2.47,2.27,2.34,56070.58,132887.27
2018-01-29,2.19,2.3,1.85,2.26,107321.07,235033.14
2018-01-30,1.72,1.97,1.72,1.97,43105.91,74142.17
2018-01-31,1.75,1.89,1.74,1.74,62943.76,110151.58
2018-02-01,1.52,1.63,1.5,1.56,60296.74,91651.04
2018-02-02,1.42,1.53,1.25,1.48,85340.55,121183.58
2018-02-03,1.54,1.8,1.44,1.48,83709.77,128913.05
2018-02-04,1.36,1.46,1.31,1.37,48614.02,66115.07
2018-02-05,1.06,1.19,1.06,1.15,54166.33,57416.31
2018-02-06,1.25,1.33,1.17,1.18,85954.61,107443.26
2018-02-07,1.28,1.35,1.23,1.23,52249.47,66879.32
2018-02-08,1.41,1.47,1.37,1.39,28562.33,40272.89
2018-02-09,1.43,1.49,1.42,1.45,44145.78,63128.47
2018-02-10,1.38,1.46,1.38,1.41,40207.25,55486.01
2018-02-11,1.16,1.33,1.11,1.3,88877.12,103097.46
2018-02-12,1.31,1.42,1.26,1.28,48015.18,62899.89
2018-02-13,1.16,1.28,1.15,1.26,59484.37,69001.87
2018-02-14,1.1,1.53,1.1,1.29,99297.38,109227.12
2018-02-15,1.06,1.25,1.05,1.16,72281.49,76618.38
2018-02-16,1.08,1.36,1.08,1.08,47524.56,51326.52
2018-02-17,1.17,1.25,1.09,1.17,54675.55,63970.39
2018-02-18,1.04,1.09,0.9897,1.09,26846.25,27920.1
2018-02-19,1.07,1.18,1.07,1.12,27048.67,28942.08
2018-02-20,1.07,1.13,1.07,1.08,33597.26,35949.07
2018-02-21,0.898,1.06,0.7684,0.9974,79434.07,71331.79
2018-02-22,0.8816,1.05,0.8322,0.8437,26668.05,23510.55
2018-02-23,0.8531,0.9309,0.814,0.9109,43207.47,36860.29
2018-02-24,0.8266,0.8386,0.7767,0.8136,21297.71,17604.69
2018-02-25,0.7084,0.8309,0.6872,0.8185,52194.87,36974.85
2018-02-26,0.8023,0.8674,0.7488,0.7612,67869.81,54451.95
2018-02-27,0.7962,1.06,0.7215,0.8231,81590.36,64962.24
2018-02-28,0.7598,0.9921,0.7565,0.7766,81453.43,61888.32
2018-03-01,0.9858,1.06,0.8033,0.8033,120431.66,118721.53
2018-03-02,0.9443,1.05,0.9443,0.9961,50900.81,48065.63
2018-03-03,0.9203,1.02,0.9193,0.9804,32936.79,30311.73
2018-03-04,0.8705,0.9888,0.8425,0.9235,40553.33,35301.67
2018-03-05,0.8508,0.9367,0.8435,0.8657,36994.33,31474.78
2018-03-06,0.7949,0.8333,0.7935,0.7984,46039.6,36596.88
2018-03-07,0.7352,0.7942,0.7338,0.7351,73695.6,54181.01
2018-03-08,0.6614,0.698,0.6525,0.6899,32433.7,21451.65
2018-03-09,0.6507,0.7305,0.5924,0.6569,53114.76,34561.77
2018-03-10,0.6379,0.6804,0.6045,0.6186,34670.07,22116.04
2018-03-11,0.6634,0.7349,0.6109,0.6921,52031.44,34517.66
2018-03-12,0.5462,0.6391,0.5151,0.6354,86392.1,47187.37
2018-03-13,0.5202,0.6026,0.4215,0.5472,102184.26,53156.25
2018-03-14,0.4768,0.5296,0.4582,0.4655,33161.98,15811.63
2018-03-15,0.4455,0.5025,0.4343,0.4797,44211.57,19696.25
2018-03-16,0.4461,0.4745,0.4333,0.4463,101386.55,45228.54
2018-03-17,0.4639,0.4959,0.4141,0.4246,105014.3,48716.13
2018-03-18,0.457,0.4916,0.4518,0.4834,52205.04,23857.7
2018-03-19,0.4318,0.4811,0.4217,0.4797,65607.75,28329.43
2018-03-20,0.6473,0.7573,0.4364,0.4368,174788.81,113140.8
2018-03-21,0.5703,0.6954,0.5602,0.6466,123280.38,70306.8
2018-03-22,0.5439,0.5847,0.5332,0.5584,30003.6,16318.96
2018-03-23,0.5543,0.5858,0.5461,0.5461,29935.15,16593.05
2018-03-24,0.5654,0.5654,0.5236,0.5303,47694.6,26966.53
2018-03-25,0.5675,0.6156,0.5507,0.5604,61334.72,34807.45
