time,close,high,low,open,volumefrom,volumeto
2017-06-10,10.99,10.99,10.52,10.79,108.36,1190.88
2017-06-11,14.83,14.87,11.27,11.27,120.14,1781.68
2017-06-12,10.1,18.59,10.06,13.25,105.38,1064.34
2017-06-13,10.85,21.7,8.95,10.31,481.61,5225.47
2017-06-14,20.23,20.23,9.87,9.87,456.45,9233.98
2017-06-15,19.78,20.03,12.53,20.03,264.88,5239.33
2017-06-16,12.9,20.57,12.9,20.32,45.72,589.79
2017-06-17,15.93,18.05,12.56,13.65,56.01,892.24
2017-06-18,15.05,15.23,8.89,15.23,38.05,572.65
2017-06-19,10.73,15.5,7.85,15.5,116.89,1254.23
2017-06-20,7.02,11.29,6.89,11.29,44.62,313.23
2017-06-21,12.29,13.12,6.83,6.83,88.06,1082.26
2017-06-22,10.35,12.53,8.99,12.5,19.8,204.93
2017-06-23,7.05,10.3,7.05,10.3,73.17,515.85
2017-06-24,9.56,9.58,6.73,6.73,52.63,503.14
2017-06-25,6.39,9.66,6.39,9.38,58.7,375.09
2017-06-26,9.25,9.25,6.15,6.15,6.28,58.09
2017-06-27,9.27,9.77,7.02,9.77,81.15,752.26
2017-06-28,6.48,12.89,6.48,9.25,798.31,5173.05
2017-06-29,10.24,12.02,6.43,6.43,404.24,4139.42
2017-06-30,8.68,11.41,6.48,9.92,767.22,6659.47
2017-07-01,7.76,9.7,7.31,8.49,426.37,3308.63
2017-07-02,6.68,8.12,6.65,8.12,279.42,1866.53
2017-07-03,8.23,8.23,6.77,6.77,99.21,816.5
2017-07-04,6.89,8.38,6.89,8.38,760.09,5237.02
2017-07-05,13.16,63.07,6.92,6.92,3458.43,45512.94
2017-07-06,8.16,23.0,7.86,13.09,48945.45,399394.87
2017-07-07,7.89,9.24,4.68,7.85,106398.4,839483.38
2017-07-08,6.89,8.05,4.64,8.05,56964.65,392486.44
2017-07-09,6.46,7.84,5.03,6.74,37071.09,239479.24
2017-07-10,4.47,6.31,3.89,6.03,7090.08,31692.66
2017-07-11,4.03,5.41,2.78,4.43,16668.72,67174.94
2017-07-12,2.22,4.86,1.2,4.17,171977.79,381790.69
2017-07-13,1.42,3.4,1.42,2.18,376253.24,534279.6
2017-07-14,2.65,3.19,1.09,1.34,141235.33,374273.62
2017-07-15,3.43,3.88,2.28,2.34,24775.4,84979.62
2017-07-16,3.65,5.14,2.39,3.32,29229.16,106686.43
