time,close,high,low,open,volumefrom,volumeto
2017-10-24,0.593,0.593,0.09785,0.2965,32558.15,19306.98
2017-10-25,0.4742,1.18,0.1482,0.5927,263931.8,125156.46
2017-10-26,0.4374,395136.98,0.266,0.4581,325111.94,142203.96
2017-10-27,0.4001,1185440.0,0.0,0.4386,86696.63,34687.32
2017-10-28,0.4254,0.484,0.3488,0.4107,62875.01,26747.03
2017-10-29,0.4105,0.4922,0.4044,0.4402,24287.47,9970.01
2017-10-30,0.3099,0.4709,0.3099,0.4142,30495.35,9450.51
2017-10-31,0.2292,3.08,0.2292,0.3067,21760.64,4987.54
2017-11-01,0.3039,0.4718,0.2373,0.2926,8926.73,2712.83
2017-11-02,0.4787,0.4787,0.1937,0.2992,5096.93,2439.9
2017-11-03,0.2923,0.5116,0.2132,0.5116,6910.57,2019.96
2017-11-04,0.2868,0.3901,0.2868,0.288,5707.13,1636.8
2017-11-05,0.3493,0.3881,0.2162,0.2814,4305.05,1503.75
2017-11-06,0.3369,0.35,0.2671,0.35,2281.51,768.64
2017-11-07,0.2918,0.3298,0.2659,0.2659,3947.48,1151.87
2017-11-08,0.2306,0.3381,0.2151,0.3227,4271.85,985.09
2017-11-09,0.2877,0.422,0.2877,0.3197,17394.27,5004.33
2017-11-10,0.2969,0.38,0.2969,0.2998,2281.9,677.5
2017-11-11,0.275,0.3142,0.275,0.3142,1348.58,370.86
2017-11-12,0.2054,437608.6,0.2054,0.2678,847.39,174.05
2017-11-13,0.3775,0.3775,0.2112,0.2112,1810.39,683.42
2017-11-14,0.2514,0.4351,0.2514,0.4017,18903.0,4752.21
2017-11-15,0.2848,0.4375,0.265,0.265,7694.54,2191.4
2017-11-16,0.3865,0.4294,0.2841,0.2841,30404.66,11751.4
2017-11-17,0.3384,0.4312,0.2985,0.3881,24234.68,8201.02
2017-11-18,0.3259,0.4298,0.3123,0.3536,4353.1,1418.68
2017-11-19,0.4255,0.4337,0.3298,0.3333,4705.9,2002.36
2017-11-20,0.4446,0.4446,0.3493,0.4413,4415.56,1963.16
2017-11-21,0.53,0.5768,0.4002,0.4445,5412.66,2868.71
2017-11-22,0.5636,0.6093,0.5332,0.5598,22329.23,12584.75
2017-11-23,0.5773,0.5773,0.3923,0.4533,17202.55,9931.03
2017-11-24,0.5716,0.7193,0.5716,0.7193,6792.34,3882.5
2017-11-25,0.5575,0.6458,0.4739,0.6272,2204.02,1228.74
2017-11-26,0.5882,0.6352,0.4847,0.6117,8831.45,5194.66
2017-11-27,0.6653,1.89,0.5228,0.5228,34799.22,23151.92
2017-11-28,0.9316,1.4,0.5884,0.6528,24278.4,22617.76
2017-11-29,1.07,1.28,0.6839,0.854,31119.63,33298.0
2017-11-30,1.17,1.17,4e-09,0.7532,31064.68,36345.68
2017-12-01,0.9693,1.63,0.5894,1.63,10300.25,9984.03
2017-12-02,0.7556,0.9617,0.7556,0.9159,8068.91,6096.87
2017-12-03,0.8331,0.9117,0.7035,0.9117,4298.64,3581.2
2017-12-04,0.8825,0.9152,0.8125,0.9152,4255.94,3755.87
2017-12-05,0.6355,453.96,0.6355,0.858,5985.17,3803.58
2017-12-06,1.86,1.86,0.5915,0.5915,14344.76,26681.25
2017-12-07,2.1,42.12,1.52,1.85,18705.2,39280.92
2017-12-08,1.68,2.26,1.65,2.17,6643.26,11160.68
2017-12-09,1.94,2.11,1.82,2.07,5366.16,10410.35
2017-12-10,2.61,3.88,1.56,1.56,15904.94,41511.89
2017-12-11,2.57,3.72,2.36,3.07,15185.23,39026.04
2017-12-12,3.86,3.93,2.3,3.93,1439.98,5558.32
2017-12-13,1.68,4.09,1.4,3.22,1652.51,2776.22
2017-12-14,2.07,3.11,1.73,1.73,1460.48,3023.19
2017-12-15,1.88,2.53,1.37,2.05,4270.61,8028.75
2017-12-16,1.88,1.94,1.58,1.9,1398.45,2629.09
2017-12-17,2.15,2.15,1.64,1.95,1196.97,2573.49
2017-12-18,2.16,2.36,2.04,2.15,1953.65,4219.88
2017-12-19,2.68,5.28,2.03,2.23,4695.0,12582.6
2017-12-20,2.76,3.28,2.4,3.28,757.38,2090.37
2017-12-21,2.6,2.6,2.6,2.6,150.0,390.0
2017-12-22,2.17,2.17,2.17,2.17,0.0,0.0
2017-12-23,2.31,2.31,2.31,2.31,0.0,0.0
2017-12-24,1.62,2.64,1.6,2.23,527.18,854.03
