time,close,high,low,open,volumefrom,volumeto
2015-06-25,0.000211,0.0007277,4.851e-05,0.0002426,11661639.55,2460.61
2015-06-26,8.746e-05,0.0002405,1.458e-05,0.0002114,26509393.17,2318.51
2015-06-27,3.259e-05,9.026e-05,1.504e-05,9.026e-05,3186790.17,103.86
2015-06-28,3.733e-05,3.733e-05,1.991e-05,3.235e-05,1399171.5,52.23
2015-06-29,5.139e-05,5.653e-05,1.542e-05,3.855e-05,2025952.38,104.11
2015-06-30,1.849e-05,5.282e-05,1.849e-05,5.282e-05,280842.54,5.19
2015-07-01,1.803e-05,1.803e-05,1.803e-05,1.803e-05,0.0,0.0
2015-07-02,1.529e-05,2.039e-05,1.529e-05,1.784e-05,1585065.44,24.24
2015-07-03,1.532e-05,1.532e-05,1.532e-05,1.532e-05,143453.55,2.2
2015-07-04,1.042e-05,1.563e-05,1.042e-05,1.563e-05,66465.8,0.6926
2015-07-05,4.052e-05,5.133e-05,3.242e-05,3.242e-05,1073765.95,43.51
2015-07-06,4.036e-05,4.036e-05,4.036e-05,4.036e-05,0.0,0.0
2015-07-07,3.993e-05,3.993e-05,3.993e-05,3.993e-05,0.0,0.0
2015-07-08,1.075e-05,4.03e-05,1.075e-05,4.03e-05,26644.89,0.2864
2015-07-09,3.23e-05,3.23e-05,1.077e-05,1.077e-05,14291862.82,461.63
2015-07-10,3.12e-05,3.403e-05,1.702e-05,3.403e-05,11197.6,0.3494
2015-07-11,2.336e-05,3.212e-05,1.46e-05,3.212e-05,1613006.78,37.68
2015-07-12,2.484e-05,2.484e-05,2.484e-05,2.484e-05,0.0,0.0
2015-07-13,2.323e-05,2.323e-05,2.323e-05,2.323e-05,0.0,0.0
2015-07-14,2.296e-05,2.296e-05,2.296e-05,2.296e-05,0.0,0.0
2015-07-15,1.984e-05,2.267e-05,1.984e-05,2.267e-05,20000.0,0.3968
2015-07-16,1.936e-05,1.936e-05,1.936e-05,1.936e-05,4991.57,0.09664
2015-07-17,1.957e-05,1.957e-05,1.957e-05,1.957e-05,0.0,0.0
2015-07-18,1.918e-05,1.918e-05,1.918e-05,1.918e-05,0.0,0.0
2015-07-19,1.912e-05,1.912e-05,1.912e-05,1.912e-05,0.0,0.0
2015-07-20,1.111e-05,1.666e-05,1.111e-05,1.666e-05,362493.32,4.03
2015-07-21,1.1e-05,1.1e-05,1.1e-05,1.1e-05,0.0,0.0
2015-07-22,1.935e-05,1.935e-05,1.106e-05,1.106e-05,440132.08,8.52
2015-07-23,1.929e-05,1.929e-05,1.929e-05,1.929e-05,0.0,0.0
2015-07-24,1.153e-05,2.019e-05,1.153e-05,2.019e-05,7348.26,0.08473
2015-07-25,1.155e-05,1.155e-05,1.155e-05,1.155e-05,0.0,0.0
2015-07-26,1.167e-05,1.167e-05,1.167e-05,1.167e-05,0.0,0.0
2015-07-27,2.93e-05,2.93e-05,1.172e-05,1.758e-05,272596.29,7.99
2015-07-28,2.937e-05,2.937e-05,2.937e-05,2.937e-05,0.0,0.0
2015-07-29,1.153e-05,2.884e-05,1.153e-05,2.884e-05,63467.7,0.7318
2015-07-30,1.148e-05,1.148e-05,1.148e-05,1.148e-05,0.0,0.0
2015-07-31,1.135e-05,1.135e-05,1.135e-05,1.135e-05,79978.5,0.9078
2015-08-01,1.122e-05,1.122e-05,1.122e-05,1.122e-05,0.0,0.0
2015-08-02,1.125e-05,1.125e-05,1.125e-05,1.125e-05,0.0,0.0
2015-08-03,1.126e-05,1.126e-05,1.126e-05,1.126e-05,0.0,0.0
2015-08-04,1.137e-05,1.137e-05,1.137e-05,1.137e-05,0.0,0.0
2015-08-05,5.63e-06,8.45e-06,5.63e-06,8.45e-06,1272802.0,7.17
2015-08-06,5.56e-06,5.56e-06,5.56e-06,5.56e-06,0.0,0.0
2015-08-07,5.56e-06,5.56e-06,5.56e-06,5.56e-06,0.0,0.0
2015-08-08,7.76e-06,7.76e-06,7.76e-06,7.76e-06,500000.0,3.88
