time,close,high,low,open,volumefrom,volumeto
2017-10-10,0.3492,507382.0,0.08954,0.08954,705758.43,246450.84
2017-10-11,0.3301,287717.0,0.2271,0.3543,535098.29,176635.95
2017-10-12,0.2693,3.21,0.2514,0.3302,420601.35,113267.94
2017-10-13,0.2445,336830.0,0.2358,0.2994,394126.05,96363.82
2017-10-14,0.2399,0.7522,0.2304,0.246,347619.67,83393.96
2017-10-15,0.2403,16829.0,0.2222,0.2383,322048.68,77388.3
2017-10-16,0.2206,0.3008,0.2172,0.2386,209869.58,46297.23
2017-10-17,0.2276,3.2044811748151514e+17,0.1916,0.2087,290178.84,66044.7
2017-10-18,0.2468,5.33,0.2072,0.2257,331953.87,81926.22
2017-10-19,0.2521,2668318.8,0.2121,0.2419,355373.16,89589.57
2017-10-20,0.2349,1.18,0.2137,0.2508,217979.31,51203.34
2017-10-21,0.1955,748.88,5.99e-06,0.2322,280687.68,54874.44
2017-10-22,0.2081,294.0,0.1764,0.2111,221087.72,46008.35
2017-10-23,0.1927,751401.18,0.1743,0.2025,188450.58,36314.43
2017-10-24,0.215,2.05,0.1927,0.2003,226055.4,48601.91
2017-10-25,0.1897,0.296,0.1897,0.2149,152863.32,28998.17
2017-10-26,0.2037,0.2305,0.1714,0.1891,206349.61,42033.42
2017-10-27,0.1897,0.2223,0.1751,0.2043,226591.52,42984.41
2017-10-28,0.176,0.1991,0.176,0.1991,178456.77,31408.39
2017-10-29,0.1718,0.2067,0.1523,0.1824,387804.75,66624.86
2017-10-30,0.1979,0.2669,0.1687,0.1687,175744.14,34779.77
2017-10-31,0.1972,12.15,0.1791,0.1883,206650.39,40751.46
2017-11-01,0.1823,448601.0,0.1491,0.188,240564.71,43854.95
2017-11-02,0.1687,512856.0,0.157,0.1675,139968.22,23612.64
2017-11-03,0.1884,0.1918,0.1599,0.1827,285077.32,53708.57
2017-11-04,0.1981,0.2037,0.177,0.1878,136014.81,26944.53
2017-11-05,0.1979,0.2933,0.157,0.2042,111503.96,22066.63
2017-11-06,0.2021,0.2087,0.1647,0.1962,178529.62,36080.84
2017-11-07,0.201,0.2332,0.1897,0.1993,281492.17,56579.93
2017-11-08,0.249,0.3003,0.2029,0.2135,339561.39,84550.79
2017-11-09,0.2717,3995750.0,0.2318,0.2743,329847.74,89619.63
2017-11-10,0.2598,742150.0,0.2375,0.2553,320729.31,83325.47
2017-11-11,0.3057,0.3614,0.2685,0.275,203245.18,62132.05
2017-11-12,0.2142,0.3519,0.2142,0.2907,327737.95,70201.47
2017-11-13,0.2791,3146000.0,0.2427,0.2427,86838.61,24236.66
2017-11-14,0.2824,33.47,0.2678,0.2912,181379.39,51221.54
2017-11-15,0.361,1.03,0.266,0.2793,255709.72,92311.21
2017-11-16,0.2861,0.3303,0.0,0.2807,336822.62,96364.95
2017-11-17,0.3317,0.3815,0.2692,0.2873,388410.62,128835.8
2017-11-18,0.4506,0.6084,0.293,0.346,966409.23,435464.0
2017-11-19,0.5106,460980.0,0.3546,0.461,1018807.75,520203.24
2017-11-20,0.6067,3.68,0.03787,0.5332,735633.66,446308.94
2017-11-21,0.8393,1088770.4,0.566,0.6378,993359.0,833726.21
2017-11-22,0.7007,1.14,0.0,0.8378,705552.01,494380.29
2017-11-23,0.7115,1.02,0.6729,0.7644,398121.14,283263.19
2017-11-24,0.7743,1.32,0.732,0.8374,252703.39,195668.23
2017-11-25,0.7852,4.65,0.7011,0.7541,297225.93,233381.8
2017-11-26,0.7905,564.65,0.7435,0.7783,337881.41,267095.25
2017-11-27,0.6872,0.8165,0.5803,0.8051,346516.42,238126.08
2017-11-28,0.712,1.4,0.6062,0.6616,273582.61,194790.82
2017-11-29,0.5736,0.8292,0.5215,0.6497,336903.37,193247.77
2017-11-30,0.6523,83578.17,4e-09,0.5836,251367.42,163966.97
