time,close,high,low,open,volumefrom,volumeto
2018-05-11,0.5043,0.549,0.5007,0.5235,2689960.32,1356546.99
2018-05-12,0.4916,0.5327,0.4903,0.5205,5154164.37,2533787.2
2018-05-13,0.4773,0.6054,0.4756,0.5337,5048407.25,2409604.78
2018-05-14,0.4608,0.4918,0.4558,0.4871,4713847.59,2172140.97
2018-05-15,0.4458,0.483,0.443,0.447,4755051.63,2119802.02
2018-05-16,0.4239,0.5124,0.3972,0.4453,5001151.88,2119988.28
2018-05-17,0.3869,0.457,0.362,0.405,4807308.32,1859947.59
2018-05-18,0.4396,0.5743,0.3709,0.4036,4861348.43,2137048.77
2018-05-19,0.4545,0.5269,0.3612,0.4412,4690654.56,2131902.5
2018-05-20,0.4555,0.5006,0.4377,0.4682,4860421.56,2213922.02
2018-05-21,0.4134,0.4668,0.3685,0.4421,5137588.34,2123879.02
2018-05-22,0.3735,0.4842,0.361,0.3796,4742593.86,1771358.81
2018-05-23,0.3517,0.3603,0.3082,0.3385,4924401.17,1731911.89
2018-05-24,0.3894,0.4284,0.3617,0.3673,4727990.89,1841079.65
2018-05-25,0.3626,0.3837,0.3362,0.3792,4715421.95,1709812.0
2018-05-26,0.3632,0.3667,0.3573,0.3612,4307580.01,1564513.06
2018-05-27,0.3582,0.3651,0.3322,0.3541,4706726.65,1685949.49
2018-05-28,0.3249,0.3277,0.312,0.3269,4372266.04,1420549.24
2018-05-29,0.3359,0.3626,0.3291,0.3561,4960220.53,1666138.08
2018-05-30,0.3356,0.405,0.3241,0.3315,4762347.84,1598243.94
2018-05-31,0.3507,0.3601,0.3409,0.3491,4534689.69,1590315.67
2018-06-01,0.3441,0.3555,0.3384,0.35,4660364.44,1603631.4
2018-06-02,0.3543,0.3559,0.344,0.3511,4468330.45,1583129.48
2018-06-03,0.3384,0.3714,0.3249,0.3714,4590254.3,1553342.06
2018-06-04,0.3234,0.3266,0.3103,0.3234,4418796.22,1429038.7
2018-06-05,0.3196,0.3405,0.3192,0.3331,4345696.05,1388884.46
2018-06-06,0.32,0.3227,0.291,0.3187,4427450.58,1416784.19
