time,close,high,low,open,volumefrom,volumeto
2017-04-27,0.1333,26.66,0.04132,0.04132,179.15,23.88
2017-04-28,0.02129,0.3969,0.02129,0.133,527.03,11.22
2017-04-29,0.02139,0.02139,0.02139,0.02139,0.0,0.0
2017-04-30,0.02164,0.02164,0.02164,0.02164,0.0,0.0
2017-05-01,0.02267,0.02267,0.02267,0.02267,0.0,0.0
2017-05-02,0.02315,0.02315,0.02315,0.02315,0.0,0.0
2017-05-03,0.02378,0.02378,0.02378,0.02378,0.0,0.0
2017-05-04,0.07584,0.07584,0.0531,0.06907,244.43,18.54
2017-05-05,0.08554,0.08555,0.06483,0.07539,1321.94,113.08
2017-05-06,0.08583,0.08961,0.0605,0.08766,3838.22,329.43
2017-05-07,0.07772,0.08633,0.06087,0.08633,4874.46,378.84
2017-05-08,0.08324,0.08324,0.08322,0.08322,399.0,33.21
2017-05-09,0.09846,0.09846,0.08489,0.08489,738.24,72.69
2017-05-10,0.08765,0.1016,0.08765,0.1016,2934.62,257.22
2017-05-11,0.1037,0.1037,0.09098,0.091,58.99,6.12
2017-05-12,0.08434,0.09611,0.08434,0.09611,15.01,1.27
2017-05-13,0.1005,0.1005,0.0882,0.0882,4873.36,489.77
2017-05-14,0.1152,0.1152,0.08863,0.101,10911.59,1257.02
2017-05-15,0.1111,0.1111,0.1111,0.1111,9411.94,1045.67
2017-05-16,0.1038,0.1172,0.09619,0.1124,4985.03,517.45
2017-05-17,0.122,0.122,0.1081,0.1081,200.2,24.42
2017-05-18,0.1054,0.1317,0.1035,0.1274,1685.21,177.62
2017-05-19,0.1374,0.1374,0.1099,0.1099,2052.18,281.97
2017-05-20,0.1428,0.1429,0.1428,0.1429,4716.22,673.48
2017-05-21,0.1433,0.1433,0.1431,0.1431,12115.39,1736.14
2017-05-22,0.1467,0.1489,0.1297,0.1489,5525.65,810.61
2017-05-23,0.1865,0.1865,0.1549,0.1569,3055.6,569.87
2017-05-24,0.2007,0.2044,0.2007,0.2007,770.6,154.66
2017-05-25,0.1617,0.1894,0.1617,0.1894,458.42,74.13
2017-05-26,0.2263,0.2263,0.1863,0.1885,16639.59,3765.54
2017-05-27,0.2436,0.2545,0.1587,0.2069,15149.55,3690.43
2017-05-28,0.2517,0.3535,0.1823,0.2601,76539.67,19265.03
2017-05-29,0.214,0.2825,0.1959,0.262,18401.8,3937.99
2017-05-30,0.1943,0.2302,0.194,0.206,9770.09,1898.33
2017-05-31,0.5401,0.5401,0.2039,0.2041,1924.45,1039.4
2017-06-01,0.2528,0.5658,0.2173,0.5658,9942.61,2513.49
2017-06-02,0.2617,0.2617,0.2293,0.2612,4419.67,1156.63
2017-06-03,0.2828,0.2828,0.2482,0.2673,6529.67,1846.59
2017-06-04,0.2882,0.313,0.2221,0.2804,14463.59,4168.41
2017-06-05,0.3094,0.3138,0.231,0.3089,9080.19,2809.41
2017-06-06,0.3129,0.3287,0.2528,0.3284,7092.48,2219.24
2017-06-07,0.277,0.3335,0.2431,0.2934,14049.65,3891.75
2017-06-08,0.2872,0.3241,0.2744,0.288,11117.9,3193.06
2017-06-09,0.2619,0.325,0.2479,0.2885,11799.68,3090.34
2017-06-10,0.2681,0.3245,0.2143,0.2701,15517.84,4160.33
2017-06-11,0.2679,0.3473,0.2198,0.2749,18609.88,4985.59
