time,close,high,low,open,volumefrom,volumeto
2017-06-01,0.1761,0.1809,0.1568,0.1641,1122.89,197.74
2017-06-02,0.2119,0.2119,0.1745,0.182,5009.04,1061.42
2017-06-03,0.28,0.28,0.1884,0.2164,7132.06,1996.98
2017-06-04,0.5301,0.5301,0.2474,0.2776,8201.69,4347.72
2017-06-05,0.6735,0.6762,0.5626,0.568,7356.77,4954.78
2017-06-06,0.7176,0.7176,0.6057,0.7148,4544.0,3260.77
2017-06-07,0.8075,0.8075,0.323,0.6729,14363.14,11598.24
2017-06-08,0.8956,0.8956,0.6997,0.8396,13630.76,12207.71
2017-06-09,1.41,1.41,0.8968,0.8997,26237.07,36994.27
2017-06-10,1.6,1.6,1.31,1.45,8957.94,14332.7
2017-06-11,1.63,1.64,1.46,1.64,4447.26,7249.03
2017-06-12,1.48,1.49,1.2,1.46,19456.13,28795.07
2017-06-13,1.23,1.6,1.23,1.51,17414.48,21419.81
2017-06-14,0.2151,1.46,0.1923,1.12,1351760.4,290763.66
2017-06-15,0.1727,0.2504,0.1603,0.213,2285551.11,394714.68
2017-06-16,0.1354,0.192,0.1339,0.1774,1618831.15,219189.74
2017-06-17,0.1477,0.177,0.1274,0.1433,1626990.39,240306.48
2017-06-18,0.258,0.3007,0.1282,0.1413,3998108.92,1031512.1
2017-06-19,0.464,0.727,0.2627,0.2659,35686879.31,16558712.0
2017-06-20,0.4718,0.6084,0.3341,0.4884,11840724.59,5586453.86
2017-06-21,0.3122,0.4587,0.2785,0.4587,4506975.15,1407077.64
2017-06-22,0.3123,0.3341,0.2728,0.3175,3577915.14,1117382.9
2017-06-23,0.3255,0.396,0.3003,0.3109,3409375.12,1109751.6
2017-06-24,0.2903,0.3191,0.2504,0.3111,2510520.98,728804.24
2017-06-25,0.2159,0.2981,0.1866,0.2849,2371518.38,512010.82
2017-06-26,0.2081,0.244,0.1817,0.2078,2435791.85,506888.28
2017-06-27,0.2052,0.2381,0.1871,0.2198,2055900.72,421870.83
2017-06-28,0.2032,0.2166,0.1955,0.2047,1616103.23,328392.18
2017-06-29,0.1851,0.2031,0.1799,0.2017,1808495.48,334752.51
2017-06-30,0.1534,0.1815,0.1493,0.1795,3065356.66,470225.71
2017-07-01,0.1905,0.212,0.1456,0.1499,6441266.21,1227061.21
2017-07-02,0.2709,0.3267,0.1781,0.1993,13699144.13,3711098.14
2017-07-03,0.2481,0.2948,0.2398,0.2747,8099649.64,2009523.08
2017-07-04,0.2046,0.259,0.202,0.2524,5491330.4,1123526.2
2017-07-05,0.2172,0.2385,0.2027,0.2054,2471288.76,536763.92
