time,close,high,low,open,volumefrom,volumeto
2018-06-12,0.1521,0.1758,0.1493,0.1749,24469855.02,3721864.95
2018-06-13,0.1349,0.1592,0.1265,0.1472,50953607.23,6873641.62
2018-06-14,0.1536,0.1798,0.1395,0.1421,67179809.81,10318818.79
2018-06-15,0.129,0.1489,0.1261,0.1473,33727361.28,4350829.61
2018-06-16,0.1321,0.1416,0.1299,0.1312,26779399.77,3537558.71
2018-06-17,0.1313,0.1405,0.1301,0.1313,24870495.21,3265496.02
2018-06-18,0.1276,0.1401,0.1246,0.1366,30754732.24,3924303.83
2018-06-19,0.1383,0.1446,0.1267,0.1281,33369112.23,4614948.22
2018-06-20,0.132,0.1393,0.1277,0.1385,25615807.48,3381286.59
2018-06-21,0.1265,0.1319,0.1253,0.1312,21392832.56,2706193.32
2018-06-22,0.1066,0.1148,0.1029,0.1139,29491031.17,3143743.92
2018-06-23,0.1056,0.1141,0.1048,0.1086,18947250.05,2000829.61
2018-06-24,0.09495,0.1057,0.09237,0.1054,30533128.09,2899120.51
2018-06-25,0.1067,0.1118,0.09653,0.09653,28744668.98,3067056.18
2018-06-26,0.09607,0.1139,0.09504,0.1037,28850433.32,2771661.13
2018-06-27,0.09845,0.1013,0.09556,0.09691,20471724.69,2015441.3
2018-06-28,0.08478,0.09864,0.08396,0.09412,29826986.41,2528731.91
2018-06-29,0.0858,0.09337,0.08325,0.08958,32808276.94,2814950.16
2018-06-30,0.08148,0.09265,0.07797,0.08837,63513665.42,5175093.46
2018-07-01,0.07334,0.08488,0.07182,0.08089,65322371.26,4790742.71
2018-07-02,0.07965,0.09328,0.06867,0.07661,232930532.57,18552916.92
2018-07-03,0.06803,0.08137,0.06653,0.07857,174912555.42,11899301.15
2018-07-04,0.06768,0.07776,0.05602,0.06906,191807052.5,12981501.31
2018-07-05,0.07476,0.07646,0.06443,0.06711,171511279.24,12822183.24
2018-07-06,0.07705,0.08781,0.07454,0.07553,226979596.08,17488777.88
2018-07-07,0.0786,0.08698,0.07508,0.0788,153668662.58,12078356.88
2018-07-08,0.09384,0.09974,0.07774,0.07807,219630310.78,20610108.36
2018-07-09,0.09616,0.1079,0.09203,0.0933,200892479.2,19317820.8
2018-07-10,0.08048,0.0917,0.07493,0.0912,172391883.55,13874098.79
2018-07-11,0.08658,0.09016,0.07884,0.08159,113113457.47,9793363.15
2018-07-12,0.07448,0.08511,0.07092,0.08474,74070297.05,5516755.72
2018-07-13,0.07058,0.07756,0.06928,0.07413,44639811.36,3150677.89
2018-07-14,0.06971,0.07215,0.06651,0.07102,41329607.71,2881086.95
2018-07-15,0.07217,0.07631,0.06886,0.07077,63564178.52,4587426.76
2018-07-16,0.08062,0.08749,0.07495,0.07644,101753609.63,8203376.01
2018-07-17,0.08624,0.094,0.08477,0.08748,82292140.05,7096874.16
2018-07-18,0.08624,0.09384,0.08439,0.08698,93926489.07,8100220.42
2018-07-19,0.07941,0.08913,0.07926,0.08719,80392610.99,6383977.24
2018-07-20,0.06923,0.07979,0.06857,0.07796,90622305.74,6273782.23
2018-07-21,0.07628,0.08072,0.0685,0.06991,152558259.49,11637144.03
2018-07-22,0.0714,0.07761,0.06977,0.07732,113035308.62,8070721.04
2018-07-23,0.0663,0.07919,0.06568,0.07448,85782476.73,5687378.21
2018-07-24,0.06775,0.07464,0.06347,0.07212,98260077.01,6657120.22
2018-07-25,0.07819,0.0817,0.06495,0.06544,218475452.92,17082595.66
2018-07-26,0.07588,0.08294,0.07278,0.07596,192010326.92,14569743.61
2018-07-27,0.08469,0.08502,0.07471,0.07823,207581754.47,17580098.79
2018-07-28,0.0819,0.08675,0.07976,0.08535,243112912.24,19910947.51
2018-07-29,0.08439,0.08652,0.07987,0.08176,232247291.23,19599348.91
2018-07-30,0.078,0.08601,0.07735,0.08397,167620196.85,13074375.35
2018-07-31,0.06714,0.07944,0.06621,0.07379,269418895.7,18088784.66
2018-08-01,0.06667,0.07086,0.06408,0.06606,193557432.56,12904474.03
2018-08-02,0.05943,0.06826,0.05906,0.06607,197994207.85,11766795.77
2018-08-03,0.05563,0.05875,0.05259,0.05845,284443173.75,15823573.76
2018-08-04,0.05179,0.05727,0.05025,0.05263,269999937.75,13983296.78
2018-08-05,0.05317,0.0538,0.0512,0.05197,93099944.74,4950124.06
2018-08-06,0.05043,0.05293,0.05008,0.05244,57701761.52,2909899.83
2018-08-07,0.04632,0.05244,0.04626,0.04881,270194169.6,12515393.94
2018-08-08,0.03978,0.04437,0.03909,0.04337,145893581.83,5803646.69
2018-08-09,0.04168,0.04391,0.04037,0.04142,190869867.27,7955456.07
2018-08-10,0.03563,0.04092,0.03483,0.0392,204878712.3,7299828.52
2018-08-11,0.03271,0.03633,0.03003,0.03614,420179821.7,13744081.97
2018-08-12,0.03054,0.0332,0.03041,0.03313,210894648.37,6440722.56
2018-08-13,0.02305,0.03044,0.02267,0.03025,108025304.13,2489983.26
2018-08-14,0.02151,0.02281,0.01878,0.02275,93564335.01,2012568.85
2018-08-15,0.02096,0.0229,0.02052,0.02177,81173165.94,1701389.56
2018-08-16,0.0234,0.02548,0.02005,0.02106,160366716.28,3752581.16
2018-08-17,0.02847,0.02946,0.02366,0.02439,157113912.24,4473033.08
2018-08-18,0.02511,0.03395,0.0237,0.02767,214113719.47,5376395.5
2018-08-19,0.02939,0.03037,0.02484,0.02549,110063015.12,3234752.01
2018-08-20,0.02872,0.03129,0.02583,0.02834,246481651.9,7078953.04
2018-08-21,0.03038,0.03044,0.02746,0.02986,110498434.33,3356942.43
2018-08-22,0.02419,0.03139,0.02266,0.02979,292431428.89,7073916.26
2018-08-23,0.02583,0.02694,0.02439,0.02485,159581359.01,4121986.5
2018-08-24,0.02704,0.02811,0.02576,0.0265,78710360.71,2128328.15
2018-08-25,0.02862,0.03031,0.02693,0.0272,228834898.07,6549254.78
2018-08-26,0.02863,0.03118,0.02708,0.0285,124170280.13,3554995.12
