time,close,high,low,open,volumefrom,volumeto
2018-08-01,0.000676,0.0007558,0.000676,0.0007558,30653772.78,20721.95
2018-08-02,0.0008217,0.0009655,0.0006614,0.0006614,101659151.82,83533.33
2018-08-03,0.00119,0.001245,0.0007517,0.0008352,75642898.38,90015.05
2018-08-04,0.001074,0.00116,0.0008545,0.00116,55416699.52,59517.54
2018-08-05,0.001055,0.001124,0.001006,0.001079,88168534.28,93017.8
2018-08-06,0.001077,0.00113,0.001012,0.001045,98482832.24,106066.01
2018-08-07,0.001077,0.001092,0.0009449,0.001005,109830162.72,118287.09
2018-08-08,0.001006,0.001013,0.0009174,0.001013,80190572.7,80671.72
2018-08-09,0.001029,0.001032,0.0009524,0.001029,51191196.21,52675.74
2018-08-10,0.0008588,0.0009383,0.0008322,0.0009383,105146831.85,90300.1
2018-08-11,0.0008872,0.0008968,0.0007187,0.0008236,185134395.99,164251.24
2018-08-12,0.0007541,0.0009991,0.0007191,0.0008878,150785364.88,113707.24
2018-08-13,0.0007555,0.0009061,0.0006419,0.0006732,140983637.43,106513.14
2018-08-14,0.0007208,0.0008628,0.0006457,0.0007403,136066536.11,98076.76
2018-08-15,0.0007143,0.000779,0.0007003,0.0007284,158924758.33,113519.95
2018-08-16,0.0008174,0.001205,0.0007055,0.0007285,157738931.5,128935.8
2018-08-17,0.0009368,0.001181,0.0008828,0.0009051,156319396.23,146440.01
2018-08-18,0.0008285,0.0009524,0.0007637,0.0008698,152381971.9,126248.46
2018-08-19,0.000779,0.001121,0.0007491,0.0008419,82138275.32,63985.72
2018-08-20,0.000677,0.0007447,0.0006391,0.0007041,159366321.17,107891.0
2018-08-21,0.0007337,0.0007562,0.0006185,0.0007028,158887859.62,116576.02
2018-08-22,0.0006597,0.0009733,0.0006029,0.0007057,129025264.96,85117.97
2018-08-23,0.0005517,0.0008302,0.0005517,0.000673,115256268.07,63586.88
2018-08-24,0.0007653,0.001027,0.0004924,0.0005627,148982335.97,114016.18
2018-08-25,0.0006606,0.000755,0.0006606,0.000755,160527799.52,106044.66
2018-08-26,0.0007187,0.0007488,0.0006172,0.0006528,176965030.12,127184.77
2018-08-27,0.0006855,0.0007863,0.0006135,0.0007546,110648897.42,75849.82
2018-08-28,0.0006798,0.0007921,0.0006473,0.0007034,156046220.67,106080.22
2018-08-29,0.0006813,0.0007794,0.0006611,0.0006639,167440823.71,114077.43
2018-08-30,0.0007843,0.0008098,0.0006251,0.0006706,85452699.2,67020.55
2018-08-31,0.000721,0.0007774,0.0006704,0.0007774,130252745.12,93912.23
2018-09-01,0.0007561,0.0007561,0.0007561,0.0007561,0.0,0.0
2018-09-02,0.0007553,0.0007553,0.0007553,0.0007553,0.0,0.0
2018-09-03,0.0007398,0.0007398,0.0007398,0.0007398,0.0,0.0
2018-09-04,0.0007302,0.0007302,0.0007302,0.0007302,0.0,0.0
2018-09-05,0.0005844,0.0005844,0.0005844,0.0005844,0.0,0.0
2018-09-06,0.0005876,0.0005876,0.0005876,0.0005876,0.0,0.0
2018-09-07,0.0005508,0.0005508,0.0005508,0.0005508,0.0,0.0
2018-09-08,0.0005037,0.0005037,0.0005037,0.0005037,0.0,0.0
2018-09-09,0.0005017,0.0005017,0.0005017,0.0005017,0.0,0.0
2018-09-10,0.0005047,0.0005047,0.0005047,0.0005047,0.0,0.0
2018-09-11,0.000474,0.000474,0.000474,0.000474,0.0,0.0
2018-09-12,0.0004686,0.0004686,0.0004686,0.0004686,0.0,0.0
2018-09-13,0.0005409,0.0005409,0.0005409,0.0005409,0.0,0.0
2018-09-14,0.0005347,0.0005347,0.0005347,0.0005347,0.0,0.0
2018-09-15,0.0005674,0.0005674,0.0005674,0.0005674,0.0,0.0
2018-09-16,0.0005635,0.0005635,0.0005635,0.0005635,0.0,0.0
2018-09-17,0.0005019,0.0005019,0.0005019,0.0005019,0.0,0.0
2018-09-18,0.0005335,0.0005335,0.0005335,0.0005335,0.0,0.0
