time,close,high,low,open,volumefrom,volumeto
2017-11-29,0.1062,0.12,0.09838,0.115,64246550.0,6822983.61
2017-11-30,0.1196,0.1287,0.1006,0.1092,124224031.0,14857194.11
2017-12-01,0.1162,0.132,0.1109,0.1304,109868328.0,12766699.71
2017-12-02,0.1151,0.1242,0.1091,0.1168,92246874.0,10617615.2
2017-12-03,0.1319,0.1392,0.1184,0.1186,107732068.0,14209859.77
2017-12-04,0.132,0.1418,0.1255,0.1363,85668286.8,11308213.86
2017-12-05,0.1272,0.1339,0.1184,0.1328,106680840.63,13569802.93
2017-12-06,0.1048,0.1523,0.09075,0.15,103072777.99,10802027.13
2017-12-07,0.09015,0.1419,0.08779,0.1292,117759022.35,10615975.86
2017-12-08,0.1112,0.1276,0.082,0.08634,112043438.07,12459230.31
2017-12-09,0.119,0.1205,0.1023,0.1032,84405160.28,10044214.07
2017-12-10,0.1039,0.1288,0.09638,0.1208,59822333.36,6215540.44
2017-12-11,0.1093,0.1155,0.09738,0.1155,66085150.03,7223106.9
2017-12-12,0.09823,0.1138,0.0902,0.1119,115540088.0,11349502.84
2017-12-13,0.1081,0.1085,0.09218,0.09495,104633923.49,11310927.13
2017-12-14,0.1182,0.1408,0.09815,0.1093,159675911.07,18873692.69
2017-12-15,0.1248,0.128,0.1012,0.1248,120866530.62,15084143.02
2017-12-16,0.1878,0.2025,0.1257,0.1372,148622025.34,27911216.36
2017-12-17,0.1863,0.2311,0.1621,0.1737,124868701.25,23263039.04
2017-12-18,0.2049,0.2235,0.1628,0.1854,61288630.9,12558040.47
2017-12-19,0.1819,0.194,0.167,0.1893,42306911.71,7695627.24
2017-12-20,0.1765,0.1811,0.1521,0.1704,38798626.46,6847957.57
2017-12-21,0.1815,0.1993,0.1612,0.1674,41174154.54,7473109.05
2017-12-22,0.1491,0.1629,0.1263,0.1588,28912062.56,4310788.53
2017-12-23,0.1808,0.2118,0.1441,0.1571,41631850.75,7527038.62
2017-12-24,0.1619,0.175,0.1383,0.1735,40557873.79,6566319.77
2017-12-25,0.1791,0.18,0.1439,0.1625,29817350.87,5340287.54
2017-12-26,0.1763,0.2271,0.1532,0.204,46762386.95,8244208.82
2017-12-27,0.1727,0.1802,0.1543,0.1725,25102366.16,4335178.64
2017-12-28,0.1644,0.1669,0.1506,0.1587,21837445.81,3590076.09
2017-12-29,0.2349,0.2693,0.1629,0.1645,101491891.11,23840445.22
2017-12-30,0.2608,0.2722,0.1857,0.205,70642867.81,18423659.92
2017-12-31,0.3733,0.3999,0.2798,0.2875,85422411.08,31888186.06
2018-01-01,0.3957,0.4103,0.3044,0.3623,39863181.08,15773860.75
2018-01-02,0.423,0.5723,0.2991,0.4341,84283980.44,35652123.73
2018-01-03,0.5097,0.5428,0.3945,0.4345,49337331.28,25147237.75
2018-01-04,0.524,0.5794,0.4688,0.5125,36042215.24,18886120.79
2018-01-05,0.462,0.6414,0.4322,0.5849,42121616.72,19460186.92
2018-01-06,0.5899,0.6586,0.4461,0.4619,32735620.58,19310742.58
2018-01-07,0.7241,0.7801,0.5521,0.5574,39109583.75,28319249.59
2018-01-08,0.7302,0.8125,0.6025,0.6721,35979131.03,26271961.48
2018-01-09,0.665,0.7224,0.6511,0.7053,19666891.68,13078482.97
2018-01-10,0.6286,0.7096,0.5992,0.6857,20297933.35,12759280.9
2018-01-11,0.5455,0.6124,0.49,0.5619,18468953.66,10074814.22
2018-01-12,0.609,0.6256,0.5606,0.5678,12517800.92,7623340.76
2018-01-13,0.5633,0.6325,0.4595,0.6267,17496307.86,9855670.22
2018-01-14,0.4873,0.5721,0.4606,0.5387,14032106.19,6837845.35
2018-01-15,0.42,0.5096,0.4099,0.4869,13994967.61,5877886.4
2018-01-16,0.4111,0.4714,0.2513,0.3475,47347957.47,19464745.32
2018-01-17,0.4559,0.4794,0.3693,0.407,38496816.91,17550698.83
2018-01-18,0.506,0.5577,0.4362,0.4575,26480135.25,13398948.44
2018-01-19,0.4998,0.5477,0.4839,0.5217,15025103.41,7509546.68
2018-01-20,0.5193,0.5625,0.5126,0.5529,14799678.94,7685473.27
2018-01-21,0.4588,0.4747,0.4291,0.4678,11492224.52,5272632.61
2018-01-22,0.4244,0.4703,0.4019,0.4296,19080575.74,8097796.34
2018-01-23,0.4342,0.4504,0.4075,0.4237,13046908.52,5664967.68
2018-01-24,0.4576,0.4896,0.4474,0.457,16812524.36,7693411.15
2018-01-25,0.4342,0.4533,0.4254,0.4476,15096164.38,6554754.57
2018-01-26,0.4236,0.4448,0.4164,0.4314,13197218.99,5590341.96
2018-01-27,0.4371,0.4434,0.4246,0.4368,11357688.1,4964445.47
2018-01-28,0.4309,0.4535,0.4229,0.4488,12794007.66,5512937.9
2018-01-29,0.4057,0.4155,0.382,0.4112,14607644.03,5926321.18
2018-01-30,0.337,0.365,0.3184,0.365,13832696.17,4661618.61
2018-01-31,0.3412,0.3611,0.3288,0.341,15863937.41,5412775.44
2018-02-01,0.2867,0.3081,0.2691,0.3041,18196417.34,5216912.85
2018-02-02,0.2779,0.2998,0.2141,0.2772,20212126.15,5616949.86
2018-02-03,0.2861,0.3076,0.2714,0.2898,12293206.02,3517086.24
2018-02-04,0.2515,0.2709,0.2324,0.254,11814974.68,2971466.13
2018-02-05,0.1978,0.2345,0.1745,0.2122,22545353.35,4459470.89
2018-02-06,0.2788,0.2847,0.1927,0.2193,26184286.45,7300179.06
2018-02-07,0.279,0.3187,0.2506,0.2756,28552934.26,7966268.66
2018-02-08,0.327,0.3282,0.3008,0.3032,5798274.24,1896035.68
2018-02-09,0.3384,0.3467,0.3223,0.3448,10806866.89,3657043.76
2018-02-10,0.2912,0.3354,0.2889,0.3336,9825415.66,2861161.04
2018-02-11,0.2799,0.297,0.2576,0.2747,9877477.08,2764705.83
