time,close,high,low,open,volumefrom,volumeto
2017-03-06,0.06002,0.06151,0.03895,0.05745,212052.51,12727.39
2017-03-07,0.05172,0.05794,0.04632,0.05794,29037.1,1501.8
2017-03-08,0.04649,0.04813,0.04014,0.04813,36028.85,1674.98
2017-03-09,0.04861,0.04932,0.04417,0.04828,11958.13,581.28
2017-03-10,0.0404,0.04539,0.03893,0.04539,29617.08,1196.53
2017-03-11,0.04716,0.04717,0.04245,0.04283,9137.13,430.91
2017-03-12,0.04843,0.049,0.0441,0.04899,171792.92,8319.93
2017-03-13,0.0486,0.04945,0.04422,0.04895,22427.29,1089.97
2017-03-14,0.04932,0.04971,0.04448,0.04879,35354.56,1743.69
2017-03-15,0.04557,0.04974,0.04387,0.04972,68252.67,3110.27
2017-03-16,0.03766,0.04563,0.03684,0.04265,47175.06,1776.61
2017-03-17,0.04236,0.04287,0.03362,0.03441,151402.26,6413.4
2017-03-18,0.03788,0.03866,0.03466,0.0384,13585.93,514.64
2017-03-19,0.03977,0.03988,0.03838,0.03988,4944.24,196.63
2017-03-20,0.03672,0.04074,0.03586,0.04074,60752.35,2230.83
2017-03-21,0.04102,0.04261,0.03859,0.0393,80105.66,3285.93
2017-03-22,0.0395,0.0395,0.03607,0.03822,7730.08,305.34
2017-03-23,0.03918,0.03918,0.03568,0.03913,42533.4,1666.46
2017-03-24,0.03653,0.03656,0.03399,0.03557,19107.52,698.0
2017-03-25,0.03701,0.03756,0.03378,0.03756,56400.78,2087.39
2017-03-26,0.03534,0.03713,0.03388,0.03713,69334.13,2450.27
2017-03-27,0.03202,0.0381,0.02772,0.0381,147351.31,4718.19
2017-03-28,0.03362,0.03768,0.02611,0.032,124815.66,4196.3
2017-03-29,0.03242,0.03581,0.02814,0.03354,96882.07,3140.92
2017-03-30,0.03352,0.03368,0.026,0.0323,33462.73,1121.67
2017-03-31,0.03319,0.04193,0.03101,0.03486,431604.94,14324.97
2017-04-01,0.03782,0.03797,0.03341,0.03341,141770.04,5361.74
2017-04-02,0.03643,0.04102,0.03515,0.03821,22751.57,828.84
2017-04-03,0.04129,0.04187,0.03564,0.0381,32792.42,1354.0
2017-04-04,0.03291,0.04219,0.02857,0.04108,124781.98,4106.57
2017-04-05,0.0339,0.03614,0.03167,0.03256,36654.99,1242.6
2017-04-06,0.03307,0.03793,0.0327,0.03566,68412.11,2262.39
2017-04-07,0.0317,0.03689,0.03157,0.03312,122633.87,3887.49
2017-04-08,0.03499,0.03518,0.03144,0.03144,40649.81,1422.34
2017-04-09,0.03134,0.03568,0.03134,0.03568,69693.44,2184.19
2017-04-10,0.03306,0.03499,0.03019,0.0314,28224.55,933.1
2017-04-11,0.03308,0.03449,0.03095,0.03345,30297.47,1002.24
2017-04-12,0.03418,0.03422,0.03031,0.03286,55364.57,1892.36
2017-04-13,0.03293,0.03458,0.02909,0.03316,100005.19,3293.17
2017-04-14,0.03248,0.03297,0.02959,0.03297,57064.66,1853.46
2017-04-15,0.03168,0.03283,0.02844,0.03247,110529.67,3501.58
2017-04-16,0.03253,0.03253,0.02848,0.03168,105911.76,3445.31
2017-04-17,0.03282,0.03359,0.03212,0.033,20745.42,680.86
2017-04-18,0.0339,0.03617,0.03153,0.03316,300108.64,10173.68
2017-04-19,0.03299,0.03416,0.03293,0.03416,75949.56,2505.58
2017-04-20,0.03222,0.03365,0.03222,0.03361,163662.46,5273.2
2017-04-21,0.03353,0.03513,0.03252,0.03252,44244.85,1483.53
2017-04-22,0.03487,0.03487,0.03329,0.03329,33659.64,1173.71
2017-04-23,0.03705,0.03705,0.03435,0.0351,102696.62,3804.91
2017-04-24,0.03511,0.03713,0.0336,0.03702,70650.26,2480.53
2017-04-25,0.03598,0.03793,0.03409,0.03557,166079.08,5975.53
2017-04-26,0.03682,0.03757,0.0347,0.03662,105546.77,3886.23
2017-04-27,0.03791,0.03815,0.03631,0.03815,143020.76,5421.92
2017-04-28,0.04654,0.04658,0.0363,0.03781,175964.54,8189.39
2017-04-29,0.04029,0.04677,0.04008,0.04677,186839.6,7527.77
2017-04-30,0.03737,0.04245,0.0365,0.04076,319027.39,11922.05
2017-05-01,0.03919,0.0424,0.0349,0.03913,408165.48,15996.01
2017-05-02,0.03757,0.04002,0.03482,0.04002,183700.92,6901.64
2017-05-03,0.03803,0.04136,0.03654,0.03859,231426.34,8801.14
2017-05-04,0.03716,0.03898,0.03219,0.03883,244439.81,9083.38
2017-05-05,0.02892,0.03694,0.02415,0.03694,839086.6,24266.38
2017-05-06,0.03091,0.03245,0.02525,0.02964,339442.44,10492.17
2017-05-07,0.03201,0.03608,0.02856,0.03109,74514.43,2385.21
2017-05-08,0.03341,0.03655,0.03018,0.03427,80497.24,2689.41
2017-05-09,0.0339,0.04371,0.03356,0.03407,226908.0,7692.18
2017-05-10,0.03562,0.04377,0.03499,0.03499,129842.66,4625.0
2017-05-11,0.03782,0.04042,0.03528,0.03699,136067.95,5146.09
2017-05-12,0.03466,0.03639,0.03068,0.03506,66191.2,2294.19
2017-05-13,0.03372,0.03633,0.03088,0.03624,206082.7,6949.11
