time,close,high,low,open,volumefrom,volumeto
2016-02-17,0.02294,0.2086,0.009177,0.04171,6067.94,139.2
2016-02-18,0.02949,0.03768,0.02074,0.02318,41937.71,1236.74
2016-02-19,0.02186,0.02982,0.01702,0.02939,17860.11,390.42
2016-02-20,0.0176,0.03828,0.0176,0.02291,89794.9,1580.39
2016-02-21,0.02189,0.03019,0.01314,0.01751,17180.59,376.08
2016-02-22,0.01751,0.03677,0.01751,0.02189,3503.83,61.35
2016-02-23,0.01883,0.02351,0.01344,0.0168,4881.01,91.91
2016-02-24,0.01691,0.01855,0.01346,0.0148,9618.78,162.65
2016-02-25,0.02329,0.02626,0.01506,0.01694,47036.83,1095.49
2016-02-26,0.02691,0.02713,0.01967,0.01967,5466.37,147.1
2016-02-27,0.03365,0.06426,0.02502,0.02716,94788.74,3189.64
2016-02-28,0.04279,0.04279,0.03171,0.03374,10912.98,466.97
2016-02-29,0.07372,0.08724,0.03839,0.04316,13210.84,973.9
2016-03-01,0.04991,0.0803,0.04349,0.07335,25611.34,1278.26
2016-03-02,0.05955,0.07869,0.03809,0.04892,58841.05,3503.98
2016-03-03,0.03772,0.05874,0.02235,0.05874,12240.56,461.71
2016-03-04,0.02572,0.03684,0.01303,0.03681,46244.48,1189.41
2016-03-05,0.01996,0.03012,0.01996,0.02506,11987.82,239.28
2016-03-06,0.01929,0.02314,0.01624,0.02031,13661.4,263.53
2016-03-07,0.02652,0.02728,0.01971,0.01971,36994.73,981.1
2016-03-08,0.02163,0.02635,0.01665,0.02633,100041.89,2163.91
2016-03-09,0.01823,0.02635,0.01714,0.02168,77937.92,1420.81
2016-03-10,0.02347,0.02347,0.01703,0.01837,16849.68,395.46
2016-03-11,0.02378,0.02469,0.01913,0.02347,8829.09,209.96
2016-03-12,0.02257,0.04514,0.02257,0.02544,18047.45,407.33
2016-03-13,0.02576,0.04042,0.02268,0.02268,3075.61,79.23
2016-03-14,0.02899,0.02899,0.02072,0.02486,16138.24,467.85
2016-03-15,0.02694,0.02905,0.01806,0.02905,5636.76,151.85
2016-03-16,0.02111,0.02911,0.01914,0.02699,28600.94,603.77
2016-03-17,0.04085,0.04265,0.02122,0.02122,47582.76,1943.76
2016-03-18,0.02857,0.03987,0.02857,0.03987,13577.93,387.92
2016-03-19,0.02887,0.03882,0.02861,0.02861,20451.32,590.43
2016-03-20,0.0334,0.0535,0.02881,0.03704,17440.41,582.51
2016-03-21,0.03529,0.05299,0.03336,0.03336,18137.99,640.09
2016-03-22,0.05619,0.05619,0.03381,0.03381,9219.94,518.07
2016-03-23,0.03707,0.07798,0.03625,0.05629,847484.88,31416.26
2016-03-24,0.04682,0.05757,0.03687,0.03687,170138.92,7965.9
2016-03-25,0.05396,0.05566,0.03829,0.04693,65433.3,3530.78
