time,close,high,low,open,volumefrom,volumeto
2017-11-15,2.31,2.52,2.16,2.27,252548.0,583385.88
2017-11-16,2.15,2.61,1.99,2.49,556960.0,1197464.0
2017-11-17,1.98,2.35,1.77,2.11,594046.0,1176211.08
2017-11-18,2.05,2.16,1.89,2.0,353326.0,724318.3
2017-11-19,2.18,2.33,1.97,2.12,320190.0,698014.2
2017-11-20,2.75,2.86,2.21,2.23,884662.0,2432820.5
2017-11-21,2.63,2.84,2.37,2.69,655055.0,1722794.65
2017-11-22,3.92,4.27,2.64,2.67,1994956.0,7820227.52
2017-11-23,4.01,4.37,3.61,3.83,1289576.0,5171199.76
2017-11-24,4.5,4.5,3.46,4.11,709936.0,3194712.0
2017-11-25,4.46,4.87,4.2,4.8,598322.0,2668516.12
2017-11-26,5.59,5.79,4.38,4.75,795651.0,4447689.09
2017-11-27,4.8,5.96,4.78,5.84,1411137.0,6773457.6
2017-11-28,4.27,4.97,3.97,4.88,1588824.0,6784278.48
2017-11-29,3.48,4.31,3.2,4.25,1643949.0,5720942.52
2017-11-30,4.37,4.97,3.36,3.42,1554015.0,6791045.55
2017-12-01,3.84,4.91,3.75,4.78,1486771.0,5709200.64
2017-12-02,3.51,4.2,3.25,3.94,1722375.0,6045536.25
2017-12-03,3.61,4.04,3.04,3.61,1706474.0,6160371.14
2017-12-04,3.18,3.73,3.07,3.73,1882569.13,5986569.83
2017-12-05,3.17,3.79,3.09,3.19,2258296.79,7158800.82
2017-12-06,2.66,3.85,2.65,3.71,2426342.73,6454071.66
2017-12-07,2.33,3.7,2.33,3.25,2101312.16,4896057.33
2017-12-08,2.97,3.41,2.17,2.22,1954559.57,5805041.92
2017-12-09,3.23,3.68,2.63,2.75,1649660.29,5328402.74
2017-12-10,2.79,3.49,2.64,3.27,1374582.71,3835085.76
2017-12-11,3.0,3.25,2.71,3.1,1270231.32,3810693.96
2017-12-12,2.87,3.12,2.62,3.06,1722321.59,4943062.96
2017-12-13,3.33,3.5,2.62,2.74,2196909.98,7315710.23
2017-12-14,3.22,3.59,2.97,3.37,1525932.68,4913503.23
2017-12-15,3.23,3.46,2.97,3.45,1680200.95,5427049.07
2017-12-16,4.06,4.45,3.55,3.55,1949217.01,7913821.06
2017-12-17,4.33,4.67,3.95,3.96,1662981.09,7200708.12
2017-12-18,4.84,4.88,3.99,4.31,1978266.47,9574809.71
2017-12-19,4.51,4.83,3.88,4.47,2172842.14,9799518.05
2017-12-20,4.02,4.35,3.71,4.23,1177833.54,4734890.83
2017-12-21,3.81,4.13,3.7,3.88,1484343.37,5655348.24
2017-12-22,3.22,3.42,2.95,3.33,1068951.54,3442023.96
2017-12-23,3.39,3.81,3.34,3.44,1010291.34,3424887.64
2017-12-24,3.24,3.38,3.12,3.24,711698.49,2305903.11
2017-12-25,3.99,4.39,3.17,3.25,1147529.24,4578641.67
2017-12-26,3.92,4.8,3.63,4.54,815014.12,3194855.35
2017-12-27,3.92,4.1,3.71,3.83,606799.75,2378655.02
2017-12-28,3.87,3.89,3.53,3.66,754831.11,2921196.4
2017-12-29,4.34,4.46,3.54,3.86,885272.39,3842082.17
2017-12-30,4.07,4.21,3.59,3.78,994573.58,4047914.47
2017-12-31,4.25,4.69,4.16,4.5,904428.38,3843820.62
2018-01-01,4.99,5.03,4.0,4.17,1059613.72,5287472.46
2018-01-02,5.42,6.36,4.54,5.47,1472995.09,7983633.39
2018-01-03,5.47,5.68,4.87,5.57,942088.39,5153223.49
2018-01-04,6.5,7.06,5.41,5.46,836216.02,5435404.13
2018-01-05,5.84,7.83,5.43,7.17,1062820.01,6206868.86
2018-01-06,6.7,7.18,5.78,6.0,857717.48,5746707.12
2018-01-07,7.66,7.66,5.85,6.38,1080981.08,8280315.07
2018-01-08,7.47,7.58,6.19,7.07,861281.3,6433771.31
2018-01-09,8.03,8.61,6.53,7.22,854728.73,6863471.7
2018-01-10,7.77,9.1,7.62,8.28,768691.76,5972734.98
2018-01-11,6.48,7.19,6.12,6.93,781504.95,5064152.08
2018-01-12,6.69,7.06,6.51,6.68,397981.96,2662499.31
2018-01-13,6.89,6.89,6.89,6.89,0.0,0.0
2018-01-14,6.59,6.59,6.59,6.59,0.0,0.0
2018-01-15,6.59,6.59,6.59,6.59,0.0,0.0
2018-01-16,5.45,5.45,5.45,5.45,0.0,0.0
2018-01-17,5.4,5.4,5.4,5.4,0.0,0.0
2018-01-18,5.4,5.4,5.4,5.4,0.0,0.0
2018-01-19,5.57,5.57,5.57,5.57,0.0,0.0
2018-01-20,6.18,6.18,6.18,6.18,0.0,0.0
2018-01-21,5.58,5.58,5.58,5.58,0.0,0.0
2018-01-22,5.23,5.23,5.23,5.23,0.0,0.0
2018-01-23,5.25,5.25,5.25,5.25,0.0,0.0
2018-01-24,5.52,5.52,5.52,5.52,0.0,0.0
2018-01-25,5.4,5.4,5.4,5.4,0.0,0.0
2018-01-26,5.37,5.37,5.37,5.37,0.0,0.0
2018-01-27,5.54,5.54,5.54,5.54,0.0,0.0
2018-01-28,5.69,5.69,5.69,5.69,0.0,0.0
2018-01-29,5.43,5.43,5.43,5.43,0.0,0.0
2018-01-30,4.89,4.89,4.89,4.89,0.0,0.0
2018-01-31,4.94,4.94,4.94,4.94,0.0,0.0
2018-02-01,4.41,4.41,4.41,4.41,0.0,0.0
2018-02-02,4.29,4.29,4.29,4.29,0.0,0.0
2018-02-03,4.47,4.47,4.47,4.47,0.0,0.0
2018-02-04,3.97,3.97,3.97,3.97,0.0,0.0
2018-02-05,3.35,3.35,3.35,3.35,0.0,0.0
2018-02-06,3.72,3.72,3.72,3.72,0.0,0.0
2018-02-07,3.67,3.67,3.67,3.67,0.0,0.0
2018-02-08,3.99,3.99,3.99,3.99,0.0,0.0
2018-02-09,4.2,4.2,4.2,4.2,0.0,0.0
2018-02-10,4.14,4.14,4.14,4.14,0.0,0.0
2018-02-11,3.91,3.91,3.91,3.91,0.0,0.0
2018-02-12,4.31,4.31,4.31,4.31,0.0,0.0
2018-02-13,4.13,4.13,4.13,4.13,0.0,0.0
2018-02-14,4.59,4.59,4.59,4.59,0.0,0.0
