time,close,high,low,open,volumefrom,volumeto
2017-12-02,0.03333,0.03572,0.002313,0.002313,124202.0,4139.65
2017-12-03,0.01805,0.03462,0.008687,0.02545,162834.71,2939.17
2017-12-04,0.01858,0.02101,0.01499,0.01961,77088.12,1432.3
2017-12-05,0.01952,0.01952,0.01802,0.01861,42514.57,829.88
2017-12-06,0.01901,0.01901,0.01679,0.01817,24349.03,462.88
2017-12-07,0.01817,0.01895,0.01815,0.01895,15766.28,286.47
2017-12-08,0.009577,0.01942,0.009577,0.01942,19836.93,189.98
2017-12-09,0.01428,0.01797,0.01002,0.01002,55797.09,796.78
2017-12-10,0.01135,0.01528,0.01135,0.01318,33489.29,380.1
2017-12-11,0.0144,0.01694,0.01283,0.01335,52225.72,752.05
2017-12-12,0.01845,0.02232,0.01838,0.01842,59455.95,1096.96
2017-12-13,0.04125,0.04195,0.01566,0.01566,106327.57,4386.01
2017-12-14,0.03946,0.04161,0.01942,0.04092,59559.36,2350.21
2017-12-15,0.02737,0.06836,0.02669,0.02669,84402.28,2310.09
2017-12-16,0.03395,0.03811,0.02771,0.02771,45363.87,1540.1
2017-12-17,0.02964,0.03589,0.02945,0.03517,53020.58,1571.53
2017-12-18,0.03329,0.0393,0.03246,0.03246,40214.53,1338.74
2017-12-19,0.01958,0.03494,0.01958,0.03441,22488.04,440.32
2017-12-20,0.03385,0.03595,0.01926,0.01926,16301.36,551.8
2017-12-21,0.03344,0.03344,0.03344,0.03344,0.0,0.0
2017-12-22,0.02787,0.02787,0.02787,0.02787,0.0,0.0
2017-12-23,0.01695,0.02059,0.01615,0.01688,26240.25,444.77
2017-12-24,0.01691,0.02028,0.01202,0.0169,118945.99,2011.38
2017-12-25,0.02026,0.02169,0.01809,0.01809,111500.96,2259.01
2017-12-26,0.01642,0.0226,0.01544,0.0211,74671.83,1226.11
2017-12-27,0.0182,0.02856,0.01591,0.01613,132249.41,2406.94
2017-12-28,0.01439,0.02039,0.003626,0.01763,309386.4,4452.07
2017-12-29,0.01479,0.027,0.01479,0.01486,159675.54,2361.6
2017-12-30,0.02218,0.03028,0.01393,0.01393,264737.39,5871.88
2017-12-31,0.03672,0.05187,0.01853,0.02935,240288.29,8823.39
2018-01-01,0.04371,0.04537,0.03025,0.03487,128197.51,5603.51
2018-01-02,0.04833,0.07064,0.03844,0.04982,288598.2,13947.95
2018-01-03,0.07341,0.09411,0.03764,0.06587,181015.97,13288.38
2018-01-04,0.06406,0.06982,0.05669,0.06519,96490.7,6181.19
2018-01-05,0.06769,0.0677,0.05803,0.06557,109073.6,7383.19
2018-01-06,0.06241,0.07015,0.06162,0.07015,47454.85,2961.66
2018-01-07,0.0706,0.07154,0.06931,0.06931,91845.74,6484.31
2018-01-08,0.07078,0.0718,0.04953,0.07176,82084.02,5809.91
2018-01-09,0.06447,0.08122,0.06446,0.08032,73967.06,4768.66
