time,close,high,low,open,volumefrom,volumeto
2018-06-08,0.1322,0.1374,0.1259,0.1372,500990.52,66230.95
2018-06-09,0.1022,0.132,0.09494,0.1308,1406476.41,143741.89
2018-06-10,0.09057,0.09771,0.07687,0.09041,1536740.28,139182.57
2018-06-11,0.08445,0.09253,0.08047,0.09168,1096282.64,92581.07
2018-06-12,0.08269,0.08545,0.0772,0.07863,1030306.45,85196.04
2018-06-13,0.07859,0.08426,0.07511,0.07964,1226077.25,96357.41
2018-06-14,0.08203,0.08728,0.08068,0.08577,881582.53,72316.21
2018-06-15,0.0741,0.07703,0.07147,0.07693,6195039.83,459052.45
2018-06-16,0.06519,0.07598,0.06519,0.07558,8863525.37,577813.22
2018-06-17,0.06343,0.06761,0.06343,0.06512,8044265.85,510247.78
2018-06-18,0.06895,0.08323,0.0661,0.0661,6503701.85,448430.24
2018-06-19,0.06833,0.07549,0.06515,0.07172,10630371.51,726373.29
2018-06-20,0.06498,0.07013,0.06488,0.06804,16276419.65,1057641.75
2018-06-21,0.06546,0.06877,0.06341,0.06372,11291736.68,739157.08
2018-06-22,0.0513,0.06124,0.04857,0.05754,11958530.38,613472.61
2018-06-23,0.04803,0.05742,0.02846,0.05263,13951378.48,670084.71
2018-06-24,0.05085,0.05518,0.04612,0.04612,13898785.69,706753.25
2018-06-25,0.0524,0.05396,0.0501,0.05125,13426254.0,703535.71
2018-06-26,0.0482,0.04906,0.04395,0.04906,12696213.5,611957.49
2018-06-27,0.05323,0.05385,0.04515,0.04956,16782345.05,893324.23
2018-06-28,0.05137,0.05301,0.04641,0.05032,15271282.52,784485.78
2018-06-29,0.0484,0.05384,0.04731,0.05271,13505232.62,653653.26
2018-06-30,0.04806,0.05128,0.04539,0.05042,17974561.99,863857.45
2018-07-01,0.05008,0.05098,0.04696,0.04791,16457068.57,824169.99
2018-07-02,0.05257,0.05347,0.04762,0.05281,12381474.46,650894.11
2018-07-03,0.05091,0.05206,0.04629,0.05081,13893052.3,707295.29
2018-07-04,0.04994,0.05298,0.04578,0.05148,15372518.57,767703.58
2018-07-05,0.06013,0.08163,0.04956,0.04989,12134009.43,729617.99
2018-07-06,0.05625,0.06194,0.05254,0.06039,13592017.3,764550.97
2018-07-07,0.05548,0.05927,0.05252,0.05815,12199945.82,676852.99
2018-07-08,0.05343,0.05688,0.05071,0.05557,11789124.96,629892.95
2018-07-09,0.04648,0.05337,0.04632,0.05182,11091020.56,515510.64
2018-07-10,0.03995,0.04379,0.03793,0.04336,11356160.49,453678.61
2018-07-11,0.04026,0.04303,0.03837,0.04114,12385999.28,498660.33
2018-07-12,0.03906,0.04216,0.03699,0.03883,13221496.14,516431.64
2018-07-13,0.03989,0.04117,0.03863,0.0392,12636260.43,504060.43
2018-07-14,0.03761,0.04161,0.03701,0.04016,10111336.74,380287.37
2018-07-15,0.03672,0.03967,0.03545,0.03883,11198195.12,411197.72
2018-07-16,0.03924,0.04014,0.03774,0.03909,14258397.07,559499.5
2018-07-17,0.04252,0.04317,0.04002,0.0409,18260776.35,776448.21
2018-07-18,0.04346,0.04494,0.03983,0.04082,14915824.47,648241.73
2018-07-19,0.0424,0.0446,0.04049,0.04252,11421993.98,484292.54
2018-07-20,0.04052,0.04174,0.0385,0.04061,15685865.12,635591.25
2018-07-21,0.03755,0.04225,0.03707,0.04187,14000013.31,525700.5
2018-07-22,0.03562,0.03788,0.03487,0.0373,14631682.16,521180.52
2018-07-23,0.03548,0.03758,0.03422,0.035,13254383.7,470265.53
2018-07-24,0.03647,0.04254,0.03572,0.03769,14198278.45,517811.22
2018-07-25,0.03462,0.03853,0.03143,0.03581,9548144.25,330556.75
2018-07-26,0.03478,0.03603,0.03353,0.03394,6018083.08,209308.93
2018-07-27,0.03509,0.03586,0.03274,0.03549,7893673.55,276989.0
2018-07-28,0.03662,0.03665,0.03456,0.035,4732807.15,173315.4
2018-07-29,0.03597,0.03756,0.03548,0.03644,292686.32,10527.93
2018-07-30,0.03462,0.03522,0.03343,0.03522,344031.48,11910.37
2018-07-31,0.03149,0.03301,0.03068,0.03275,407335.06,12826.98
2018-08-01,0.03007,0.0308,0.02902,0.0306,5559508.36,167174.42
2018-08-02,0.04158,0.04334,0.02869,0.02955,16634350.81,691656.31
2018-08-03,0.03405,0.06548,0.001257,0.04226,13145556.19,447606.19
2018-08-04,0.03195,0.0386,0.03123,0.03308,13028342.99,416255.56
2018-08-05,0.03172,0.03445,0.03131,0.0321,10825458.02,343383.53
2018-08-06,0.03091,0.03266,0.02856,0.03163,6248206.12,193132.05
2018-08-07,0.03055,0.03086,0.02784,0.0289,2314093.37,70695.55
2018-08-08,0.026,0.02893,0.0255,0.02861,9939355.07,258423.23
2018-08-09,0.02574,0.02707,0.02431,0.02645,13331751.5,343159.28
2018-08-10,0.02418,0.02451,0.02292,0.02351,9980567.68,241330.13
2018-08-11,0.02115,0.02434,0.01985,0.02308,10702017.91,226347.68
2018-08-12,0.02101,0.02193,0.02068,0.02126,8720538.16,183218.51
2018-08-13,0.01973,0.02,0.01847,0.01866,8875964.55,175122.78
2018-08-14,0.01642,0.02053,0.016,0.01934,10339908.86,169781.3
2018-08-15,0.01585,0.01681,0.01517,0.0167,6210701.83,98439.62
2018-08-16,0.01537,0.01676,0.01363,0.01617,2664560.26,40954.29
2018-08-17,0.01733,0.0181,0.01651,0.01707,3835020.48,66460.9
2018-08-18,0.01545,0.01648,0.01482,0.01609,3808808.87,58846.1
2018-08-19,0.01541,0.01625,0.01499,0.01559,3827894.18,58987.85
2018-08-20,0.01454,0.01513,0.01355,0.01393,2103389.73,30583.29
2018-08-21,0.01354,0.01518,0.01317,0.01511,1704075.58,23073.18
2018-08-22,0.01358,0.01457,0.01268,0.01302,1728999.89,23479.82
2018-08-23,0.01317,0.01412,0.01279,0.01385,1702979.37,22428.24
2018-08-24,0.01273,0.01454,0.01238,0.01344,6443770.86,82029.2
2018-08-25,0.01287,0.01318,0.01241,0.01256,4131543.28,53172.96
2018-08-26,0.01239,0.01322,0.01217,0.01277,3177240.91,39366.01
2018-08-27,0.01233,0.01331,0.01225,0.01301,3668985.08,45238.59
2018-08-28,0.01339,0.01359,0.0125,0.01265,5084204.59,68077.5
2018-08-29,0.01313,0.0135,0.01259,0.01312,3969644.73,52121.44
2018-08-30,0.01279,0.01354,0.01259,0.01284,2556033.45,32691.67
2018-08-31,0.01254,0.01393,0.01246,0.01267,2441387.97,30615.01
2018-09-01,0.01373,0.01423,0.01312,0.01314,1534184.64,21064.36
2018-09-02,0.01385,0.01417,0.01311,0.01372,2796971.64,38738.06
2018-09-03,0.01354,0.01397,0.01271,0.01356,2358473.54,31933.73
2018-09-04,0.01397,0.01419,0.01307,0.01336,3624731.65,50637.5
2018-09-05,0.01166,0.01201,0.01071,0.01118,8720702.41,101683.39
2018-09-06,0.012,0.01246,0.01112,0.01173,13051433.22,156617.2
2018-09-07,0.01231,0.01262,0.01054,0.01125,14955943.05,184107.66
2018-09-08,0.01773,0.01934,0.01112,0.01114,9467962.13,167866.97
2018-09-09,0.01606,0.01927,0.01085,0.01765,3792128.99,60901.59
2018-09-10,0.01455,0.01655,0.01398,0.01591,2671330.57,38867.86
2018-09-11,0.01295,0.01431,0.01217,0.0136,2871706.2,37188.6
2018-09-12,0.01265,0.01383,0.01237,0.01281,5644302.42,71400.43
2018-09-13,0.014,0.01482,0.01343,0.01459,3821569.65,53501.98
2018-09-14,0.01333,0.01399,0.01228,0.01384,2558817.58,34109.04
2018-09-15,0.0134,0.0146,0.01296,0.01415,1658334.74,22221.69
2018-09-16,0.01342,0.014,0.01307,0.0133,1794441.42,24081.4
2018-09-17,0.01271,0.01339,0.01144,0.01191,3060218.62,38895.38
2018-09-18,0.01276,0.01394,0.01254,0.01351,4217686.1,53817.67
2018-09-19,0.01239,0.01372,0.01132,0.01285,4573154.92,56661.39
2018-09-20,0.01239,0.01386,0.01209,0.01337,3402710.84,42159.59
2018-09-21,0.0134,0.01574,0.01256,0.01366,3893996.71,52179.56
2018-09-22,0.01228,0.0143,0.01196,0.01302,8438985.06,103630.74
2018-09-23,0.01283,0.01348,0.01215,0.01247,1906708.54,24463.07
2018-09-24,0.01215,0.01243,0.0114,0.01196,2166026.37,26317.22
2018-09-25,0.01226,0.01267,0.01103,0.01169,2485101.73,30467.35
