time,close,high,low,open,volumefrom,volumeto
2018-02-17,0.08134,0.08767,0.06381,0.07624,69864.69,5682.79
2018-02-18,0.09896,0.1038,0.07636,0.07636,7057.15,698.38
2018-02-19,0.1096,0.115,0.09505,0.1062,9896.64,1084.67
2018-02-20,0.08746,0.1103,0.08746,0.1103,93615.5,8187.61
2018-02-21,0.08375,0.08375,0.08144,0.08144,4142.68,346.95
2018-02-22,0.07869,0.07869,0.07869,0.07869,0.0,0.0
2018-02-23,0.0813,0.0813,0.0813,0.0813,0.0,0.0
2018-02-24,0.07755,0.07755,0.07755,0.07755,0.0,0.0
2018-02-25,0.07678,0.07678,0.07678,0.07678,0.0,0.0
2018-02-26,0.08251,0.08251,0.08251,0.08251,0.0,0.0
2018-02-27,0.08465,0.08465,0.08465,0.08465,0.0,0.0
2018-02-28,0.08257,0.08257,0.08257,0.08257,0.0,0.0
2018-03-01,0.08733,0.08733,0.08733,0.08733,0.0,0.0
2018-03-02,0.08823,0.08823,0.08823,0.08823,0.0,0.0
2018-03-03,0.09161,0.09161,0.09161,0.09161,0.0,0.0
2018-03-04,0.09192,0.09192,0.09192,0.09192,0.0,0.0
2018-03-05,0.09141,0.09141,0.09141,0.09141,0.0,0.0
2018-03-06,0.08578,0.08578,0.08578,0.08578,0.0,0.0
2018-03-07,0.07933,0.07933,0.07933,0.07933,0.0,0.0
2018-03-08,0.07444,0.07444,0.07444,0.07444,0.0,0.0
2018-03-09,0.07393,0.07393,0.07393,0.07393,0.0,0.0
2018-03-10,0.07029,0.07029,0.07029,0.07029,0.0,0.0
2018-03-11,0.07626,0.07626,0.07626,0.07626,0.0,0.0
2018-03-12,0.07305,0.07305,0.07305,0.07305,0.0,0.0
2018-03-13,0.07319,0.07319,0.07319,0.07319,0.0,0.0
2018-03-14,0.06566,0.06566,0.06566,0.06566,0.0,0.0
2018-03-15,0.06606,0.06606,0.06606,0.06606,0.0,0.0
2018-03-16,0.04871,0.06047,0.04647,0.04796,2102492.79,102412.42
2018-03-17,0.04525,0.05156,0.04344,0.04635,2812066.45,127246.01
2018-03-18,0.04321,0.04773,0.03869,0.04601,3878260.16,167579.62
2018-03-19,0.04441,0.04846,0.04225,0.04536,4089975.94,181635.83
2018-03-20,0.04862,0.04871,0.04371,0.04487,2324508.52,113017.6
2018-03-21,0.0499,0.05284,0.04732,0.04857,1979209.08,98762.53
2018-03-22,0.05087,0.05375,0.04886,0.04886,2583347.72,131414.9
2018-03-23,0.04825,0.05522,0.04825,0.05191,2534353.51,122282.56
2018-03-24,0.04599,0.05009,0.04505,0.04616,4920396.63,226289.04
2018-03-25,0.04347,0.04889,0.03872,0.04558,5953478.27,258797.7
2018-03-26,0.04239,0.04777,0.04125,0.04182,2866035.12,121491.23
2018-03-27,0.04037,0.04326,0.03811,0.0406,5326418.23,215027.5
2018-03-28,0.04338,0.04824,0.0398,0.04115,7382546.61,320254.87
2018-03-29,0.03376,0.04008,0.03305,0.03873,6885477.97,232453.74
2018-03-30,0.03495,0.03818,0.03201,0.03256,10786569.47,376990.6
2018-03-31,0.03618,0.03805,0.03514,0.0359,5396766.89,195255.03
2018-04-01,0.03438,0.03835,0.03384,0.03561,6550196.1,225195.74
2018-04-02,0.03438,0.03799,0.03332,0.03559,6508371.04,223757.8
2018-04-03,0.03338,0.03643,0.03212,0.03613,10750596.76,358854.92
2018-04-04,0.03053,0.03292,0.02937,0.0306,8211045.17,250683.21
2018-04-05,0.03069,0.03171,0.02988,0.03042,7062337.86,216743.15
2018-04-06,0.03072,0.03344,0.02972,0.02999,8930634.34,274349.09
2018-04-07,0.03175,0.03452,0.03037,0.03203,6331322.58,201019.49
2018-04-08,0.03603,0.03955,0.03222,0.03285,6515667.86,234759.51
2018-04-09,0.03307,0.03571,0.03232,0.03469,8220010.99,271835.76
