time,close,high,low,open,volumefrom,volumeto
2016-10-10,0.2,1.0,0.2,1.0,1.1,1.02
2016-10-11,0.12,0.2,0.072,0.2,1333938.49,138196.75
2016-10-12,0.1423,0.149,0.1169,0.12,427208.71,58919.39
2016-10-13,0.1396,0.15,0.1369,0.1477,135162.91,19205.01
2016-10-14,0.1332,0.1396,0.1332,0.1396,39857.41,5463.69
2016-10-15,0.1216,0.1381,0.1051,0.1332,132822.5,15703.58
2016-10-16,0.1169,0.1265,0.1125,0.116,13192.22,1554.66
2016-10-17,0.09241,0.12,0.08217,0.12,406207.52,38984.72
2016-10-18,0.092,0.09996,0.09002,0.09241,107657.56,10105.31
2016-10-19,0.09975,0.09996,0.09003,0.092,61483.64,5776.63
2016-10-20,0.0965,0.0994,0.09555,0.0994,14796.49,1424.34
2016-10-21,0.095,0.0962,0.095,0.0962,6999.8,668.79
2016-10-22,0.09449,0.1005,0.091,0.09455,78413.56,7426.33
2016-10-23,0.09,0.09449,0.09,0.09449,27939.98,2539.87
2016-10-24,0.08312,0.0906,0.0805,0.09001,92624.61,7824.39
2016-10-25,0.0865,0.0888,0.08312,0.0888,9199.07,779.47
2016-10-26,0.07214,0.0865,0.072,0.0865,94484.14,7422.36
2016-10-27,0.07,0.077,0.07,0.07281,394781.25,29588.87
2016-10-28,0.07657,0.07658,0.0676,0.06764,13991.16,1002.25
2016-10-29,0.075,0.07555,0.06625,0.06801,122087.11,8814.8
2016-10-30,0.07653,0.0768,0.06901,0.075,31202.13,2313.78
2016-10-31,0.072,0.07653,0.07,0.07466,166288.96,12297.48
2016-11-01,0.06997,0.07652,0.065,0.07001,53033.05,3598.74
2016-11-02,0.06875,0.06944,0.06519,0.06519,2738.97,181.16
2016-11-03,0.06499,0.06875,0.04,0.06875,271496.78,14928.89
2016-11-04,0.06599,0.06797,0.05951,0.06797,3191.97,199.66
2016-11-05,0.0605,0.066,0.0605,0.061,1434.35,90.54
2016-11-06,0.05331,0.067,0.05331,0.0605,12150.93,730.99
2016-11-07,0.0631,0.069,0.05331,0.05331,59737.56,3872.31
2016-11-08,0.0655,0.07,0.0631,0.0631,6378.57,434.51
2016-11-09,0.06811,0.07366,0.06441,0.0655,94737.3,6387.74
2016-11-10,0.06811,0.0732,0.06811,0.0707,35635.75,2492.71
2016-11-11,0.07,0.0701,0.06811,0.06811,511.76,35.34
2016-11-12,0.06799,0.07,0.064,0.07,190.94,13.15
2016-11-13,0.06198,0.06499,0.0602,0.06499,1575.53,97.3
2016-11-14,0.06299,0.06399,0.05401,0.05401,3.0,0.1809
2016-11-15,0.06198,0.06299,0.055,0.06299,4178.0,229.87
2016-11-16,0.0595,0.06185,0.0502,0.061,18788.3,1097.21
2016-11-17,0.06289,0.06799,0.0585,0.061,6811.34,422.42
2016-11-18,0.06286,0.06286,0.05121,0.053,8584.27,454.17
2016-11-19,0.05364,0.05533,0.0501,0.05111,9832.61,505.27
2016-11-20,0.05201,0.05411,0.05201,0.05411,1206.95,63.35
2016-11-21,0.05498,0.05499,0.05231,0.05499,2362.06,129.67
2016-11-22,0.05011,0.054,0.05011,0.0511,2804.59,144.61
2016-11-23,0.05352,0.0536,0.05011,0.05011,6304.54,320.78
2016-11-24,0.052,0.052,0.05011,0.05011,387.0,19.46
2016-11-25,0.05348,0.05729,0.052,0.052,108056.2,5959.77
2016-11-26,0.05588,0.05622,0.05348,0.05348,5874.99,318.09
2016-11-27,0.05348,0.05348,0.05348,0.05348,250.0,13.37
2016-11-28,0.0559,0.0559,0.05348,0.05348,3511.67,190.24
2016-11-29,0.05348,0.05593,0.05348,0.05556,11850.12,641.18
2016-11-30,0.0504,0.05347,0.0504,0.05347,6083.83,315.96
2016-12-01,0.0515,0.05271,0.0504,0.0504,22354.24,1155.95
2016-12-02,0.05213,0.05248,0.05065,0.0515,21392.2,1102.2
2016-12-03,0.0545,0.05615,0.05107,0.05123,62875.4,3322.25
2016-12-04,0.0534,0.05347,0.05088,0.05347,31820.32,1653.19
2016-12-05,0.05112,0.05254,0.05039,0.05225,120157.74,6092.93
2016-12-06,0.05112,0.05113,0.05039,0.05089,107089.24,5469.66
