time,close,high,low,open,volumefrom,volumeto
2018-07-13,0.2666,0.5265,0.2665,0.5265,684.49,182.49
2018-07-14,0.2684,0.2684,0.2684,0.2684,0.000101,2.711e-05
2018-07-15,0.5728,0.5728,0.2737,0.2737,167.17,95.75
2018-07-16,0.6334,0.6334,0.6066,0.6066,5.29,3.35
2018-07-17,0.6885,0.6885,0.6885,0.6885,0.0,0.0
2018-07-18,0.6938,0.6938,0.6938,0.6938,0.0,0.0
2018-07-19,0.9683,1.2,0.6731,0.7027,1183.72,1146.2
2018-07-20,1.1,1.1,0.6064,0.9285,1921.34,2113.47
2018-07-21,0.7353,1.19,0.7353,1.11,1421.9,1045.52
2018-07-22,1.15,1.16,0.7346,0.7346,1457.43,1676.04
2018-07-23,1.12,1.45,0.6653,1.2,2175.86,2436.96
2018-07-24,2.16,2.51,0.7662,1.2,2983.87,6445.16
2018-07-25,1.98,2.12,1.89,2.1,1994.28,3948.67
2018-07-26,1.93,1.98,1.3,1.93,2576.62,4972.88
2018-07-27,1.99,2.05,1.66,1.99,3577.02,7118.27
2018-07-28,1.98,2.03,1.88,2.0,3172.91,6282.36
2018-07-29,1.95,1.98,1.94,1.98,2916.96,5688.07
2018-07-30,1.94,1.99,1.86,1.94,2971.07,5763.88
2018-07-31,1.81,1.85,1.6,1.84,3388.3,6132.82
2018-08-01,1.73,1.79,1.72,1.78,3463.78,5992.34
2018-08-02,1.69,1.71,1.64,1.71,3419.61,5779.14
2018-08-03,1.67,1.67,1.66,1.66,3460.25,5778.62
2018-08-04,1.58,1.6,1.56,1.58,3154.69,4984.41
2018-08-05,1.59,1.6,1.58,1.59,3282.21,5218.71
2018-08-06,2.05,2.06,1.55,1.56,2879.59,5903.16
2018-08-07,3.36,3.36,1.35,1.99,3992.44,13414.6
2018-08-08,2.69,3.14,2.43,3.14,2225.97,5987.86
2018-08-09,2.52,2.75,2.32,2.72,3623.06,9130.11
2018-08-10,2.02,2.37,1.99,2.37,3041.16,6143.14
2018-08-11,1.62,2.09,1.62,2.04,3131.17,5072.5
2018-08-12,1.46,1.65,1.39,1.65,1013.1,1479.13
2018-08-13,1.13,1.45,1.13,1.45,3043.02,3438.61
2018-08-14,0.9138,1.12,0.6888,1.12,377.45,344.91
2018-08-15,1.75,1.84,0.6989,0.9248,4286.24,7500.92
2018-08-16,0.5691,1.82,0.4233,1.76,3002.89,1708.94
2018-08-17,1.69,1.72,0.5932,0.5932,2734.97,4622.1
2018-08-18,1.55,1.68,1.03,1.63,2517.03,3901.4
