time,close,high,low,open,volumefrom,volumeto
2017-08-07,0.0007144,0.03058,0.0001021,0.02722,118298.23,84.51
2017-08-08,0.002744,0.009259,0.0003086,0.0007202,437824.65,1201.39
2017-08-09,0.002612,0.002913,0.0003684,0.002679,732781.78,1914.03
2017-08-10,0.0006851,0.002672,0.0006509,0.002672,1889946.45,1294.8
2017-08-11,0.01718,0.01824,0.0003654,0.0007309,4369111.53,75061.34
2017-08-12,0.06466,0.1509,0.01587,0.0182,1575497.34,101871.66
2017-08-13,0.06017,0.0975,0.04099,0.06785,663326.44,39912.35
2017-08-14,0.02644,0.0641,0.01948,0.0641,770098.0,20361.39
2017-08-15,0.02214,0.02634,0.02085,0.02543,363595.88,8050.01
2017-08-16,0.0165,0.0258,0.01628,0.02334,291415.56,4808.36
2017-08-17,0.03423,0.05066,0.01609,0.01609,1508796.23,51646.09
2017-08-18,0.04196,0.05797,0.03284,0.03284,549661.41,23063.79
2017-08-19,0.0491,0.05147,0.03445,0.04242,266351.99,13077.88
2017-08-20,0.04473,0.05689,0.03997,0.04811,235632.77,10539.85
2017-08-21,0.04041,0.05411,0.04041,0.04406,175006.63,7072.02
2017-08-22,0.04094,0.04703,0.0409,0.04127,68115.64,2788.65
2017-08-23,0.01917,0.04965,0.01917,0.04145,244474.47,4686.58
2017-08-24,0.02535,0.04534,0.01999,0.01999,94071.47,2384.71
2017-08-25,0.03723,48.44,0.02562,0.02562,79932.48,2975.89
2017-08-26,0.02677,0.1427,0.02672,0.03713,276430.17,7400.04
2017-08-27,0.0382,0.1191,0.01903,0.02673,117542.2,4490.11
2017-08-28,0.03328,0.05132,0.02204,0.03859,89917.6,2992.46
2017-08-29,0.02487,0.03632,0.02119,0.03485,283346.26,7046.82
2017-08-30,0.02392,0.03726,0.02209,0.02479,142906.87,3418.33
2017-08-31,0.03149,0.05568,0.02226,0.02472,130554.89,4111.17
2017-09-01,0.02589,0.05079,0.02279,0.03273,36826.9,953.45
2017-09-02,0.04098,0.04162,0.0183,0.02406,30690.65,1257.7
2017-09-03,0.02076,0.04198,0.01854,0.04133,17375.2,360.71
2017-09-04,0.01728,0.03824,0.01417,0.0192,22786.06,393.74
2017-09-05,0.01772,0.02443,0.01098,0.01764,68193.5,1208.39
2017-09-06,0.03404,0.04369,0.009699,0.01413,130702.24,4449.1
2017-09-07,0.01279,0.04093,0.01279,0.03416,13613.67,174.12
2017-09-08,0.0247,0.0376,0.002596,0.01194,87300.67,2156.33
2017-09-09,0.02345,0.02475,0.0088,0.02475,25675.77,602.1
2017-09-10,0.009383,0.02475,0.009298,0.02297,11351.11,106.51
2017-09-11,0.02387,0.02387,0.008141,0.01253,29189.86,696.76
2017-09-12,0.006696,0.01031,0.006488,0.008193,10571.56,70.79
2017-09-13,0.01107,0.01896,0.006154,0.006231,6154.27,68.13
2017-09-14,0.005513,0.009275,0.005027,0.009275,33297.9,183.57
2017-09-15,0.0182,0.0182,0.005682,0.006351,38300.25,697.06
2017-09-16,0.009617,0.02848,0.005252,0.01812,55745.49,536.1
2017-09-17,0.007195,0.02609,0.006162,0.009593,27028.74,194.47
2017-09-18,0.01616,0.01616,0.007052,0.007996,40747.61,658.48
2017-09-19,0.03036,0.03036,0.006761,0.0154,120165.05,3648.21
2017-09-20,0.02182,0.03024,0.01631,0.03016,142187.21,3102.52
2017-09-21,0.01809,0.02033,0.005462,0.02033,369508.76,6684.41
2017-09-22,0.01746,0.018,0.004609,0.018,20729.9,361.94
2017-09-23,0.00894,0.01837,0.004962,0.01837,30571.08,273.31
2017-09-24,0.003007,0.01731,0.002971,0.008655,129875.85,390.54
2017-09-25,0.008928,0.01341,0.003225,0.003225,225171.91,2010.33
2017-09-26,0.0167,0.02293,0.00872,0.008836,164944.5,2754.57
2017-09-27,0.03433,0.05569,0.01478,0.01807,1128336.88,38735.81
2017-09-28,0.03663,0.09537,0.02635,0.03419,1573820.69,57649.05
2017-09-29,0.03255,0.04903,0.0257,0.03643,563662.52,18347.22
2017-09-30,0.03855,0.04997,0.02865,0.03401,451800.55,17416.91
2017-10-01,0.03249,0.04967,0.03197,0.03892,142756.62,4638.16
2017-10-02,0.03314,0.04885,0.03125,0.03248,5101.82,169.07
2017-10-03,0.03236,0.04094,0.0318,0.03249,17042.37,551.49
2017-10-04,0.03501,0.03501,0.03164,0.03164,1477.29,51.72
2017-10-05,0.02662,0.03587,0.02165,0.03587,47368.75,1260.96
2017-10-06,0.03589,0.03589,0.02693,0.02693,12236.72,439.18
2017-10-07,0.03194,0.03642,0.03127,0.03642,3693.39,117.97
2017-10-08,0.03546,0.03782,0.02841,0.0332,78812.96,2794.71
2017-10-09,0.02819,0.03674,0.02441,0.03674,111588.77,3145.69
2017-10-10,0.02715,0.03687,0.02629,0.0281,46880.45,1272.8
2017-10-11,0.0275,0.03594,0.02745,0.0275,21515.66,591.68
2017-10-12,0.03243,0.03423,0.02858,0.03097,64184.95,2081.52
2017-10-13,0.03005,0.03495,0.02982,0.03365,29190.36,877.17
2017-10-14,0.02883,0.03198,0.02062,0.03105,15412.36,444.34
2017-10-15,0.02008,0.02838,0.01735,0.02816,32796.94,658.56
2017-10-16,0.01952,0.02223,0.01728,0.0178,32807.45,640.4
2017-10-17,0.01629,0.02553,0.01629,0.01713,54141.05,881.96
2017-10-18,0.02381,0.02448,0.0174,0.0184,12673.39,301.75
2017-10-19,0.01801,0.02798,0.01801,0.02439,3381.25,60.9
2017-10-20,0.02397,0.02925,0.01924,0.02158,36295.83,870.01
2017-10-21,0.02132,0.03826,0.02102,0.02439,77618.02,1654.82
2017-10-22,0.02914,0.0496,0.01807,0.02112,100665.43,2933.39
2017-10-23,0.02113,0.02905,0.02102,0.02887,15469.08,326.86
2017-10-24,0.01985,0.02481,0.01676,0.01974,16129.84,320.18
2017-10-25,0.02253,0.03979,0.02064,0.02064,32872.25,740.61
2017-10-26,0.02337,0.02343,0.02296,0.02314,4397.49,102.77
2017-10-27,0.02231,0.02294,0.02231,0.02289,173.39,3.87
2017-10-28,0.02342,0.02342,0.02216,0.02216,5818.14,136.26
2017-10-29,0.01623,0.02428,0.01322,0.02379,93291.79,1514.13
2017-10-30,0.01298,0.0264,0.01298,0.01617,109115.85,1416.32
2017-10-31,0.0338,0.0338,0.004258,0.01368,201996.8,6827.49
2017-11-01,0.01934,0.03537,0.008153,0.03531,132676.85,2565.97
2017-11-02,0.005269,0.03737,0.005269,0.02016,108100.66,569.58
2017-11-03,0.007867,0.02704,0.007295,0.01559,72087.77,567.11
2017-11-04,0.03594,0.03785,0.007879,0.0081,33582.9,1206.97
2017-11-05,0.01182,0.03606,0.005468,0.03606,95332.09,1126.83
2017-11-06,0.01148,0.01148,0.00515,0.009395,5851.5,67.18
2017-11-07,0.02372,0.02372,0.004617,0.01172,16324.37,387.21
2017-11-08,0.007444,0.02486,0.001787,0.02486,737750.22,5491.81
2017-11-09,0.005704,0.00713,0.002281,0.00713,186775.88,1065.37
2017-11-10,0.004136,0.006238,0.003283,0.005581,58592.85,242.34
2017-11-11,0.003297,0.005642,0.002536,0.003994,74085.07,244.26
2017-11-12,0.002351,0.003938,0.002351,0.003057,200912.81,472.35
2017-11-13,0.002609,0.003196,0.002609,0.002609,39824.02,103.9
2017-11-14,0.002375,0.003628,0.001979,0.002639,27580.7,65.5
2017-11-15,0.003787,0.003787,0.002622,0.002622,7287.33,27.6
2017-11-16,0.00432,0.00432,0.002356,0.004084,28826.99,124.53
2017-11-17,0.003157,0.004235,0.00308,0.004235,22100.32,69.77
2017-11-18,0.006769,0.007081,0.002101,0.00319,279831.42,1894.18
2017-11-19,0.004343,0.006997,0.002654,0.006997,4212.27,18.29
