time,close,high,low,open,volumefrom,volumeto
2018-03-20,0.1064,0.1064,0.1016,0.1018,2280982.25,242696.51
2018-03-21,0.1013,0.1068,0.1007,0.1063,4835760.3,489862.52
2018-03-22,0.09877,0.1028,0.09074,0.0992,4754410.22,469593.1
2018-03-23,0.08845,0.1099,0.08551,0.1011,8531403.63,754602.65
2018-03-24,0.08548,0.09104,0.0777,0.08377,5460425.65,466757.18
2018-03-25,0.08981,0.1016,0.08363,0.08625,7939676.51,713062.35
2018-03-26,0.08764,0.09505,0.08462,0.08641,5173161.73,453375.89
2018-03-27,0.07762,0.08394,0.07621,0.08394,5556984.97,431333.17
2018-03-28,0.07721,0.0796,0.07466,0.07912,3750297.26,289560.45
2018-03-29,0.06531,0.07455,0.0636,0.06893,4974047.28,324855.03
2018-03-30,0.06148,0.0634,0.05668,0.06299,3018023.72,185548.1
2018-03-31,0.06569,0.06666,0.06159,0.06229,1629051.33,107012.38
2018-04-01,0.05995,0.06761,0.05845,0.06467,2374581.01,142356.13
2018-04-02,0.06834,0.07704,0.06204,0.06204,13579859.17,928047.58
2018-04-03,0.07419,0.07769,0.07048,0.07182,6436100.96,477494.33
2018-04-04,0.0627,0.06918,0.06127,0.06781,3928051.4,246288.82
2018-04-05,0.05799,0.06308,0.05697,0.06247,4584122.71,265833.28
2018-04-06,0.05567,0.05971,0.05308,0.05766,5778620.0,321695.78
2018-04-07,0.06101,0.06315,0.05534,0.05817,4091339.44,249612.62
2018-04-08,0.06486,0.06824,0.06063,0.06218,8957158.04,580961.27
2018-04-09,0.06633,0.07808,0.06077,0.06246,14577059.04,966896.33
2018-04-10,0.06947,0.07393,0.06562,0.06713,8736267.15,606908.48
2018-04-11,0.07186,0.0771,0.06642,0.07054,7726105.67,555197.95
2018-04-12,0.07912,0.08284,0.07531,0.08261,5214459.96,412568.07
2018-04-13,0.07757,0.08215,0.07315,0.07883,4871404.07,377874.81
2018-04-14,0.1059,0.1081,0.07694,0.07878,39970833.82,4232911.3
2018-04-15,0.1043,0.1097,0.09843,0.1057,15508762.0,1617563.88
2018-04-16,0.09696,0.101,0.09122,0.101,8328432.67,807524.83
2018-04-17,0.09229,0.09506,0.09078,0.09506,6862227.8,633315.0
2018-04-18,0.09828,0.09967,0.09173,0.09541,8275503.51,813316.48
2018-04-19,0.1063,0.1074,0.0963,0.1007,9039276.4,960875.08
2018-04-20,0.1056,0.113,0.1039,0.113,7103859.16,750167.53
2018-04-21,0.1031,0.1071,0.09347,0.1071,6316466.86,651227.73
2018-04-22,0.1061,0.1099,0.09794,0.1017,4642756.88,492596.5
2018-04-23,0.1117,0.1231,0.1046,0.1078,15127861.31,1689782.11
2018-04-24,0.108,0.1204,0.108,0.1202,7255538.75,783598.19
2018-04-25,0.09104,0.1011,0.08661,0.1006,8790774.36,800312.1
2018-04-26,0.09978,0.1057,0.09059,0.09468,7122422.89,710675.36
2018-04-27,0.09484,0.09895,0.09126,0.09609,4610460.7,437256.09
2018-04-28,0.1011,0.1094,0.09856,0.09922,4971883.45,502657.42
2018-04-29,0.1,0.1081,0.09501,0.1017,7042435.45,704243.55
2018-04-30,0.09868,0.104,0.09544,0.0984,4703237.37,464115.46
2018-05-01,0.09704,0.09803,0.09223,0.09685,3392777.79,329235.16
2018-05-02,0.1006,0.106,0.09694,0.09869,4972276.04,500210.97
2018-05-03,0.1031,0.1137,0.1028,0.1062,8033537.01,828257.67
2018-05-04,0.1034,0.1046,0.1017,0.1026,3253670.07,336429.49
2018-05-05,0.1008,0.105,0.1004,0.105,2356517.59,237536.97
2018-05-06,0.09529,0.09992,0.09327,0.09886,2806531.45,267434.38
2018-05-07,0.09115,0.0934,0.08815,0.09265,1822056.84,166080.48
2018-05-08,0.09012,0.09426,0.08764,0.08929,1677124.47,151142.46
2018-05-09,0.09014,0.09135,0.08641,0.09135,1408502.33,126962.4
2018-05-10,0.08228,0.08734,0.08228,0.08734,2318916.79,190800.47
2018-05-11,0.06998,0.07705,0.06232,0.07663,5979467.08,418443.11
2018-05-12,0.07112,0.0785,0.06662,0.07052,3751978.46,266840.71
2018-05-13,0.07751,0.07891,0.07037,0.07299,2271956.8,176099.37
2018-05-14,0.07658,0.07936,0.07225,0.07719,1844199.82,141228.82
2018-05-15,0.07759,0.07793,0.07369,0.07607,2624567.55,203640.2
2018-05-16,0.0736,0.07635,0.06859,0.07635,2554376.64,188002.12
2018-05-17,0.06772,0.0745,0.06602,0.07119,1590318.52,107696.37
2018-05-18,0.07011,0.07242,0.06681,0.06994,879208.27,61641.29
2018-05-19,0.07193,0.0721,0.06781,0.07012,591856.58,42572.24
2018-05-20,0.07526,0.07705,0.07159,0.07441,1290243.13,97103.7
2018-05-21,0.07106,0.07426,0.06837,0.07426,1012509.8,71948.95
2018-05-22,0.06666,0.0701,0.06394,0.06746,886590.36,59100.11
2018-05-23,0.0587,0.06267,0.05719,0.0626,1062310.08,62357.6
2018-05-24,0.06295,0.06295,0.05855,0.05931,1124709.94,70800.49
2018-05-25,0.06414,0.07176,0.05965,0.05965,8884860.25,569874.94
2018-05-26,0.06178,0.06369,0.05906,0.06369,1093966.42,67585.25
2018-05-27,0.06103,0.06324,0.05941,0.06184,582639.55,35558.49
2018-05-28,0.05973,0.05973,0.05375,0.05902,1774457.07,105988.32
2018-05-29,0.06152,0.06383,0.05845,0.06279,2077966.35,127836.49
2018-05-30,0.05959,0.06254,0.05907,0.06084,1184382.7,70577.37
2018-05-31,0.06414,0.06639,0.06032,0.06047,2092827.46,134233.95
2018-06-01,0.06521,0.06589,0.06318,0.06439,695918.31,45380.83
2018-06-02,0.0652,0.06665,0.06344,0.06642,611902.34,39896.03
2018-06-03,0.06384,0.06585,0.06292,0.06585,658968.91,42068.58
2018-06-04,0.0613,0.06228,0.05958,0.06205,862091.03,52846.18
2018-06-05,0.06172,0.06355,0.06081,0.06271,604441.59,37306.13
2018-06-06,0.0626,0.06742,0.06053,0.06198,1266512.32,79283.67
2018-06-07,0.06252,0.06383,0.06168,0.06245,612977.3,38323.34
