time,close,high,low,open,volumefrom,volumeto
2017-07-12,0.3139,0.3479,0.2891,0.301,710015.71,228897.62
2017-07-13,0.24,0.3139,0.2358,0.3139,3056493.54,826979.95
2017-07-14,0.163,0.248,0.161,0.24,3241044.76,657465.44
2017-07-15,0.167,0.1993,0.15,0.163,2215148.72,386475.83
2017-07-16,0.1492,0.182,0.14,0.167,2244027.88,341871.41
2017-07-17,0.188,0.1909,0.142,0.1492,3257888.92,568454.38
2017-07-18,0.176,0.19,0.1681,0.188,2027746.62,363074.08
2017-07-19,0.195,0.259,0.175,0.176,3744970.72,797511.41
2017-07-20,0.2192,0.22,0.18,0.195,1617764.33,326265.5
2017-07-21,0.2001,0.24,0.2001,0.2192,1508416.03,338352.63
2017-07-22,0.2075,0.22,0.1931,0.2001,686319.68,142661.21
2017-07-23,0.2188,0.2333,0.1961,0.2075,3407440.72,748594.02
2017-07-24,0.232,0.2398,0.2188,0.2188,2314409.62,535175.54
2017-07-25,0.188,0.234,0.1815,0.232,1897346.34,375306.36
2017-07-26,0.1982,0.201,0.1812,0.188,596679.09,113169.82
2017-07-27,0.1992,0.217,0.191,0.1982,3767384.91,755240.21
2017-07-28,0.189,0.203,0.1785,0.1992,1382259.5,263228.72
2017-07-29,0.1922,0.193,0.1771,0.189,334680.18,61873.21
2017-07-30,0.1801,0.193,0.169,0.1922,469420.73,83907.81
2017-07-31,0.1769,0.1889,0.1452,0.1801,652986.21,111998.17
2017-08-01,0.2093,0.24,0.16,0.1769,1608604.25,317732.5
2017-08-02,0.1964,0.21,0.181,0.2093,945160.4,185949.34
2017-08-03,0.221,0.2298,0.19,0.1964,933461.6,198063.55
2017-08-04,0.2142,0.237,0.2045,0.221,1016438.93,228848.69
2017-08-05,0.2349,0.235,0.21,0.2142,766300.61,171643.03
2017-08-06,0.2752,0.2883,0.2169,0.2349,962020.8,252708.03
2017-08-07,0.2599,0.288,0.249,0.2752,668242.1,181226.48
2017-08-08,0.2829,0.2964,0.2468,0.2599,529471.58,144666.94
2017-08-09,0.249,0.283,0.222,0.2829,1240760.02,314504.18
2017-08-10,0.39,0.39,0.2415,0.249,3951238.88,1242139.39
2017-08-11,0.2951,0.445,0.2805,0.39,6040205.27,2191983.51
2017-08-12,0.3299,0.3572,0.2951,0.2951,2758657.1,901232.67
2017-08-13,0.31,0.34,0.2773,0.3299,1494096.69,468651.58
2017-08-14,0.304,0.3483,0.2825,0.31,1967955.79,622680.01
2017-08-15,0.296,0.3199,0.2787,0.304,1373803.35,400382.42
2017-08-16,0.2997,0.3293,0.282,0.296,1795187.8,547246.99
2017-08-17,0.4174,0.4259,0.2925,0.2997,4514052.74,1593474.75
2017-08-18,0.3351,0.429,0.3015,0.4174,2490623.22,936971.45
2017-08-19,0.3763,0.3783,0.3224,0.3351,1711756.04,607183.47
2017-08-20,0.3854,0.405,0.3521,0.3763,974161.26,367078.64
2017-08-21,0.4143,0.434,0.3745,0.3854,2221667.96,898767.72
2017-08-22,0.376,0.4236,0.35,0.4143,1150979.82,428114.9
2017-08-23,0.465,0.528,0.3696,0.376,4612027.22,2090284.27
2017-08-24,0.5147,0.5776,0.4477,0.465,5138822.62,2666326.71
2017-08-25,0.4855,0.55,0.4522,0.5147,2429133.72,1198061.13
2017-08-26,0.49,0.4996,0.4529,0.4855,808650.41,385386.68
2017-08-27,0.4674,0.5091,0.45,0.49,1011297.95,472603.69
2017-08-28,0.4359,0.4722,0.42,0.4674,969918.54,437597.27
2017-08-29,0.4594,0.49,0.422,0.4359,1490181.93,676756.45
2017-08-30,0.4597,0.4975,0.4555,0.4594,1174415.25,557545.74
2017-08-31,0.472,0.4799,0.4556,0.4597,451065.02,212243.08
2017-09-01,0.431,0.4797,0.425,0.472,1420551.98,627629.66
2017-09-02,0.3722,0.4367,0.351,0.431,1665137.99,631822.91
2017-09-03,0.3635,0.3878,0.3443,0.3722,848140.56,307463.63
2017-09-04,0.299,0.3669,0.2505,0.3635,3468712.78,1034858.68
2017-09-05,0.3321,0.3578,0.2557,0.299,2199913.53,670318.87
2017-09-06,0.3435,0.3623,0.315,0.3321,1528493.77,516808.24
2017-09-07,0.3425,0.348,0.317,0.3435,870343.28,288101.04
2017-09-08,0.2894,0.3468,0.2737,0.3425,1321182.7,407349.35
2017-09-09,0.2998,0.3076,0.2831,0.2894,348030.24,102198.39
2017-09-10,0.3022,0.3058,0.2786,0.2998,488300.12,142711.6
2017-09-11,0.2883,0.3059,0.287,0.3022,166386.48,48800.12
2017-09-12,0.2949,0.347,0.2773,0.2883,1916408.7,592647.43
2017-09-13,0.2813,0.2965,0.2653,0.2949,1785394.76,492141.99
2017-09-14,0.2257,0.2922,0.225,0.2813,1926772.28,470020.61
2017-09-15,0.27,0.2999,0.215,0.2257,1172785.55,294416.24
2017-09-16,0.2844,0.2852,0.2601,0.27,600764.1,166795.38
2017-09-17,0.293,0.2948,0.265,0.2844,483456.3,135518.27
2017-09-18,0.3457,0.3499,0.2824,0.293,1746473.26,553966.42
2017-09-19,0.3893,0.4148,0.3218,0.3457,6356155.91,2367492.64
2017-09-20,0.3691,0.398,0.3516,0.3893,2821713.08,1055708.26
2017-09-21,0.3249,0.3795,0.3053,0.3691,3127701.95,1078282.92
2017-09-22,0.335,0.3477,0.2918,0.3249,1756329.41,557984.24
2017-09-23,0.3469,0.3598,0.3203,0.335,1639523.62,568219.65
2017-09-24,0.3308,0.3505,0.3292,0.3469,614313.74,208123.51
