time,close,high,low,open,volumefrom,volumeto
2017-12-05,0.09334,0.2193,0.05869,0.1867,663087.89,61892.62
2017-12-06,0.08373,0.125,0.05514,0.125,612955.64,51322.78
2017-12-07,0.1078,0.1304,0.08594,0.1026,555283.2,59859.53
2017-12-08,0.06419,0.1027,0.06146,0.1027,356433.39,22879.46
2017-12-09,0.06294,0.07526,0.05195,0.06635,558326.51,35141.07
2017-12-10,0.0753,0.0896,0.05271,0.0637,629782.37,47422.61
2017-12-11,0.0686,0.09939,0.06024,0.08366,546474.49,37488.15
2017-12-12,0.07073,0.07705,0.06492,0.07004,372486.65,26345.98
2017-12-13,0.08437,0.09365,0.06515,0.06743,335716.47,28324.4
2017-12-14,0.1115,0.1252,0.0853,0.0853,357850.8,39900.36
2017-12-15,0.1408,0.2817,0.106,0.1201,986719.92,138930.16
2017-12-16,0.1151,0.1877,0.04101,0.1418,1388302.93,159793.67
2017-12-17,0.1317,0.1371,0.1106,0.1306,310630.36,40910.02
2017-12-18,0.09638,0.1311,0.09164,0.1311,588729.83,56741.78
2017-12-19,0.1277,0.1314,0.08534,0.0906,1032246.51,131817.88
2017-12-20,0.107,0.1202,0.09071,0.12,310769.57,33252.34
2017-12-21,0.06237,0.1094,0.04721,0.1016,1577218.08,98371.09
2017-12-22,0.06054,0.06791,0.05275,0.05452,670068.98,40565.98
2017-12-23,0.05903,0.06882,0.05773,0.0632,387345.06,22864.98
2017-12-24,0.05957,0.06164,0.05557,0.05654,521474.15,31064.22
2017-12-25,0.05824,0.06336,0.05658,0.05976,284584.68,16574.21
2017-12-26,0.07264,0.07878,0.0657,0.06886,533947.64,38785.96
2017-12-27,0.06845,0.07677,0.06275,0.07107,412042.07,28204.28
2017-12-28,0.07171,0.07919,0.06076,0.06393,493066.09,35357.77
2017-12-29,0.2297,0.2645,0.06779,0.07167,3259528.88,748713.78
2017-12-30,0.2122,0.4323,0.1504,0.2068,4091598.33,868237.17
2017-12-31,0.2345,0.2345,0.2345,0.2345,0.0,0.0
2018-01-01,0.3994,0.4074,0.2366,0.2689,1304772.42,521126.1
2018-01-02,0.4761,0.5828,0.3503,0.4383,2411478.68,1148105.0
2018-01-03,0.5146,0.5606,0.3713,0.5146,1110965.47,571702.83
2018-01-04,0.4238,0.5313,0.3696,0.5155,957569.02,405817.75
2018-01-05,0.3861,0.5086,0.3138,0.4598,1273552.56,491718.64
2018-01-06,0.4147,0.4147,0.3304,0.3924,798632.2,331192.77
2018-01-07,0.6016,0.6248,0.3732,0.3919,1520368.64,914653.77
2018-01-08,0.5219,0.5901,0.3771,0.5689,1203545.45,628130.37
2018-01-09,0.5047,0.5281,0.4342,0.5042,862431.52,435269.19
2018-01-10,0.574,0.5887,0.4849,0.5204,797331.11,457668.06
2018-01-11,0.7649,1.18,0.4397,0.51,1670831.24,1278018.82
2018-01-12,0.8332,1.05,0.7626,0.7973,1255170.88,1045808.38
2018-01-13,0.8197,0.9685,0.8119,0.8574,576004.9,472151.22
2018-01-14,0.8605,0.9124,0.6821,0.7857,689921.5,593677.45
2018-01-15,0.777,0.9133,0.7239,0.8723,504850.39,392268.75
2018-01-16,0.5448,0.6544,0.4547,0.6298,599859.12,326803.25
2018-01-17,0.572,0.6126,0.4466,0.5358,465707.73,266384.82
2018-01-18,0.5716,0.6471,0.542,0.5726,386267.19,220790.33
2018-01-19,0.5929,0.6721,0.5633,0.5981,261857.98,155255.6
2018-01-20,0.6259,0.6777,0.5781,0.6579,234863.0,147000.75
2018-01-21,0.5582,0.616,0.4632,0.5653,333313.22,186055.44
2018-01-22,0.5029,0.5483,0.4522,0.544,298166.6,149947.98
2018-01-23,0.4926,0.5429,0.441,0.4996,238709.47,117588.28
2018-01-24,0.458,0.5194,0.4286,0.5185,304273.53,139357.28
2018-01-25,0.4881,0.493,0.4027,0.46,365749.03,178522.1
2018-01-26,0.4442,0.4798,0.4284,0.4758,211639.47,94010.25
2018-01-27,0.4015,0.4757,0.3782,0.4584,246508.27,98973.07
2018-01-28,0.462,0.5014,0.3677,0.4,516181.89,238476.03
2018-01-29,0.364,0.478,0.3512,0.455,475719.27,173161.81
2018-01-30,0.2983,0.3444,0.286,0.3343,306982.05,91572.75
2018-01-31,0.2342,0.3145,0.2046,0.3018,537067.84,125781.29
2018-02-01,0.1861,0.2237,0.1827,0.2073,389698.13,72522.82
2018-02-02,0.2085,0.2123,0.1797,0.1811,218836.75,45627.46
2018-02-03,0.259,0.2773,0.2132,0.2198,209113.6,54160.42
2018-02-04,0.2188,0.2465,0.2053,0.2231,182829.24,40003.04
2018-02-05,0.1559,0.1873,0.1422,0.1869,327511.24,51059.0
2018-02-06,0.1872,0.1932,0.1541,0.1733,232156.58,43459.71
2018-02-07,0.1639,0.1973,0.162,0.1846,224983.28,36874.76
2018-02-08,0.1794,0.1841,0.1735,0.1783,86609.97,15537.83
2018-02-09,0.1862,0.2087,0.1818,0.1889,93685.71,17444.28
2018-02-10,0.195,0.2039,0.1806,0.1834,144160.35,28111.27
2018-02-11,0.1664,0.1834,0.1537,0.1834,152083.85,25306.75
2018-02-12,0.1902,0.1959,0.1834,0.1838,99013.31,18832.33
2018-02-13,0.1777,0.188,0.1765,0.1823,54031.36,9601.37
2018-02-14,0.2042,0.2157,0.1952,0.203,78067.34,15941.35
2018-02-15,0.2176,0.2277,0.2083,0.2107,185166.3,40292.19
2018-02-16,0.2146,0.2256,0.2038,0.221,107717.74,23116.23
2018-02-17,0.2113,0.2344,0.1111,0.2336,192131.27,40597.34
2018-02-18,0.1933,0.2078,0.1623,0.1983,101264.71,19574.47
2018-02-19,0.1838,0.2179,0.1772,0.2075,102360.09,18813.78
2018-02-20,0.1586,0.1858,0.153,0.1822,116571.16,18488.19
2018-02-21,0.1154,0.1719,0.1115,0.1477,212959.86,24575.57
2018-02-22,0.1316,0.1326,0.1033,0.1085,139969.8,18420.03
2018-02-23,0.1474,0.1477,0.1267,0.1313,136991.66,20192.57
2018-02-24,0.1456,0.1495,0.1272,0.1406,108862.0,15850.31
2018-02-25,0.1705,0.1929,0.1413,0.1484,154573.2,26354.73
