time,close,high,low,open,volumefrom,volumeto
2018-06-04,0.0654,0.0664,0.06416,0.06439,13113795.12,857642.2
2018-06-05,0.06885,0.07293,0.06472,0.06684,19859298.25,1367312.68
2018-06-06,0.065,0.07082,0.06063,0.06863,40026566.58,2601726.83
2018-06-07,0.06232,0.06528,0.06044,0.0648,55829618.05,3479301.8
2018-06-08,0.04515,0.06211,0.04416,0.06157,57581320.02,2599796.6
2018-06-09,0.04671,0.06023,0.03593,0.05079,82746398.8,3865084.29
2018-06-10,0.03664,0.04226,0.03572,0.04149,79539653.74,2914332.91
2018-06-11,0.03562,0.03976,0.03296,0.03726,79481281.43,2831123.24
2018-06-12,0.03167,0.03365,0.03067,0.03322,79520307.24,2518408.13
2018-06-13,0.03076,0.03229,0.02587,0.03051,80031985.72,2461783.88
2018-06-14,0.03129,0.03466,0.02985,0.03334,78303663.38,2450121.63
2018-06-15,0.03087,0.03305,0.02668,0.03035,80305033.09,2479016.37
2018-06-16,0.03213,0.03295,0.03014,0.0313,80833810.7,2597190.34
2018-06-17,0.03055,0.03257,0.02877,0.03228,79172551.39,2418721.44
2018-06-18,0.03243,0.03271,0.02692,0.0311,63563643.51,2061368.96
2018-06-19,0.02914,0.03402,0.02751,0.03355,70733351.55,2061169.86
2018-06-20,0.02652,0.03038,0.02645,0.02927,22786105.48,604287.52
2018-06-21,0.02886,0.03049,0.02595,0.02783,36519771.27,1053960.6
2018-06-22,0.0254,0.02611,0.02422,0.02506,37050881.43,941092.39
2018-06-23,0.02825,0.0291,0.02371,0.02614,36244924.75,1023919.12
2018-06-24,0.02625,0.02738,0.02276,0.02679,38072162.1,999394.26
2018-06-25,0.02705,0.02891,0.02638,0.02712,37825227.59,1023172.41
2018-06-26,0.02194,0.02606,0.02178,0.02539,38410877.96,842734.66
2018-06-27,0.02472,0.02608,0.02239,0.02273,38047170.89,940526.06
2018-06-28,0.02675,0.0314,0.02313,0.02391,37903593.63,1013921.13
2018-06-29,0.03029,0.03235,0.02622,0.0275,37434269.01,1133884.01
2018-06-30,0.03117,0.03265,0.02951,0.03082,37585165.35,1171529.6
2018-07-01,0.0298,0.03176,0.02953,0.03107,36593599.45,1090489.26
2018-07-02,0.03153,0.03309,0.02955,0.03142,39063527.3,1231673.02
2018-07-03,0.0306,0.03095,0.02996,0.03071,38180469.11,1168322.35
2018-07-04,0.02771,0.03162,0.02523,0.03091,37735045.18,1045638.1
2018-07-05,0.02563,0.02831,0.02431,0.02738,36921419.84,946295.99
2018-07-06,0.02497,0.02685,0.0235,0.02573,37443864.2,934973.29
2018-07-07,0.02645,0.02775,0.0243,0.02619,33267303.49,879920.18
2018-07-08,0.02729,0.02742,0.02632,0.02643,37898541.6,1034251.2
2018-07-09,0.0242,0.02693,0.02317,0.02653,34656573.62,838689.08
2018-07-10,0.02066,0.02361,0.02061,0.02221,37331463.44,771268.03
2018-07-11,0.01987,0.02143,0.01787,0.02135,38353771.51,762089.44
2018-07-12,0.01896,0.02155,0.01724,0.01922,38305190.93,726266.42
2018-07-13,0.0203,0.0203,0.0173,0.01885,34237533.04,695021.92
2018-07-14,0.01761,0.02036,0.01747,0.02036,4684970.08,82502.32
2018-07-15,0.01668,0.01944,0.01245,0.01826,2505576.55,41793.02
2018-07-16,0.01808,0.01878,0.01585,0.01776,36396782.59,658053.83
2018-07-17,0.0176,0.01926,0.01748,0.01858,34178875.98,601548.22
2018-07-18,0.01792,0.01909,0.01678,0.01717,31698969.79,568045.54
2018-07-19,0.01719,0.0187,0.01643,0.01735,36254586.7,623216.35
2018-07-20,0.01735,0.01789,0.01598,0.01623,40880931.4,709284.16
2018-07-21,0.01676,0.01826,0.01614,0.01786,32818052.89,550030.57
2018-07-22,0.01738,0.01812,0.0147,0.01689,30570378.81,531313.18
2018-07-23,0.01624,0.0178,0.01445,0.01709,51415462.86,834987.12
2018-07-24,0.01574,0.01892,0.01534,0.01721,37589463.3,591658.15
2018-07-25,0.01588,0.0176,0.01414,0.01547,29377356.0,466512.41
2018-07-26,0.0153,0.01631,0.014,0.01533,38126125.63,583329.72
2018-07-27,0.01466,0.01658,0.0142,0.0158,41729379.1,611752.7
2018-07-28,0.01457,0.01603,0.01408,0.01467,48530854.28,707094.55
2018-07-29,0.0148,0.01594,0.01412,0.01442,48849776.44,722976.69
2018-07-30,0.01387,0.01552,0.01363,0.01452,41993422.65,582448.77
2018-07-31,0.01361,0.01467,0.01289,0.01311,42289586.07,575561.27
2018-08-01,0.01358,0.01437,0.01321,0.01334,47241009.71,641532.91
2018-08-02,0.01375,0.01398,0.01329,0.01333,48359230.73,664939.42
2018-08-03,0.0127,0.01399,0.01246,0.01397,46753320.57,593767.17
2018-08-04,0.01177,0.01302,0.01121,0.01231,47517385.27,559279.62
2018-08-05,0.01306,0.01406,0.01145,0.01159,38468565.4,502399.46
2018-08-06,0.01373,0.01397,0.01144,0.01305,36972061.42,507626.4
2018-08-07,0.01215,0.01302,0.00966,0.01272,49209331.98,597893.38
2018-08-08,0.00842,0.01166,0.008256,0.01129,38477940.19,323984.26
2018-08-09,0.008052,0.008724,0.007717,0.008604,39251315.41,316051.59
2018-08-10,0.007772,0.007954,0.007039,0.00743,42974851.48,334000.55
2018-08-11,0.006856,0.007629,0.006751,0.007505,41147250.76,282105.55
2018-08-12,0.006949,0.006991,0.006676,0.006978,57357975.14,398580.57
2018-08-13,0.006095,0.00624,0.005962,0.006232,43178207.33,263171.17
2018-08-14,0.0059,0.006011,0.005842,0.00597,39484628.13,232959.31
2018-08-15,0.005088,0.006064,0.0045,0.005962,38967725.72,198267.79
2018-08-16,0.005194,0.006189,0.00384,0.005234,57022032.32,296172.44
2018-08-17,0.006456,0.006853,0.004338,0.005837,69595579.04,449309.06
2018-08-18,0.005806,0.00636,0.005012,0.006006,66330986.01,385117.7
2018-08-19,0.005816,0.006142,0.005456,0.00598,46272549.73,269121.15
2018-08-20,0.005478,0.005703,0.004929,0.005305,48423836.02,265265.77
2018-08-21,0.004639,0.005904,0.003745,0.005839,49130208.49,227915.04
2018-08-22,0.005067,0.005137,0.003612,0.00428,69195425.42,350613.22
2018-08-23,0.00529,0.005947,0.004217,0.005161,83374172.21,441049.37
2018-08-24,0.005394,0.006047,0.004364,0.005388,120613859.07,650591.16
2018-08-25,0.004849,0.005959,0.004305,0.00514,139428082.21,676086.77
2018-08-26,0.005212,0.005886,0.004603,0.004745,72396851.04,377332.39
2018-08-27,0.005786,0.006198,0.005012,0.00559,88385549.31,511398.79
2018-08-28,0.005893,0.006511,0.005367,0.005873,80271612.93,473040.61
2018-08-29,0.006019,0.006388,0.005343,0.005641,93372635.22,562009.89
