time,close,high,low,open,volumefrom,volumeto
2016-01-21,0.03894,0.1641,0.02051,0.164,52636.63,2049.67
2016-01-22,0.0287,0.03778,0.02203,0.03632,32391.37,929.63
2016-01-23,0.0499,0.05786,0.02425,0.02915,21025.08,1049.15
2016-01-24,0.0316,0.05067,0.03143,0.05163,5813.72,183.71
2016-01-25,0.02229,0.03142,0.01573,0.03086,53100.91,1183.62
2016-01-26,0.02728,0.02728,0.01877,0.02212,15171.11,413.87
2016-01-27,0.02614,0.03511,0.02322,0.02765,8373.83,218.89
2016-01-28,0.02357,0.02512,0.02092,0.02512,3215.27,75.78
2016-01-29,0.01736,0.02189,0.01719,0.02361,6487.97,112.63
2016-01-30,0.0208,0.02081,0.01725,0.01724,2666.54,55.46
2016-01-31,0.01885,0.02583,0.01687,0.02037,15562.51,293.35
2016-02-01,0.02203,0.02203,0.01822,0.01897,157.02,3.46
2016-02-02,0.02119,0.0212,0.01716,0.02213,2887.67,61.19
2016-02-03,0.01932,0.02575,0.0184,0.02086,12505.69,241.61
2016-02-04,0.02773,0.02774,0.0236,0.02051,6800.63,188.58
2016-02-05,0.02225,0.0502,0.02149,0.02743,9704.93,215.93
2016-02-06,0.03012,0.03012,0.02131,0.02169,5935.7,178.78
2016-02-07,0.02891,0.03021,0.02457,0.03022,1559.54,45.09
2016-02-08,0.03129,0.03129,0.02257,0.02851,2185.85,68.4
2016-02-09,0.02712,0.02817,0.02702,0.03152,1722.94,46.73
2016-02-10,0.03186,0.03186,0.02673,0.02759,5108.26,162.75
2016-02-11,0.02656,0.03165,0.02656,0.03166,2915.78,77.44
2016-02-12,0.03198,0.03198,0.03184,0.02688,1844.71,58.99
2016-02-13,0.0479,0.04818,0.03125,0.03248,1626.95,77.93
2016-02-14,0.04465,0.05069,0.04465,0.0498,1147.27,51.23
2016-02-15,0.0602,0.06417,0.04612,0.04416,8098.68,487.54
2016-02-16,0.09661,0.1625,0.05162,0.061,67208.87,6493.05
2016-02-17,0.09381,0.09381,0.06257,0.09915,7681.13,720.57
2016-02-18,0.08436,0.0946,0.08428,0.09477,16430.63,1386.09
2016-02-19,0.06732,0.09983,0.06732,0.08408,3119.55,210.01
2016-02-20,0.08621,0.0936,0.06583,0.07054,948.59,81.78
2016-02-21,0.07006,0.08578,0.05088,0.08578,1690.87,118.46
2016-02-22,0.07005,0.07005,0.07005,0.07005,0.0,0.0
2016-02-23,0.04942,0.07336,0.04913,0.06718,1700.35,84.03
2016-02-24,0.0736,0.07372,0.04975,0.04975,1100.15,80.97
2016-02-25,0.05128,0.07369,0.0509,0.07373,504.33,25.86
2016-02-26,0.05175,0.05175,0.05175,0.05175,0.0,0.0
2016-02-27,0.08928,0.0923,0.075,0.05223,1217.06,108.66
2016-02-28,0.1297,0.1297,0.08948,0.08952,35406.67,4592.25
2016-02-29,0.1259,0.1898,0.1244,0.1308,4974.83,626.33
2016-03-01,0.1231,0.1632,0.1101,0.1253,5143.55,633.17
2016-03-02,0.1291,0.1417,0.1079,0.1206,1922.72,248.22
2016-03-03,0.1272,0.1591,0.1103,0.1273,2135.25,271.6
2016-03-04,0.08644,0.1242,0.08644,0.1242,513.81,44.41
2016-03-05,0.08778,0.1209,0.08423,0.08423,110.14,9.67
2016-03-06,0.1624,0.1624,0.08931,0.08931,5284.67,858.23
2016-03-07,0.107,0.3688,0.107,0.1659,16931.59,1811.68
2016-03-08,0.1936,0.1936,0.1071,0.1062,3393.87,657.05
2016-03-09,0.2051,0.2262,0.1292,0.194,5492.7,1126.55
2016-03-10,0.168,0.2078,0.168,0.2066,76.91,12.92
2016-03-11,0.1383,0.2095,0.1048,0.1693,12142.95,1679.37
2016-03-12,0.1711,0.1711,0.1448,0.1354,606.16,103.71
2016-03-13,0.1392,0.1916,0.1392,0.172,618.59,86.11
2016-03-14,0.1368,0.1825,0.1368,0.1398,1005.62,137.57
2016-03-15,0.08535,0.137,0.08535,0.137,1000.0,85.35
2016-03-16,0.1704,0.1704,0.1704,0.08551,1.61,0.2743
2016-03-17,0.08606,0.1694,0.08606,0.1713,4024.08,346.31
2016-03-18,0.084,0.084,0.084,0.084,1107.0,92.99
2016-03-19,0.08411,0.08411,0.08411,0.08411,515.0,43.32
2016-03-20,0.08519,0.1348,0.08478,0.08469,151.73,12.93
2016-03-21,0.08531,0.08531,0.08531,0.0851,10.0,0.8531
2016-03-22,0.1358,0.1654,0.135,0.08636,1687.05,229.1
2016-03-23,0.1668,0.1668,0.1361,0.1361,399.72,66.67
2016-03-24,0.162,0.162,0.125,0.1659,1076.13,174.33
2016-03-25,0.1624,0.1624,0.1402,0.1624,172.27,27.98
2016-03-26,0.1627,0.1627,0.127,0.1627,748.49,121.78
2016-03-27,0.1282,0.1658,0.1282,0.1658,239.72,30.73
2016-03-28,0.1288,0.1288,0.09441,0.1275,17.3,2.23
2016-03-29,0.06449,0.1042,0.06449,0.1266,633.25,40.84
2016-03-30,0.06409,0.06409,0.06409,0.06409,0.0,0.0
2016-03-31,0.1039,0.1039,0.06979,0.06459,95.16,9.89
2016-04-01,0.09996,0.1039,0.07066,0.1039,29008.79,2899.72
2016-04-02,0.1046,0.1046,0.1005,0.1007,1219.02,127.51
2016-04-03,0.153,0.153,0.1048,0.1048,2446.73,374.35
2016-04-04,0.1228,0.1228,0.0494,0.1531,6573.04,807.17
2016-04-05,0.1236,0.1236,0.1236,0.1236,0.0,0.0
2016-04-06,0.07583,0.07583,0.07583,0.1234,100.0,7.58
2016-04-07,0.06722,0.07584,0.06722,0.07563,2000.0,134.44
2016-04-08,0.06683,0.06683,0.06683,0.06683,0.0,0.0
2016-04-09,0.09193,0.09193,0.06785,0.06689,22.27,2.05
2016-04-10,0.06854,0.06854,0.06854,0.09241,3.18,0.218
2016-04-11,0.09221,0.09221,0.09221,0.06874,5.0,0.4611
2016-04-12,0.0917,0.0917,0.0892,0.09293,134.1,12.3
2016-04-13,0.07097,0.09105,0.07097,0.09143,82.48,5.85
2016-04-14,0.07208,0.07208,0.07208,0.07107,176.46,12.72
2016-04-15,0.07287,0.07287,0.07287,0.07287,0.0,0.0
2016-04-16,0.07311,0.07311,0.07311,0.07311,0.0,0.0
2016-04-17,0.08282,0.08282,0.07153,0.07246,333.93,27.66
2016-04-18,0.1154,0.1154,0.06847,0.0831,1758.39,202.92
2016-04-19,0.1139,0.1139,0.09546,0.1174,775.93,88.38
2016-04-20,0.1133,0.1133,0.06366,0.1156,1018.89,115.44
2016-04-21,0.1047,0.1047,0.1047,0.1154,8.56,0.8962
2016-04-22,0.07534,0.1149,0.07436,0.1037,15246.63,1148.68
2016-04-23,0.08304,0.09438,0.08304,0.07615,235.15,19.53
2016-04-24,0.07824,0.08035,0.07824,0.08442,199.57,15.61
2016-04-25,0.09941,0.09941,0.07896,0.07896,725.37,72.11
2016-04-26,0.08416,0.09301,0.08416,0.1003,903.37,76.03
2016-04-27,0.08069,0.08069,0.08069,0.08073,589.72,47.58
2016-04-28,0.08095,0.08095,0.08095,0.08095,16.41,1.33
2016-04-29,0.07789,0.08212,0.07789,0.08212,500.0,38.95
2016-04-30,0.1045,0.1045,0.08361,0.07679,212.67,22.22
2016-05-01,0.1054,0.1054,0.1054,0.1054,0.0,0.0
2016-05-02,0.06485,0.08177,0.06485,0.1035,4000.0,259.4
2016-05-03,0.08109,0.08109,0.08037,0.06574,46.45,3.77
2016-05-04,0.07605,0.08029,0.07605,0.08029,3.19,0.2426
2016-05-05,0.08962,0.1138,0.08876,0.07644,465.72,41.74
2016-05-06,0.09586,0.09591,0.09586,0.09191,102.34,9.81
2016-05-07,0.09563,0.09563,0.09563,0.09563,0.0,0.0
2016-05-08,0.08141,0.08791,0.08141,0.09551,130.45,10.62
2016-05-09,0.09969,0.117,0.09969,0.08187,308.1,30.71
2016-05-10,0.07657,0.08686,0.07657,0.09729,2331.65,178.53
2016-05-11,0.09073,0.09073,0.0905,0.07711,2243.15,203.52
2016-05-12,0.129,0.129,0.07557,0.09111,2344.68,302.46
2016-05-13,0.1294,0.1294,0.1174,0.1292,74.0,9.58
2016-05-14,0.1006,0.1006,0.09535,0.1297,10504.87,1056.79
