time,close,high,low,open,volumefrom,volumeto
2017-08-25,13.09,13.09,13.09,13.09,98.0,1282.82
2017-08-26,13.06,13.06,13.06,13.06,89.99,1175.27
2017-08-27,13.04,13.04,13.04,13.04,0.0,0.0
2017-08-28,13.17,13.17,13.17,13.17,0.0,0.0
2017-08-29,13.1,13.79,13.1,13.79,283.5,3713.85
2017-08-30,13.06,13.06,13.06,13.06,0.0,0.0
2017-08-31,13.5,13.5,13.5,13.5,0.0,0.0
2017-09-01,14.03,14.03,14.03,14.03,0.0,0.0
2017-09-02,13.04,13.04,13.04,13.04,0.0,0.0
2017-09-03,13.15,13.15,13.15,13.15,0.0,0.0
2017-09-04,12.16,12.16,12.16,12.16,0.0,0.0
2017-09-05,12.57,12.57,12.57,12.57,0.0,0.0
2017-09-06,13.16,13.16,13.16,13.16,0.0,0.0
2017-09-07,13.21,13.21,13.21,13.21,0.0,0.0
2017-09-08,12.33,12.33,12.33,12.33,0.0,0.0
2017-09-09,12.36,12.36,12.36,12.36,0.0,0.0
2017-09-10,12.1,12.1,12.1,12.1,0.0,0.0
2017-09-11,12.02,12.02,12.02,12.02,0.0,0.0
2017-09-12,11.85,11.85,11.85,11.85,0.0,0.0
2017-09-13,11.03,11.03,11.03,11.03,0.0,0.0
2017-09-14,9.24,9.24,9.24,9.24,0.0,0.0
2017-09-15,10.58,10.58,10.58,10.58,0.0,0.0
2017-09-16,10.54,10.54,10.54,10.54,0.0,0.0
2017-09-17,10.52,10.52,10.52,10.52,0.0,0.0
2017-09-18,11.69,11.69,11.69,11.69,0.0,0.0
2017-09-19,11.14,11.14,11.14,11.14,0.0,0.0
2017-09-20,11.06,11.06,11.06,11.06,0.0,0.0
2017-09-21,10.31,10.31,10.31,10.31,0.0,0.0
2017-09-22,21.24,21.24,21.24,21.24,150.0,3186.0
2017-09-23,22.35,22.35,22.35,22.35,0.0,0.0
2017-09-24,21.64,21.64,21.64,21.64,0.0,0.0
2017-09-25,23.2,23.2,23.2,23.2,0.0,0.0
2017-09-26,22.97,22.97,22.97,22.97,0.0,0.0
2017-09-27,24.85,24.85,24.85,24.85,0.0,0.0
2017-09-28,24.75,24.75,24.75,24.75,3.2,79.2
2017-09-29,24.62,24.62,24.62,24.62,0.0,0.0
2017-09-30,25.73,25.73,25.73,25.73,0.0,0.0
2017-10-01,25.98,25.98,25.98,25.98,0.0,0.0
2017-10-02,25.97,25.97,25.97,25.97,0.0,0.0
2017-10-03,25.45,25.45,25.45,25.45,0.0,0.0
2017-10-04,24.89,24.89,24.89,24.89,0.0,0.0
2017-10-05,12.96,25.5,12.96,25.5,50.0,648.0
2017-10-06,13.11,13.11,13.11,13.11,0.0,0.0
2017-10-07,13.3,13.3,13.3,13.3,0.0,0.0
2017-10-08,13.83,13.83,13.83,13.83,0.0,0.0
2017-10-09,14.33,14.33,14.33,14.33,0.0,0.0
