time,close,high,low,open,volumefrom,volumeto
2017-08-09,0.02679,0.03349,0.01674,0.03014,320732.45,8592.42
2017-08-10,0.03083,0.04111,0.006851,0.02741,1622751.07,50029.42
2017-08-11,0.02558,0.03289,0.02193,0.03289,390899.19,9999.2
2017-08-12,0.03484,0.03484,0.0271,0.0271,312617.86,10891.61
2017-08-13,0.02844,0.03656,0.02844,0.03656,254605.02,7240.97
2017-08-14,0.03462,0.06059,0.0303,0.0303,550089.12,19044.09
2017-08-15,0.05826,0.07907,0.02913,0.03329,1198059.69,69798.96
2017-08-16,0.08775,0.1053,0.05265,0.06142,1428759.31,125373.63
2017-08-17,0.1712,0.3209,0.0599,0.08558,4209145.6,720605.73
2017-08-18,0.09032,0.1642,0.06569,0.1642,3714233.72,335469.59
2017-08-19,0.07886,0.1079,0.07056,0.09131,1512023.66,119238.19
2017-08-20,0.08133,0.0854,0.05693,0.07727,1043381.05,84858.18
2017-08-21,0.0761,0.09612,0.07209,0.0801,1008512.93,76747.83
2017-08-22,0.06952,0.08588,0.06952,0.0777,541255.41,37628.08
2017-08-23,0.07868,0.0911,0.05798,0.0704,1130349.39,88935.89
2017-08-24,0.07341,0.08637,0.06909,0.08205,843710.59,61936.79
2017-08-25,0.07856,0.08292,0.06547,0.07419,521039.47,40932.86
2017-08-26,0.06093,0.07834,0.06093,0.07834,502732.79,30631.51
2017-08-27,0.05649,0.06953,0.05649,0.06084,292413.34,16518.43
2017-08-28,0.05268,0.06585,0.03951,0.05707,1332182.7,70179.38
2017-08-29,0.06436,0.07815,0.04597,0.05517,476268.99,30652.67
2017-08-30,0.055,0.07333,0.05041,0.06416,780797.57,42943.87
2017-08-31,0.05209,0.06629,0.04735,0.05682,549155.82,28605.53
2017-09-01,0.07383,0.07383,0.03445,0.05414,998551.67,73723.07
2017-09-02,0.05031,0.06861,0.03659,0.06861,718538.07,36149.65
2017-09-03,0.04613,0.05536,0.04152,0.04613,535216.02,24689.52
2017-09-04,0.04694,0.04694,0.03414,0.04267,441766.77,20736.53
2017-09-05,0.05291,0.05291,0.03968,0.0485,102072.61,5400.66
2017-09-06,0.05081,0.05542,0.04619,0.05542,206148.82,10474.42
2017-09-07,0.05563,0.06026,0.04636,0.05099,489788.6,27246.94
2017-09-08,0.04759,0.05624,0.04326,0.05192,368090.46,17517.42
2017-09-09,0.04335,0.04769,0.03902,0.04769,193978.33,8408.96
2017-09-10,0.03821,0.0467,0.03821,0.04246,155176.55,5929.3
2017-09-11,0.0464,0.0464,0.03796,0.03796,1114810.19,51727.19
2017-09-12,0.04159,0.04575,0.03743,0.04575,318180.91,13233.14
2017-09-13,0.0387,0.04257,0.03483,0.0387,169651.55,6565.51
2017-09-14,0.03243,0.03243,0.02594,0.03243,129560.79,4201.66
