time,close,high,low,open,volumefrom,volumeto
2016-10-02,0.03115,0.03115,0.03115,0.03115,33.01,1.03
2016-10-03,0.01861,0.03119,0.0004832,0.03119,11470749.59,213470.65
2016-10-04,0.01674,0.01936,0.01522,0.01853,3315708.42,55504.96
2016-10-05,0.01968,0.01971,0.0164,0.01682,3427877.17,67460.62
2016-10-06,0.01839,0.02045,0.01687,0.01965,4845607.54,89110.72
2016-10-07,0.01592,0.01851,0.01587,0.01854,2558438.01,40730.33
2016-10-08,0.01701,0.01726,0.01573,0.01597,2229496.63,37923.74
2016-10-09,0.016,0.0174,0.01543,0.01696,1939137.85,31026.21
2016-10-10,0.01543,0.01641,0.01514,0.01604,3913503.8,60385.36
2016-10-11,0.01536,0.01601,0.01349,0.01601,2527757.25,38826.35
2016-10-12,0.01378,0.01524,0.01132,0.01526,891326.22,12282.48
2016-10-13,0.01311,0.01447,0.0125,0.01377,537813.67,7050.74
2016-10-14,0.01493,0.01495,0.01276,0.01315,580447.66,8666.08
2016-10-15,0.01363,0.01491,0.01322,0.01491,220572.82,3006.41
2016-10-16,0.01344,0.01463,0.01319,0.01369,550984.26,7405.23
2016-10-17,0.01324,0.01407,0.01319,0.01338,710633.59,9408.79
2016-10-18,0.01381,0.01402,0.01312,0.0132,887510.34,12256.52
2016-10-19,0.0139,0.01405,0.01303,0.01367,794322.95,11041.09
2016-10-20,0.01468,0.01468,0.01379,0.01389,416472.79,6113.82
2016-10-21,0.01383,0.01469,0.01306,0.01473,733367.02,10142.47
2016-10-22,0.01441,0.01464,0.01365,0.01438,280798.67,4046.31
2016-10-23,0.01434,0.01436,0.01358,0.01436,462716.11,6635.35
2016-10-24,0.0135,0.01428,0.01337,0.01428,211456.66,2854.66
2016-10-25,0.01411,0.01426,0.01346,0.01351,1267792.16,17888.55
2016-10-26,0.01352,0.01463,0.01352,0.01462,400143.65,5409.94
2016-10-27,0.01271,0.01372,0.01224,0.01367,930542.69,11827.2
2016-10-28,0.01074,0.01317,0.01073,0.01278,584725.69,6279.95
2016-10-29,0.01071,0.01221,0.009366,0.01119,874190.94,9362.58
2016-10-30,0.01079,0.01239,0.01038,0.01045,255459.41,2756.41
2016-10-31,0.01181,0.01181,0.01078,0.01082,156944.61,1853.52
2016-11-01,0.01107,0.01229,0.01092,0.01228,476167.02,5271.17
2016-11-02,0.01168,0.01298,0.01144,0.01117,701164.32,8189.6
2016-11-03,0.01123,0.01181,0.01069,0.01091,156279.7,1755.02
2016-11-04,0.01153,0.01158,0.01097,0.01151,58626.93,675.97
2016-11-05,0.01193,0.01193,0.01111,0.01153,331481.24,3954.57
2016-11-06,0.01194,0.01227,0.01066,0.01206,23185.15,276.83
2016-11-07,0.01197,0.01198,0.01156,0.01186,52184.77,624.65
